Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.75,34.62,32.69,33.0,14.3031413977,3056600
2000-01-04,33.88,33.88,30.81,30.94,13.4102786316,3169600
2000-01-05,30.94,32.0,30.62,31.38,13.6009871836,3022000
2000-01-06,31.12,32.44,30.88,32.12,13.9217242937,4017600
2000-01-07,31.25,33.75,31.25,33.56,14.5458613729,2746400
2000-01-10,33.97,35.25,33.62,35.25,15.2783555839,3255000
2000-01-11,34.44,35.06,32.94,33.0,14.3031413977,5179600
2000-01-12,33.05,33.38,32.5,33.0,14.3031413977,2239600
2000-01-13,32.84,34.94,32.81,34.75,15.0616413203,2258000
2000-01-14,34.84,35.38,33.69,34.38,14.9012727652,2601000
2000-01-18,33.78,34.12,33.12,33.12,14.3551528209,2074200
2000-01-19,33.44,33.44,31.88,32.31,14.0040757139,2896400
2000-01-20,32.38,32.38,29.62,29.81,12.9205043959,5598800
2000-01-21,29.88,29.88,28.0,28.06,12.1620044733,7507000
2000-01-24,28.06,28.5,26.5,26.5,11.4858559708,4965800
2000-01-25,27.06,28.25,25.88,27.19,11.7849216546,7229000
2000-01-26,27.62,27.88,26.5,26.81,11.6202188143,5319000
2000-01-27,27.75,27.94,27.06,27.69,12.0016359182,3597400
2000-01-28,27.62,28.5,27.31,27.56,11.9452902097,3107800
2000-01-31,27.62,27.75,26.75,27.19,11.7849216546,3943600
2000-02-01,27.5,30.75,27.25,30.75,13.3279272115,2881600
2000-02-02,30.81,32.0,30.38,30.81,13.3539329231,4579400
2000-02-03,31.31,31.38,30.62,30.88,13.38427292,2956400
2000-02-04,31.59,32.12,31.0,32.06,13.8957185821,3042200
2000-02-07,32.06,32.06,30.38,30.69,13.3019214998,1873800
2000-02-08,31.0,32.12,30.75,31.31,13.5706471867,2728000
2000-02-09,31.0,31.94,30.69,30.81,13.3539329231,2061200
2000-02-10,31.25,31.75,30.88,31.56,13.6790043185,1949000
2000-02-11,31.56,31.62,29.62,29.94,12.9768501044,2862600
2000-02-14,29.69,30.75,29.31,30.69,13.3019214998,2415800
2000-02-15,30.25,31.44,29.56,31.19,13.5186357634,2035800
2000-02-16,30.88,30.94,27.5,27.94,12.10999305,6552200
2000-02-17,28.56,28.69,27.62,28.25,12.2443558935,4343800
2000-02-18,28.5,28.56,25.0,25.25,10.9440703118,7342400
2000-02-22,25.94,26.38,24.94,25.44,11.026421732,5387400
2000-02-23,25.44,27.06,25.12,26.56,11.5118616825,4942600
2000-02-24,26.81,27.0,22.44,24.38,10.5669874932,6843000
2000-02-25,24.5,25.25,23.69,23.94,10.3762789412,4985200
2000-02-28,23.75,26.25,23.62,26.12,11.3211531305,4942600
2000-02-29,26.25,28.75,25.88,28.38,12.300701602,5867200
2000-03-01,28.25,28.5,26.5,26.75,11.5942131026,5716800
2000-03-02,27.19,27.62,26.94,27.25,11.8109273662,3341800
2000-03-03,27.25,27.38,26.12,26.88,11.6505588112,3162000
2000-03-06,26.56,26.62,23.38,24.06,10.4282903645,5278400
2000-03-07,24.62,24.75,22.0,23.06,9.99486183727,4972600
2000-03-08,23.09,23.88,22.75,23.62,10.2375818125,4421400
2000-03-09,23.56,24.09,23.0,24.06,10.4282903645,7286200
2000-03-10,23.88,24.0,23.44,23.62,10.2375818125,2788400
2000-03-13,23.38,23.38,22.5,22.75,9.86049899384,3670200
2000-03-14,23.0,23.5,22.75,22.81,9.88650470547,3709000
2000-03-15,23.0,26.94,22.94,26.94,11.6765645228,7987200
2000-03-16,27.0,31.25,26.75,31.19,13.5186357634,14014800
2000-03-17,30.67,32.0,29.94,31.94,13.8437071588,11677200
2000-03-20,31.38,32.25,31.0,31.06,13.4622900549,8672800
2000-03-21,31.17,32.62,30.56,32.31,14.0040757139,3572600
2000-03-22,32.62,32.62,29.56,29.81,12.9205043959,4612800
2000-03-23,29.12,29.94,28.88,29.44,12.7601358408,3157000
2000-03-24,29.62,30.0,28.38,29.38,12.7341301292,2937800
2000-03-27,29.69,31.31,28.94,30.44,13.193564368,4751000
2000-03-28,30.44,32.38,30.31,31.75,13.7613557387,2746800
2000-03-29,31.75,33.81,31.69,33.5,14.5198556613,3529400
2000-03-30,34.12,45.5,34.12,43.62,18.9061523565,38071600
2000-03-31,41.5,41.75,39.0,39.38,17.0684154012,26784200
2000-04-03,39.25,40.12,37.88,39.62,17.1724382477,6127800
2000-04-04,39.88,41.25,36.38,40.69,17.6362067718,6592000
2000-04-05,39.62,41.06,39.0,40.81,17.6882181951,2803000
2000-04-06,40.38,42.12,38.0,41.5,17.9872838789,5675200
2000-04-07,41.62,41.94,38.62,41.5,17.9872838789,3267600
2000-04-10,40.88,41.12,38.0,38.12,16.5222954569,2856400
2000-04-11,38.0,41.12,37.25,40.56,17.5798610633,3315800
2000-04-12,40.06,44.0,39.94,42.44,18.3947066944,5043400
2000-04-13,42.0,42.61,39.5,40.33,17.480172502,2698400
2000-04-14,39.5,40.38,35.0,35.56,15.4127184273,4875000
2000-04-17,35.0,39.25,35.0,38.69,16.7693497174,7055600
2000-04-18,38.31,39.25,37.0,38.94,16.8777068492,3103800
2000-04-19,38.62,38.75,36.56,37.44,16.2275640584,2823800
2000-04-20,37.88,39.5,37.44,39.06,16.9297182725,2401800
2000-04-24,38.94,39.69,38.38,39.25,17.0120696927,2191200
2000-04-25,39.69,41.44,39.38,41.44,17.9612781672,3368800
2000-04-26,41.44,41.44,39.5,39.62,17.1724382477,2819000
2000-04-27,39.25,39.25,36.94,36.94,16.0108497948,3279000
2000-04-28,37.12,37.12,35.38,36.69,15.902492663,3730800
2000-05-01,36.56,36.62,35.44,35.69,15.4690641358,3546400
2000-05-02,35.75,36.5,35.0,35.69,15.4690641358,4127600
2000-05-03,35.12,35.38,32.06,33.56,14.5458613729,9467200
2000-05-04,33.31,35.62,32.75,35.31,15.3043612955,2895800
2000-05-05,34.0,36.12,33.88,35.31,15.3043612955,1946800
2000-05-08,34.94,35.62,33.38,33.62,14.5718670845,1996800
2000-05-09,33.98,35.44,32.88,35.44,15.360707004,1444200
2000-05-10,34.94,39.25,34.88,37.62,16.3055811933,5766600
2000-05-11,38.11,40.12,37.38,39.94,17.3111353764,3153400
2000-05-12,39.88,39.88,37.06,38.94,16.8777068492,1950400
2000-05-15,38.62,40.5,37.25,40.44,17.52784964,2375000
2000-05-16,41.12,41.75,38.5,39.38,17.0684154012,2412800
2000-05-17,38.94,39.0,36.75,37.31,16.1712183499,1584400
2000-05-18,37.44,38.25,36.62,36.62,15.8721526661,1528800
2000-05-19,36.25,37.0,35.0,36.0,15.6034269793,1443000
2000-05-22,35.69,37.5,34.5,37.44,16.2275640584,1478800
2000-05-23,37.69,38.0,36.25,36.25,15.7117841111,1372600
2000-05-24,36.12,36.12,31.94,33.75,14.6282127931,3829000
2000-05-25,34.0,35.5,33.5,33.88,14.6845585016,1835400
2000-05-26,34.25,36.5,33.69,33.88,14.6845585016,2281800
2000-05-30,34.5,36.62,34.12,35.44,15.360707004,1994800
2000-05-31,36.0,37.62,35.75,36.81,15.9545040863,2829800
2000-06-01,36.56,37.44,35.75,37.12,16.0888669297,2312800
2000-06-02,37.5,40.09,37.38,40.06,17.3631467997,2077000
2000-06-05,39.81,40.0,37.5,37.69,16.3359211902,1322200
2000-06-06,37.44,37.56,34.88,35.56,15.4127184273,2981400
2000-06-07,35.72,35.75,33.88,34.5,14.9532841885,3937600
2000-06-08,34.72,34.81,32.88,33.06,14.3291471093,2957000
2000-06-09,34.12,34.38,33.62,34.0,14.7365699249,1370600
2000-06-12,34.0,34.06,31.62,32.75,14.1947842659,2303800
2000-06-13,31.94,34.56,31.88,34.56,14.9792899001,2562000
2000-06-14,34.75,35.0,33.0,33.25,14.4114985295,2125600
2000-06-15,33.5,35.0,33.0,34.75,15.0616413203,2416000
2000-06-16,36.62,36.69,35.0,35.69,15.4690641358,2987000
2000-06-19,34.75,35.25,33.75,34.0,14.7365699249,2008200
2000-06-20,34.12,35.0,33.19,34.94,15.1439927404,2419400
2000-06-21,34.94,36.5,34.88,35.69,15.4690641358,5057000
2000-06-22,33.44,34.38,32.56,32.81,14.2207899775,5422400
2000-06-23,33.06,33.38,32.5,32.94,14.277135686,1948600
2000-06-26,32.94,34.12,32.81,33.0,14.3031413977,3477200
2000-06-27,33.06,35.69,32.56,35.38,15.3347012924,5120600
2000-06-28,35.78,36.38,35.06,35.88,15.551415556,2621800
2000-06-29,35.81,35.81,34.0,34.06,14.7625756365,2913400
2000-06-30,34.25,37.0,34.25,36.25,15.7117841111,2541600
2000-07-03,36.31,36.31,35.25,35.62,15.4387241389,897200
2000-07-05,35.98,36.06,34.0,34.19,14.818921345,1056400
2000-07-06,34.25,37.38,34.12,36.62,15.8721526661,3213200
2000-07-07,36.94,39.38,36.75,39.0,16.9037125609,4321400
2000-07-10,38.5,40.88,38.5,40.06,17.3631467997,3146800
2000-07-11,40.0,40.94,38.75,39.25,17.0120696927,2437400
2000-07-12,39.5,41.38,39.12,40.38,17.5018439284,6534800
2000-07-13,39.34,40.0,38.81,39.56,17.1464325361,1784200
2000-07-14,40.34,40.5,39.5,39.69,17.2027782446,1557800
2000-07-17,39.81,39.81,38.31,38.31,16.6046468771,1177800
2000-07-18,38.34,39.75,38.0,39.44,17.0944211128,1907200
2000-07-19,39.69,39.75,38.75,38.94,16.8777068492,1176200
2000-07-20,39.12,39.88,39.0,39.62,17.1724382477,1286400
2000-07-21,39.53,40.06,38.62,39.69,17.2027782446,2031200
2000-07-24,39.81,39.84,36.88,37.0,16.0368555065,2324600
2000-07-25,37.0,37.62,36.38,37.38,16.2015583468,1319400
2000-07-26,37.06,38.88,36.56,37.81,16.3879326135,2147400
2000-07-27,38.0,39.5,37.97,38.88,16.8517011376,1838600
2000-07-28,38.66,38.69,36.56,36.62,15.8721526661,2532800
2000-07-31,36.69,37.06,35.38,36.81,15.9545040863,1802400
2000-08-01,36.78,36.81,35.12,35.44,15.360707004,1572400
2000-08-02,35.94,36.75,35.44,35.75,15.4950698475,1331000
2000-08-03,35.75,36.88,35.0,36.38,15.7681298196,2438000
2000-08-04,36.75,37.06,35.81,36.62,15.8721526661,1456200
2000-08-07,36.62,38.94,36.5,38.69,16.7693497174,1978400
2000-08-08,38.62,39.62,38.25,39.44,17.0944211128,2869400
2000-08-09,39.44,39.5,37.88,38.56,16.7130040089,1283800
2000-08-10,38.56,38.62,36.12,36.25,15.7117841111,2434800
