Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,58.37,58.39,53.75,55.62,194.67,4526200
2000-01-04,52.69,54.94,52.25,53.19,186.165,4080650
2000-01-05,52.0,52.19,48.19,49.75,174.125,6384350
2000-01-06,50.0,51.62,45.37,45.87,160.545,5907650
2000-01-07,49.37,60.25,48.0,57.75,202.125,18317250
2000-01-10,60.06,65.37,58.12,64.37,225.295,7541100
2000-01-11,62.75,65.75,59.87,60.37,211.295,4981900
2000-01-12,60.0,62.5,57.37,59.25,207.375,3154550
2000-01-13,63.12,63.75,60.25,62.5,218.75,3330950
2000-01-14,63.0,68.05,63.0,66.81,233.835,5464200
2000-01-18,67.25,69.94,66.5,69.69,243.915,4070500
2000-01-19,70.0,70.5,66.44,68.25,238.875,2311750
2000-01-20,72.0,76.94,71.62,73.44,257.04,6778800
2000-01-21,74.5,76.12,70.37,73.81,258.335,3303650
2000-01-24,75.12,79.37,74.25,76.87,269.045,3799600
2000-01-25,78.25,78.37,69.5,74.0,259.0,4098150
2000-01-26,73.97,75.0,67.75,68.12,238.42,3052700
2000-01-27,71.25,75.0,68.87,70.69,247.415,4440450
2000-01-28,69.62,72.0,63.75,66.12,231.42,3784550
2000-01-31,66.25,67.0,60.06,65.62,229.67,3463250
2000-02-01,68.25,69.87,65.69,69.25,242.375,2266950
2000-02-02,69.5,75.0,69.5,74.12,259.42,3148950
2000-02-03,74.94,75.5,71.69,75.44,264.04,4034800
2000-02-04,75.75,77.19,74.25,75.56,264.46,2517550
2000-02-07,78.75,83.37,78.0,80.81,282.835,4497500
2000-02-08,83.0,86.5,82.12,86.25,301.875,3640350
2000-02-09,85.69,87.0,82.5,83.69,292.915,3175200
2000-02-10,84.19,99.94,84.12,99.0,346.5,10850350
2000-02-11,99.0,105.25,94.12,97.0,339.5,6381900
2000-02-14,98.75,104.25,98.62,99.81,349.335,3452050
2000-02-15,99.75,104.0,94.19,99.69,348.915,3632300
2000-02-16,98.06,121.5,97.87,117.69,411.915,11267200
2000-02-17,118.12,118.19,110.06,113.56,397.46,6900600
2000-02-18,117.0,125.5,114.75,115.31,403.585,8355900
2000-02-22,117.0,124.75,114.19,119.06,416.71,5508300
