Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,91.06,91.06,87.94,89.0,31.4138317085,3028700
2000-01-04,88.94,89.13,83.94,84.13,29.6948950746,2861400
2000-01-05,84.44,85.69,83.69,85.56,30.1996341683,3863200
2000-01-06,86.63,89.13,86.5,87.28,30.8067329384,3610700
2000-01-07,86.88,93.25,86.81,93.06,32.8468671775,2582400
2000-01-10,93.06,95.06,91.81,95.0,33.5316181158,2227000
2000-01-11,94.25,95.13,91.5,91.63,32.3421280837,1477500
2000-01-12,93.13,94.5,89.88,91.5,32.2962427116,2343700
2000-01-13,92.56,96.13,90.88,94.94,33.5104402518,2875400
2000-01-14,48.13,50.25,48.0,49.06,34.6328670476,2285500
2000-01-18,48.75,51.75,48.25,51.25,36.178851125,5932000
2000-01-19,51.94,53.13,50.13,51.88,36.6235862705,4130500
2000-01-20,52.38,53.13,50.0,50.0,35.2964401219,5551900
2000-01-21,51.44,51.5,48.0,48.5,34.2375469183,3520200
2000-01-24,48.19,51.25,46.5,47.0,33.1786537146,5005500
2000-01-25,47.56,49.75,45.75,49.69,35.0776021932,3730800
2000-01-26,49.13,52.0,48.69,50.44,35.607048795,3782800
2000-01-27,50.56,51.38,46.5,48.94,34.5481555913,3109600
2000-01-28,48.63,49.75,45.88,46.0,32.4727249122,2834600
2000-01-31,46.06,49.5,45.0,48.94,34.5481555913,3249700
2000-02-01,49.31,52.13,48.0,51.88,36.6235862705,4530500
2000-02-02,52.0,54.0,51.0,54.0,38.1201553317,4945700
2000-02-03,54.0,55.0,53.25,54.19,38.2542818041,4640800
2000-02-04,54.75,55.0,52.63,53.0,37.4142265292,3273700
2000-02-07,52.0,52.25,51.0,51.25,36.178851125,2566700
2000-02-08,51.94,53.75,51.75,53.06,37.4565822574,2440700
2000-02-09,52.0,53.0,51.44,52.88,37.3295150729,1466800
2000-02-10,52.81,52.88,51.88,52.13,36.8000684711,2761800
2000-02-11,52.13,52.31,51.0,51.69,36.489459798,2071000
2000-02-14,51.56,51.63,50.0,50.75,35.8258867238,1856300
2000-02-15,50.06,50.5,48.5,49.38,34.8587642644,2675400
2000-02-16,49.19,49.31,46.38,47.75,33.7081003164,4231600
2000-02-17,48.0,48.0,43.5,44.0,31.0608673073,6955400
2000-02-18,43.75,45.94,41.88,44.94,31.7244403816,6004200
2000-02-22,44.81,45.25,42.63,44.0,31.0608673073,3769600
2000-02-23,44.38,45.25,43.64,44.56,31.4561874367,4267300
2000-02-24,44.7,45.06,43.0,44.38,31.3291202522,3990500
2000-02-25,44.25,48.34,43.75,47.63,33.6233888601,7698400
2000-02-28,47.25,50.63,47.25,48.94,34.5481555913,6621300
2000-02-29,48.88,50.0,48.13,49.63,35.035246465,3681800
2000-03-01,49.44,49.81,46.13,46.5,32.8256893134,4624400
2000-03-02,47.56,51.88,47.5,49.63,35.035246465,7841800
2000-03-03,50.19,51.25,48.88,49.94,35.2540843938,2430500
2000-03-06,49.78,50.25,49.13,50.13,35.3882108662,3419200
2000-03-07,50.03,50.06,45.0,45.38,32.0350490547,7506100
2000-03-08,46.31,46.38,42.38,45.63,32.2115312553,6526600
2000-03-09,45.5,45.56,43.69,44.56,31.4561874367,4937300
2000-03-10,44.69,46.25,43.94,44.13,31.1526380516,4934000
2000-03-13,44.0,45.0,42.38,43.0,30.3549385049,3747300
2000-03-14,43.5,45.5,43.13,43.31,30.5737764336,2097100
2000-03-15,43.19,50.5,43.0,49.81,35.1623136495,5515300
2000-03-16,48.88,56.06,48.25,55.95,39.4967164964,12820600
2000-03-17,54.75,54.88,52.25,53.94,38.0777996035,7765900
2000-03-20,53.75,53.94,51.0,52.31,36.9271356556,3873800
2000-03-21,52.13,53.25,52.0,52.19,36.8424241993,4335200
2000-03-22,52.31,55.0,52.13,52.88,37.3295150729,5072800
2000-03-23,52.75,54.0,52.0,53.63,37.8589616748,2929400
2000-03-24,53.81,55.06,53.31,53.88,38.0354438754,5254700
