Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.38,31.38,29.88,30.06,11.9584847308,572300
2000-01-04,29.56,30.13,29.56,30.13,11.986332167,561200
2000-01-05,30.31,31.44,30.31,31.19,12.4080219146,378200
2000-01-06,31.0,31.38,30.69,30.94,12.3085667854,288500
2000-01-07,31.0,31.25,30.88,31.25,12.4318911456,567300
2000-01-10,31.94,32.13,31.31,31.44,12.5074770438,632800
2000-01-11,31.31,31.44,31.0,31.44,12.5074770438,359700
2000-01-12,31.31,31.94,31.25,31.56,12.5552155058,1021700
2000-01-13,31.69,31.75,31.19,31.5,12.5313462748,321400
2000-01-14,31.56,31.75,31.0,31.19,12.4080219146,409900
2000-01-18,31.19,31.31,30.5,30.81,12.2568501183,251200
2000-01-19,31.0,32.13,30.88,31.88,12.6825180711,581500
2000-01-20,32.0,34.06,31.88,33.88,13.4781591044,985800
2000-01-21,34.75,37.5,33.88,37.19,14.7949450146,1231300
2000-01-24,39.0,41.31,37.38,37.56,14.9421386057,1822600
2000-01-25,37.63,38.0,35.25,35.75,14.2220834706,773400
2000-01-26,35.81,35.88,35.38,35.88,14.2738001377,443300
2000-01-27,35.75,35.75,34.5,35.0,13.9237180831,963600
2000-01-28,34.5,34.69,33.25,33.25,13.2275321789,394300
2000-01-31,33.63,35.0,33.38,34.75,13.8242629539,906000
2000-02-01,34.88,35.31,34.69,34.75,13.8242629539,637000
2000-02-02,34.44,34.56,33.62,33.69,13.4025732063,386000
2000-02-03,33.69,34.56,33.69,34.25,13.6253526956,623600
2000-02-04,34.31,34.38,33.13,33.25,13.2275321789,546600
2000-02-07,33.25,33.25,32.63,33.0,13.1280770498,372800
2000-02-08,33.19,33.25,32.94,33.0,13.1280770498,580600
2000-02-09,33.0,33.38,32.38,32.38,12.8814283294,521800
2000-02-10,32.63,32.69,31.88,32.19,12.8058424313,662500
2000-02-11,32.19,32.69,32.19,32.5,12.9291667914,327200
2000-02-14,32.75,33.38,32.44,32.69,13.0047526896,509800
2000-02-15,32.81,33.25,32.63,33.0,13.1280770498,517600
