Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,42.38,42.81,41.69,42.69,37.6050581554,1734000
2000-01-04,42.5,43.19,41.0,41.5,36.5568028449,1571900
2000-01-05,41.88,43.25,41.38,43.25,38.0983547721,2239400
2000-01-06,42.5,47.31,42.44,47.25,41.6219020343,4630500
2000-01-07,47.25,47.5,44.25,47.5,41.8421237382,3532800
2000-01-10,47.44,47.44,45.75,46.5,40.9612369226,1437300
2000-01-11,45.94,46.56,45.5,45.63,40.1948653931,1055100
2000-01-12,44.88,45.44,44.13,45.25,39.8601284032,1050900
2000-01-13,46.63,47.88,45.75,47.0,41.4016803304,1900200
2000-01-14,47.19,47.94,45.69,46.56,41.0140901316,1291100
2000-01-18,46.0,46.38,43.13,44.19,38.9263883787,2412200
2000-01-19,43.94,45.88,43.81,44.25,38.9792415877,1876500
2000-01-20,42.88,43.63,41.81,42.5,37.4376896605,2111300
2000-01-21,42.31,42.31,41.0,41.75,36.7770245488,2363300
2000-01-24,41.69,41.75,40.25,41.0,36.1163594372,1742000
2000-01-25,40.88,41.31,40.25,40.25,35.4556943255,1686500
2000-01-26,40.31,42.63,40.06,42.38,37.3319832426,2031900
2000-01-27,41.38,42.31,40.13,40.75,35.8961377333,1519900
2000-01-28,40.06,40.25,38.25,38.69,34.0815108933,1970600
2000-01-31,38.44,39.56,38.06,39.56,34.8478824228,1489600
2000-02-01,39.06,39.44,37.94,38.94,34.3017325971,1677800
2000-02-02,39.0,39.13,38.0,38.56,33.9669956072,1539000
2000-02-03,38.94,40.19,38.25,39.5,34.7950292138,1491500
2000-02-04,39.63,39.63,38.94,39.19,34.521954301,911100
2000-02-07,39.25,39.94,38.75,39.19,34.521954301,1038600
2000-02-08,39.19,39.94,39.19,39.69,34.9623977088,1054400
2000-02-09,39.0,39.5,38.63,39.06,34.407439015,1242900
2000-02-10,38.88,39.0,37.63,38.69,34.0815108933,1463200
2000-02-11,38.69,38.69,36.94,37.13,32.707327461,1496000
2000-02-14,36.56,37.81,36.0,36.31,31.9850002723,1834400
2000-02-15,36.5,36.56,35.06,35.94,31.6590721505,2040700
2000-02-16,36.0,37.56,35.38,36.44,32.0995155583,1787800
2000-02-17,36.06,37.38,35.38,35.63,31.3859972377,1452200
2000-02-18,36.31,37.44,35.38,36.81,32.42544368,1602000
2000-02-22,35.69,37.0,35.69,36.0,31.7119253595,1669000
2000-02-23,36.06,36.19,35.13,35.38,31.1657755338,945600
2000-02-24,35.13,35.75,34.0,34.13,30.0646670144,1451700
2000-02-25,34.75,34.94,33.25,33.56,29.5625615295,1386500
2000-02-28,33.31,35.19,33.19,34.75,30.61081684,1390700
2000-02-29,34.5,35.44,34.19,34.94,30.778185335,2101100
2000-03-01,35.38,35.69,34.19,34.44,30.3377419272,1121500
2000-03-02,34.25,34.25,33.38,33.88,29.8444453105,1307900
2000-03-03,34.13,35.69,33.75,34.75,30.61081684,1691000
