Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,44.38,44.69,41.81,43.12,28.9869594682,3908500
2000-01-04,42.88,42.88,41.44,41.56,27.9382661294,2468700
2000-01-05,40.0,40.0,39.13,39.75,26.7215129606,4486200
2000-01-06,43.88,45.0,43.0,44.44,29.8743153703,5454800
2000-01-07,45.06,46.75,44.5,46.56,31.2994627282,3577200
2000-01-10,47.44,48.0,47.0,47.75,32.0994275188,3890400
2000-01-11,48.0,49.88,48.0,49.44,33.2355119692,4715900
2000-01-12,49.25,50.31,48.31,49.94,33.571631629,4199800
2000-01-13,49.38,49.63,48.31,49.19,33.0674521392,3074200
2000-01-14,48.56,48.75,47.69,47.81,32.1397618779,2287700
2000-01-18,47.25,47.88,46.94,47.81,32.1397618779,2388800
2000-01-19,47.63,48.25,47.44,47.81,32.1397618779,2728600
2000-01-20,47.81,47.81,46.38,47.0,31.5952480289,2087000
2000-01-21,46.75,46.94,45.06,45.13,30.338160501,2085800
2000-01-24,45.19,45.5,42.31,42.56,28.6105054492,2469000
2000-01-25,43.13,44.44,43.0,44.31,29.7869242588,2815900
2000-01-26,44.19,45.94,43.75,45.13,30.338160501,2446600
2000-01-27,46.0,46.19,44.13,45.0,30.2507693894,2130200
2000-01-28,44.44,45.31,43.44,43.5,29.2424104098,2666600
2000-01-31,43.63,44.94,42.75,44.69,30.0423752003,2555100
2000-02-01,44.94,46.63,44.88,46.0,30.9230087092,2413800
2000-02-02,45.63,47.44,44.94,46.81,31.4675225582,1648300
2000-02-03,49.88,53.5,49.69,52.88,35.5480152291,8402700
2000-02-04,53.06,53.75,51.63,51.69,34.7480504386,5117300
2000-02-07,50.13,50.81,48.25,50.0,33.6119659882,3890300
2000-02-08,50.44,50.5,49.63,50.06,33.6523003474,2552700
2000-02-09,49.81,50.19,49.19,49.19,33.0674521392,1885300
2000-02-10,49.44,49.88,48.38,49.0,32.9397266685,1661100
2000-02-11,48.25,48.94,47.63,48.56,32.6439413678,1272100
2000-02-14,48.63,50.25,48.56,50.13,33.6993570998,1527800
2000-02-15,50.25,50.81,49.69,50.69,34.0758111189,1980500
2000-02-16,49.69,49.69,48.44,49.0,32.9397266685,2851300
2000-02-17,49.19,49.25,41.06,42.13,28.3214425417,5680300
2000-02-18,42.13,43.44,41.06,43.0,28.9062907499,7828000
2000-02-22,43.13,44.88,43.06,44.69,30.0423752003,3167400
2000-02-23,44.19,44.25,42.88,42.94,28.8808801036,3262200
2000-02-24,42.81,42.94,41.56,42.94,28.8808801036,5456300
2000-02-25,44.81,47.69,44.31,46.81,31.483791282,4504800
2000-02-28,46.44,46.94,45.63,46.13,31.0264322119,2128100
2000-02-29,46.56,48.38,46.13,48.31,32.4926715837,2151700
2000-03-01,47.81,47.88,46.25,47.88,32.2034592305,1571800
