Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,68.62,69.19,63.81,65.19,42.9220413792,12030800
2000-01-04,64.0,64.31,57.0,58.5,38.5172483615,8774500
2000-01-05,61.75,63.0,61.0,61.75,40.6570954927,6931400
2000-01-06,61.63,62.0,60.0,60.0,39.5048701143,6603400
2000-01-07,61.75,63.5,60.75,63.5,41.809320871,6201600
2000-01-10,62.0,63.56,62.0,63.19,41.6052123754,5453000
2000-01-11,63.44,63.63,61.25,61.56,40.5319967373,4371500
2000-01-12,61.56,62.06,60.69,61.06,40.2027894864,4599400
2000-01-13,62.13,62.5,61.5,62.13,40.9072930034,4538900
2000-01-14,62.38,62.44,61.19,61.94,40.782194248,4578000
2000-01-18,61.25,61.25,60.13,60.5,39.8340773653,5322000
2000-01-19,60.13,62.44,60.13,61.88,40.7426893779,5176400
2000-01-20,61.56,61.75,59.88,60.81,40.0381858609,7213400
2000-01-21,61.5,61.5,59.44,60.0,39.5048701143,6682900
2000-01-24,60.94,60.94,56.69,58.0,38.1880411105,7339600
2000-01-25,57.0,57.13,54.88,56.13,36.956805992,10252400
2000-01-26,55.94,57.69,55.06,57.38,37.7798241193,8468400
2000-01-27,57.88,59.5,56.19,58.25,38.352644736,6915900
2000-01-28,57.0,57.44,55.5,55.63,36.627598741,7425100
2000-01-31,56.5,56.81,55.06,56.63,37.2860132429,5958600
2000-02-01,56.94,62.0,56.81,62.0,40.8216991181,10950500
2000-02-02,61.0,61.5,59.63,60.75,39.9986809908,5862100
2000-02-03,60.5,60.63,59.0,60.5,39.8340773653,4008800
2000-02-04,61.0,61.5,60.31,61.12,40.2422943565,4063900
2000-02-07,61.0,61.0,59.0,59.0,38.8464556124,3796600
2000-02-08,59.75,61.44,59.56,61.0,40.1632846162,4501700
2000-02-09,61.31,61.31,58.75,58.75,38.681851987,5289700
2000-02-10,59.0,59.94,58.38,59.56,39.2151677335,3644900
2000-02-11,59.5,60.5,59.19,60.06,39.5443749844,4647100
2000-02-14,59.5,60.5,59.44,60.31,39.7089786099,3173900
2000-02-15,60.06,60.19,59.06,59.75,39.3402664889,3531100
2000-02-16,58.75,59.38,55.75,57.25,37.6942302341,6829800
2000-02-17,57.25,57.44,53.56,54.5,35.8835903539,10785700
2000-02-18,54.56,55.81,52.81,53.75,35.3897794774,10402700
2000-02-22,54.13,55.56,53.13,53.63,35.3107697372,8019200
2000-02-23,54.19,55.0,52.88,54.81,36.0876988494,6533700
2000-02-24,54.94,55.19,52.63,53.06,34.9354734711,7763600
2000-02-25,53.5,54.25,52.75,53.0,34.895968601,6155600
2000-02-28,53.75,56.88,52.94,56.81,37.4045278533,8120100
2000-02-29,57.44,58.44,56.81,57.5,37.8588338596,7119900
2000-03-01,57.81,58.31,54.31,55.63,36.627598741,6504000
2000-03-02,55.56,56.25,54.19,55.13,36.2983914901,5352000
2000-03-03,55.5,55.81,54.38,54.5,35.8835903539,5832800
2000-03-06,54.38,54.69,53.13,53.88,35.4753733627,4821800
2000-03-07,55.0,55.0,51.0,52.38,34.5140881899,8491900
2000-03-08,52.31,53.75,51.69,52.5,34.5931582659,6631400
2000-03-09,53.31,55.5,51.75,55.31,36.4447158798,5736400
2000-03-10,55.63,55.81,53.38,53.5,35.2520755662,4456000
2000-03-13,52.63,53.19,51.81,53.0,34.9226169161,4412500
2000-03-14,52.75,53.31,51.88,52.31,34.4679639789,5094600
2000-03-15,52.63,57.25,51.88,57.0,37.5582861173,8097100
2000-03-16,59.0,61.88,58.63,61.5,40.5234139687,12165000
2000-03-17,61.5,64.56,61.5,63.19,41.6369842062,13587500
2000-03-20,63.44,64.13,61.94,63.63,41.9269078183,5350300
2000-03-21,63.63,64.69,61.81,63.5,41.8412485693,5552300
2000-03-22,62.38,63.94,61.13,63.06,41.5513249571,4746500
