Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,83.27,87.38,83.25,87.0,27.3325377277,28855100
2000-01-04,85.44,87.88,82.25,82.94,26.0570193005,25509800
2000-01-05,83.0,85.25,80.5,84.63,26.5879617,26194500
2000-01-06,81.75,83.38,78.19,78.75,24.7406591501,27585600
2000-01-07,77.5,82.0,77.38,82.0,25.7617022262,20548200
2000-01-10,85.75,87.25,84.13,85.75,26.9398288523,26809900
2000-01-11,88.56,92.38,88.28,89.69,28.1776472276,52740900
2000-01-12,90.88,94.75,89.25,91.25,28.6677479041,48663300
2000-01-13,92.69,93.0,89.31,91.06,28.608056155,38052100
2000-01-14,98.44,106.6,98.25,103.1,32.3906280429,92202600
2000-01-18,100.3,105.8,100.3,102.1,32.0764609426,51050300
2000-01-19,101.0,102.1,99.88,100.1,31.4481267419,22784000
2000-01-20,99.75,100.8,95.44,95.63,30.0437998035,35001000
2000-01-21,96.0,98.25,95.63,97.94,30.7695258052,27779100
2000-01-24,102.3,104.9,98.25,98.81,31.0428511825,37416300
2000-01-25,99.38,101.8,97.44,101.6,31.9193773924,25691300
2000-01-26,100.8,101.2,96.38,96.5,30.3171251808,24653100
2000-01-27,99.38,101.1,95.5,98.13,30.8292175543,30741000
2000-01-28,97.25,98.75,93.06,94.0,29.53170743,26961400
2000-01-31,93.63,99.06,92.88,98.94,31.0836929056,34226600
2000-02-01,98.38,101.5,96.63,101.4,31.8565439723,24025700
2000-02-02,101.0,102.94,99.69,100.06,31.4355600579,26040300
2000-02-03,101.7,104.6,100.8,104.2,32.7456368662,28063000
2000-02-04,104.4,108.3,104.3,104.8,32.9341913971,27976900
2000-02-07,104.9,108.1,104.9,107.9,33.9083898068,21405000
2000-02-08,108.8,110.1,108.0,108.8,34.1912216031,19013000
2000-02-09,108.1,108.9,104.5,104.6,32.8713398868,19307600
2000-02-10,104.4,108.1,103.2,107.6,33.8141125413,21769600
2000-02-11,107.3,108.8,105.3,105.9,33.2798747038,18878000
2000-02-14,106.3,109.9,105.6,109.9,34.5369049098,17187100
2000-02-15,109.9,112.9,105.3,112.0,35.1968457679,31385700
2000-02-16,111.4,112.9,107.0,107.2,33.6884095207,23025000
2000-02-17,108.9,112.4,107.9,110.0,34.5683306649,24334800
2000-02-18,110.0,110.5,105.2,105.4,33.122745928,25185000
2000-02-22,104.9,106.8,101.6,106.8,33.5627065001,22896800
2000-02-23,105.3,111.1,104.3,109.1,34.2854988686,20421000
2000-02-24,112.4,116.5,110.3,114.3,35.9196381364,42673900
2000-02-25,113.9,115.4,112.8,113.3,35.6053805849,23149500
2000-02-28,111.6,114.6,108.3,112.4,35.3225487885,23711100
2000-02-29,113.2,115.6,111.3,113.0,35.5111033194,22207100
2000-03-01,112.9,116.9,112.5,115.9,36.4224502188,20406500
2000-03-02,115.4,117.1,114.1,115.8,36.3910244636,18234900
2000-03-03,117.0,119.8,115.6,119.3,37.4909258939,17142500
2000-03-06,118.0,118.9,116.7,117.4,36.893836546,14016000
2000-03-07,117.8,119.6,115.2,115.8,36.3910244636,19962100
2000-03-08,116.1,116.4,112.3,114.9,36.1081926673,23195600
2000-03-09,113.7,118.5,112.0,118.4,37.2080940975,19187900
2000-03-10,117.9,120.6,117.4,120.2,37.7737576902,21748800
2000-03-13,118.8,125.5,118.8,122.1,38.3708470381,33719600
2000-03-14,124.3,125.6,117.8,117.9,37.0509653218,28392500
2000-03-15,119.1,123.1,118.7,120.2,37.7737576902,24447800
2000-03-16,123.3,125.4,119.6,125.1,39.3136196926,27486400
2000-03-17,124.3,130.0,124.0,129.9,40.8220559398,30425500
2000-03-20,129.9,137.4,129.9,135.0,42.4247694524,32581800
2000-03-21,135.0,138.9,134.1,138.4,43.4932451275,25615500
