Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18.56,19.19,18.0,18.0,17.833048194,233800
2000-01-04,17.94,18.13,16.5,17.75,17.585366969,195500
2000-01-05,16.63,17.0,16.5,16.69,16.5351985754,166700
2000-01-06,16.88,17.0,16.69,16.94,16.7828798003,410900
2000-01-07,16.81,18.56,16.75,18.38,18.2095236558,508600
2000-01-10,21.88,22.63,21.0,22.0,21.7959477926,1448400
2000-01-11,22.72,27.13,22.25,25.88,25.6399604033,713300
2000-01-12,27.5,27.81,22.5,22.75,22.5389914674,433600
2000-01-13,24.13,26.5,23.0,25.44,25.2040414475,150300
2000-01-14,25.47,26.5,24.0,25.06,24.8275659856,124900
2000-01-18,23.25,27.94,23.13,27.94,27.6808536966,270800
2000-01-19,27.94,27.94,26.13,26.88,26.630685303,114300
2000-01-20,26.38,27.0,26.25,26.88,26.630685303,276100
2000-01-21,27.25,27.5,26.5,26.88,26.630685303,539600
2000-01-24,26.88,29.94,26.5,28.38,28.1167726525,165500
2000-01-25,28.44,31.38,28.44,30.5,30.2171094398,226400
2000-01-26,31.56,34.0,30.56,31.5,31.2078343394,244600
2000-01-27,32.0,32.25,27.88,28.94,28.6715785963,289100
2000-01-28,26.88,30.38,26.75,30.25,29.9694282148,3695000
2000-01-31,29.75,30.75,28.75,30.31,30.0288717088,972000
2000-02-01,31.97,33.75,31.0,33.13,32.8227159259,675100
2000-02-02,33.94,34.0,32.63,34.0,33.6846465886,974600
2000-02-03,34.06,35.0,34.0,35.0,34.6753714883,889800
2000-02-04,35.0,35.0,33.75,34.5,34.1800090384,465100
2000-02-07,34.75,36.5,34.75,35.38,35.0518469501,770400
2000-02-08,35.5,35.5,33.38,34.63,34.3088032754,176200
2000-02-09,34.31,34.63,31.25,33.75,33.4369653637,660500
2000-02-10,33.88,35.75,33.63,34.75,34.4276902633,333700
2000-02-11,35.25,35.38,34.75,34.88,34.5564845003,650300
2000-02-14,35.25,35.7,34.13,34.88,34.5564845003,253000
2000-02-15,35.0,35.06,33.69,35.06,34.7348149822,183000
2000-02-16,35.13,35.13,32.44,32.44,32.1391157451,99000
2000-02-17,33.0,33.94,31.5,31.63,31.3366285764,425900
2000-02-18,31.78,31.81,27.75,27.75,27.4926159657,387000
2000-02-22,30.0,31.0,29.38,30.13,29.8505412269,832800
2000-02-23,30.31,31.5,30.0,30.88,30.5935849016,691500
2000-02-24,33.0,33.38,32.25,33.25,32.9416029138,437000
2000-02-25,34.13,36.38,34.06,36.0,35.6660963879,698400
2000-02-28,36.5,36.5,35.25,36.0,35.6660963879,621000
2000-02-29,36.81,41.38,36.5,40.5,40.1243584364,422200
2000-03-01,41.0,45.88,41.0,43.38,42.9776461474,321400
2000-03-02,43.25,43.88,42.75,42.88,42.4822836976,402100
2000-03-03,43.5,45.0,42.88,44.13,43.7206898222,195400
2000-03-06,44.25,44.25,42.38,43.25,42.8488519105,222400
2000-03-07,43.81,45.0,43.0,44.75,44.33493926,235100
2000-03-08,45.13,52.0,44.5,48.13,47.6835894208,418000
2000-03-09,49.38,50.0,47.25,47.38,46.9405457461,349400
2000-03-10,48.0,52.0,47.25,49.63,49.1696767703,477600
2000-03-13,49.5,54.75,49.0,53.75,53.251463357,289600
2000-03-14,54.63,54.75,51.88,52.5,52.0130572324,487300
2000-03-15,52.56,52.94,47.75,48.94,48.4860765896,378000
