Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.63,1.63,1.59,1.63,1.63,5200
2000-01-04,1.63,1.63,1.5,1.63,1.63,21400
2000-01-05,1.5,1.5,1.5,1.5,1.5,1700
2000-01-06,1.5,1.5,1.5,1.5,1.5,13300
2000-01-07,1.5,1.72,1.5,1.72,1.72,10400
2000-01-10,1.5,1.81,1.44,1.44,1.44,14100
2000-01-11,1.66,1.66,1.5,1.5,1.5,700
2000-01-12,1.66,1.66,1.5,1.5,1.5,3000
2000-01-13,1.66,1.94,1.66,1.81,1.81,22400
2000-01-14,1.75,2.38,1.75,2.28,2.28,30400
2000-01-18,2.25,2.31,1.88,2.12,2.12,35300
2000-01-19,1.97,2.12,1.88,2.0,2.0,6900
2000-01-20,1.88,2.28,1.88,2.25,2.25,51600
2000-01-21,2.14,5.0,2.14,2.87,2.87,174200
2000-01-24,4.36,4.37,2.81,3.38,3.38,147700
2000-01-25,3.44,3.44,3.0,3.0,3.0,80900
2000-01-26,3.0,3.5,3.0,3.25,3.25,85500
2000-01-27,3.5,3.81,3.25,3.5,3.5,134200
2000-01-28,3.41,3.62,3.0,3.5,3.5,48600
2000-01-31,3.19,3.53,3.19,3.53,3.53,51500
2000-02-01,3.5,4.63,3.38,4.63,4.63,524900
2000-02-02,5.0,5.12,4.25,4.25,4.25,202800
2000-02-03,4.47,4.63,4.31,4.44,4.44,56600
2000-02-04,4.875,5.188,4.063,4.875,4.875,199000
2000-02-07,4.844,4.875,4.406,4.625,4.625,125200
2000-02-08,4.469,4.969,4.25,4.938,4.938,412700
2000-02-09,4.828,4.969,4.406,4.75,4.75,225600
2000-02-10,4.75,4.75,4.406,4.625,4.625,163500
2000-02-11,4.656,5.188,4.531,5.125,5.125,538100
2000-02-14,5.25,5.563,5.0,5.375,5.375,690400
2000-02-15,5.297,5.5,5.0,5.375,5.375,224600
2000-02-16,5.406,5.5,5.063,5.313,5.313,354200
2000-02-17,5.375,7.563,5.313,7.5,7.5,1495300
2000-02-18,7.875,7.938,6.125,7.125,7.125,282400
2000-02-22,8.969,9.25,7.25,7.5,7.5,265800
2000-02-23,7.844,7.875,6.25,7.25,7.25,254100
2000-02-24,7.125,7.125,6.25,6.688,6.688,134400
2000-02-25,6.688,7.063,6.625,6.75,6.75,95800
2000-02-28,6.844,6.844,5.625,6.031,6.031,179300
2000-02-29,6.0,7.125,5.313,7.0,7.0,241900
2000-03-01,7.0,7.125,6.5,7.0,7.0,116600
2000-03-02,7.063,7.125,6.25,6.625,6.625,120100
2000-03-03,6.969,8.188,6.938,7.5,7.5,566100
2000-03-06,7.688,11.25,7.0,9.375,9.375,1407200
2000-03-07,9.375,9.5,8.188,8.813,8.813,374500
2000-03-08,9.188,9.5,8.375,8.875,8.875,268300
2000-03-09,9.188,9.25,8.75,9.188,9.188,124700
2000-03-10,9.063,9.188,8.25,8.688,8.688,90300
2000-03-13,8.75,8.875,7.375,8.313,8.313,72000
2000-03-14,8.25,8.25,6.5,7.25,7.25,127800
