Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,68.38,69.0,65.5,66.81,45.6316001039,8369900
2000-01-04,65.5,65.81,64.19,64.31,43.9240862548,6745100
2000-01-05,63.88,64.38,62.19,62.81,42.8995779453,7018700
2000-01-06,63.0,64.56,62.69,63.69,43.5006228202,6544500
2000-01-07,64.5,68.94,64.5,68.5,46.7858794659,7976900
2000-01-10,67.25,67.5,65.63,67.25,45.9321225413,6714300
2000-01-11,67.06,67.75,65.63,66.25,45.2491170017,4943300
2000-01-12,66.19,66.75,65.06,65.06,44.4363404095,4085000
2000-01-13,66.0,66.13,65.0,65.13,44.4841507973,5021000
2000-01-14,64.0,65.94,64.0,64.5,44.0538573073,6312200
2000-01-18,63.19,66.44,63.06,65.56,44.7778431793,6442200
2000-01-19,65.25,65.81,64.0,64.06,43.7533348699,4819900
2000-01-20,64.44,64.5,62.5,63.38,43.2888911029,5738100
2000-01-21,63.94,63.94,62.06,62.44,42.6468658956,6952500
2000-01-24,63.44,63.44,57.5,59.38,40.5568689443,7799900
2000-01-25,59.81,61.19,59.5,61.13,41.7521286387,6403800
2000-01-26,61.13,62.06,60.0,61.94,42.3053631258,4538400
2000-01-27,61.31,61.5,57.88,59.13,40.3861175594,7323300
2000-01-28,58.88,58.88,53.5,55.13,37.6540954008,14029400
2000-01-31,54.56,55.5,54.13,54.75,37.3945532957,7972700
2000-02-01,55.0,59.5,54.94,58.69,40.085595122,8359000
2000-02-02,58.88,59.69,57.94,58.38,39.8738634047,6034600
2000-02-03,58.38,58.81,56.25,58.38,39.8738634047,6999000
2000-02-04,57.94,57.94,56.0,56.31,38.4600419376,6549700
2000-02-07,56.63,56.63,54.63,55.75,38.0775588354,6043700
2000-02-08,57.31,59.69,56.88,59.5,40.6388296091,8576100
2000-02-09,60.0,60.13,57.31,57.81,39.4845502471,8216600
2000-02-10,57.63,58.38,56.81,57.0,38.93131576,4591600
2000-02-11,57.44,57.5,55.63,56.06,38.2892905527,4816700
2000-02-14,56.69,58.88,56.5,58.88,40.2153661745,5803600
2000-02-15,56.94,58.0,55.0,58.0,39.6143212996,9712100
2000-02-16,56.5,56.5,52.69,52.75,36.0285422164,13585800
2000-02-17,52.94,53.5,48.0,48.38,33.0438080082,24766700
2000-02-18,48.5,49.5,47.25,47.75,32.6135145182,19394400
2000-02-22,49.25,49.31,46.75,48.13,32.8730566233,12342600
2000-02-23,48.44,48.5,46.75,47.0,32.1012603635,12874400
2000-02-24,47.0,47.88,43.44,47.88,32.7023052384,19431900
2000-02-25,44.31,45.31,43.63,44.5,30.3937465143,16908500
2000-02-28,44.56,46.94,44.56,46.19,31.5480258764,17836100
2000-02-29,47.94,49.75,47.94,48.75,33.2965200579,17197200
2000-03-01,49.88,50.0,47.5,49.0,33.4672714428,10165800
