Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,6.760000,6.837500,6.542500,6.620000,5.091862,2855200
2008-01-03,6.617500,6.622500,6.400000,6.430000,4.945722,1880800
2008-01-04,6.357500,6.377500,6.017500,6.082500,4.678437,4263200
2008-01-07,6.085000,6.187500,5.867500,5.947500,4.574600,3812400
2008-01-08,5.917500,6.185000,5.877500,6.032500,4.639979,3217200
2008-01-09,6.025000,6.145000,5.832500,6.077500,4.674592,3358000
2008-01-10,6.045000,6.167500,5.920000,6.110000,4.699589,2869200
2008-01-11,6.120000,6.120000,5.837500,5.900000,4.538065,1993600
2008-01-14,5.990000,5.990000,5.762500,5.875000,4.518836,4109200
2008-01-15,5.787500,5.837500,5.670000,5.790000,4.453457,3923600
2008-01-16,5.737500,5.782500,5.660000,5.672500,4.363081,2992400
2008-01-17,5.685000,5.752500,5.385000,5.432500,4.178482,5186000
2008-01-18,5.442500,5.735000,5.442500,5.622500,4.324623,2964800
2008-01-22,5.385000,5.802500,5.367500,5.730000,4.407307,3747600
2008-01-23,5.560000,5.840000,5.560000,5.775000,4.441920,7209200
2008-01-24,5.812500,5.987500,5.777500,5.945000,4.572678,4068800
2008-01-25,5.965000,6.000000,5.790000,5.862500,4.509222,2952800
2008-01-28,5.840000,5.935000,5.707500,5.932500,4.563062,2009200
2008-01-29,5.997500,6.237500,5.940000,6.202500,4.770737,2992400
2008-01-30,6.175000,6.390000,6.082500,6.190000,4.761122,2672000
2008-01-31,6.322500,6.700000,5.635000,6.402500,4.924572,10846800
2008-02-01,6.360000,6.437500,6.257500,6.402500,4.924572,3680400
2008-02-04,6.385000,6.402500,6.182500,6.275000,4.826501,2820800
2008-02-05,6.160000,6.165000,5.870000,5.887500,4.528450,2106800
2008-02-06,5.907500,6.260000,5.875000,6.057500,4.659209,3943200
2008-02-07,6.010000,6.360000,5.977500,6.325000,4.864961,3385600
2008-02-08,6.307500,6.507500,6.182500,6.430000,4.945722,2628800
2008-02-11,6.387500,6.455000,6.252500,6.365000,4.895726,2546800
2008-02-12,6.367500,6.452500,6.070000,6.265000,4.818810,3832400
2008-02-13,6.305000,6.425000,6.187500,6.395000,4.918800,5563200
2008-02-14,6.415000,6.475000,6.285000,6.417500,4.936107,2982400
2008-02-15,6.380000,6.520000,6.270000,6.445000,4.957259,2626800
2008-02-19,6.500000,7.015000,6.477500,6.775000,5.211083,5950000
2008-02-20,6.757500,6.925000,6.705000,6.912500,5.316844,4153600
2008-02-21,6.965000,7.292500,6.955000,7.150000,5.499520,5982000
2008-02-22,7.185000,7.367500,7.110000,7.367500,5.666813,5051600
2008-02-25,7.255000,7.335000,7.147500,7.272500,5.593742,4898800
2008-02-26,7.217500,7.462500,7.205000,7.425000,5.711040,2902800
2008-02-27,7.350000,7.517500,7.350000,7.482500,5.755266,3181200
2008-02-28,7.475000,7.500000,7.260000,7.330000,5.637969,2566000
2008-02-29,7.240000,7.327500,7.200000,7.275000,5.595665,4468000
2008-03-03,7.262500,7.352500,7.157500,7.352500,5.655276,8227600
2008-03-04,7.292500,7.292500,6.822500,6.945000,5.341841,7502800
2008-03-05,7.010000,7.190000,6.950000,7.070000,5.437986,6126400
2008-03-06,7.060000,7.127500,6.812500,6.867500,5.282230,4111200
2008-03-07,6.820000,6.862500,6.567500,6.677500,5.136091,5059600
2008-03-10,6.675000,6.772500,6.515000,6.585000,5.064942,2839200
2008-03-11,6.670000,6.725000,6.297500,6.550000,5.038022,4236400
2008-03-12,6.550000,7.000000,6.550000,6.852500,5.270693,5291200
2008-03-13,6.757500,6.927500,6.687500,6.812500,5.239927,5176400
2008-03-14,6.857500,6.875000,6.615000,6.712500,5.163011,3279200
2008-03-17,6.622500,6.720000,6.377500,6.515000,5.011100,4406400
2008-03-18,6.610000,6.887500,6.567500,6.877500,5.289922,3476000
2008-03-19,6.865000,6.992500,6.862500,6.895000,5.303383,3133600
2008-03-20,6.955000,7.437500,6.932500,7.257500,5.582205,7780400
2008-03-24,7.267500,7.600000,7.267500,7.485000,5.757189,4387600
2008-03-25,7.485000,7.555000,7.330000,7.377500,5.674504,3510000
2008-03-26,7.357500,7.362500,7.162500,7.235000,5.564899,3591600
2008-03-27,7.265000,7.285000,7.022500,7.102500,5.462985,4323600
2008-03-28,7.125000,7.125000,6.870000,7.045000,5.418758,3345200
2008-03-31,7.072500,7.372500,7.072500,7.300000,5.614894,5404000
2008-04-01,7.370000,7.562500,7.360000,7.542500,5.801417,4444000
2008-04-02,7.547500,7.782500,7.455000,7.582500,5.832182,3226800
2008-04-03,7.520000,7.630000,7.345000,7.542500,5.801417,3940800
2008-04-04,7.485000,7.642500,7.405000,7.590000,5.837951,3952800
2008-04-07,7.657500,7.667500,7.560000,7.560000,5.814878,1832800
2008-04-08,7.522500,7.615000,7.442500,7.577500,5.828337,3026000
2008-04-09,7.602500,7.687500,7.492500,7.567500,5.820646,5748400
2008-04-10,7.552500,7.787500,7.450000,7.727500,5.943711,4785600
2008-04-11,7.642500,7.787500,7.562500,7.650000,5.884101,3836800
2008-04-14,7.662500,7.995000,7.662500,7.952500,6.116773,14133200
2008-04-15,7.972500,8.335000,7.830000,7.962500,6.124465,11539600
2008-04-16,8.035000,8.350000,8.015000,8.345000,6.418671,7805200
2008-04-17,8.325000,8.772500,8.322500,8.542500,6.570580,8726400
2008-04-18,8.625000,8.807500,8.385000,8.385000,6.449437,6629200
2008-04-21,8.020000,8.427500,7.805000,8.142500,6.262914,14747600
2008-04-22,8.142500,8.370000,8.072500,8.207500,6.312909,6557600
