Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,35.639999,36.209999,35.410000,36.180000,29.321819,4389300
2016-01-05,36.279999,36.430000,35.700001,36.119999,29.273193,3384500
2016-01-06,35.450001,35.650002,34.950001,35.200001,28.527590,2744300
2016-01-07,34.360001,34.959999,33.900002,34.070000,27.611782,5317900
2016-01-08,34.209999,34.490002,33.540001,33.650002,27.271402,5394300
2016-01-11,33.660000,34.000000,32.959999,33.500000,27.149837,5795600
2016-01-12,33.619999,34.509998,33.369999,34.000000,27.555056,5371400
2016-01-13,34.209999,34.380001,32.939999,32.980000,26.728403,5367100
2016-01-14,33.090000,33.560001,32.389999,33.369999,27.044472,5260300
2016-01-15,32.340000,32.810001,31.969999,32.610001,26.428541,5297700
2016-01-19,33.169998,33.540001,32.570000,33.049999,26.785133,5794800
2016-01-20,32.380001,33.340000,31.870001,32.910000,26.671673,6159500
2016-01-21,32.980000,34.340000,32.820000,33.209999,26.914803,4213800
2016-01-22,33.970001,34.500000,33.720001,34.040001,27.587475,4569600
2016-01-25,33.790001,34.000000,32.490002,32.529999,26.363703,4352200
2016-01-26,32.669998,33.410000,32.549999,33.369999,27.044472,3870700
2016-01-27,33.259998,34.209999,32.919998,33.209999,26.914803,4325200
2016-01-28,33.820000,34.110001,33.110001,33.310001,26.995848,3656100
2016-01-29,33.700001,34.660000,33.509998,34.660000,28.089945,5328800
2016-02-01,34.250000,34.330002,33.200001,33.689999,27.303816,5590900
2016-02-02,33.090000,33.090000,32.200001,32.240002,26.128675,7069100
2016-02-03,32.720001,33.369999,31.170000,32.759998,26.550108,6163500
2016-02-04,32.290001,33.889999,32.020000,33.790001,27.384865,5184100
2016-02-05,33.549999,34.220001,33.419998,33.709999,27.320026,3813700
2016-02-08,33.220001,33.240002,32.020000,32.459999,26.306974,6520800
2016-02-09,31.639999,32.650002,31.590000,32.090000,26.007109,4843600
2016-02-10,32.500000,33.419998,32.430000,32.450001,26.298872,3547000
2016-02-11,31.540001,32.029999,31.000000,31.450001,25.488424,4846500
2016-02-12,32.080002,32.720001,31.600000,32.320000,26.193508,5505600
2016-02-16,32.970001,33.990002,32.860001,33.849998,27.433487,4159800
2016-02-17,34.279999,34.619999,34.119999,34.259998,27.765772,3462000
2016-02-18,34.529999,34.820000,34.180000,34.660000,28.089945,3564400
2016-02-19,34.430000,34.590000,33.779999,34.080002,27.619894,3214200
2016-02-22,34.759998,35.279999,34.709999,35.009998,28.373598,3029700
2016-02-23,34.980000,35.389999,34.700001,34.939999,28.316864,3893100
2016-02-24,34.189999,34.919998,33.730000,34.759998,28.170994,2963800
2016-02-25,34.770000,35.830002,34.459999,35.730000,28.957125,4113500
2016-02-26,36.130001,36.680000,35.740002,36.150002,29.297504,3697800
2016-02-29,36.049999,36.669998,35.830002,35.849998,29.054369,3416600
2016-03-01,36.369999,36.970001,36.169998,36.919998,29.921545,3088400
