Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,39.007999,39.160000,38.004002,38.883999,35.268887,3212700
2016-01-05,38.832001,39.023998,38.484001,38.903999,35.287033,2395500
2016-01-06,38.459999,38.816002,38.015999,38.152000,34.604950,3235000
2016-01-07,37.728001,38.192001,37.240002,37.344002,33.872070,2719700
2016-01-08,37.512001,37.911999,37.112000,37.212002,33.752346,1939700
2016-01-11,37.568001,37.708000,37.139999,37.560001,34.067989,1345000
2016-01-12,37.824001,38.023998,37.419998,37.827999,34.311069,1079700
2016-01-13,37.875999,37.976002,36.515999,36.604000,33.200874,1331000
2016-01-14,36.400002,37.391998,36.007999,37.096001,33.647133,1370000
2016-01-15,36.616001,37.287998,36.032001,36.799999,33.378654,1874000
2016-01-19,37.271999,37.271999,36.708000,37.051998,33.607220,1464700
2016-01-20,36.647999,37.035999,36.051998,36.736000,33.320599,1595700
2016-01-21,36.632000,36.956001,36.099998,36.240002,32.870716,1590200
2016-01-22,36.807999,37.015999,36.480000,36.875999,33.447582,932200
2016-01-25,36.852001,37.284000,36.563999,36.855999,33.429436,1458500
2016-01-26,37.040001,37.896000,37.040001,37.495998,34.009933,1543200
2016-01-27,37.340000,37.807999,36.840000,37.099998,33.650753,1105700
2016-01-28,37.203999,38.048000,37.203999,37.924000,34.398148,1873500
2016-01-29,38.307999,39.164001,37.428001,39.136002,35.497478,2499500
2016-02-01,38.807999,39.023998,38.144001,38.512001,34.931480,1940000
2016-02-02,38.119999,38.528000,38.007999,38.324001,34.760956,1547000
2016-02-03,38.523998,38.896000,38.096001,38.528000,34.945995,1683200
2016-02-04,38.680000,38.928001,38.136002,38.504002,34.924229,2177000
2016-02-05,38.312000,38.759998,37.855999,38.563999,34.978653,2073700
2016-02-08,38.200001,38.271999,37.431999,37.728001,34.220375,2421200
2016-02-09,37.599998,38.688000,37.560001,38.344002,34.779106,2465200
2016-02-10,38.528000,38.720001,37.952000,38.112000,34.568676,1907500
2016-02-11,37.624001,38.403999,37.543999,38.231998,34.677517,2235200
2016-02-12,38.771999,38.964001,38.271999,38.807999,35.199959,1430000
2016-02-16,39.099998,39.411999,38.880001,39.287998,35.635338,1926000
2016-02-17,39.484001,40.124001,39.307999,39.936001,36.223087,1517200
2016-02-18,39.840000,40.515999,39.680000,40.476002,36.712887,2728700
2016-02-19,40.543999,40.916000,40.112000,40.804001,37.010399,2027500
2016-02-22,40.959999,41.271999,40.908001,41.112000,37.289757,1375200
2016-02-23,41.080002,41.223999,40.616001,41.104000,37.282494,1492200
2016-02-24,40.872002,41.091999,40.484001,40.944000,37.137371,1092700
2016-02-25,41.104000,41.368000,40.580002,41.355999,37.511074,1081500
2016-02-26,40.804001,41.084000,39.956001,40.043999,36.321045,1942200
2016-02-29,39.784000,40.203999,39.375999,39.388000,35.726044,2602700
2016-03-01,39.863998,39.911999,38.924000,39.063999,35.432159,2959700
2016-03-02,37.891998,38.504002,36.872002,38.476002,34.898834,4332500
2016-03-03,38.400002,38.827999,37.928001,38.743999,35.141914,2993200
2016-03-04,38.180000,39.243999,37.759998,39.208000,35.562767,3259500
2016-03-07,38.743999,39.248001,38.644001,39.012001,35.694523,2107500
2016-03-08,38.827999,39.476002,38.751999,39.200001,35.866547,1546500
2016-03-09,39.203999,39.495998,38.784000,38.931999,35.621334,911200
2016-03-10,39.116001,39.391998,38.816002,39.012001,35.694523,1268000
2016-03-11,39.271999,39.327999,39.007999,39.155998,35.826279,1595000
2016-03-14,38.944000,39.500000,38.891998,38.959999,35.646950,1621000
2016-03-15,38.751999,39.080002,38.287998,38.307999,35.050400,2927500
2016-03-16,38.240002,38.380001,37.723999,38.132000,34.889362,1491000
2016-03-17,38.200001,39.248001,37.964001,39.132000,35.804329,1937700
2016-03-18,39.160000,39.287998,39.060001,39.080002,35.756741,2593700
2016-03-21,39.015999,39.251999,38.948002,39.088001,35.764072,1153500
2016-03-22,38.936001,39.299999,38.799999,39.007999,35.690872,1674000
2016-03-23,39.007999,39.127998,38.599998,38.647999,35.361488,955500
2016-03-24,38.540001,38.896000,38.419998,38.599998,35.317566,848700
2016-03-28,38.796001,38.872002,38.515999,38.616001,35.332195,543000
2016-03-29,38.664001,39.411999,38.504002,39.391998,36.042213,1297200
2016-03-30,39.411999,39.728001,39.236000,39.411999,36.060509,991000
2016-03-31,39.264000,39.591999,39.256001,39.388000,36.038555,1281700
2016-04-01,39.200001,39.703999,39.015999,39.667999,36.294754,1265200
2016-04-04,39.608002,39.916000,39.040001,39.324001,35.980007,1710200
2016-04-05,39.172001,39.543999,39.051998,39.264000,35.925102,1994000
2016-04-06,39.307999,39.355999,38.976002,39.276001,35.936081,1136200
2016-04-07,39.032001,39.096001,38.084000,38.220001,34.969879,1892700
2016-04-08,38.352001,38.540001,38.256001,38.495998,35.222404,1026500
2016-04-11,38.692001,38.860001,38.000000,38.023998,34.790535,1457200
2016-04-12,38.155998,38.492001,38.012001,38.403999,35.138241,1314500
2016-04-13,38.644001,38.716000,37.731998,38.015999,34.783226,1057700
2016-04-14,38.000000,38.419998,37.840000,38.091999,34.852764,1714000
2016-04-15,38.164001,38.428001,37.976002,38.243999,34.991840,1284700
