Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,115.019997,115.410004,112.519997,113.730003,103.167793,3094500
2016-01-05,114.230003,115.410004,113.769997,114.879997,104.210991,2743300
2016-01-06,113.739998,113.839996,112.230003,112.739998,102.269714,2288200
2016-01-07,110.660004,112.910004,110.410004,111.580002,101.217461,3919600
2016-01-08,112.199997,112.379997,109.720001,109.959999,99.747917,2271500
2016-01-11,110.290001,110.790001,108.930000,110.290001,100.047256,2454900
2016-01-12,111.029999,112.360001,110.059998,112.099998,101.689163,2913200
2016-01-13,113.260002,113.730003,109.949997,110.059998,99.838615,4265200
2016-01-14,110.440002,112.349998,109.809998,111.019997,100.709457,13089100
2016-01-15,111.019997,111.019997,111.019997,111.019997,100.709457,6885700
2016-01-19,110.959999,111.680000,109.050003,110.870003,100.573402,5347900
2016-01-20,110.000000,111.599998,108.190002,110.690002,100.410110,6027400
2016-01-21,110.190002,111.099998,108.190002,109.430000,99.267120,3970800
2016-01-22,109.699997,110.970001,109.480003,110.040001,99.820496,2296000
2016-01-25,109.949997,109.989998,107.820000,108.000000,97.969948,2985000
2016-01-26,108.510002,109.760002,108.000000,108.580002,98.496071,2669500
2016-01-27,108.150002,109.910004,107.070000,108.099998,98.060638,3433200
2016-01-28,108.550003,109.839996,108.419998,109.519997,99.348763,3313800
2016-01-29,110.180000,113.169998,110.000000,113.070000,102.569069,4205800
2016-02-01,112.269997,113.720001,111.830002,113.279999,102.759567,2824100
2016-02-02,112.050003,113.010002,111.900002,112.470001,102.024811,2200000
2016-02-03,113.180000,113.209999,110.570000,112.830002,102.351379,2110100
2016-02-04,112.260002,113.379997,111.580002,113.220001,102.705147,2777300
2016-02-05,113.000000,113.339996,111.779999,112.250000,101.825241,2718400
2016-02-08,111.629997,111.629997,107.940002,108.889999,98.777267,4743000
2016-02-09,106.820000,111.230003,106.820000,110.580002,100.310318,2312300
2016-02-10,111.809998,112.269997,110.620003,111.690002,101.317238,2431700
2016-02-11,109.699997,111.470001,109.360001,110.839996,100.546158,2159700
2016-02-12,112.000000,114.360001,111.699997,114.309998,103.693909,1884200
2016-02-16,115.239998,116.440002,114.019997,115.669998,104.927612,2931800
2016-02-17,116.239998,117.370003,115.709999,116.910004,106.052444,1864900
2016-02-18,116.910004,117.470001,115.830002,116.360001,105.553543,2208000
2016-02-19,115.690002,116.519997,115.070000,115.669998,104.927612,2102400
2016-02-22,116.830002,117.680000,116.129997,117.089996,106.215736,1281500
2016-02-23,116.629997,116.739998,115.489998,115.699997,104.954811,1316800
2016-02-24,114.580002,116.500000,114.580002,116.180000,105.390259,1312100
2016-02-25,116.730003,118.440002,116.529999,118.389999,107.394989,2264600
2016-02-26,119.239998,119.860001,117.480003,117.510002,106.596733,1671200
2016-02-29,117.000000,117.629997,115.480003,115.529999,104.800613,1842700
2016-03-01,116.000000,117.709999,115.300003,117.709999,106.778168,1833200
2016-03-02,117.110001,118.449997,116.930000,118.360001,107.367790,1251600
2016-03-03,118.500000,118.500000,117.040001,117.839996,106.896095,1484000
2016-03-04,117.660004,117.709999,115.830002,117.180000,106.297379,1851700
2016-03-07,116.510002,117.370003,115.599998,117.349998,106.451584,1866900
2016-03-08,116.449997,117.720001,116.250000,116.279999,105.480972,1273900
2016-03-09,117.000000,117.809998,116.449997,117.779999,106.841652,1438700
2016-03-10,117.970001,118.839996,116.690002,117.599998,106.678375,1689900
2016-03-11,118.750000,119.989998,118.029999,119.949997,108.810112,1322700
2016-03-14,119.279999,120.550003,118.800003,119.739998,108.619629,2149900
2016-03-15,118.360001,120.000000,115.500000,119.500000,108.401924,1479000
2016-03-16,119.000000,119.930000,118.720001,119.449997,108.356552,1719900
2016-03-17,119.500000,121.489998,119.080002,120.989998,109.753540,1745800
2016-03-18,121.279999,122.540001,120.720001,122.470001,111.096100,3715700
2016-03-21,121.959999,122.269997,120.839996,121.389999,110.116386,1441600
2016-03-22,121.110001,121.190002,120.000000,120.120003,108.964340,1678700
2016-03-23,120.099998,120.230003,118.980003,119.580002,108.474495,1977200
2016-03-24,119.309998,119.989998,118.489998,119.610001,108.501701,1303800
2016-03-28,119.610001,119.989998,118.970001,119.220001,108.147919,1305200
2016-03-29,118.550003,119.480003,117.949997,119.419998,108.941582,955700
2016-03-30,119.910004,120.330002,119.339996,119.739998,109.233513,1122900
2016-03-31,119.570000,120.010002,119.150002,119.150002,108.695290,1511900
2016-04-01,118.739998,121.029999,118.449997,120.849998,110.246101,1500700
2016-04-04,123.000000,123.139999,120.300003,120.589996,110.008919,2243700
2016-04-05,119.989998,120.000000,117.610001,117.949997,107.600586,1927000
2016-04-06,117.989998,119.320000,117.540001,119.190002,108.731781,1840700
2016-04-07,118.320000,118.769997,117.230003,117.629997,107.308655,1388400
2016-04-08,118.510002,119.279999,118.150002,118.809998,108.385109,1455800
2016-04-11,118.830002,120.089996,118.570000,118.570000,108.166168,2328900
2016-04-12,118.440002,119.730003,117.879997,119.430000,108.950714,1504300
2016-04-13,120.129997,120.680000,119.160004,120.510002,109.935959,1529000
2016-04-14,120.489998,121.470001,120.070000,120.339996,109.780846,1525400
2016-04-15,120.739998,121.430000,120.279999,120.559998,109.981552,1575000
2016-04-18,120.550003,122.019997,120.059998,122.019997,111.313446,1479300
2016-04-19,122.610001,123.169998,121.779999,122.019997,111.313446,1308400
2016-04-20,122.230003,122.760002,121.449997,122.589996,111.833443,1565900
2016-04-21,121.959999,122.540001,117.879997,118.070000,107.710045,3110200
2016-04-22,118.379997,119.449997,118.230003,119.300003,108.832115,1618400
2016-04-25,119.500000,119.500000,118.269997,119.050003,108.604050,1266600
2016-04-26,119.309998,119.760002,118.540001,118.760002,108.339500,1347300
2016-04-27,118.919998,119.160004,117.580002,118.400002,108.011086,1477700
2016-04-28,117.459999,118.309998,116.820000,117.190002,106.907249,1810900
2016-04-29,117.000000,117.959999,116.650002,117.860001,107.518463,2016200
2016-05-02,117.529999,119.430000,116.970001,118.949997,108.512825,1826900
2016-05-03,118.010002,118.620003,117.559998,118.260002,107.883385,1484800
2016-05-04,117.690002,118.669998,116.889999,117.820000,107.481964,1789600
2016-05-05,119.629997,122.620003,119.480003,122.459999,111.714836,3177400
2016-05-06,121.599998,122.629997,120.949997,122.349998,111.614487,1929700
2016-05-09,121.800003,123.050003,121.500000,122.900002,112.116226,1243500
2016-05-10,123.239998,125.279999,122.900002,125.220001,114.232681,1636200
2016-05-11,124.680000,125.029999,123.570000,123.760002,112.900780,1733600
2016-05-12,124.029999,125.820000,123.919998,125.379997,114.378639,1725300
2016-05-13,124.980003,125.839996,124.660004,125.120003,114.141449,1510200
2016-05-16,124.910004,125.769997,124.639999,125.290001,114.296524,1246100
2016-05-17,125.089996,125.410004,123.660004,124.059998,113.174454,1348900
2016-05-18,123.790001,126.059998,123.209999,125.620003,114.597565,1637500
2016-05-19,124.940002,125.050003,124.080002,124.849998,113.895126,954500
2016-05-20,125.529999,126.629997,125.000000,125.750000,114.716179,1291000
2016-05-23,125.430000,126.180000,125.000000,125.879997,114.834770,1286500
2016-05-24,126.250000,128.059998,126.050003,127.059998,115.911217,1668800
2016-05-25,127.430000,128.139999,126.889999,127.169998,116.011574,1761100
2016-05-26,127.599998,127.760002,126.059998,126.370003,115.281761,1062200
2016-05-27,126.599998,127.279999,126.279999,127.220001,116.057190,1240600
2016-05-31,127.419998,127.599998,126.000000,126.610001,115.500702,1740400
2016-06-01,126.110001,127.470001,125.519997,127.330002,116.157532,1286200
