Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,6.525000,7.241667,6.416667,7.141667,7.131766,11055300
2016-01-05,7.091667,7.216667,6.716667,7.108333,7.098478,9345400
2016-01-06,6.766667,6.875000,6.241667,6.316667,6.307909,15549600
2016-01-07,6.083333,6.216667,5.958333,6.058333,6.049934,9023200
2016-01-08,6.108333,6.550000,6.083333,6.408333,6.399449,14772300
2016-01-11,6.316667,6.433333,5.608333,5.833333,5.825246,14731400
2016-01-12,5.925000,5.933333,5.258333,5.583333,5.575593,12710600
2016-01-13,5.641667,5.708333,4.808333,5.041667,5.034677,15466800
2016-01-14,5.025000,5.075000,4.608333,4.683333,4.676840,18808600
2016-01-15,4.425000,4.458333,4.066667,4.158333,4.152568,17532300
2016-01-19,4.225000,4.566667,4.108333,4.291667,4.285717,13916000
2016-01-20,3.966667,4.350000,3.783333,4.225000,4.219142,10678500
2016-01-21,4.200000,5.250000,4.175000,5.033333,5.026355,14402500
2016-01-22,5.183333,5.625000,4.758333,5.133333,5.126216,15594200
2016-01-25,4.916667,5.233333,4.750000,4.766667,4.760058,7802800
2016-01-26,4.883333,5.316667,4.625000,5.208333,5.201113,8776600
2016-01-27,5.158333,5.916667,5.033333,5.600000,5.592236,12059400
2016-01-28,5.925000,5.925000,5.416667,5.625000,5.617201,10479300
2016-01-29,5.958333,7.150000,5.891667,6.616667,6.607493,25970500
2016-02-01,6.366667,7.208333,6.233333,6.991667,6.981974,16435000
2016-02-02,6.633333,6.741667,6.391667,6.508333,6.499310,11865900
2016-02-03,6.641667,7.241667,6.216667,7.066667,7.056870,12927600
2016-02-04,7.166667,7.991667,7.058333,7.341667,7.331488,15689000
2016-02-05,7.166667,8.108334,7.133333,7.583333,7.572820,13885900
2016-02-08,7.400000,7.600000,6.883333,7.125000,7.115122,13014000
2016-02-09,7.083333,7.258333,6.058333,6.275000,6.266300,14320800
2016-02-10,6.833333,6.833333,5.983333,6.008333,6.000003,12927700
2016-02-11,5.783333,6.141667,5.600000,6.116667,6.116667,10133700
2016-02-12,6.291667,6.533333,5.950000,6.491667,6.491667,9057400
2016-02-16,6.591667,6.658333,6.175000,6.575000,6.575000,7511400
2016-02-17,6.666667,7.575000,6.633333,7.391667,7.391667,11171800
2016-02-18,7.516667,7.700000,6.850000,7.025000,7.025000,10691500
2016-02-19,6.900000,7.141667,6.416667,6.558333,6.558333,8204100
2016-02-22,6.758333,7.316667,6.708333,7.250000,7.250000,10006300
