Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,58.570000,59.070000,58.240002,58.950001,50.157097,2998000
2016-01-05,59.080002,59.209999,58.009998,58.970001,50.174114,2534600
2016-01-06,58.660000,58.770000,58.000000,58.580002,49.842289,3351600
2016-01-07,58.029999,58.630001,57.970001,58.290001,49.595547,2960700
2016-01-08,58.330002,58.700001,58.180000,58.279999,49.587029,2360400
2016-01-11,58.459999,59.360001,58.270000,59.200001,50.369804,4396200
2016-01-12,59.279999,59.570000,58.340000,59.400002,50.539986,2221700
2016-01-13,59.900002,60.200001,59.240002,59.380001,50.522961,1806300
2016-01-14,59.450001,60.060001,58.889999,59.549999,50.667603,2109700
2016-01-15,58.700001,59.480000,58.590000,59.119999,50.301746,2988300
2016-01-19,59.450001,60.310001,59.080002,60.119999,51.152580,3264700
2016-01-20,59.770000,60.180000,58.240002,59.009998,50.208149,3095800
2016-01-21,59.029999,59.490002,58.480000,58.720001,49.961411,2045600
2016-01-22,58.830002,59.880001,58.450001,59.730000,50.820755,2022400
2016-01-25,59.799999,60.009998,59.209999,59.919998,50.982418,2124900
2016-01-26,60.299999,61.310001,60.230000,60.700001,51.646072,2813200
2016-01-27,60.900002,61.169998,60.049999,60.500000,51.475903,1402600
2016-01-28,60.330002,62.110001,60.009998,61.560001,52.377796,1894900
2016-01-29,62.070000,62.340000,61.480000,61.799999,52.581997,4771200
2016-02-01,61.810001,62.470001,61.490002,62.230000,52.947865,3546900
2016-02-02,62.009998,62.810001,61.680000,62.720001,53.364769,3614900
2016-02-03,62.910000,64.480003,62.770000,64.070000,54.513409,3935700
2016-02-04,63.889999,64.309998,62.880001,63.070000,53.662567,2506200
2016-02-05,63.189999,63.680000,62.169998,63.290001,53.849751,2498800
2016-02-08,63.340000,64.300003,62.650002,62.900002,53.517933,2181800
2016-02-09,63.000000,63.750000,62.720001,63.400002,53.943348,2737500
2016-02-10,63.200001,63.869999,62.290001,63.509998,54.036942,1492700
2016-02-11,63.189999,63.610001,62.320000,62.349998,53.049957,2167200
2016-02-12,62.180000,62.650002,61.509998,61.759998,52.547966,3337300
2016-02-16,61.930000,62.470001,61.500000,62.380001,53.075485,2100100
2016-02-17,62.410000,62.709999,61.770000,62.529999,53.203117,1870900
2016-02-18,62.480000,64.010002,62.369999,63.700001,54.198586,1738700
2016-02-19,63.630001,63.650002,62.830002,62.889999,53.509411,2678300
2016-02-22,63.240002,64.250000,62.980000,64.239998,54.658051,2109600
2016-02-23,63.959999,65.290001,63.599998,64.980003,55.287674,3137200
2016-02-24,66.750000,68.370003,66.550003,67.830002,57.712574,6781500
2016-02-25,67.830002,69.239998,67.709999,68.790001,58.529373,4014000
2016-02-26,68.629997,68.779999,67.059998,67.260002,57.227600,2971200
2016-02-29,67.199997,68.800003,67.019997,68.160004,57.993355,2784100
2016-03-01,68.750000,68.879997,66.510002,66.879997,56.904274,3601300
2016-03-02,66.760002,67.089996,65.599998,66.970001,56.980862,2851500
2016-03-03,67.099998,67.459999,66.379997,67.419998,57.363735,2379700
2016-03-04,66.809998,67.930000,66.550003,67.709999,57.610477,2049400
2016-03-07,67.839996,68.730003,67.400002,68.559998,58.333687,2046300
2016-03-08,68.720001,69.360001,68.279999,69.099998,58.793148,2779000
2016-03-09,69.070000,69.989998,68.849998,69.750000,59.346176,2455600
2016-03-10,69.559998,69.900002,69.099998,69.760002,59.354702,1898900
2016-03-11,70.000000,70.779999,69.949997,70.400002,59.899239,2991100
2016-03-14,70.239998,70.470001,69.809998,70.139999,59.678009,1659300
2016-03-15,70.180000,70.699997,69.839996,70.029999,59.584415,2061200
2016-03-16,70.029999,70.930000,69.180000,70.680000,60.137478,1731400
2016-03-17,70.690002,71.519997,70.500000,71.250000,60.622440,1523700
2016-03-18,71.519997,71.639999,70.589996,71.430000,60.775604,4017800
