Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,20.120001,20.120001,19.770000,20.094999,17.719007,7087600
2016-01-05,20.254999,20.280001,19.615000,19.875000,17.525021,6889200
2016-01-06,19.660000,20.174999,19.504999,19.930000,17.573517,7459000
2016-01-07,19.590000,19.809999,19.325001,19.525000,17.216406,6075600
2016-01-08,19.639999,19.795000,19.334999,19.400000,17.106180,6012600
2016-01-11,19.500000,19.565001,19.254999,19.445000,17.145859,8575800
2016-01-12,19.555000,19.770000,19.410000,19.715000,17.383940,5860400
2016-01-13,19.750000,19.885000,19.320000,19.385000,17.092957,8745800
2016-01-14,19.495001,19.775000,19.000000,19.625000,17.304581,11498000
2016-01-15,17.555000,19.365000,17.549999,18.834999,16.607985,29707400
2016-01-19,19.025000,19.219999,18.180000,18.385000,16.211193,11971600
2016-01-20,18.174999,18.430000,17.590000,18.264999,16.105383,9284200
2016-01-21,18.334999,18.680000,18.049999,18.570000,16.374319,8038400
2016-01-22,18.865000,19.055000,18.514999,18.990000,16.744659,7452800
2016-01-25,18.910000,19.035000,18.379999,18.410000,16.233234,6746400
2016-01-26,18.650000,19.115000,18.575001,19.010000,16.762295,8681800
2016-01-27,18.815001,19.410000,18.660000,19.020000,16.904499,7259800
2016-01-28,19.059999,19.700001,18.990000,19.670000,17.482204,8110200
2016-01-29,19.740000,20.280001,19.639999,20.280001,18.024359,7864400
2016-02-01,19.965000,20.325001,19.750000,20.219999,17.971029,8986600
2016-02-02,19.915001,20.000000,19.490000,19.565001,17.388884,5760400
2016-02-03,19.750000,20.165001,19.240000,19.815001,17.611078,7803400
2016-02-04,20.750000,22.219999,20.750000,21.764999,19.344187,22427800
2016-02-05,21.645000,21.875000,21.400000,21.629999,19.224197,9790000
2016-02-08,21.459999,22.125000,21.264999,21.830000,19.401957,12175000
2016-02-09,21.625000,22.125000,21.580000,21.680000,19.268641,11153200
2016-02-10,21.885000,21.965000,21.049999,21.135000,18.784258,8740400
2016-02-11,21.055000,21.139999,20.480000,21.004999,18.668720,8609000
2016-02-12,21.280001,21.545000,20.950001,21.520000,19.126436,4328000
2016-02-16,21.879999,21.910000,21.525000,21.840000,19.410843,5197400
2016-02-17,21.934999,22.469999,21.879999,22.209999,19.739689,6551600
2016-02-18,22.209999,22.555000,22.030001,22.280001,19.801903,4588800
2016-02-19,22.090000,22.375000,21.934999,22.325001,19.841898,4912400
2016-02-22,22.525000,22.825001,22.455000,22.680000,20.157412,4604400
2016-02-23,22.475000,22.700001,22.230000,22.270000,19.793016,4430400
2016-02-24,22.080000,22.370001,21.715000,22.250000,19.775246,4545200
2016-02-25,22.330000,22.535000,22.010000,22.535000,20.028545,3539000
2016-02-26,22.620001,22.750000,22.450001,22.610001,20.095203,4338200
2016-02-29,22.625000,22.850000,22.540001,22.645000,20.126305,7818600
2016-03-01,22.870001,23.514999,22.730000,23.350000,20.752895,9046600
2016-03-02,23.350000,23.450001,23.010000,23.250000,20.664017,6587800
2016-03-03,23.219999,23.580000,23.075001,23.500000,20.886209,4592200
2016-03-04,22.995001,23.305000,22.355000,23.110001,20.539587,8059600
2016-03-07,22.985001,23.430000,22.915001,23.160000,20.584028,5178800
2016-03-08,23.139999,23.415001,22.775000,23.285000,20.695122,6919400
2016-03-09,23.400000,23.545000,23.230000,23.495001,20.881771,4691200
2016-03-10,23.500000,23.565001,23.184999,23.495001,20.881771,5425200
2016-03-11,23.625000,23.674999,23.260000,23.430000,20.823996,4523600
2016-03-14,23.415001,23.540001,23.320000,23.469999,20.859547,2916400
2016-03-15,23.230000,23.605000,22.590000,23.525000,20.908426,5131200
2016-03-16,23.305000,23.750000,23.100000,23.709999,21.072855,6269200
2016-03-17,23.719999,24.594999,23.670000,24.469999,21.748325,6556600
