Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,44.689999,45.540001,44.200001,45.520000,39.239574,2706000
2016-01-05,45.740002,46.380001,44.970001,45.290001,39.041302,2392300
2016-01-06,44.630001,44.900002,42.889999,43.400002,37.412064,5167200
2016-01-07,42.740002,43.889999,42.509998,43.130001,37.179321,3936000
2016-01-08,43.439999,44.080002,43.099998,43.750000,37.713776,4740200
2016-01-11,43.430000,43.849998,41.889999,42.900002,36.981049,3911300
2016-01-12,43.400002,43.639999,41.849998,42.349998,36.506935,3639900
2016-01-13,42.500000,43.049999,41.709999,41.799999,36.032818,4958000
2016-01-14,41.750000,42.209999,40.900002,41.970001,36.179359,2480000
2016-01-15,40.750000,40.900002,39.380001,40.439999,34.860466,5218200
2016-01-19,40.939999,41.029999,40.020000,40.660000,35.050110,2409900
2016-01-20,39.990002,40.439999,38.880001,39.910000,34.403580,3526100
2016-01-21,40.040001,41.369999,39.590000,40.669998,35.058716,3149100
2016-01-22,41.330002,41.500000,40.119999,40.730000,35.110443,3114900
2016-01-25,40.880001,41.430000,39.900002,40.090000,34.558754,3119700
2016-01-26,39.570000,39.619999,38.139999,38.549999,33.231228,7167300
2016-01-27,38.509998,39.119999,37.180000,37.490002,32.317482,8610400
2016-01-28,37.490002,41.169998,36.360001,38.919998,33.550179,10967100
2016-01-29,39.290001,40.360001,38.130001,40.000000,34.481167,5470200
2016-02-01,39.860001,40.349998,39.119999,40.130001,34.593239,3583700
2016-02-02,39.770000,39.799999,38.669998,39.500000,34.050159,2809700
2016-02-03,39.869999,40.169998,38.740002,39.849998,34.351871,3530800
2016-02-04,39.910000,41.610001,39.880001,41.250000,35.558701,5008500
2016-02-05,41.200001,41.410000,40.580002,40.970001,35.317352,2824600
2016-02-08,40.250000,40.720001,38.500000,39.299999,33.877750,3291800
2016-02-09,38.709999,39.000000,37.849998,38.709999,33.369152,3149700
2016-02-10,39.029999,39.619999,38.799999,38.990002,33.610519,2235500
2016-02-11,38.360001,38.599998,37.910000,38.119999,32.860554,3768300
2016-02-12,38.110001,38.750000,36.970001,38.720001,33.687073,3337300
2016-02-16,39.320000,39.740002,39.090000,39.700001,34.539688,2517000
2016-02-17,40.130001,41.639999,40.130001,41.369999,35.992615,2622100
2016-02-18,41.599998,41.849998,41.189999,41.610001,36.201420,2017400
2016-02-19,41.430000,42.090000,41.299999,42.000000,36.540730,2506300
2016-02-22,42.560001,43.290001,42.240002,42.959999,37.375950,2485400
2016-02-23,42.639999,42.830002,41.939999,42.220001,36.732136,1626700
