Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,41.349998,41.939999,41.040001,41.919998,40.472641,654100
2016-01-05,41.750000,42.119999,41.040001,41.330002,39.903019,632000
2016-01-06,40.480000,40.900002,40.299999,40.529999,39.130638,861600
2016-01-07,39.889999,40.299999,39.270000,39.439999,38.078270,1074200
2016-01-08,39.599998,39.950001,38.590000,38.750000,37.412090,1070300
2016-01-11,38.860001,39.160000,38.000000,38.400002,37.074177,1368600
2016-01-12,38.900002,39.169998,38.290001,39.060001,37.711388,1205600
2016-01-13,39.389999,39.630001,37.830002,38.250000,36.929359,1376000
2016-01-14,38.549999,38.810001,37.590000,38.380001,37.054863,875400
2016-01-15,37.130001,37.790001,36.750000,37.639999,36.340416,1323800
2016-01-19,38.000000,38.200001,36.259998,36.439999,35.181850,1269900
2016-01-20,35.869999,37.189999,35.200001,36.779999,35.510113,2028300
2016-01-21,36.869999,37.439999,36.369999,36.619999,35.355629,984200
2016-01-22,37.410000,38.410000,36.900002,37.410000,36.118359,973800
2016-01-25,37.119999,37.700001,36.650002,36.720001,35.452183,833700
2016-01-26,36.889999,37.470001,36.540001,37.459999,36.166626,1762300
2016-01-27,37.400002,38.330002,36.990002,37.459999,36.166626,1210400
2016-01-28,37.889999,38.090000,37.389999,37.720001,36.417656,698900
2016-01-29,37.820000,39.230000,37.450001,39.230000,37.875515,1255500
2016-02-01,38.790001,39.220001,38.150002,39.130001,37.778973,1082900
2016-02-02,38.130001,38.910000,38.110001,38.660000,37.325203,1729500
2016-02-03,38.840000,38.840000,36.189999,37.349998,36.060421,3067800
2016-02-04,37.220001,38.270000,37.110001,37.400002,36.108711,1948900
2016-02-05,37.259998,37.970001,36.820000,37.049999,35.770790,1707200
2016-02-08,36.480000,36.619999,34.970001,35.709999,34.477043,1245300
2016-02-09,35.349998,35.779999,35.099998,35.500000,34.274311,1296600
2016-02-10,35.669998,36.020000,35.389999,35.400002,34.177753,932100
2016-02-11,34.910000,35.580002,34.759998,35.060001,33.849503,1448000
2016-02-12,35.369999,36.169998,34.950001,36.080002,34.834286,1125500
2016-02-16,36.790001,37.230000,36.040001,37.209999,35.925259,1022000
2016-02-17,37.689999,38.840000,37.689999,38.430000,37.103142,1075900
2016-02-18,38.669998,38.799999,37.580002,38.000000,36.687984,678200
2016-02-19,37.430000,38.119999,36.689999,37.990002,36.678337,820700
2016-02-22,38.459999,39.189999,38.459999,38.630001,37.296230,892800
2016-02-23,38.430000,39.130001,38.049999,38.230000,36.910046,697500
2016-02-24,37.680000,38.549999,37.270000,38.509998,37.180370,591000
2016-02-25,38.689999,38.990002,37.919998,38.470001,37.141766,463000
2016-02-26,38.860001,39.160000,38.590000,38.860001,37.518288,670100
2016-02-29,38.840000,39.099998,38.259998,38.650002,37.315556,790300
2016-03-01,38.880001,39.740002,38.759998,39.660000,38.290672,633600
2016-03-02,39.480000,40.099998,39.320000,39.980000,38.599628,519600
2016-03-03,40.040001,40.700001,39.970001,40.580002,39.178909,616300
2016-03-04,40.700001,40.849998,40.160000,40.730000,39.323727,1076000
2016-03-07,40.580002,41.919998,40.580002,41.750000,40.308510,1154800
2016-03-08,41.410000,41.610001,40.400002,40.759998,39.352695,861100
2016-03-09,41.090000,41.090000,40.480000,40.750000,39.343040,599700
2016-03-10,40.820000,40.970001,39.880001,40.599998,39.198215,569100
2016-03-11,40.919998,41.930000,40.880001,41.750000,40.308510,709300
2016-03-14,41.480000,41.680000,40.930000,41.490002,40.057484,509200
2016-03-15,41.040001,41.549999,40.860001,41.360001,39.931980,621900
2016-03-16,41.220001,42.650002,41.139999,42.380001,40.916756,961400
2016-03-17,42.380001,43.980000,42.310001,43.860001,42.345669,1336200
2016-03-18,43.980000,44.570000,43.730000,44.080002,42.558060,818100
2016-03-21,43.910000,44.180000,43.660000,44.139999,42.615990,484800
2016-03-22,44.119999,44.770000,43.910000,44.590000,43.050457,661900
2016-03-23,44.299999,44.400002,43.630001,43.660000,42.152561,615100
2016-03-24,43.349998,43.400002,42.919998,43.270000,41.776024,700600
2016-03-28,43.500000,43.549999,42.759998,43.020000,41.534664,690500
