Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,71.379997,72.849998,71.349998,72.699997,60.526192,5209400
2016-01-05,72.739998,73.580002,72.279999,73.389999,61.100643,3858200
2016-01-06,72.199997,73.680000,72.029999,73.529999,61.217205,3294700
2016-01-07,72.010002,72.989998,71.849998,71.900002,59.860161,4050300
2016-01-08,72.190002,72.470001,71.099998,71.180000,59.260727,3092100
2016-01-11,71.349998,72.529999,70.769997,72.269997,60.168209,3329000
2016-01-12,72.849998,73.349998,72.132004,73.230003,60.967445,2924600
2016-01-13,73.190002,73.440002,70.639999,70.809998,58.952682,3448500
2016-01-14,70.959999,71.528000,70.304001,70.739998,58.894405,4610600
2016-01-15,68.900002,70.150002,68.180000,69.199997,57.612278,6551200
2016-01-19,70.010002,70.519997,69.550003,70.169998,58.419861,5107100
2016-01-20,69.279999,71.580002,68.739998,71.169998,59.252399,4607000
2016-01-21,72.000000,73.330002,71.325996,73.050003,60.817581,6208200
2016-01-22,73.599998,74.500000,72.510002,74.389999,61.933193,3111700
2016-01-25,73.699997,74.669998,73.339996,74.029999,61.633480,4123100
2016-01-26,73.370003,76.000000,73.370003,75.980003,63.256950,3851300
2016-01-27,75.870003,77.150002,75.150002,75.970001,63.248623,5348200
2016-01-28,76.269997,76.989998,75.480003,76.160004,63.406807,3542400
2016-01-29,76.900002,78.220001,76.400002,78.059998,64.988640,4508200
2016-02-01,77.370003,77.480003,75.669998,77.010002,64.114471,3564200
2016-02-02,75.970001,76.800003,75.720001,75.970001,63.248623,5631600
2016-02-03,76.370003,76.370003,73.830002,74.889999,62.349476,6239700
2016-02-04,75.040001,75.199997,72.919998,74.150002,61.733379,7077100
2016-02-05,74.279999,74.559998,72.139999,72.779999,60.592804,9351600
2016-02-08,72.089996,72.199997,70.180000,71.220001,59.294041,4704600
2016-02-09,70.599998,71.959999,70.010002,71.510002,59.535477,4616900
2016-02-10,72.070000,73.300003,71.712997,72.110001,60.034992,2520100
2016-02-11,70.900002,71.959999,70.174004,71.440002,59.477188,3041500
2016-02-12,72.199997,72.449997,71.019997,71.919998,59.876801,2985800
2016-02-16,72.900002,73.059998,71.919998,72.309998,60.201500,3852100
2016-02-17,73.000000,74.389999,72.500000,74.239998,61.808319,3628100
2016-02-18,74.080002,74.290001,73.339996,73.449997,61.150608,2755200
2016-02-19,72.900002,73.693001,72.830002,73.519997,61.208866,4333500
2016-02-22,74.389999,74.389999,72.209999,73.330002,61.050709,2916700
2016-02-23,73.099998,73.489998,72.559998,72.820000,60.626106,2805600
2016-02-24,72.330002,73.330002,71.824997,72.989998,60.767647,3526500
2016-02-25,73.410004,74.980003,73.330002,74.959999,62.407772,4962300
2016-02-26,78.800003,78.900002,76.650002,77.839996,64.805504,10319700
2016-02-29,77.279999,78.000000,76.930000,77.019997,64.122795,4885500
2016-03-01,77.660004,77.919998,76.919998,77.660004,64.655632,5445500
2016-03-02,77.610001,77.800003,76.120003,77.489998,64.514114,5075800
2016-03-03,77.300003,77.550003,76.459999,77.370003,64.414200,3239900
2016-03-04,77.910004,77.919998,76.260002,77.199997,64.272652,3677800
2016-03-07,77.010002,77.389999,76.139999,76.500000,63.689873,2574800
2016-03-08,76.010002,77.150002,75.940002,76.290001,63.515057,2783700
2016-03-09,76.669998,77.000000,75.800003,76.629997,63.798126,2631300
2016-03-10,76.980003,77.146004,75.550003,76.220001,63.456772,2107200
2016-03-11,77.260002,77.349998,76.410004,76.949997,64.064514,2342700
2016-03-14,76.879997,77.769997,76.099998,77.570000,64.580704,2278300
2016-03-15,77.459999,77.820000,76.820000,77.779999,64.755539,2924700
2016-03-16,77.980003,78.110001,76.949997,78.029999,65.447502,3400000
2016-03-17,77.580002,78.099998,76.739998,78.010002,65.430717,4506000
2016-03-18,78.379997,78.389999,76.769997,77.309998,64.843613,9081000
2016-03-21,76.970001,77.500000,76.169998,76.589996,64.239700,3203400
2016-03-22,76.989998,77.025002,76.029999,76.440002,64.113899,2615600
2016-03-23,76.570000,77.059998,76.209999,76.809998,64.424232,2295800
2016-03-24,76.769997,77.269997,75.859001,76.459999,64.130684,3356700
2016-03-28,76.620003,77.930000,76.059998,77.760002,65.221046,3581800
2016-03-29,77.580002,78.809998,77.029999,78.800003,66.093338,3907400
2016-03-30,78.919998,79.050003,78.269997,78.900002,66.177216,3339900
2016-03-31,78.949997,78.949997,78.279999,78.559998,65.892036,3400300
2016-04-01,78.529999,79.160004,78.114998,79.080002,66.328186,3418200
2016-04-04,78.970001,79.089996,78.379997,78.849998,66.135269,3495200
2016-04-05,78.470001,78.849998,77.889999,78.010002,65.430717,2679600
2016-04-06,78.419998,78.419998,77.500000,78.360001,65.724304,2421900
2016-04-07,78.019997,78.290001,77.025002,77.500000,65.002975,3216400
2016-04-08,77.970001,78.599998,77.540001,78.470001,65.816551,2139000
2016-04-11,78.730003,79.000000,77.849998,77.910004,65.346870,2894800
2016-04-12,78.000000,78.629997,77.540001,78.330002,65.699135,2348300
2016-04-13,78.680000,78.730003,77.089996,77.400002,64.919090,3246400
2016-04-14,77.400002,77.815002,76.889999,77.169998,64.726181,3150500
2016-04-15,77.559998,78.290001,77.129997,78.050003,65.464287,3042200
2016-04-18,77.919998,78.360001,77.269997,78.339996,65.707512,2207300
2016-04-19,78.339996,78.879997,77.860001,78.300003,65.673965,2591200
2016-04-20,78.339996,78.680000,77.500000,77.919998,65.355255,1867400
2016-04-21,77.790001,77.919998,76.640999,76.739998,64.365517,2110700
2016-04-22,76.699997,78.150002,76.699997,78.099998,65.506218,2409800
2016-04-25,77.879997,78.839996,77.540001,78.730003,66.034637,2323800
2016-04-26,78.709999,79.550003,78.510002,78.699997,66.009453,2315700
2016-04-27,79.220001,79.500000,77.989998,79.099998,66.344963,2249600
2016-04-28,78.550003,79.230003,78.089996,78.360001,65.724304,1962600
2016-04-29,77.610001,78.285004,77.129997,78.070000,65.481041,3208700
2016-05-02,78.070000,80.250000,78.000000,79.519997,66.697235,3700700
2016-05-03,79.019997,79.290001,78.221001,78.680000,65.992699,2508200
2016-05-04,78.480003,80.300003,78.290001,79.980003,67.083054,4687000
2016-05-05,82.959999,84.169998,82.500000,82.970001,69.590919,8629300
2016-05-06,82.830002,84.040001,81.940002,84.000000,70.454826,3993600
2016-05-09,84.000000,84.790001,83.639999,84.260002,70.672920,3272300
2016-05-10,84.440002,86.199997,84.230003,86.139999,72.249748,3593700
2016-05-11,85.970001,86.540001,85.190002,85.199997,71.461311,2824500
2016-05-12,85.480003,86.660004,85.150002,86.339996,72.417496,2427500
2016-05-13,86.029999,86.449997,84.720001,85.129997,71.402611,2857300
2016-05-16,85.330002,86.239998,85.040001,85.870003,72.023308,2061900
2016-05-17,85.690002,86.059998,81.769997,82.160004,68.911552,7395100
2016-05-18,81.949997,82.278999,80.459999,81.180000,68.089561,8695600
2016-05-19,80.849998,83.019997,80.610001,83.000000,69.616081,3932800
2016-05-20,82.400002,82.860001,81.820000,82.419998,69.129608,2720100
2016-05-23,82.510002,83.250000,82.419998,82.809998,69.456726,1996900
2016-05-24,83.129997,84.375000,82.699997,84.220001,70.639366,2385600
2016-05-25,83.559998,84.779999,83.129997,84.269997,71.167183,2563100
2016-05-26,84.019997,84.820000,83.760002,83.809998,70.778709,2424000
2016-05-27,83.660004,84.260002,83.500000,84.099998,71.023605,1272800
2016-05-31,84.160004,84.440002,82.674004,83.190002,70.255112,3943700
2016-06-01,83.089996,83.989998,83.000000,83.949997,70.896942,1955400
2016-06-02,83.879997,84.790001,83.550003,84.779999,71.597870,2207200
2016-06-03,85.000000,85.419998,84.699997,85.300003,72.037025,3031400
2016-06-06,85.500000,85.599998,84.690002,84.989998,71.775223,2551900
2016-06-07,85.169998,85.680000,84.620003,84.750000,71.572540,2454400
2016-06-08,85.059998,85.419998,84.330002,85.180000,71.935692,1757200
2016-06-09,84.919998,85.730003,84.779999,85.620003,72.307274,2098600
2016-06-10,85.599998,85.599998,84.709999,85.339996,72.070801,2118000
2016-06-13,85.269997,85.750000,84.644997,84.949997,71.741447,2790400
2016-06-14,84.940002,85.290001,84.330002,84.879997,71.682335,2637500
2016-06-15,85.000000,85.389999,84.360001,84.839996,71.648552,2967400
2016-06-16,84.680000,85.320000,83.980003,85.279999,72.020134,2333400
2016-06-17,85.339996,85.370003,84.019997,84.820000,71.631668,5526500
2016-06-20,85.489998,86.500000,85.237999,85.500000,72.205948,2854100
2016-06-21,85.540001,86.440002,85.489998,85.690002,72.366379,1953700
2016-06-22,85.940002,85.989998,85.080002,85.209999,71.961006,1961400
2016-06-23,85.940002,86.388000,85.425003,86.370003,72.940666,2452200
2016-06-24,83.699997,85.099998,83.419998,83.730003,70.711143,11942100
2016-06-27,83.230003,83.849998,82.500000,83.629997,70.626678,3458500
2016-06-28,83.876999,84.790001,83.000000,84.769997,71.589439,3569400
2016-06-29,85.029999,86.330002,84.699997,86.099998,72.712631,3348300
2016-06-30,86.389999,88.629997,86.169998,88.480003,74.722595,5571200
2016-07-01,88.580002,89.400002,88.150002,88.239998,74.519897,2551300
2016-07-05,88.190002,89.489998,87.500000,88.739998,74.942154,3320400
2016-07-06,88.650002,89.764999,88.250000,89.739998,75.786659,3331700
2016-07-07,89.570000,89.820000,88.809998,89.309998,75.423531,2525600
2016-07-08,89.930000,90.260002,89.129997,89.849998,75.879562,3703300
2016-07-11,89.930000,90.150002,89.309998,89.839996,75.871109,2860500
2016-07-12,89.489998,89.720001,87.629997,87.800003,74.148300,4362900
2016-07-13,87.830002,89.080002,87.629997,89.019997,75.178619,2702400
2016-07-14,89.139999,89.247002,87.860001,88.339996,74.604347,3457800
2016-07-15,88.900002,89.220001,88.129997,88.860001,75.043488,2311700
2016-07-18,89.080002,89.300003,88.540001,89.099998,75.246193,1769400
2016-07-19,88.839996,89.110001,88.260002,88.970001,75.136398,1751700
2016-07-20,88.870003,88.949997,87.940002,88.169998,74.460777,2229500
2016-07-21,88.099998,88.190002,87.327003,87.639999,74.013184,2081100
2016-07-22,88.019997,88.489998,87.815002,88.160004,74.452339,2022900
2016-07-25,88.160004,88.430000,87.830002,88.410004,74.663460,1447400
2016-07-26,88.540001,88.790001,87.040001,87.059998,73.523369,1553100
2016-07-27,87.379997,87.459999,85.199997,85.629997,72.315712,3931700
2016-07-28,85.680000,86.209999,85.239998,85.959999,72.594398,2190300
2016-07-29,86.230003,86.629997,85.860001,86.389999,72.957542,1778900
2016-08-01,86.300003,86.580002,85.519997,85.970001,72.602859,2778500
2016-08-02,85.750000,85.750000,84.639999,85.150002,71.910355,2832300
2016-08-03,85.309998,85.475998,84.250000,84.900002,71.699211,2491500
2016-08-04,85.129997,85.639999,84.680000,85.540001,72.239716,3221800
2016-08-05,89.849998,90.489998,88.500000,88.790001,74.984383,5106200
2016-08-08,88.709999,88.790001,87.589996,88.750000,74.950600,2428000
2016-08-09,88.930000,89.989998,88.735001,89.779999,75.820450,2275800
2016-08-10,89.769997,89.949997,88.970001,89.349998,75.457314,1423100
2016-08-11,89.709999,90.430000,89.290001,89.440002,75.533325,2588800
2016-08-12,89.230003,90.470001,89.230003,89.559998,75.634651,1539100
2016-08-15,89.709999,89.889999,88.849998,89.080002,75.229294,1661000
2016-08-16,89.029999,89.169998,88.254997,88.959999,75.127945,2259300
2016-08-17,89.050003,89.470001,88.239998,89.410004,75.507980,1832700
2016-08-18,89.300003,89.860001,89.099998,89.760002,75.803558,1823000
2016-08-19,89.599998,90.199997,89.349998,89.919998,75.938667,1694900
2016-08-22,89.879997,90.389999,89.519997,89.970001,75.980911,2092800
2016-08-23,90.250000,90.480003,89.347000,89.470001,75.558640,2020000
2016-08-24,88.839996,88.989998,88.029999,88.949997,75.626671,2581200
2016-08-25,88.989998,89.940002,88.693001,88.900002,75.584167,1825900
2016-08-26,89.040001,89.449997,87.919998,88.169998,74.963478,1863600
2016-08-29,88.349998,88.809998,88.129997,88.570000,75.303574,1685100
2016-08-30,88.629997,88.824997,87.769997,87.970001,74.793449,1841500
2016-08-31,88.110001,89.820000,88.110001,89.489998,76.085785,2696400
2016-09-01,89.570000,89.709999,88.540001,89.480003,76.077286,2215500
2016-09-02,89.900002,90.540001,89.110001,89.610001,76.187813,2062100
2016-09-06,89.690002,90.180000,89.135002,89.739998,76.298340,1786400
2016-09-07,89.230003,89.809998,88.959999,89.790001,76.340851,3344800
2016-09-08,89.699997,89.790001,88.709999,89.190002,75.830719,2191600
2016-09-09,88.239998,88.370003,85.949997,85.970001,73.093025,3837900
2016-09-12,85.580002,88.699997,85.349998,88.559998,75.295090,3015000
2016-09-13,89.269997,89.269997,87.449997,88.269997,75.048515,2579800
2016-09-14,88.129997,88.820000,87.379997,87.680000,74.546898,1898400
2016-09-15,87.360001,89.260002,87.320000,89.169998,75.813721,1912600
2016-09-16,88.830002,89.129997,87.650002,88.940002,75.618172,4476800
2016-09-19,88.879997,89.000000,86.900002,86.970001,73.943237,4032400
2016-09-20,87.480003,87.720001,87.099998,87.120003,74.070778,3018400
2016-09-21,87.260002,88.160004,86.760002,87.910004,74.742447,2592400
2016-09-22,88.629997,89.160004,88.339996,89.050003,75.711685,1516800
2016-09-23,89.190002,89.500000,88.669998,88.830002,75.524643,1467000
2016-09-26,88.779999,88.980003,88.059998,88.529999,75.269569,1487400
2016-09-27,88.760002,89.489998,88.519997,89.230003,75.864731,1530300
2016-09-28,89.580002,89.620003,88.809998,89.550003,76.136795,1628700
2016-09-29,89.230003,89.430000,88.410004,88.570000,75.303574,1411800
2016-09-30,89.000000,89.910004,88.849998,89.510002,76.102798,2499200
2016-10-03,89.250000,89.459999,88.750000,89.080002,75.737206,1857900
2016-10-04,89.290001,89.290001,87.690002,88.019997,74.835968,1940500
2016-10-05,88.320000,88.320000,87.339996,87.379997,74.291817,1910900
2016-10-06,87.029999,87.660004,86.779999,87.489998,74.385338,1172000
2016-10-07,87.760002,87.760002,86.699997,87.400002,74.308846,1723500
2016-10-10,87.440002,88.669998,87.440002,88.500000,75.244072,2012500
2016-10-11,88.239998,88.500000,87.059998,87.239998,74.172798,2508700
2016-10-12,88.459999,88.459999,87.000000,87.139999,74.087784,3072600
2016-10-13,86.790001,87.320000,86.500000,87.050003,74.011261,2861900
2016-10-14,87.339996,88.699997,87.059998,88.529999,75.269569,2388900
2016-10-17,88.720001,89.000000,88.029999,88.830002,75.524643,2208400
2016-10-18,90.089996,90.150002,88.900002,88.930000,75.609665,2740000
2016-10-19,88.930000,88.949997,87.550003,88.080002,74.886986,2721000
2016-10-20,87.220001,88.760002,87.220001,87.959999,74.784966,2662100
2016-10-21,87.650002,88.180000,86.980003,87.919998,74.750946,2086600
2016-10-24,88.610001,89.220001,88.511002,88.910004,75.592682,1744500
2016-10-25,89.230003,89.680000,88.169998,88.360001,75.125053,3220100
2016-10-26,88.510002,88.699997,87.910004,88.080002,74.886986,1513400
2016-10-27,88.169998,88.370003,87.181000,87.690002,74.555405,2127800
2016-10-28,87.480003,88.669998,87.480003,88.080002,74.886986,1771100
2016-10-31,88.440002,89.160004,88.309998,88.949997,75.626671,3577400
2016-11-01,89.000000,89.180000,88.110001,88.370003,75.133545,2542700
2016-11-02,88.629997,88.690002,87.980003,88.150002,74.946495,1916700
2016-11-03,88.120003,88.370003,86.129997,86.250000,73.331093,5041900
2016-11-04,82.029999,85.239998,81.000000,84.050003,71.460617,7825200
2016-11-07,85.320000,86.089996,84.300003,86.029999,73.144035,4101100
2016-11-08,86.230003,88.839996,86.070000,88.339996,75.108032,2791200
2016-11-09,86.180000,86.970001,84.180000,84.940002,72.217300,5097200
2016-11-10,85.029999,85.529999,80.559998,81.419998,69.224533,7643600
2016-11-11,81.000000,81.739998,80.160004,81.209999,69.045990,4151100
2016-11-14,81.010002,81.629997,79.919998,80.080002,68.085251,4463400
2016-11-15,80.570000,81.720001,80.220001,81.139999,68.986481,5723900
2016-11-16,81.379997,82.750000,81.290001,82.400002,70.057770,3327200
2016-11-17,82.309998,82.839996,81.500000,82.839996,70.431854,3161600
2016-11-18,82.699997,82.930000,82.019997,82.529999,70.168282,2715700
2016-11-21,82.529999,83.820000,82.205002,83.639999,71.112030,2508600
2016-11-22,83.860001,84.470001,83.699997,84.089996,71.494637,2648000
2016-11-23,83.800003,84.309998,81.730003,82.440002,70.091766,3459900
2016-11-25,82.629997,83.290001,82.629997,82.949997,70.525368,1230300
2016-11-28,82.949997,83.669998,82.360001,83.220001,70.754921,2642300
2016-11-29,83.400002,84.500000,83.129997,84.000000,71.418106,3744600
2016-11-30,83.099998,83.510002,81.650002,81.650002,69.919525,3309900
2016-12-01,81.510002,81.779999,79.930000,80.489998,68.926178,4043300
2016-12-02,80.739998,81.519997,80.349998,80.910004,69.285835,2779300
2016-12-05,80.910004,81.150002,80.114998,80.279999,68.746346,4415500
2016-12-06,80.610001,80.877998,79.690002,79.959999,68.472328,3566800
2016-12-07,80.440002,83.209999,80.269997,82.949997,71.032730,4870200
2016-12-08,82.589996,82.790001,81.860001,82.309998,70.484703,2497500
2016-12-09,82.550003,83.792999,82.070000,83.779999,71.743523,2380900
2016-12-12,83.599998,84.830002,83.290001,84.199997,72.103165,2536300
2016-12-13,84.599998,85.599998,84.029999,84.940002,72.736855,3644100
2016-12-14,84.980003,85.400002,83.720001,84.360001,72.240181,3348600
2016-12-15,85.129997,86.059998,84.129997,85.370003,73.105072,4410100
2016-12-16,85.879997,86.559998,84.860001,86.459999,74.038475,6037700
2016-12-19,86.349998,86.889999,85.720001,86.599998,74.158363,3365400
2016-12-20,86.279999,86.599998,85.330002,85.980003,73.627441,2665500
2016-12-21,85.930000,86.989998,85.800003,86.610001,74.166916,2202000
2016-12-22,86.449997,87.290001,86.300003,87.279999,74.740669,1966300
2016-12-23,87.099998,87.620003,86.959999,87.570000,74.988998,2484700
2016-12-27,87.660004,88.080002,87.300003,87.580002,74.997574,1993200
2016-12-28,87.500000,87.769997,87.029999,87.309998,74.766365,1384800
2016-12-29,87.300003,88.150002,87.300003,87.930000,75.297287,1837800
2016-12-30,88.019997,88.160004,87.070000,87.320000,74.774910,2051400
2017-01-03,87.849998,87.970001,86.400002,87.529999,74.954742,3104600
2017-01-04,87.519997,87.970001,86.900002,87.029999,74.526581,2274900
2017-01-05,86.900002,87.300003,86.080002,86.529999,74.098419,3037400
2017-01-06,86.529999,86.629997,85.830002,86.309998,73.910027,2450200
2017-01-09,86.250000,86.474998,85.589996,86.070000,73.704506,2482400
2017-01-10,85.849998,86.300003,85.410004,85.910004,73.567505,2539900
2017-01-11,86.120003,87.040001,86.040001,86.760002,74.295372,2754500
2017-01-12,86.830002,87.769997,86.500000,87.419998,74.860558,2484700
2017-01-13,87.419998,87.430000,86.578003,87.029999,74.526581,1799100
2017-01-17,86.709999,87.974998,86.709999,87.919998,75.288719,2304800
2017-01-18,87.800003,88.589996,87.800003,88.349998,75.656929,2881800
2017-01-19,88.180000,88.430000,87.550003,87.849998,75.228775,1690600
2017-01-20,88.349998,89.000000,88.010002,88.949997,76.170738,2795500
2017-01-23,88.660004,88.949997,88.199997,88.800003,76.042305,2654100
2017-01-24,88.910004,89.190002,88.320000,88.690002,75.948105,2171100
2017-01-25,88.930000,89.269997,88.410004,88.839996,76.076553,2262100
2017-01-26,89.489998,89.900002,88.714996,89.410004,76.564659,3091900
2017-01-27,88.959999,89.769997,88.779999,89.430000,76.581764,1842800
2017-01-30,89.089996,89.500000,88.629997,89.080002,76.282074,2233600
2017-01-31,88.900002,89.559998,88.834999,89.290001,76.461891,2650500
2017-02-01,88.889999,89.334999,88.307999,88.410004,75.708321,1816800
2017-02-02,88.510002,89.099998,88.320000,88.610001,75.879585,1826700
2017-02-03,89.209999,89.349998,88.639999,89.269997,76.444771,2205100
2017-02-06,89.300003,89.400002,88.639999,88.699997,75.956657,1359800
2017-02-07,88.709999,89.019997,88.500000,88.809998,76.050858,2599300
2017-02-08,88.809998,89.309998,88.790001,89.190002,76.376259,3300300
2017-02-09,89.269997,90.389999,89.040001,89.779999,76.881500,2708300
2017-02-10,89.599998,90.540001,89.339996,90.199997,77.241150,1882100
2017-02-13,90.309998,90.599998,89.695000,90.580002,77.566566,1812500
2017-02-14,90.570000,91.063004,90.099998,90.809998,77.763519,2322700
2017-02-15,91.129997,91.300003,90.260002,91.095001,78.007591,3083900
2017-02-16,89.099998,89.839996,86.349998,87.279999,74.740669,10584700
2017-02-17,92.000000,97.769997,91.849998,96.650002,82.764511,30007700
2017-02-21,91.820000,95.480003,91.349998,94.870003,81.240242,14423200
2017-02-22,94.849998,95.000000,92.989998,93.360001,79.947174,4990400
2017-02-23,93.290001,93.620003,92.349998,92.940002,79.587502,2901000
2017-02-24,93.510002,93.800003,92.570000,93.080002,79.707382,2670500
2017-02-27,92.599998,92.870003,90.330002,90.610001,77.592247,6084900
2017-02-28,90.680000,91.980003,90.349998,91.510002,78.362953,4267700
2017-03-01,91.769997,91.910004,90.650002,91.430000,78.811180,2858600
2017-03-02,91.500000,91.690002,90.779999,91.279999,78.681892,2552700
2017-03-03,91.250000,91.500000,90.809998,91.500000,78.871521,1653000
2017-03-06,91.019997,91.510002,90.790001,91.160004,78.578461,2044900
2017-03-07,90.809998,91.440002,90.720001,90.800003,78.268135,1491000
2017-03-08,90.669998,91.169998,90.440002,90.900002,78.354347,2034200
2017-03-09,90.769997,91.584999,90.620003,91.529999,78.897377,2108500
2017-03-10,92.080002,92.091003,91.260002,91.510002,78.880142,2277100
2017-03-13,91.370003,91.500000,91.019997,91.180000,78.595695,2182900
2017-03-14,91.160004,91.349998,90.669998,91.059998,78.492256,2097300
2017-03-15,91.589996,92.139999,91.089996,91.839996,79.164589,2076300
2017-03-16,92.739998,93.269997,92.160004,92.769997,79.966248,4139000
2017-03-17,93.599998,93.669998,91.820000,91.980003,79.285294,5655700
2017-03-20,92.029999,92.949997,91.889999,92.360001,79.612823,2063000
2017-03-21,92.309998,92.779999,91.589996,91.900002,79.216316,2322600
2017-03-22,92.250000,92.750000,92.040001,92.290001,79.552505,1540300
2017-03-23,92.050003,92.779999,91.900002,92.010002,79.311134,1833300
2017-03-24,92.239998,92.400002,91.320000,91.680000,79.026680,1703800
2017-03-27,91.500000,91.589996,91.091003,91.250000,78.656036,1699000
2017-03-28,90.779999,91.665001,90.779999,91.410004,78.793953,2222800
2017-03-29,91.199997,91.599998,91.059998,91.489998,78.862907,1462600
