Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,125.910004,126.570000,124.559998,126.480003,109.641808,2743300
2016-01-05,127.000000,130.050003,126.639999,129.080002,111.895660,3237200
2016-01-06,127.839996,129.729996,127.599998,129.020004,111.843666,3930200
2016-01-07,126.919998,128.929993,126.599998,126.860001,109.971230,3168800
2016-01-08,127.199997,127.500000,124.949997,125.230003,108.558228,2660600
2016-01-11,125.519997,126.440002,124.279999,125.709999,108.974319,1929100
2016-01-12,126.320000,127.169998,125.250000,126.129997,109.338394,1586200
2016-01-13,126.620003,127.529999,125.379997,125.459999,108.757607,1925500
2016-01-14,125.930000,127.830002,125.550003,127.209999,110.274635,2384600
2016-01-15,125.410004,126.290001,124.300003,125.360001,108.670906,3039500
2016-01-19,126.150002,127.370003,125.050003,125.879997,109.121674,2618000
2016-01-20,124.370003,124.889999,121.709999,123.690002,107.223251,2929600
2016-01-21,123.989998,125.339996,123.010002,124.949997,108.315483,2244700
2016-01-22,125.790001,127.279999,124.589996,126.720001,109.849854,2373100
2016-01-25,123.220001,125.540001,121.500000,122.690002,106.356369,5126300
2016-01-26,122.769997,126.500000,122.559998,124.889999,108.263481,2220000
2016-01-27,124.830002,126.250000,123.800003,124.199997,107.665321,2468300
2016-01-28,124.639999,126.790001,123.699997,126.269997,109.459755,1506100
2016-01-29,126.970001,129.330002,125.849998,128.419998,111.323517,3453200
2016-02-01,127.379997,129.550003,127.379997,129.009995,111.834984,2001500
2016-02-02,128.449997,129.240005,127.279999,128.009995,110.968094,2067600
2016-02-03,129.169998,130.880005,127.849998,130.369995,113.013939,2470400
2016-02-04,129.580002,130.250000,128.070007,128.750000,111.609596,2591400
2016-02-05,128.750000,129.600006,128.190002,129.149994,111.956329,1832100
2016-02-08,127.860001,129.830002,126.720001,129.429993,112.199074,2007800
2016-02-09,128.330002,131.589996,127.639999,130.789993,113.378006,2391400
2016-02-10,131.110001,132.429993,129.630005,129.960007,112.658524,1508400
2016-02-11,127.949997,128.279999,124.650002,126.419998,109.589790,2486600
2016-02-12,127.150002,129.410004,126.330002,128.630005,111.505562,2123900
2016-02-16,129.919998,129.940002,127.400002,128.710007,111.574928,1715800
2016-02-17,128.839996,131.270004,128.759995,130.500000,113.126610,1756000
2016-02-18,130.360001,130.990005,129.399994,129.750000,112.476440,1505700
2016-02-19,129.690002,130.639999,128.559998,130.429993,113.065948,1208900
2016-02-22,131.800003,132.660004,130.740005,131.369995,113.880775,1614900
2016-02-23,131.289993,131.910004,130.910004,131.529999,114.019493,999500
2016-02-24,130.529999,132.600006,129.720001,132.350006,114.730354,1431900
2016-02-25,132.500000,133.529999,131.880005,133.500000,115.727234,1279800
2016-02-26,133.309998,133.729996,130.710007,131.300003,113.820107,1584200
2016-02-29,131.199997,132.119995,130.240005,130.300003,112.953270,2242700
2016-03-01,130.990005,131.940002,130.350006,131.639999,114.114861,1697700
2016-03-02,130.029999,131.600006,128.770004,131.570007,114.856873,1660600
2016-03-03,131.110001,131.710007,130.169998,131.630005,114.909271,1526400
2016-03-04,131.630005,132.889999,130.880005,132.539993,115.703674,1810300
2016-03-07,131.649994,132.570007,130.800003,131.589996,114.874321,1799000
2016-03-08,131.130005,133.970001,130.809998,132.350006,115.537819,2914000
2016-03-09,132.500000,133.500000,131.520004,131.970001,115.206085,1942300
2016-03-10,132.690002,133.070007,130.460007,131.880005,115.127510,1840500
2016-03-11,132.250000,133.270004,131.699997,133.149994,116.236183,1707700
2016-03-14,133.220001,134.779999,132.839996,134.720001,117.606743,1883800
2016-03-15,134.240005,135.050003,133.509995,134.630005,117.528183,1456100
2016-03-16,134.289993,135.699997,133.389999,135.229996,118.051964,1448100
2016-03-17,135.179993,136.610001,134.970001,136.009995,118.732872,1314800
2016-03-18,135.910004,136.500000,134.889999,135.539993,118.322586,4559700
2016-03-21,136.080002,136.080002,134.199997,135.259995,118.078163,1774500
2016-03-22,134.919998,134.970001,132.850006,133.639999,116.663933,1934000
2016-03-23,133.729996,135.380005,133.660004,133.979996,116.960739,2226800
2016-03-24,133.660004,133.869995,132.820007,133.550003,116.585358,1097300
2016-03-28,133.880005,135.050003,133.839996,134.240005,117.187706,1286300
2016-03-29,134.020004,135.169998,133.740005,134.990005,117.842453,1326400
2016-03-30,135.500000,136.320007,135.100006,135.710007,118.470970,1129300
2016-03-31,135.270004,135.869995,134.399994,134.509995,117.423424,1216100
2016-04-01,133.330002,136.389999,133.020004,136.199997,118.898727,1392000
2016-04-04,136.179993,136.899994,135.610001,136.259995,118.951134,1155900
2016-04-05,136.179993,136.970001,135.910004,136.250000,118.942375,1369500
2016-04-06,136.059998,137.309998,135.729996,137.270004,119.832840,1309100
2016-04-07,136.550003,136.990005,136.000000,136.649994,119.291557,1016300
2016-04-08,137.309998,137.600006,136.520004,137.490005,120.024872,1048000
2016-04-11,137.619995,138.759995,137.080002,137.250000,119.815346,1688200
2016-04-12,137.529999,138.199997,136.759995,138.130005,120.583572,1471900
2016-04-13,138.389999,138.389999,135.490005,135.660004,118.427338,1990500
2016-04-14,135.979996,137.550003,135.740005,136.039993,118.759048,2040400
2016-04-15,136.130005,136.830002,135.759995,136.470001,119.134438,1420700
2016-04-18,136.470001,137.059998,135.759995,136.649994,119.291557,1276100
2016-04-19,136.839996,137.839996,136.039993,137.110001,119.693115,1656300
2016-04-20,137.000000,137.479996,135.589996,135.649994,118.418602,1558800
2016-04-21,135.380005,135.490005,131.740005,131.750000,115.013985,2984000
2016-04-22,125.519997,127.239998,123.779999,126.879997,110.762642,5725600
2016-04-25,125.919998,126.320000,124.349998,126.209999,110.177742,3741200
2016-04-26,126.650002,126.860001,123.519997,123.809998,108.082611,3306900
2016-04-27,124.279999,126.120003,123.989998,125.699997,109.732544,3312300
2016-04-28,125.160004,126.830002,125.000000,126.239998,110.203941,2388300
2016-04-29,125.739998,126.250000,123.910004,125.190002,109.287338,3109600
2016-05-02,124.879997,125.989998,123.830002,125.220001,109.313507,1990700
2016-05-03,124.800003,127.190002,124.699997,126.129997,110.107903,1849200
2016-05-04,125.949997,128.330002,125.570000,127.930000,111.679260,2424100
2016-05-05,127.900002,129.199997,127.080002,127.360001,111.181671,2166200
2016-05-06,127.500000,128.119995,126.910004,127.919998,111.670540,1455600
2016-05-09,128.000000,128.960007,127.769997,128.130005,111.853859,1388900
2016-05-10,128.100006,129.300003,128.020004,129.229996,112.814117,1156800
2016-05-11,129.380005,129.630005,128.449997,128.830002,112.464920,1304800
2016-05-12,129.559998,130.570007,129.240005,130.059998,113.538681,1038700
2016-05-13,129.830002,130.699997,129.100006,129.190002,112.779198,1429700
2016-05-16,128.820007,129.949997,128.779999,129.580002,113.119659,922800
2016-05-17,129.229996,130.000000,125.919998,126.419998,110.361076,1637100
2016-05-18,126.320000,126.769997,125.010002,126.120003,110.099182,1647000
2016-05-19,125.730003,126.870003,125.410004,126.800003,110.692818,1359700
2016-05-20,127.120003,127.410004,125.730003,126.059998,110.046814,1843000
2016-05-23,126.139999,126.300003,125.660004,125.949997,109.950768,1421400
2016-05-24,126.040001,127.269997,125.599998,126.760002,110.657875,1573200
2016-05-25,127.360001,127.910004,126.610001,127.209999,111.050743,2527300
2016-05-26,127.269997,128.119995,127.120003,127.919998,111.670540,1312300
2016-05-27,127.930000,129.130005,127.639999,128.449997,112.133194,1293000
2016-05-31,128.559998,128.940002,126.709999,127.040001,110.902306,4531100
2016-06-01,126.879997,128.050003,126.849998,127.980003,111.722931,1333300
2016-06-02,127.879997,128.000000,127.040001,128.000000,111.740372,1298700
2016-06-03,128.110001,130.169998,128.009995,130.080002,113.556160,1872100
2016-06-06,129.800003,130.740005,129.289993,130.169998,113.634712,1415600
2016-06-07,130.240005,130.779999,129.929993,130.199997,113.660889,1088300
2016-06-08,128.979996,130.000000,128.770004,129.779999,114.100487,1019100
2016-06-09,129.320007,130.779999,129.289993,130.690002,114.900551,794900
2016-06-10,129.830002,131.139999,129.289993,130.979996,115.155525,1238400
2016-06-13,130.619995,131.539993,130.119995,130.250000,114.513725,1077600
2016-06-14,130.210007,132.800003,129.320007,132.410004,116.412773,1951400
2016-06-15,132.809998,132.839996,131.639999,132.039993,116.087463,1413800
2016-06-16,131.580002,133.100006,131.289993,133.050003,116.975456,1050200
2016-06-17,133.000000,133.000000,131.089996,132.399994,116.403961,1964400
2016-06-20,133.279999,133.679993,132.690002,132.880005,116.825981,1464300
2016-06-21,133.309998,133.710007,133.000000,133.039993,116.966629,984400
2016-06-22,132.850006,134.020004,132.800003,133.160004,117.072166,1092300
2016-06-23,133.389999,134.009995,133.199997,133.960007,117.775505,937600
2016-06-24,131.649994,133.300003,130.869995,131.080002,115.243446,2260700
2016-06-27,130.820007,131.190002,129.789993,130.750000,114.953331,1631100
2016-06-28,131.330002,133.539993,130.699997,133.520004,117.388680,1781500
2016-06-29,133.910004,134.860001,133.529999,134.699997,118.426086,1455400
2016-06-30,134.759995,137.479996,134.259995,137.479996,120.870224,1767200
2016-07-01,137.000000,137.770004,136.720001,137.000000,120.448212,1470000
2016-07-05,137.000000,138.869995,136.759995,137.940002,121.274651,1542900
2016-07-06,137.779999,137.800003,135.899994,136.750000,120.228386,1984400
2016-07-07,136.789993,136.800003,133.539993,134.220001,118.004082,3703500
2016-07-08,134.830002,136.089996,134.020004,135.960007,119.533852,1519600
2016-07-11,135.800003,136.350006,134.690002,136.139999,119.692116,1002600
2016-07-12,135.600006,135.929993,134.339996,134.809998,118.522797,1420700
2016-07-13,134.809998,135.919998,134.789993,135.720001,119.322845,1086400
2016-07-14,135.940002,136.869995,135.639999,135.889999,119.472313,1040700
2016-07-15,136.259995,136.669998,135.520004,136.169998,119.718483,1094900
2016-07-18,136.289993,136.339996,135.050003,135.110001,118.786537,1105600
2016-07-19,135.000000,135.220001,134.529999,135.160004,118.830513,1577000
2016-07-20,135.270004,135.729996,133.669998,133.679993,117.529305,2081200
2016-07-21,133.789993,134.009995,133.020004,133.360001,117.247963,1476200
2016-07-22,133.800003,134.649994,133.570007,134.630005,118.364548,1768100
2016-07-25,133.000000,133.750000,131.500000,132.589996,116.571022,2448700
2016-07-26,132.589996,134.619995,132.050003,132.279999,116.298477,2819700
2016-07-27,132.190002,132.190002,129.800003,130.500000,114.733505,1683800
2016-07-28,130.669998,131.009995,129.490005,130.149994,114.425789,2267900
2016-07-29,130.250000,131.059998,129.550003,129.550003,113.898300,1827800
2016-08-01,129.220001,131.250000,128.910004,130.809998,115.006050,2611500
2016-08-02,130.839996,131.449997,130.080002,130.809998,115.006050,1730800
2016-08-03,131.100006,131.210007,128.470001,128.889999,113.318024,2278500
2016-08-04,129.300003,130.350006,129.059998,130.130005,114.408226,1291700
2016-08-05,130.240005,130.669998,128.850006,129.399994,113.766403,1560200
2016-08-08,129.369995,130.050003,128.539993,129.559998,113.907082,1476700
2016-08-09,129.619995,130.470001,129.270004,129.990005,114.285149,864000
2016-08-10,129.889999,130.550003,129.759995,130.250000,114.513725,971600
2016-08-11,130.759995,130.869995,128.830002,128.940002,113.361984,1608900
2016-08-12,129.300003,129.360001,128.429993,128.820007,113.256500,2333300
2016-08-15,128.910004,129.479996,128.619995,128.970001,113.388367,1221500
2016-08-16,128.800003,129.050003,127.519997,127.529999,112.122330,1443700
2016-08-17,127.699997,127.970001,126.809998,127.550003,112.139931,2158500
2016-08-18,127.580002,127.910004,127.239998,127.449997,112.052010,1350700
2016-08-19,126.970001,127.389999,126.330002,126.779999,111.462952,1785400
2016-08-22,126.779999,127.720001,126.370003,127.389999,111.999252,1213000
2016-08-23,127.660004,128.740005,127.459999,128.649994,113.107018,1726200
2016-08-24,128.649994,128.770004,127.500000,128.639999,113.098228,1416600
2016-08-25,128.449997,129.460007,128.289993,128.399994,112.887215,1556100
2016-08-26,128.509995,129.839996,127.889999,128.240005,112.746567,1454800
2016-08-29,128.399994,129.169998,128.070007,128.720001,113.168571,1486900
2016-08-30,128.720001,129.050003,127.930000,128.149994,112.667419,989000
2016-08-31,128.029999,128.619995,127.790001,128.059998,112.588326,1073600
2016-09-01,128.009995,128.339996,127.379997,128.119995,112.641045,1726100
2016-09-02,128.009995,129.460007,128.009995,128.820007,113.256500,816600
2016-09-06,128.820007,129.630005,128.369995,129.259995,113.643318,917200
2016-09-07,127.980003,128.419998,126.940002,127.080002,112.527611,1434500
2016-09-08,126.949997,127.089996,125.570000,125.910004,111.491600,1650400
2016-09-09,125.169998,125.169998,122.910004,122.959999,108.879402,2305100
2016-09-12,122.360001,123.919998,122.029999,123.629997,109.472679,1820600
2016-09-13,123.300003,123.559998,122.349998,122.389999,108.374672,1585500
2016-09-14,122.320000,122.980003,121.449997,121.870003,107.914238,1686400
2016-09-15,121.870003,122.959999,121.750000,122.440002,108.418976,1158100
2016-09-16,121.949997,122.809998,121.199997,121.809998,107.861099,2134500
2016-09-19,121.900002,122.540001,121.440002,122.169998,108.179878,1025500
2016-09-20,122.769997,124.379997,122.610001,123.470001,109.331009,1360600
2016-09-21,123.339996,125.349998,123.180000,124.940002,110.632668,1733600
2016-09-22,125.349998,127.419998,125.349998,127.230003,112.660446,1785100
2016-09-23,127.360001,127.360001,126.419998,126.730003,112.217705,1367600
2016-09-26,126.480003,127.129997,125.430000,125.510002,111.137398,1336900
2016-09-27,125.739998,126.230003,125.370003,125.690002,111.296783,1134900
2016-09-28,126.040001,126.589996,125.199997,126.480003,111.996323,1422400
2016-09-29,126.110001,126.500000,125.050003,125.220001,110.880623,1229700
2016-09-30,125.709999,126.860001,125.699997,126.139999,111.695259,1920000
2016-10-03,125.519997,125.760002,124.309998,124.760002,110.473289,1512300
2016-10-04,125.080002,125.080002,122.769997,123.029999,108.941383,1701900
2016-10-05,123.379997,123.580002,121.949997,122.629997,108.587189,1954600
2016-10-06,122.379997,123.959999,122.059998,123.230003,109.118500,1521300
2016-10-07,123.889999,124.089996,122.120003,123.010002,108.923698,1397800
2016-10-10,123.120003,123.690002,121.910004,122.160004,108.171021,1036100
2016-10-11,121.970001,122.160004,120.870003,121.389999,107.489197,1753000
2016-10-12,121.730003,122.510002,121.430000,121.879997,107.923073,1532900
2016-10-13,121.160004,122.040001,120.680000,121.629997,107.701721,1688700
2016-10-14,121.820000,121.989998,120.489998,120.500000,106.701126,1894800
2016-10-17,120.860001,121.300003,120.519997,120.690002,106.869370,1235500
2016-10-18,121.349998,121.629997,120.250000,120.540001,106.736534,1869900
2016-10-19,120.639999,120.650002,119.879997,120.209999,106.444321,1947400
2016-10-20,120.010002,120.300003,119.000000,119.169998,105.523407,2158800
2016-10-21,119.000000,120.459999,118.519997,119.580002,105.886459,2216600
2016-10-24,117.290001,118.410004,113.559998,113.910004,100.865776,5582900
2016-10-25,113.940002,115.000000,113.410004,113.730003,100.706375,3420800
2016-10-26,112.959999,114.269997,112.639999,113.660004,100.644379,2294100
2016-10-27,113.879997,114.269997,113.139999,113.820000,100.786072,2046800
2016-10-28,114.250000,114.989998,113.849998,114.550003,101.432472,2581200
2016-10-31,114.570000,114.769997,113.650002,114.410004,101.308487,2435900
2016-11-01,114.309998,114.970001,113.279999,114.000000,100.945457,1787900
2016-11-02,114.019997,114.860001,113.519997,113.550003,100.546989,1586100
2016-11-03,113.980003,114.139999,113.480003,113.650002,100.635536,1443800
2016-11-04,113.730003,114.050003,112.260002,112.349998,99.484398,1536800
2016-11-07,113.330002,114.180000,113.070000,113.980003,100.927750,1575600
2016-11-08,113.949997,116.089996,113.889999,115.480003,102.255974,1869500
2016-11-09,112.860001,116.349998,112.080002,115.370003,102.158577,2439400
2016-11-10,114.410004,114.440002,111.300003,112.150002,99.307304,2987200
2016-11-11,112.150002,113.779999,111.720001,112.910004,99.980286,1530700
2016-11-14,112.540001,113.580002,112.309998,113.089996,100.139641,2241200
2016-11-15,113.070000,114.099998,113.029999,113.870003,100.830345,2587100
2016-11-16,114.000000,114.410004,113.019997,113.339996,100.361031,1758000
2016-11-17,113.400002,113.830002,111.910004,112.360001,99.493240,2098000
2016-11-18,112.250000,113.410004,112.190002,113.110001,100.157372,1603800
2016-11-21,113.110001,114.190002,113.110001,113.800003,100.768356,1710100
2016-11-22,113.900002,114.989998,113.779999,114.540001,101.423615,1426900
2016-11-23,114.190002,115.000000,114.000000,114.559998,101.441315,1620800
2016-11-25,114.779999,116.300003,114.650002,115.839996,102.574753,996900
2016-11-28,115.669998,117.180000,115.370003,117.169998,103.752449,2108100
2016-11-29,117.160004,117.410004,115.910004,116.500000,103.159164,2011500
2016-11-30,116.120003,116.839996,114.660004,115.610001,102.371094,5053900
2016-12-01,115.070000,115.309998,113.290001,114.010002,100.954308,1985000
2016-12-02,114.209999,114.870003,113.559998,114.110001,101.042854,1433200
2016-12-05,114.320000,114.599998,113.089996,113.629997,100.617821,2130200
2016-12-06,113.629997,114.459999,113.529999,114.389999,101.290810,1458900
2016-12-07,113.790001,114.370003,113.419998,114.339996,102.067398,1870500
2016-12-08,113.949997,114.339996,113.349998,113.400002,101.228310,1470600
2016-12-09,113.500000,114.709999,113.349998,114.610001,102.308434,1854100
2016-12-12,114.720001,115.570000,114.480003,114.779999,102.460167,1450900
2016-12-13,114.580002,115.650002,114.190002,115.339996,102.960068,2545800
2016-12-14,115.650002,116.209999,114.419998,114.610001,102.308434,2334900
2016-12-15,114.500000,115.629997,114.180000,115.389999,103.004715,1354000
2016-12-16,115.629997,116.589996,115.339996,116.239998,103.763481,3166900
2016-12-19,116.449997,116.489998,114.790001,114.870003,102.540527,1437500
2016-12-20,114.910004,115.309998,114.029999,114.419998,102.138824,1821200
2016-12-21,114.500000,115.360001,114.500000,114.610001,102.308434,1225200
2016-12-22,114.500000,115.150002,114.000000,115.019997,102.674400,950100
2016-12-23,115.320000,115.349998,114.620003,114.820000,102.495895,779200
2016-12-27,114.870003,115.500000,114.830002,115.110001,102.754768,747000
2016-12-28,115.000000,115.239998,114.019997,114.150002,101.897804,929000
2016-12-29,114.839996,115.279999,114.339996,115.080002,102.727974,968500
2016-12-30,114.889999,115.150002,113.800003,114.120003,101.871017,1417500
2017-01-03,114.160004,114.910004,113.709999,114.559998,102.263786,1645800
2017-01-04,114.910004,115.430000,114.760002,115.180000,102.817261,1846000
2017-01-05,115.250000,116.089996,114.599998,116.010002,103.558167,1660300
2017-01-06,116.010002,116.610001,115.430000,116.430000,103.933098,1829300
2017-01-09,115.519997,116.000000,114.639999,114.639999,102.335220,1883900
2017-01-10,114.500000,114.629997,113.970001,114.360001,102.085266,2521100
2017-01-11,114.110001,114.830002,114.110001,114.410004,102.129883,1489200
2017-01-12,114.260002,114.589996,113.980003,114.459999,102.174522,1236800
2017-01-13,114.190002,114.889999,114.190002,114.589996,102.290558,1032400
2017-01-17,114.879997,116.059998,114.570000,116.029999,103.575996,1567900
2017-01-18,115.839996,116.779999,115.839996,116.400002,103.906303,2015200
2017-01-19,116.400002,116.449997,115.620003,115.900002,103.459961,2200200
2017-01-20,116.699997,117.169998,115.500000,116.220001,103.745613,2056100
2017-01-23,115.919998,117.050003,115.919998,116.980003,104.424065,2626700
2017-01-24,118.449997,122.029999,118.260002,121.790001,108.717781,4207100
2017-01-25,121.410004,122.839996,121.400002,122.000000,108.905235,3447500
2017-01-26,121.889999,122.639999,121.440002,122.150002,109.039116,2675500
2017-01-27,122.000000,122.089996,120.650002,120.980003,107.994713,1634000
2017-01-30,121.419998,121.419998,120.199997,120.589996,107.646561,2031900
2017-01-31,120.669998,121.720001,120.510002,121.129997,108.128609,2862800
2017-02-01,120.519997,121.580002,120.379997,121.010002,108.021484,1952600
2017-02-02,121.440002,122.129997,121.180000,121.410004,108.378548,1347900
2017-02-03,121.760002,122.320000,121.029999,121.540001,108.494606,1591800
2017-02-06,121.059998,121.820000,120.849998,121.239998,108.226799,1400000
2017-02-07,121.500000,122.900002,120.889999,122.449997,109.306923,2243100
2017-02-08,122.449997,123.019997,122.120003,122.930000,109.735420,1840300
2017-02-09,122.750000,124.330002,122.610001,123.580002,110.315643,2439500
2017-02-10,123.320000,123.839996,123.050003,123.550003,110.288872,1036000
2017-02-13,123.820000,123.860001,123.190002,123.430000,110.181755,1255100
2017-02-14,123.589996,123.589996,121.779999,122.879997,109.690773,1872300
2017-02-15,123.459999,124.680000,122.959999,124.410004,111.056564,1710100
2017-02-16,124.410004,126.720001,123.709999,126.620003,113.029350,2741600
2017-02-17,127.699997,132.190002,126.779999,131.929993,117.769379,6657000
2017-02-21,130.850006,134.979996,130.850006,134.639999,120.188545,3755000
2017-02-22,133.889999,136.210007,133.130005,134.830002,120.358131,3160200
2017-02-23,134.940002,135.690002,133.929993,134.339996,119.920715,1755600
2017-02-24,133.869995,134.559998,132.860001,133.660004,119.313698,2785200
2017-02-27,132.750000,133.440002,131.320007,132.630005,118.394272,1771500
2017-02-28,132.679993,133.309998,132.179993,132.550003,118.322868,2388700
2017-03-01,132.839996,133.470001,132.479996,133.240005,118.938805,1581900
2017-03-02,133.039993,134.750000,132.259995,134.500000,120.063553,1609200
2017-03-03,134.050003,134.220001,132.919998,133.649994,119.304794,1439400
2017-03-06,133.110001,133.800003,133.080002,133.330002,119.019142,1820700
2017-03-07,133.410004,134.089996,133.160004,133.380005,119.063774,2143500
