Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,34.450001,35.889999,34.330002,35.790001,27.464327,10916100
2016-01-05,36.650002,37.389999,36.230000,36.959999,28.362150,13382700
2016-01-06,36.349998,36.689999,35.730000,36.150002,27.740580,13051000
2016-01-07,36.549999,38.450001,36.290001,36.889999,28.308437,18245300
2016-01-08,36.849998,37.119999,35.549999,35.889999,27.541061,10981000
2016-01-11,37.000000,38.849998,36.950001,38.820000,29.789467,16954200
2016-01-12,38.869999,39.099998,37.610001,38.610001,29.628317,10161400
2016-01-13,38.439999,39.570000,38.180000,38.639999,29.651339,10138500
2016-01-14,38.700001,38.759998,37.590000,37.639999,28.883968,7297400
2016-01-15,36.820000,38.139999,36.820000,37.880001,29.068144,7774600
2016-01-19,37.990002,40.009998,37.470001,38.759998,29.743427,12771700
2016-01-20,38.130001,40.139999,37.520000,39.730000,30.487782,10793100
2016-01-21,39.799999,41.599998,39.730000,40.610001,31.163073,9147000
2016-01-22,41.000000,41.799999,40.599998,41.349998,31.730927,8391000
2016-01-25,41.250000,41.459999,39.250000,39.320000,30.173153,7357300
2016-01-26,39.560001,40.570000,39.529999,40.180000,30.833107,5299700
2016-01-27,39.830002,41.049999,39.820000,40.290001,30.917517,5554700
2016-01-28,40.619999,40.619999,39.240002,39.570000,30.365000,5278300
2016-01-29,39.990002,40.610001,39.840000,40.410000,31.009588,5767700
2016-02-01,40.220001,41.209999,39.630001,40.910000,31.393278,4905400
2016-02-02,41.220001,41.599998,40.349998,40.900002,31.385611,4189800
2016-02-03,40.980000,41.930000,39.980000,41.619999,31.938116,4480700
2016-02-04,39.939999,40.820000,39.480000,40.740002,31.262835,7030200
2016-02-05,41.279999,41.279999,40.160000,40.259998,30.894482,5461400
2016-02-08,40.000000,40.430000,39.020000,39.650002,30.426392,5649500
2016-02-09,39.480000,39.889999,38.790001,39.509998,30.318954,4117600
2016-02-10,39.799999,39.970001,38.720001,38.810001,29.781801,5004800
2016-02-11,38.320000,39.169998,37.730000,37.900002,29.083485,5364900
2016-02-12,38.060001,39.299999,37.709999,39.250000,30.119440,4476700
2016-02-16,39.560001,41.009998,39.040001,40.470001,31.055641,5171800
2016-02-17,40.950001,41.320000,40.869999,41.099998,31.539080,5693700
2016-02-18,40.669998,41.150002,40.150002,41.130001,31.562103,5145400
2016-02-19,40.779999,40.830002,38.830002,40.230000,30.871473,6112800
2016-02-22,40.490002,41.709999,40.349998,41.060001,31.508392,6766200
2016-02-23,42.000000,43.529999,40.520000,42.310001,32.467602,16311500
2016-02-24,41.480000,43.049999,40.880001,42.849998,32.881985,6680400
2016-02-25,43.209999,43.570000,42.560001,43.369999,33.281013,4399600
2016-02-26,43.959999,44.000000,42.799999,43.430000,33.327065,4475400
2016-02-29,43.470001,43.500000,42.889999,43.209999,33.158234,4110600
2016-03-01,43.470001,43.799999,43.150002,43.700001,33.534264,2605200
2016-03-02,43.580002,44.000000,43.209999,43.959999,33.733772,3101800
2016-03-03,43.959999,44.369999,43.480000,44.090000,33.833530,3329000
2016-03-04,44.119999,45.130001,43.980000,44.580002,34.209549,4268500
2016-03-07,44.230000,45.049999,44.230000,44.619999,34.240238,2749100
2016-03-08,44.509998,44.750000,44.009998,44.040001,33.795162,3138800
2016-03-09,44.130001,44.720001,43.889999,44.310001,34.002350,2878200
2016-03-10,44.700001,44.799999,43.740002,44.200001,33.917938,3123400
2016-03-11,44.419998,44.650002,43.990002,44.349998,34.312515,3357900
2016-03-14,44.189999,44.580002,43.540001,43.869999,33.941154,2989500
2016-03-15,44.040001,44.580002,42.910000,43.110001,33.353157,4432900
2016-03-16,43.130001,43.509998,42.410000,43.500000,33.654896,3755800
2016-03-17,43.400002,44.169998,43.139999,43.970001,34.018517,2932300
2016-03-18,44.119999,45.500000,43.930000,44.869999,34.714825,5373300
2016-03-21,44.650002,44.930000,43.740002,44.150002,34.157784,3522900
2016-03-22,44.119999,44.349998,43.560001,43.779999,33.871521,3082000
2016-03-23,43.590000,43.830002,42.900002,43.419998,33.592991,2526100
2016-03-24,43.450001,43.549999,42.880001,43.480000,33.639420,2622000
2016-03-28,43.509998,44.709999,43.509998,44.380001,34.335732,2665000
2016-03-29,44.590000,44.660000,44.189999,44.419998,34.366673,2561300
2016-03-30,44.619999,44.840000,43.849998,44.099998,34.119102,2364700
2016-03-31,44.090000,44.450001,43.650002,44.090000,34.111366,2861500
2016-04-01,44.009998,44.070000,42.910000,42.959999,33.237103,3766700
2016-04-04,43.099998,43.130001,42.099998,42.160000,32.618160,3839700
2016-04-05,42.000000,42.099998,41.340000,41.470001,32.084335,3140400
2016-04-06,41.650002,41.860001,40.750000,41.570000,32.161705,3629000
2016-04-07,41.400002,41.730000,40.349998,40.619999,31.426706,3558800
2016-04-08,40.180000,40.220001,39.310001,39.680000,30.699450,5153700
2016-04-11,39.750000,40.380001,39.570000,39.820000,30.807758,5571200
2016-04-12,39.939999,40.349998,39.279999,40.070000,31.001192,4214900
2016-04-13,40.110001,40.380001,39.349998,40.330002,31.202343,3993200
2016-04-14,40.349998,40.439999,39.060001,39.660000,30.683975,6076500
2016-04-15,39.790001,40.720001,39.759998,40.639999,31.442181,4715300
2016-04-18,40.730000,41.270000,40.410000,40.720001,31.504074,4201200
2016-04-19,40.849998,41.270000,40.540001,41.150002,31.836754,3505700
2016-04-20,41.209999,42.040001,41.160000,41.360001,31.999226,3460600
2016-04-21,41.400002,41.810001,41.180000,41.549999,32.146221,3926700
2016-04-22,41.400002,41.660000,40.700001,40.959999,31.689754,4173800
2016-04-25,40.779999,40.930000,40.099998,40.330002,31.202343,2447500
2016-04-26,40.259998,40.590000,39.910000,40.540001,31.364815,2877400
2016-04-27,40.669998,41.070000,40.240002,41.009998,31.728443,2633200
2016-04-28,40.910000,41.040001,40.529999,40.599998,31.411232,2298200
2016-04-29,40.650002,40.650002,39.310001,39.590000,30.629824,3274700
2016-05-02,39.779999,40.150002,39.619999,39.910000,30.877394,2919300
2016-05-03,39.680000,39.770000,39.150002,39.490002,30.552458,2924900
2016-05-04,39.160000,39.160000,38.230000,38.680000,29.925776,3903200
2016-05-05,38.450001,38.450001,37.520000,37.900002,29.322317,5176000
2016-05-06,37.480000,37.689999,37.000000,37.650002,29.128887,4274600
2016-05-09,37.060001,38.049999,36.930000,37.740002,29.198521,4746100
2016-05-10,37.250000,37.830002,36.910000,36.990002,28.618263,9834800
2016-05-11,36.990002,36.990002,31.350000,31.379999,24.277941,35465500
2016-05-12,31.209999,31.520000,30.360001,31.209999,24.146416,16842900
2016-05-13,31.059999,32.369999,30.440001,31.219999,24.154156,15950500
2016-05-16,31.469999,31.549999,30.500000,30.730000,23.775055,7993400
2016-05-17,30.750000,30.980000,30.209999,30.400000,23.519741,9053200
2016-05-18,30.190001,30.610001,29.940001,30.070000,23.264425,8359300
2016-05-19,30.200001,30.889999,30.100000,30.870001,23.883369,15603800
2016-05-20,31.000000,31.309999,30.500000,31.290001,24.208311,9078600
2016-05-23,31.309999,32.009998,31.260000,31.290001,24.208311,8382300
2016-05-24,31.350000,31.620001,31.080000,31.190001,24.130945,6215900
2016-05-25,31.330000,32.000000,31.190001,31.809999,24.610624,6729000
2016-05-26,32.160000,32.279999,31.400000,31.570000,24.424940,5358000
2016-05-27,31.660000,32.840000,31.510000,32.720001,25.314667,10194200
2016-05-31,32.630001,33.250000,32.540001,33.209999,25.693768,9122800
2016-06-01,33.049999,33.389999,32.720001,33.029999,25.554506,6846800
2016-06-02,33.049999,34.610001,33.049999,34.349998,26.575760,12976300
2016-06-03,33.930000,34.560001,33.840000,34.330002,26.560287,7624400
2016-06-06,34.520000,34.630001,33.880001,34.279999,26.521606,6255600
2016-06-07,34.099998,34.650002,33.889999,34.320000,26.552551,5378400
2016-06-08,34.560001,34.650002,33.990002,34.259998,26.506132,4882800
2016-06-09,34.150002,34.150002,33.240002,33.599998,25.995501,7187600
2016-06-10,32.950001,33.290001,32.630001,33.240002,25.716980,5959200
2016-06-13,32.529999,32.680000,31.549999,31.600000,24.728992,7936500
2016-06-14,31.670000,31.840000,30.950001,31.309999,24.502048,6164300
2016-06-15,31.910000,32.830002,31.820000,31.940001,24.995066,6757900
2016-06-16,32.610001,32.680000,32.009998,32.349998,25.315916,6281400
2016-06-17,32.320000,33.419998,32.320000,33.230000,26.004570,11335000
2016-06-20,33.599998,33.770000,33.169998,33.209999,25.988916,5676900
2016-06-21,33.389999,33.419998,32.919998,33.040001,25.855886,4177300
2016-06-22,33.200001,33.549999,32.740002,32.810001,25.675898,3989200
2016-06-23,33.500000,34.410000,33.270000,33.380001,26.121954,11227500
2016-06-24,32.400002,32.490002,31.990000,32.080002,25.104626,12607200
2016-06-27,31.870001,31.889999,30.820000,31.709999,24.815077,8269000
2016-06-28,32.020000,32.700001,31.820000,32.430000,25.378519,5871000
2016-06-29,32.740002,33.730000,32.669998,33.320000,26.075003,6855900
2016-06-30,33.450001,33.689999,32.650002,33.610001,26.301950,6587900
2016-07-01,33.619999,34.029999,33.389999,33.599998,26.294117,5157600
2016-07-05,33.330002,33.490002,32.540001,33.099998,25.902836,4905300
2016-07-06,32.930000,33.700001,32.669998,33.610001,26.301950,5912600
2016-07-07,33.580002,34.189999,33.410000,33.610001,26.301950,4533700
2016-07-08,33.950001,34.689999,33.939999,34.360001,26.888868,8148900
2016-07-11,34.509998,34.869999,34.430000,34.860001,27.280146,6507200
2016-07-12,34.980000,35.730000,34.970001,35.650002,27.898373,7639500
2016-07-13,35.560001,35.830002,34.860001,35.080002,27.452316,5755600
2016-07-14,35.529999,35.619999,34.599998,34.830002,27.256678,6540400
2016-07-15,34.939999,35.180000,34.470001,34.680000,27.139290,5885200
2016-07-18,34.590000,35.360001,34.540001,35.250000,27.585350,5467700
2016-07-19,35.090000,35.150002,34.750000,34.869999,27.287979,3289300
2016-07-20,35.139999,35.369999,34.810001,35.299999,27.624474,3011900
2016-07-21,35.279999,35.709999,35.250000,35.490002,27.773169,3667600
2016-07-22,35.500000,35.650002,34.880001,35.279999,27.608828,3513100
2016-07-25,35.410000,36.520000,35.360001,36.459999,28.532251,6423200
2016-07-26,37.040001,37.419998,36.619999,36.820000,28.813976,8192600
2016-07-27,36.950001,37.000000,35.529999,35.700001,27.937500,5423100
2016-07-28,35.580002,35.880001,34.779999,35.869999,28.070538,5052500
2016-07-29,35.830002,35.919998,35.000000,35.830002,28.039238,6623000
2016-08-01,35.919998,35.980000,35.220001,35.320000,27.640129,4821300
2016-08-02,34.970001,34.970001,32.330002,32.759998,25.636765,13392600
2016-08-03,31.920000,33.509998,31.020000,33.430000,26.161081,10820100
2016-08-04,33.459999,34.000000,33.139999,33.689999,26.364552,4681700
2016-08-05,33.970001,34.349998,33.740002,34.110001,26.693230,5181800
2016-08-08,34.709999,35.209999,34.599998,34.750000,27.194065,8447700
2016-08-09,34.500000,34.540001,33.470001,33.779999,26.434977,8427600
2016-08-10,33.990002,34.790001,33.900002,34.000000,26.607151,10848200
2016-08-11,38.900002,40.389999,38.410000,39.810001,31.153843,40540700
2016-08-12,39.230000,39.919998,38.939999,39.820000,31.161659,15747700
2016-08-15,39.980000,40.599998,39.880001,40.459999,31.662506,11196500
2016-08-16,40.080002,40.980000,39.959999,40.700001,31.850321,7633300
2016-08-17,40.459999,40.860001,39.889999,40.410000,31.623369,5798300
2016-08-18,40.439999,40.599998,39.830002,40.250000,31.498169,5013000
2016-08-19,40.099998,40.419998,39.919998,40.299999,31.537289,4863400
2016-08-22,40.299999,40.340000,39.299999,39.349998,30.793856,5598400
2016-08-23,39.650002,40.180000,39.480000,40.000000,31.302521,5603500
2016-08-24,39.880001,40.110001,39.619999,39.730000,31.091227,4083100
2016-08-25,39.520000,40.290001,39.070000,39.250000,30.715603,8484600
2016-08-26,39.250000,39.480000,38.430000,38.560001,30.175632,6257100
2016-08-29,38.639999,39.009998,38.349998,38.689999,30.277369,7557100
2016-08-30,38.689999,38.689999,38.029999,38.189999,29.886082,3644200
2016-08-31,38.250000,38.520000,36.080002,36.180000,28.313135,16085900
2016-09-01,36.320000,36.619999,36.029999,36.340000,28.438339,6774000
2016-09-02,36.430000,36.919998,36.110001,36.639999,28.673109,5428100
2016-09-06,36.509998,36.560001,35.730000,36.150002,28.289660,8188200
2016-09-07,36.400002,37.369999,36.240002,37.189999,29.103519,6638700
2016-09-08,37.139999,37.169998,35.950001,36.000000,28.172268,7557600
2016-09-09,35.869999,36.049999,35.470001,35.480000,27.765337,5026200
2016-09-12,35.270000,35.730000,34.810001,35.650002,27.898373,6999500
2016-09-13,34.959999,35.250000,34.310001,34.680000,27.429743,6029700
2016-09-14,35.450001,35.830002,34.820000,35.209999,27.848938,10993000
2016-09-15,35.110001,35.880001,35.060001,35.560001,28.125771,5816800
2016-09-16,35.369999,35.730000,35.189999,35.540001,28.109953,9439900
2016-09-19,35.560001,35.799999,35.150002,35.220001,27.856850,4416200
2016-09-20,35.299999,35.500000,34.849998,34.959999,27.651199,4226700
2016-09-21,35.799999,36.070000,35.480000,36.009998,28.481691,7009300
2016-09-22,36.180000,36.860001,36.000000,36.259998,28.679430,8356600
2016-09-23,36.220001,36.810001,36.209999,36.619999,28.964165,4698800
2016-09-26,36.400002,37.060001,36.200001,36.240002,28.663605,6223800
2016-09-27,36.209999,36.639999,36.049999,36.599998,28.948345,3590100
2016-09-28,36.189999,36.660000,35.700001,36.099998,28.552876,4994300
2016-09-29,36.000000,36.480000,35.810001,36.049999,28.513330,3813900
2016-09-30,36.389999,37.220001,36.389999,37.049999,29.304268,5363200
2016-10-03,36.970001,37.230000,36.169998,36.279999,28.695242,4269400
2016-10-04,36.310001,36.599998,36.080002,36.560001,28.916708,5100900
2016-10-05,36.759998,37.580002,36.570000,37.360001,29.549461,5997700
2016-10-06,37.169998,37.860001,36.730000,37.680000,29.802563,6813600
2016-10-07,37.889999,38.369999,37.549999,38.040001,30.087297,6689000
2016-10-10,38.220001,38.480000,37.439999,37.540001,29.691826,4378300
2016-10-11,37.529999,37.730000,37.139999,37.240002,29.454552,3830700
2016-10-12,37.240002,37.740002,36.970001,37.540001,29.691826,3730400
2016-10-13,37.290001,37.340000,36.389999,36.799999,29.106531,4712900
2016-10-14,35.970001,36.270000,35.189999,35.570000,28.133678,7822300
2016-10-17,35.529999,36.209999,34.880001,35.090000,27.754028,7208800
2016-10-18,35.250000,35.349998,34.799999,35.200001,27.841030,4659100
2016-10-19,35.150002,35.610001,34.900002,35.590000,28.149498,3200800
2016-10-20,35.599998,36.060001,35.480000,35.869999,28.370958,3277900
2016-10-21,35.759998,36.520000,35.590000,36.509998,28.877161,3349100
2016-10-24,36.689999,37.040001,36.400002,36.639999,28.979979,2991900
2016-10-25,36.240002,36.349998,35.810001,35.930000,28.418415,4082300
2016-10-26,35.820000,36.380001,35.759998,35.950001,28.434237,3899400
2016-10-27,36.000000,36.169998,35.130001,35.299999,27.920120,5347200
2016-10-28,35.320000,35.900002,35.240002,35.560001,28.125771,4083200
2016-10-31,36.020000,36.570000,35.799999,36.490002,28.861341,6991000
2016-11-01,36.439999,37.349998,36.419998,36.840000,29.138174,7155900
2016-11-02,36.860001,37.090000,36.560001,36.889999,29.177717,5097300
2016-11-03,37.040001,37.459999,36.810001,36.889999,29.177717,5951800
2016-11-04,36.970001,37.470001,36.799999,36.849998,29.146078,4210200
2016-11-07,37.230000,37.810001,37.099998,37.770000,29.873741,4792300
2016-11-08,37.709999,38.240002,37.480000,37.869999,29.952833,5347600
2016-11-09,37.189999,38.910000,36.750000,38.380001,30.356211,11462500
2016-11-10,39.990002,42.000000,39.599998,40.529999,32.056728,18878700
2016-11-11,40.490002,41.369999,40.169998,41.360001,32.713215,9285400
2016-11-14,41.099998,43.939999,41.099998,41.560001,32.871399,13391200
2016-11-15,41.570000,41.790001,40.450001,41.389999,32.736938,7689700
2016-11-16,41.790001,42.060001,41.209999,41.840000,33.092857,5874200
2016-11-17,41.939999,43.090000,41.680000,43.049999,34.049892,6278500
2016-11-18,42.720001,43.220001,41.959999,43.029999,34.034073,5055400
2016-11-21,43.139999,43.599998,42.849998,43.189999,34.160633,3919300
2016-11-22,43.740002,44.680000,43.490002,44.459999,35.165112,6643900
2016-11-23,44.209999,45.160000,44.189999,44.910000,35.521042,5410700
2016-11-25,45.150002,45.410000,44.090000,44.139999,34.912018,3061500
2016-11-28,43.750000,44.000000,42.860001,43.130001,34.113171,7049100
2016-11-29,43.270000,43.610001,42.389999,42.490002,33.606976,5770500
2016-11-30,42.389999,42.660000,41.580002,42.200001,33.377594,6986800
2016-12-01,42.009998,43.450001,41.900002,42.419998,33.551598,5248200
2016-12-02,42.490002,43.040001,42.250000,42.480000,33.599068,3662500
2016-12-05,42.619999,43.009998,41.520000,41.910000,33.148220,7201800
2016-12-06,41.799999,42.680000,41.330002,42.400002,33.535782,6825900
2016-12-07,42.560001,43.230000,42.349998,43.180000,34.152721,4518900
2016-12-08,43.209999,43.790001,42.669998,43.070000,34.065716,4230600
2016-12-09,43.040001,43.080002,42.169998,42.439999,33.567429,3613200
2016-12-12,42.240002,42.299999,40.369999,40.459999,32.001366,8359100
2016-12-13,40.250000,40.919998,39.990002,40.709999,32.502357,5360100
2016-12-14,40.580002,40.919998,40.139999,40.160000,32.063240,4294600
2016-12-15,40.090000,40.660000,40.049999,40.139999,32.047276,6317000
