Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,17.129999,17.129999,16.629999,17.059999,16.720276,1509600
2016-01-05,17.020000,17.020000,16.209999,16.280001,15.955809,2044700
2016-01-06,16.090000,16.139999,15.760000,15.850000,15.534369,1477800
2016-01-07,15.470000,15.710000,15.290000,15.350000,15.044327,2174800
2016-01-08,15.350000,15.500000,14.980000,15.020000,14.720899,2155800
2016-01-11,15.000000,15.090000,14.370000,14.620000,14.328863,2034000
2016-01-12,14.770000,14.890000,13.860000,14.110000,13.829019,3425300
2016-01-13,14.240000,14.460000,13.610000,13.660000,13.387980,3064300
2016-01-14,13.730000,13.930000,13.400000,13.800000,13.525191,2751700
2016-01-15,13.400000,13.400000,12.890000,13.090000,12.829331,2529100
2016-01-19,13.340000,13.340000,12.330000,12.590000,12.339289,3457900
2016-01-20,12.340000,12.540000,11.920000,12.420000,12.172672,2914300
2016-01-21,12.470000,12.890000,12.390000,12.680000,12.427496,2322900
2016-01-22,12.940000,13.200000,12.620000,12.870000,12.613712,1941500
2016-01-25,12.720000,12.860000,12.430000,12.450000,12.202076,2081200
2016-01-26,12.650000,13.000000,12.600000,12.990000,12.731323,3264600
2016-01-27,12.880000,13.460000,12.780000,13.210000,12.946941,3445100
2016-01-28,13.370000,13.510000,12.520000,12.590000,12.339289,2378500
2016-01-29,12.600000,12.950000,12.350000,12.940000,12.682318,2620800
2016-02-01,12.730000,12.770000,12.360000,12.660000,12.407893,2319000
2016-02-02,12.350000,12.430000,11.990000,12.060000,11.819842,2112600
2016-02-03,12.060000,12.340000,11.580000,12.330000,12.084466,2578800
2016-02-04,12.450000,13.340000,12.430000,12.940000,12.682318,2779100
2016-02-05,12.890000,13.340000,12.810000,12.900000,12.643114,1849300
2016-02-08,12.700000,12.720000,12.090000,12.310000,12.064864,2459500
2016-02-09,12.110000,13.770000,12.000000,13.540000,13.270370,5672500
2016-02-10,13.380000,13.860000,12.940000,13.410000,13.142960,3693600
2016-02-11,13.170000,13.420000,12.380000,12.580000,12.329486,3457200
2016-02-12,12.680000,13.310000,12.360000,13.040000,12.780327,2963600
2016-02-16,13.280000,13.720000,12.650000,13.620000,13.348777,2613000
2016-02-17,13.760000,14.510000,13.510000,14.200000,13.917226,3902400
2016-02-18,14.240000,14.980000,14.090000,14.860000,14.564083,4183400
2016-02-19,14.700000,14.750000,13.890000,14.060000,13.780014,2260700
