Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,66.975945,67.764603,66.257172,67.295403,53.575176,4785700
2016-01-05,67.065796,68.593193,66.666473,68.413498,54.465317,4475600
2016-01-06,66.636528,66.995911,64.649910,65.328751,52.009495,6751900
2016-01-07,63.961082,65.568344,63.581726,64.150757,51.071663,6573700
2016-01-08,64.649910,64.839584,62.833000,63.062611,50.205368,6213500
2016-01-11,62.852966,63.312187,59.868050,61.115925,48.655575,9141700
2016-01-12,61.315586,61.774803,58.720005,60.866352,48.456890,8010500
2016-01-13,61.645023,62.693241,59.927948,60.297321,48.003872,7849700
2016-01-14,60.646725,64.699821,60.087677,63.891201,50.865032,9598600
2016-01-15,61.215755,62.942814,60.856369,62.683258,49.903358,7427000
2016-01-19,63.392052,63.541794,60.237423,61.355518,48.846325,7865300
2016-01-20,60.157558,60.766521,58.140991,59.518646,47.383957,9801800
2016-01-21,59.009514,61.066010,58.660107,60.746555,48.361523,7213700
2016-01-22,63.422001,64.280540,61.335552,63.691540,50.706070,7603000
2016-01-25,62.902882,64.190689,61.625057,61.684956,49.108593,5632200
2016-01-26,62.982746,63.501862,62.034363,63.122509,50.253059,5590400
2016-01-27,62.693241,65.758018,62.174126,64.050926,50.992188,6222900
2016-01-28,66.037544,66.636528,63.971066,65.758018,52.351238,7611400
2016-01-29,65.877815,68.712990,65.768005,68.712990,54.703743,10032300
2016-02-01,67.425179,67.664772,65.718086,66.446846,52.899632,6064300
2016-02-02,64.230621,66.187286,63.921150,65.368683,52.041279,5772900
2016-02-03,66.476799,68.074074,64.639923,68.014175,54.147400,6430500
2016-02-04,68.782867,70.370171,66.666473,66.866135,53.233437,9283000
2016-02-05,66.287117,66.536697,64.639923,65.358704,52.033325,6403600
2016-02-08,63.571743,66.586609,63.132492,66.077477,52.605564,6607200
2016-02-09,65.019279,66.057510,63.941116,65.109123,51.834648,4978900
2016-02-10,65.019279,66.886101,64.180710,65.548378,52.184341,7309400
2016-02-11,64.280540,66.406914,64.010994,66.087463,52.613518,6049500
2016-02-12,66.886101,67.664772,66.327049,66.945999,53.297012,5033400
2016-02-16,68.133972,68.203857,67.035843,67.894386,54.052040,6307300
2016-02-17,69.222122,71.178787,68.593193,70.509926,56.134335,6550900
2016-02-18,71.208740,71.338516,69.691322,70.170509,55.864105,4886600
2016-02-19,69.721275,70.250374,68.812820,70.140556,55.840252,5556400
2016-02-22,71.777771,72.067276,70.979134,71.558144,56.968830,4673000
2016-02-23,71.248672,71.647987,68.463417,68.882698,54.838863,4221800
2016-02-24,67.594894,69.491661,67.285423,69.351898,55.212391,3453200
2016-02-25,69.550003,69.930000,68.470001,69.650002,55.449718,2522900
2016-02-26,71.230003,71.230003,69.750000,69.800003,55.569141,3347800
2016-02-29,70.309998,70.529999,68.519997,68.820000,54.788944,4651000
2016-03-01,69.250000,70.599998,68.570000,70.449997,56.086624,4472100
2016-03-02,70.080002,71.660004,69.570000,71.610001,57.010132,4522400
2016-03-03,71.589996,71.620003,69.379997,70.489998,56.118454,6663200
2016-03-04,70.699997,71.000000,69.150002,69.720001,55.505455,5744800
2016-03-07,70.070000,70.739998,68.320000,70.349998,56.007011,6939600
2016-03-08,69.120003,69.180000,66.199997,66.400002,53.431969,7144900
2016-03-09,67.230003,69.250000,66.300003,68.430000,55.065510,5721100
2016-03-10,68.269997,68.730003,67.529999,68.440002,55.073559,4637700
2016-03-11,69.669998,70.209999,69.110001,69.949997,56.288643,3925300
2016-03-14,69.129997,69.669998,68.650002,69.050003,55.564438,2938200
2016-03-15,68.059998,68.360001,67.480003,68.330002,54.985039,4180000
2016-03-16,68.739998,69.739998,68.070000,69.419998,55.862167,3601500
2016-03-17,70.330002,71.169998,69.449997,70.660004,56.859982,4337100
2016-03-18,71.239998,71.570000,70.099998,71.300003,57.374992,5978200
2016-03-21,70.889999,71.360001,70.070000,70.669998,56.868038,2327000
2016-03-22,70.029999,70.570000,69.370003,69.610001,56.015060,3321000
2016-03-23,68.889999,69.400002,68.029999,68.290001,54.952854,4478900
2016-03-24,67.269997,68.739998,67.250000,68.510002,55.129890,5142200
2016-03-28,68.660004,68.720001,67.760002,68.029999,54.743626,2499600
2016-03-29,66.949997,68.040001,66.900002,67.930000,54.663158,3324700
2016-03-30,68.910004,69.309998,68.220001,68.599998,55.202312,3037600
2016-03-31,68.239998,69.419998,68.150002,68.430000,55.065510,3304700
2016-04-01,67.230003,68.419998,66.980003,68.199997,54.880428,2629500
2016-04-04,68.680000,69.120003,67.769997,68.190002,54.872387,3233700
2016-04-05,67.480003,68.080002,66.940002,67.419998,54.252766,4191400
2016-04-06,67.940002,70.239998,67.400002,70.120003,56.425449,4120800
2016-04-07,69.550003,70.400002,69.000000,69.379997,55.829960,2558800
2016-04-08,70.709999,71.139999,70.220001,70.599998,56.811707,3212700
2016-04-11,70.809998,71.580002,70.769997,70.790001,56.964600,3170900
2016-04-12,71.279999,72.919998,70.330002,72.449997,58.300392,4211000
2016-04-13,72.650002,72.879997,71.650002,72.239998,58.131416,3753200
2016-04-14,72.660004,74.470001,72.300003,74.320000,59.805180,6062700
2016-04-15,73.800003,74.000000,72.099998,72.150002,58.058990,4782300
2016-04-18,72.150002,73.660004,70.699997,73.300003,58.984394,3763100
2016-04-19,73.709999,74.989998,72.989998,74.860001,60.239723,4027200
2016-04-20,74.629997,76.120003,74.000000,75.070000,60.408699,4187200
2016-04-21,75.209999,75.730003,74.379997,74.620003,60.046589,3228800
2016-04-22,74.919998,76.000000,74.830002,75.849998,61.036373,2851900
2016-04-25,75.260002,75.930000,74.629997,75.099998,60.432842,3065200
2016-04-26,75.750000,76.599998,75.239998,76.480003,61.543343,3223500
2016-04-27,76.760002,78.089996,76.650002,77.519997,62.380211,3678600
2016-04-28,77.709999,77.709999,75.830002,76.230003,61.342155,3683300
2016-04-29,76.500000,77.230003,75.779999,76.650002,61.680134,4495300
2016-05-02,76.220001,76.500000,75.389999,76.330002,61.422630,3354900
2016-05-03,75.430000,75.879997,74.709999,75.570000,60.811069,4191900
2016-05-04,75.180000,75.779999,73.849998,73.959999,59.515488,6165400
2016-05-05,75.660004,76.889999,75.080002,76.139999,61.269730,6338800
