Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,49.680000,50.799999,48.720001,50.720001,50.720001,1544100
2016-01-05,50.759998,50.970001,47.360001,47.529999,47.529999,1611800
2016-01-06,46.660000,46.689999,44.160000,44.619999,44.619999,2644600
2016-01-07,44.500000,47.110001,44.110001,45.639999,45.639999,3609800
2016-01-08,43.049999,45.320000,42.400002,44.490002,44.490002,7724400
2016-01-11,44.660000,44.860001,42.799999,44.220001,44.220001,2159800
2016-01-12,44.369999,45.770000,44.009998,44.779999,44.779999,1318100
2016-01-13,40.740002,42.250000,38.900002,40.389999,40.389999,5785300
2016-01-14,40.560001,40.639999,38.959999,39.419998,39.419998,2222800
2016-01-15,37.919998,38.049999,35.160000,36.599998,36.599998,3559500
2016-01-19,37.209999,37.480000,35.720001,36.290001,36.290001,1987000
2016-01-20,35.540001,37.939999,35.310001,37.049999,37.049999,1884700
2016-01-21,37.450001,38.400002,36.599998,37.840000,37.840000,1363000
2016-01-22,38.810001,41.150002,38.259998,41.060001,41.060001,2804100
2016-01-25,40.770000,40.810001,39.480000,39.759998,39.759998,1363300
2016-01-26,40.200001,40.500000,39.025002,39.759998,39.759998,1500000
2016-01-27,39.310001,39.419998,36.799999,37.020000,37.020000,2321100
2016-01-28,37.090000,37.709999,36.130001,36.669998,36.669998,1879000
2016-01-29,37.259998,39.980000,37.180000,39.599998,39.599998,2477000
2016-02-01,39.450001,40.549999,38.340000,39.970001,39.970001,1758400
2016-02-02,39.250000,39.349998,37.070000,37.150002,37.150002,1372000
2016-02-03,37.240002,37.590000,35.520000,37.060001,37.060001,1301500
2016-02-04,37.389999,38.939999,37.090000,38.779999,38.779999,2783800
2016-02-05,36.599998,38.200001,34.900002,37.250000,37.250000,3651500
2016-02-08,36.610001,37.220001,35.430000,36.419998,36.419998,2460900
2016-02-09,35.650002,37.060001,35.029999,35.139999,35.139999,1702600
2016-02-10,35.279999,36.669998,34.599998,35.360001,35.360001,1315400
2016-02-11,34.540001,34.900002,33.299999,34.529999,34.529999,1564400
2016-02-12,35.200001,37.730000,34.820000,37.549999,37.549999,2090800
2016-02-16,38.119999,41.230000,37.509998,40.779999,40.779999,2704400
2016-02-17,41.230000,44.720001,41.040001,41.590000,41.590000,4120000
2016-02-18,41.599998,42.299999,39.919998,40.410000,40.410000,2317200
2016-02-19,40.119999,42.110001,40.110001,41.849998,41.849998,1923000
2016-02-22,42.790001,43.000000,41.228001,41.959999,41.959999,2008200
2016-02-23,41.730000,42.320000,40.950001,41.490002,41.490002,1425200
2016-02-24,40.980000,42.470001,40.540001,42.169998,42.169998,1485000
2016-02-25,42.310001,43.060001,41.430000,42.669998,42.669998,1444700
2016-02-26,43.080002,44.139999,42.720001,43.459999,43.459999,2503100
2016-02-29,43.500000,46.639999,43.470001,45.080002,45.080002,2249600
2016-03-01,45.520000,48.243000,45.500000,47.360001,47.360001,2361000
2016-03-02,46.660000,48.290001,46.650002,47.650002,47.650002,1825900
2016-03-03,47.730000,49.130001,47.230000,49.110001,49.110001,1878200
2016-03-04,49.560001,50.820000,48.590000,49.900002,49.900002,2496300
2016-03-07,49.500000,50.070000,48.377998,49.060001,49.060001,2235200
2016-03-08,48.910000,49.099998,46.860001,47.090000,47.090000,2326900
2016-03-09,47.540001,48.680000,46.230000,48.180000,48.180000,1432200
2016-03-10,48.200001,48.930000,46.680000,47.400002,47.400002,1359900
2016-03-11,48.070000,49.110001,47.514999,48.639999,48.639999,1058700
2016-03-14,48.310001,49.130001,47.590000,48.730000,48.730000,1614700
2016-03-15,49.360001,49.900002,48.099998,49.270000,49.270000,1238700
2016-03-16,48.930000,50.169998,48.139999,48.990002,48.990002,1593400
2016-03-17,48.689999,49.430000,48.240002,49.200001,49.200001,1352800
2016-03-18,49.389999,51.150002,49.160000,50.689999,50.689999,2730900
2016-03-21,50.650002,51.200001,50.029999,50.639999,50.639999,756800
2016-03-22,50.349998,51.849998,50.180000,51.750000,51.750000,1226300
2016-03-23,51.720001,51.779999,49.500000,49.520000,49.520000,906700
2016-03-24,49.230000,49.470001,48.580002,49.240002,49.240002,1295700
2016-03-28,49.660000,49.669998,48.849998,49.099998,49.099998,863200
2016-03-29,48.799999,50.689999,48.209999,50.580002,50.580002,1032500
2016-03-30,51.000000,51.950001,50.779999,51.230000,51.230000,1270700
2016-03-31,51.009998,51.250000,50.369999,50.410000,50.410000,1029900
2016-04-01,50.150002,51.270000,49.549999,50.820000,50.820000,1231300
2016-04-04,50.930000,51.250000,50.340000,50.619999,50.619999,763400
2016-04-05,50.029999,50.619999,49.680000,49.860001,49.860001,768800
2016-04-06,49.970001,50.580002,48.435001,50.500000,50.500000,1168400
2016-04-07,49.849998,50.490002,48.639999,48.730000,48.730000,1098200
2016-04-08,49.430000,49.799999,48.779999,49.240002,49.240002,1143200
2016-04-11,49.410000,49.470001,47.950001,47.990002,47.990002,905900
2016-04-12,47.959999,48.340000,47.160000,47.680000,47.680000,1195600
2016-04-13,48.099998,50.160000,47.820000,50.040001,50.040001,1265500
2016-04-14,49.410000,49.900002,48.799999,49.630001,49.630001,885900
2016-04-15,49.290001,49.790001,47.610001,47.740002,47.740002,1472900
2016-04-18,47.299999,47.520000,46.660000,47.160000,47.160000,1350700
2016-04-19,46.980000,47.000000,44.869999,45.240002,45.240002,2333000
2016-04-20,45.060001,46.279999,44.576000,45.939999,45.939999,1669200
2016-04-21,45.860001,46.330002,44.650002,45.349998,45.349998,1265100
2016-04-22,45.259998,46.349998,45.240002,45.700001,45.700001,859600
2016-04-25,45.520000,45.700001,44.520000,45.049999,45.049999,639400
2016-04-26,45.419998,46.930000,45.180000,46.299999,46.299999,1082600
2016-04-27,44.299999,47.380001,44.299999,46.619999,46.619999,2316900
2016-04-28,46.230000,46.880001,45.639999,45.830002,45.830002,1382900
2016-04-29,45.669998,46.494999,43.970001,45.029999,45.029999,2132200
2016-05-02,45.070000,45.119999,44.000000,44.709999,44.709999,1196400
2016-05-03,44.320000,45.189999,44.320000,45.040001,45.040001,1433200
2016-05-04,44.480000,45.430000,43.790001,44.509998,44.509998,2385300
2016-05-05,47.900002,48.950001,46.509998,46.660000,46.660000,4693000
2016-05-06,46.650002,46.827999,45.020000,46.110001,46.110001,1750400
2016-05-09,46.270000,46.584000,45.400002,45.619999,45.619999,914300
2016-05-10,45.860001,46.880001,45.060001,46.639999,46.639999,1217900
2016-05-11,46.400002,46.880001,45.970001,45.990002,45.990002,729200
2016-05-12,46.189999,46.540001,44.520000,45.180000,45.180000,1682800
2016-05-13,45.240002,46.380001,44.520000,44.990002,44.990002,1266800
2016-05-16,45.029999,46.410000,45.000000,45.560001,45.560001,1255200
2016-05-17,45.540001,46.700001,45.270000,45.830002,45.830002,1287700
2016-05-18,45.630001,47.680000,45.349998,47.220001,47.220001,2056300
2016-05-19,46.709999,48.070000,46.369999,47.169998,47.169998,1696500
2016-05-20,47.660000,49.450001,47.400002,49.400002,49.400002,1782200
2016-05-23,50.000000,51.560001,50.000000,50.400002,50.400002,1909100
2016-05-24,50.740002,51.529999,50.060001,50.980000,50.980000,936700
2016-05-25,50.970001,51.450001,50.240002,50.650002,50.650002,963800
2016-05-26,50.730000,51.040001,50.209999,50.529999,50.529999,786700
2016-05-27,50.380001,50.669998,49.799999,50.529999,50.529999,1006400
2016-05-31,50.750000,51.430000,50.250000,50.970001,50.970001,1244700
2016-06-01,50.650002,52.340000,50.500000,52.139999,52.139999,1574600
2016-06-02,52.000000,53.740002,51.990002,53.490002,53.490002,1814200
2016-06-03,54.000000,54.669998,52.730000,53.669998,53.669998,2155100
2016-06-06,53.810001,55.110001,53.810001,54.810001,54.810001,1752300
2016-06-07,54.919998,55.900002,54.689999,55.490002,55.490002,1185400
2016-06-08,55.560001,56.139999,54.950001,56.040001,56.040001,1419600
2016-06-09,56.009998,56.500000,55.200001,56.070000,56.070000,1365100
2016-06-10,55.400002,55.400002,53.880001,54.029999,54.029999,2308000
2016-06-13,53.509998,54.459999,53.400002,53.689999,53.689999,1792700
2016-06-14,53.570000,54.549999,53.400002,54.430000,54.430000,1310400
2016-06-15,54.720001,55.259998,53.759998,54.939999,54.939999,1565700
2016-06-16,54.209999,54.860001,53.500000,54.810001,54.810001,1051800
2016-06-17,54.750000,54.830002,53.549999,54.500000,54.500000,1507100
2016-06-20,55.520000,56.750000,54.930000,55.980000,55.980000,1459400
2016-06-21,56.320000,56.580002,55.580002,56.330002,56.330002,957800
2016-06-22,56.259998,57.044998,55.560001,55.639999,55.639999,1457500
2016-06-23,56.150002,58.299999,56.000000,58.279999,58.279999,1334100
2016-06-24,56.200001,56.990002,54.090000,54.939999,54.939999,4327100
2016-06-27,53.990002,54.049999,50.250000,50.689999,50.689999,1904100
2016-06-28,51.810001,53.380001,51.259998,52.750000,52.750000,1435900
2016-06-29,53.099998,54.880001,52.877998,54.650002,54.650002,1735400
2016-06-30,54.790001,55.259998,53.840000,55.259998,55.259998,1450000
2016-07-01,54.400002,54.750000,52.939999,54.500000,54.500000,1509900
2016-07-05,53.750000,54.000000,50.630001,51.820000,51.820000,1526100
2016-07-06,51.490002,52.680000,50.450001,52.570000,52.570000,1263100
2016-07-07,53.459999,54.939999,53.450001,54.369999,54.369999,1265000
2016-07-08,54.840000,56.250000,54.700001,56.020000,56.020000,1084500
2016-07-11,56.939999,58.680000,56.430000,57.730000,57.730000,1596300
2016-07-12,58.209999,58.650002,57.580002,58.000000,58.000000,1142600
2016-07-13,58.439999,58.499001,56.650002,56.669998,56.669998,1271700
2016-07-14,57.540001,59.480000,57.060001,59.310001,59.310001,1535900
2016-07-15,59.500000,59.599998,58.680000,59.419998,59.419998,1005600
2016-07-18,59.790001,60.980000,59.540001,60.660000,60.660000,1333000
2016-07-19,60.310001,60.618999,60.099998,60.400002,60.400002,760900
2016-07-20,60.720001,61.169998,59.810001,60.799999,60.799999,1120200
2016-07-21,61.230000,61.419998,59.759998,60.099998,60.099998,1296700
2016-07-22,59.400002,61.000000,58.470001,60.560001,60.560001,2098700
2016-07-25,60.770000,61.130001,60.340000,60.619999,60.619999,1196200
2016-07-26,61.130001,61.750000,60.080002,60.380001,60.380001,2172100
2016-07-27,64.199997,64.800003,62.180000,63.009998,63.009998,2865800
2016-07-28,63.000000,64.379997,62.520000,63.099998,63.099998,1351800
2016-07-29,63.000000,63.439999,61.790001,63.230000,63.230000,2546700
2016-08-01,63.500000,64.480003,63.099998,63.470001,63.470001,1807600
2016-08-02,63.340000,63.340000,61.099998,61.450001,61.450001,3358600
2016-08-03,55.500000,56.509998,54.049999,55.119999,55.119999,7982500
2016-08-04,55.470001,55.500000,52.459999,53.410000,53.410000,4671100
2016-08-05,53.790001,55.270000,53.327999,55.049999,55.049999,2741900
2016-08-08,55.090000,55.441002,54.064999,54.299999,54.299999,2269900
2016-08-09,54.380001,55.200001,54.380001,54.490002,54.490002,1656500
2016-08-10,54.860001,54.880001,54.060001,54.139999,54.139999,1230600
2016-08-11,54.490002,54.869999,54.130001,54.480000,54.480000,1105300
2016-08-12,54.570000,54.869999,54.250000,54.590000,54.590000,1170400
2016-08-15,54.540001,56.450001,54.540001,55.770000,55.770000,2221100
2016-08-16,55.410000,55.619999,54.860001,55.279999,55.279999,1343000
2016-08-17,55.009998,55.639999,54.330002,54.560001,54.560001,1305900
2016-08-18,54.720001,55.669998,54.570000,55.200001,55.200001,1308200
2016-08-19,55.060001,56.521000,54.910000,56.230000,56.230000,1351800
2016-08-22,56.049999,56.450001,55.570000,55.980000,55.980000,889800
2016-08-23,56.279999,56.630001,55.939999,56.029999,56.029999,1734000
2016-08-24,56.119999,57.918999,56.080002,57.310001,57.310001,1964000
2016-08-25,57.130001,58.389000,57.020000,57.939999,57.939999,1665100
2016-08-26,57.840000,58.529999,56.700001,57.619999,57.619999,1294000
2016-08-29,57.639999,58.130001,57.529999,57.869999,57.869999,802400
2016-08-30,57.500000,58.029999,57.290001,57.689999,57.689999,1359200
2016-08-31,57.459999,57.750000,56.750000,57.430000,57.430000,1625700
2016-09-01,57.459999,57.849998,56.340000,57.750000,57.750000,1581800
2016-09-02,57.950001,58.330002,57.150002,57.599998,57.599998,965700
2016-09-06,57.849998,57.849998,55.450001,56.020000,56.020000,2521500
2016-09-07,54.959999,56.259998,54.959999,55.930000,55.930000,1769900
2016-09-08,55.709999,56.099998,55.320000,55.430000,55.430000,2224800
2016-09-09,55.000000,55.310001,52.430000,52.480000,52.480000,3136300
2016-09-12,52.000000,53.799999,51.189999,53.759998,53.759998,2047000
2016-09-13,54.009998,54.570000,53.330002,53.919998,53.919998,1641700
2016-09-14,53.860001,55.419998,53.580002,55.110001,55.110001,2186700
2016-09-15,55.369999,56.860001,55.237000,56.529999,56.529999,2219100
2016-09-16,56.669998,56.669998,54.980000,55.759998,55.759998,3648200
2016-09-19,55.750000,56.639999,55.560001,56.330002,56.330002,1240400
2016-09-20,56.470001,56.540001,54.619999,54.750000,54.750000,1489200
2016-09-21,54.930000,56.090000,54.730000,56.070000,56.070000,1093700
2016-09-22,56.369999,56.970001,56.189999,56.520000,56.520000,928000
2016-09-23,56.480000,56.650002,54.840000,54.869999,54.869999,1257800
2016-09-26,54.439999,54.689999,53.549999,53.990002,53.990002,1286100
2016-09-27,53.840000,54.730999,53.299999,54.599998,54.599998,926600
2016-09-28,54.889999,55.604000,54.180000,54.619999,54.619999,846700
2016-09-29,54.299999,54.830002,52.820000,53.680000,53.680000,2948700
2016-09-30,54.110001,56.209999,53.860001,55.740002,55.740002,2216500
2016-10-03,55.400002,56.139999,54.099998,54.150002,54.150002,1414600
2016-10-04,54.320000,54.939999,54.060001,54.250000,54.250000,1007600
2016-10-05,54.560001,55.700001,54.299999,54.500000,54.500000,1416600
2016-10-06,54.720001,55.439999,53.849998,55.340000,55.340000,1124500
2016-10-07,55.570000,56.869999,55.240002,56.639999,56.639999,1645600
2016-10-10,56.689999,57.228001,55.750000,56.020000,56.020000,831900
2016-10-11,55.919998,56.097000,54.950001,55.520000,55.520000,1178100
2016-10-12,55.480000,55.610001,54.630001,55.209999,55.209999,1159000
2016-10-13,54.790001,54.994999,52.709999,52.910000,52.910000,1698200
2016-10-14,53.029999,54.279999,52.910000,53.000000,53.000000,846500
2016-10-17,52.930000,53.380001,52.599998,52.650002,52.650002,632600
2016-10-18,53.180000,54.060001,53.169998,53.590000,53.590000,818200
2016-10-19,53.320000,54.380001,52.990002,54.349998,54.349998,667200
2016-10-20,54.369999,55.160000,54.200001,54.880001,54.880001,1135500
2016-10-21,54.540001,54.910000,53.804001,54.700001,54.700001,830400
2016-10-24,55.299999,57.490002,55.000000,57.290001,57.290001,1813500
2016-10-25,57.180000,57.430000,56.150002,56.330002,56.330002,988800
2016-10-26,55.820000,56.799999,55.419998,56.650002,56.650002,968400
2016-10-27,57.080002,57.290001,55.259998,55.590000,55.590000,1448200
2016-10-28,55.799999,56.200001,54.099998,54.180000,54.180000,1124700
2016-10-31,54.549999,55.950001,54.459999,55.650002,55.650002,992800
2016-11-01,55.660000,56.650002,55.158001,56.009998,56.009998,1210000
2016-11-02,55.730000,56.480000,55.415001,56.060001,56.060001,1304200
2016-11-03,56.029999,57.680000,55.720001,56.740002,56.740002,3605800
2016-11-04,48.360001,51.459999,48.279999,51.080002,51.080002,10113500
2016-11-07,51.480000,51.500000,49.759998,50.470001,50.470001,4073300
2016-11-08,50.209999,51.590000,49.610001,50.959999,50.959999,2737600
2016-11-09,50.060001,51.930000,49.601002,51.779999,51.779999,2023800
2016-11-10,51.790001,53.599998,50.750999,51.560001,51.560001,2272900
2016-11-11,52.930000,54.580002,52.590000,53.520000,53.520000,2038400
