Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,121.599998,122.570000,121.250000,122.379997,108.382927,1183000
2016-01-05,122.169998,123.690002,121.870003,123.300003,109.197708,1242600
2016-01-06,121.750000,123.379997,121.629997,122.400002,108.400642,1050800
2016-01-07,121.230003,121.660004,119.930000,120.309998,106.549690,1020700
2016-01-08,120.639999,121.139999,119.919998,120.040001,106.310555,1316600
2016-01-11,120.599998,121.260002,119.599998,120.739998,106.930496,822100
2016-01-12,121.599998,122.160004,120.250000,121.669998,107.754120,883600
2016-01-13,122.000000,122.180000,119.059998,119.160004,105.531227,926100
2016-01-14,119.220001,120.900002,118.800003,120.300003,106.540840,700100
2016-01-15,118.980003,118.980003,117.610001,118.260002,104.734154,1107900
2016-01-19,119.510002,120.349998,118.529999,119.730003,106.036026,947200
2016-01-20,118.480003,120.190002,117.360001,119.379997,105.726051,1149900
2016-01-21,119.379997,119.870003,117.919998,119.260002,105.619774,994300
2016-01-22,120.379997,122.970001,119.959999,122.889999,108.834587,1182400
2016-01-25,122.430000,123.620003,121.680000,121.849998,107.913551,733600
2016-01-26,122.019997,123.470001,121.949997,122.930000,108.870026,480300
2016-01-27,123.070000,125.389999,123.070000,124.440002,110.207321,1173200
2016-01-28,125.099998,127.620003,124.910004,126.290001,111.845741,1044100
2016-01-29,127.059998,128.429993,126.330002,128.320007,113.643539,1024000
2016-02-01,127.889999,129.690002,127.480003,129.130005,114.360901,824000
2016-02-02,127.849998,129.449997,127.320000,128.330002,113.652397,785700
2016-02-03,128.740005,130.000000,127.500000,129.369995,114.573433,996100
2016-02-04,128.610001,129.350006,125.099998,125.930000,111.526886,1041000
2016-02-05,126.160004,126.730003,125.040001,125.470001,111.119507,588800
2016-02-08,124.790001,126.080002,123.180000,125.690002,111.314354,1059100
2016-02-09,125.389999,128.119995,124.940002,127.349998,112.784485,956700
2016-02-10,127.349998,128.929993,126.730003,127.820000,113.799446,688700
2016-02-11,126.250000,127.239998,125.059998,126.150002,112.312614,1017200
2016-02-12,127.510002,127.570000,125.760002,126.919998,112.998169,799700
2016-02-16,128.539993,128.710007,125.739998,127.699997,113.692604,836200
2016-02-17,128.380005,129.720001,126.080002,127.430000,113.452217,1511500
2016-02-18,127.500000,128.339996,125.779999,127.529999,113.541252,1531200
2016-02-19,126.570000,127.839996,125.510002,127.750000,113.737129,982200
2016-02-22,128.669998,129.000000,126.519997,126.860001,112.944756,1274000
2016-02-23,123.500000,125.519997,121.790001,123.849998,110.264893,2690000
2016-02-24,123.580002,127.949997,123.220001,127.760002,113.746017,1457000
2016-02-25,128.500000,129.830002,128.240005,129.570007,115.357483,859500
2016-02-26,129.820007,130.000000,126.940002,127.669998,113.665901,762300
2016-02-29,127.389999,128.550003,126.849998,127.570000,113.576859,1003500
