Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,21.799999,21.809999,21.360001,21.540001,19.030306,7300
2016-01-05,21.959999,21.990000,21.780001,21.959999,19.401369,5000
2016-01-06,21.620001,21.750000,21.600000,21.600000,19.083317,1900
2016-01-07,21.170000,21.490000,21.110001,21.299999,18.818266,5400
2016-01-08,21.170000,21.280001,20.780001,21.000000,18.553221,5100
2016-01-11,21.059999,21.080000,20.920000,21.080000,18.623901,1600
2016-01-12,21.129999,21.170000,20.980000,21.160000,18.694580,8700
2016-01-13,21.350000,21.350000,21.100000,21.120001,18.659241,800
2016-01-14,21.000000,21.209999,21.000000,21.150000,18.685745,1200
2016-01-15,20.330000,20.330000,20.080000,20.290001,17.925947,3800
2016-01-19,20.700001,20.700001,20.570000,20.690001,18.279343,3500
2016-01-20,20.240000,20.280001,19.990000,20.250000,17.890608,7200
2016-01-21,20.559999,20.940001,20.559999,20.889999,18.456038,4800
2016-01-22,21.230000,21.340000,21.059999,21.340000,18.853607,5300
2016-01-25,21.340000,21.340000,21.020000,21.160000,18.694580,4200
2016-01-26,21.030001,21.170000,20.879999,21.170000,18.703415,7200
2016-01-27,21.120001,21.430000,21.120001,21.340000,18.853607,1500
2016-01-28,21.450001,21.520000,21.450001,21.510000,19.003801,1500
2016-01-29,21.639999,22.010000,21.639999,22.010000,19.445545,1500
2016-02-01,21.920000,22.080000,21.799999,22.080000,19.507387,4800
2016-02-02,21.730000,21.820000,21.510000,21.510000,19.003801,2100
2016-02-03,21.190001,21.799999,20.959999,21.799999,19.260010,4700
2016-02-04,21.799999,22.290001,21.520000,22.080000,19.507387,11400
2016-02-05,22.160000,22.510000,22.160000,22.440001,19.825445,3700
2016-02-08,21.910000,22.420000,21.770000,22.420000,19.807774,11000
2016-02-09,21.930000,22.290001,21.930000,22.290001,19.692921,3800
2016-02-10,22.500000,22.500000,22.370001,22.370001,19.763599,2000
2016-02-11,21.420000,21.430000,21.150000,21.270000,18.791763,5800
2016-02-12,21.330000,21.610001,21.320000,21.500000,18.994967,5400
2016-02-16,21.780001,21.780001,21.370001,21.410000,18.915453,4100
2016-02-17,21.480000,21.920000,21.480000,21.900000,19.348360,9100
2016-02-18,21.820000,21.900000,21.709999,21.820000,19.277683,2200
2016-02-19,21.500000,21.540001,21.420000,21.459999,18.959625,3700
2016-02-22,21.930000,21.980000,21.780001,21.860001,19.313021,3900
2016-02-23,22.020000,22.020000,21.760000,21.820000,19.277683,2000
2016-02-24,21.340000,21.670000,21.340000,21.670000,19.145159,2100
2016-02-25,21.639999,21.709999,21.610001,21.610001,19.092148,800
2016-02-26,21.500000,21.500000,21.209999,21.209999,18.738754,400
2016-02-29,21.320000,21.320000,21.250000,21.250000,18.774094,2600
2016-03-01,21.590000,22.250000,21.450001,22.250000,19.657581,5800
2016-03-02,21.580000,21.830000,21.430000,21.830000,19.286516,3900
2016-03-03,22.020000,22.250000,21.990000,22.250000,19.657581,3100
2016-03-04,22.920000,23.290001,22.920000,23.250000,20.541069,1100
