Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,46.119999,46.130001,45.360001,45.799999,41.830185,3472200
2016-01-05,45.810001,46.770000,45.610001,46.480000,42.451244,3895800
2016-01-06,45.770000,45.980000,45.169998,45.630001,41.674919,2748000
2016-01-07,44.740002,45.320000,43.740002,43.830002,40.030941,3939000
2016-01-08,43.669998,44.119999,42.840000,42.930000,39.208939,4067000
2016-01-11,43.360001,43.750000,42.759998,43.119999,39.382473,3612200
2016-01-12,43.529999,43.529999,42.759998,43.360001,39.601673,2941400
2016-01-13,43.520000,43.700001,41.849998,41.910000,38.277359,3847000
2016-01-14,42.130001,42.560001,41.520000,42.410000,38.734020,4700100
2016-01-15,41.049999,42.959999,40.439999,42.810001,39.099346,7656800
2016-01-19,43.419998,43.509998,42.099998,42.790001,39.081078,4548700
2016-01-20,42.580002,43.590000,41.689999,43.080002,39.345951,5903200
2016-01-21,47.099998,48.299999,45.959999,46.779999,42.725235,11717800
2016-01-22,47.509998,47.790001,47.189999,47.720001,43.583755,3714900
2016-01-25,47.320000,48.310001,47.320000,47.500000,43.382835,3574800
2016-01-26,47.580002,48.400002,47.369999,48.349998,44.159157,3506700
2016-01-27,48.349998,49.139999,47.869999,48.139999,43.967361,2606800
2016-01-28,47.970001,48.400002,47.709999,48.000000,43.839485,2419400
2016-01-29,48.419998,50.299999,48.349998,50.270000,45.912735,4473700
2016-02-01,49.910000,50.259998,49.430000,49.900002,45.574806,3148200
2016-02-02,49.119999,49.680000,48.240002,48.500000,44.296154,3542400
2016-02-03,48.880001,48.880001,47.169998,48.549999,44.341820,4171900
2016-02-04,48.689999,49.490002,48.430000,49.360001,45.081604,2255300
2016-02-05,49.009998,49.150002,47.840000,48.070000,43.903423,3575600
2016-02-08,47.849998,47.849998,46.560001,47.380001,43.273239,4200500
2016-02-09,47.000000,47.889999,46.860001,47.220001,43.127098,3177200
2016-02-10,47.369999,47.799999,46.830002,46.869999,42.807426,2386900
2016-02-11,46.060001,47.610001,45.849998,47.250000,43.154503,3263000
2016-02-12,47.529999,47.750000,46.270000,47.650002,43.519836,2845800
2016-02-16,48.040001,48.380001,47.560001,48.080002,43.912560,3414200
2016-02-17,48.439999,49.029999,48.080002,48.820000,44.588413,2802400
2016-02-18,48.820000,48.959999,47.889999,47.939999,43.784683,2452500
2016-02-19,47.860001,48.570000,47.860001,48.430000,44.232224,2008700
2016-02-22,48.820000,49.250000,48.560001,48.889999,44.652351,2330300
2016-02-23,48.570000,48.930000,48.299999,48.459999,44.259617,2019000
2016-02-24,47.349998,47.869999,46.330002,47.580002,43.455894,6968700
2016-02-25,47.730000,48.259998,47.220001,48.250000,44.067825,2388000
2016-02-26,48.509998,48.720001,48.259998,48.389999,44.195690,2403400
2016-02-29,48.259998,48.470001,47.220001,47.220001,43.405167,2522400
2016-03-01,47.799999,48.320000,47.240002,48.209999,44.315189,2276500
2016-03-02,48.189999,48.240002,47.330002,48.160000,44.269230,2571300
2016-03-03,47.950001,48.290001,47.430000,47.860001,43.993465,1412700
2016-03-04,47.840000,47.840000,46.840000,47.000000,43.202934,4379400
2016-03-07,46.650002,47.230000,45.910000,47.119999,43.313248,3872200
2016-03-08,46.639999,46.810001,45.939999,45.950001,42.237762,2074000
2016-03-09,46.090000,46.720001,46.000000,46.430000,42.678993,2589500
2016-03-10,46.580002,47.070000,45.910000,46.380001,42.633022,2425500
2016-03-11,46.880001,47.029999,46.580002,46.720001,42.945560,2882700
2016-03-14,46.930000,47.580002,46.529999,47.000000,43.202934,3774000
2016-03-15,47.180000,47.220001,46.810001,47.060001,43.258095,2572300
2016-03-16,46.700001,47.680000,46.700001,47.650002,43.800438,3380700
2016-03-17,47.360001,47.500000,46.810001,47.040001,43.239708,2426600
2016-03-18,47.169998,47.680000,46.910000,47.470001,43.634972,3507600
2016-03-21,47.189999,47.509998,46.990002,47.490002,43.653351,4148300
2016-03-22,47.459999,47.910000,47.220001,47.570000,43.726891,2078500
2016-03-23,47.599998,47.650002,47.160000,47.330002,43.506287,1672900
2016-03-24,47.080002,47.220001,46.900002,47.020000,43.221336,2462200
2016-03-28,47.180000,47.500000,46.980000,47.040001,43.239708,2188800
2016-03-29,47.000000,47.330002,46.910000,47.250000,43.432751,2346500
2016-03-30,47.549999,47.950001,47.250000,47.869999,44.002655,2189200
2016-03-31,47.840000,47.980000,47.400002,47.430000,43.598202,2504000
2016-04-01,46.990002,47.700001,46.630001,47.619999,43.772854,1930200
2016-04-04,47.639999,47.639999,46.910000,47.139999,43.331631,2280100
2016-04-05,46.900002,47.139999,46.810001,46.910000,43.120205,2204200
2016-04-06,46.790001,47.320000,46.419998,47.250000,43.432751,1876900
2016-04-07,46.959999,47.060001,46.029999,46.139999,42.412422,2677800
2016-04-08,46.480000,46.750000,45.980000,46.299999,42.559494,1764100
2016-04-11,46.410000,46.750000,46.189999,46.209999,42.476761,1506900
2016-04-12,46.110001,46.320000,45.410000,45.869999,42.164230,1770100
2016-04-13,46.110001,46.750000,45.919998,46.650002,42.881218,1405200
2016-04-14,46.509998,46.549999,45.689999,46.549999,42.789295,2181600
2016-04-15,46.490002,46.500000,45.930000,46.009998,42.292919,1682700
2016-04-18,46.049999,46.310001,45.860001,46.259998,42.522713,1913600
2016-04-19,46.500000,46.500000,45.700001,45.900002,42.191807,1994200
2016-04-20,45.790001,46.730000,45.689999,46.459999,42.706562,2952100
2016-04-21,46.310001,46.349998,45.950001,46.029999,42.311306,2126300
2016-04-22,46.029999,46.470001,45.750000,45.869999,42.164230,2084200
2016-04-25,45.759998,46.090000,45.470001,45.790001,42.090706,1571100
2016-04-26,45.930000,47.080002,45.930000,46.950001,43.156975,4205400
2016-04-27,46.830002,47.360001,46.349998,47.349998,43.524666,3303200
2016-04-28,45.000000,45.750000,41.529999,43.230000,39.737518,18924300
2016-04-29,42.990002,43.900002,42.709999,43.080002,39.599632,4517300
2016-05-02,43.209999,43.869999,43.090000,43.740002,40.206306,3141900
2016-05-03,43.299999,43.490002,42.959999,43.480000,39.967308,2926500
2016-05-04,43.340000,43.709999,42.840000,42.980000,39.507710,3431700
2016-05-05,42.970001,43.380001,42.740002,43.090000,39.608829,3033700
2016-05-06,42.770000,43.220001,42.610001,43.200001,39.709934,1675300
2016-05-09,43.349998,43.580002,43.009998,43.070000,39.590435,2237800
2016-05-10,43.150002,43.549999,42.930000,43.240002,39.746708,1878300
2016-05-11,43.130001,43.430000,42.880001,43.060001,39.581245,2318700
2016-05-12,43.259998,43.299999,42.369999,42.919998,39.452553,2595800
2016-05-13,42.840000,43.540001,42.669998,43.240002,39.746708,2941800
2016-05-16,42.980000,43.820000,42.980000,43.509998,40.302471,2853700
2016-05-17,43.430000,44.150002,43.299999,43.529999,40.321007,3298600
2016-05-18,43.360001,44.220001,43.240002,43.930000,40.691513,2729900
2016-05-19,43.790001,44.060001,43.459999,43.840000,40.608143,4267600
2016-05-20,44.119999,44.790001,44.020000,44.750000,41.451065,2555700
2016-05-23,44.889999,45.080002,44.810001,44.889999,41.580742,2795400
2016-05-24,45.049999,47.889999,44.900002,47.450001,43.952019,13259300
2016-05-25,47.459999,47.549999,46.470001,47.119999,43.646347,5303800
2016-05-26,47.139999,47.310001,46.730000,47.110001,43.637089,2522900
2016-05-27,46.480000,48.000000,46.480000,47.360001,43.868660,2523800
2016-05-31,47.450001,47.450001,46.860001,47.389999,43.896442,2316400
2016-06-01,47.150002,47.450001,47.009998,47.369999,43.877914,1814700
2016-06-02,46.790001,47.380001,46.540001,47.119999,43.646347,3452000
2016-06-03,47.529999,47.970001,46.919998,47.410000,43.914970,2963900
2016-06-06,47.410000,47.470001,46.849998,46.869999,43.414772,2768500
2016-06-07,47.070000,47.259998,46.820000,47.169998,43.692657,1633200
2016-06-08,47.099998,47.349998,46.900002,47.180000,43.701923,1269400
2016-06-09,46.970001,47.119999,46.799999,47.029999,43.562977,1826700
2016-06-10,46.529999,47.049999,46.490002,46.730000,43.285095,1400600
2016-06-13,46.639999,46.900002,46.270000,46.320000,42.905315,2119400
2016-06-14,46.279999,47.070000,46.279999,46.959999,43.498142,2434500
2016-06-15,47.029999,47.240002,46.669998,46.689999,43.248039,1824600
2016-06-16,46.330002,46.910000,46.189999,46.840000,43.386990,1285600
2016-06-17,46.860001,46.880001,46.139999,46.400002,42.979431,3527300
2016-06-20,47.009998,47.240002,46.439999,46.500000,43.072060,2020100
