Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,228.0,228.0,223.84,224.28,224.28,351648
2019-12-24,225.0,228.0,224.695,227.76,227.76,234790
2019-12-26,227.76,228.49,224.59,225.93,225.93,233513
2019-12-27,226.0,226.85,224.94,226.19,226.19,302811
2019-12-30,226.02,229.9799,224.69,229.58,229.58,720652
2019-12-31,229.0,230.7011,227.3,228.03,228.03,458423
2020-01-02,228.78,229.68,227.02,229.18,229.18,558225
2020-01-03,227.44,229.41,227.08,228.73,228.73,330360
2020-01-06,226.72,233.18,226.72,231.86,231.86,807647
2020-01-07,231.81,234.93,231.02,234.04,234.04,492708
2020-01-08,234.07,236.02,232.63,233.13,233.13,544253
2020-01-09,233.04,235.455,232.29,233.0,233.0,561030
2020-01-10,233.15,233.45,230.19,231.33,231.33,661274
2020-01-13,230.89,232.82,229.81,231.32,231.32,422333
2020-01-14,231.12,232.26,229.51,229.79,229.79,491736
2020-01-15,229.62,231.12,224.0601,224.11,224.11,852033
2020-01-16,225.29,225.88,223.68,224.98,224.98,1208645
2020-01-17,225.9,228.655,224.38,226.97,226.97,910862
2020-01-21,226.5,228.96,225.57,226.86,226.86,470093
2020-01-22,226.94,229.81,226.83,227.18,227.18,432696
2020-01-23,226.55,227.54,224.57,225.16,225.16,508221
2020-01-24,225.23,225.95,220.42,220.74,220.74,456504
2020-01-27,217.64,222.72,216.79,222.26,222.26,630980
2020-01-28,220.8,222.98,219.2517,221.95,221.95,579261
2020-01-29,223.15,224.88,220.78,223.84,223.84,569679
2020-01-30,222.08,223.13,217.7301,218.28,218.28,940114
2020-01-31,218.01,219.88,216.59,217.47,217.47,686113
2020-02-03,218.55,224.36,218.3,222.47,222.47,461639
2020-02-04,224.83,229.19,224.34,227.55,227.55,449915
2020-02-05,228.88,233.05,228.88,231.64,231.64,612828
2020-02-06,231.65,232.73,230.0,231.45,231.45,429159
2020-02-07,231.11,231.48,226.69,229.82,229.82,388853
2020-02-10,229.85,230.57,228.0,228.5,228.5,303448
2020-02-11,235.99,244.64,233.23,243.45,243.45,1174687
2020-02-12,243.26,244.27,238.375,241.32,241.32,749591
2020-02-13,240.41,244.2,240.0,244.14,244.14,524323
2020-02-14,245.02,246.72,243.26,245.68,245.68,439921
