Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,35.36,35.41,34.86,35.11,34.8146899594,143179
2019-12-24,35.24,35.33,35.01,35.19,34.8940170798,47261
2019-12-26,35.39,35.69,35.32,35.56,35.2609050116,95457
2019-12-27,35.54,35.61,35.29,35.48,35.1815778912,129772
2019-12-30,35.45,35.94,35.42,35.71,35.4096433623,155355
2019-12-31,35.63,36.77,35.63,36.51,36.2029145662,385738
2020-01-02,36.89,37.1,35.91,36.17,35.8657743045,376455
2020-01-03,35.74,36.2,34.49,36.05,35.7467836239,315320
2020-01-06,35.55,36.37,35.5,36.19,35.8856060846,275141
2020-01-07,36.23,36.9,36.23,36.63,36.3219052467,268582
2020-01-08,36.52,38.08,36.52,37.98,37.6605504033,346760
2020-01-09,38.05,39.15,37.79,38.3,37.9778588848,747261
2020-01-10,38.11,38.57,37.67,37.84,37.5217279426,223772
2020-01-13,37.87,38.37,37.83,38.35,38.027438335,291330
2020-01-14,38.28,38.67,38.14,38.2,37.8786999843,219133
2020-01-15,37.99,38.23,36.8,37.24,36.9267745397,286516
2020-01-16,37.35,37.88,37.35,37.57,37.2539989113,360419
2020-01-17,37.68,37.77,36.69,37.21,36.8970268695,282185
2020-01-21,37.08,37.49,37.04,37.26,36.9466063198,321708
2020-01-22,37.26,38.14,37.26,37.89,37.5713073928,208904
2020-01-23,37.69,38.17,37.5,38.15,37.8291205341,272975
2020-01-24,38.14,38.14,37.24,37.69,37.3729895919,265345
2020-01-27,37.29,37.48,36.78,36.83,36.5202230477,294960
2020-01-28,36.87,37.35,36.79,37.05,36.7383726288,172037
2020-01-29,37.12,37.26,36.51,36.62,36.3119893567,220953
2020-01-30,38.0,40.0,36.26,37.61,37.2936624715,468772
2020-01-31,36.8,37.93,36.8,37.22,36.9069427596,270017
2020-02-03,37.24,38.0,37.24,37.59,37.2738306914,205183
2020-02-04,37.9,38.46,37.51,38.1,37.7795410838,182142
2020-02-05,38.35,39.0,37.7169,38.5,38.1761766858,419891
2020-02-06,38.85,39.2,38.13,38.4,38.0770177853,157025
2020-02-07,38.26,38.59,38.08,38.45,38.1265972355,142333
2020-02-10,38.5,39.08,38.43,38.61,38.2852514763,294664
2020-02-11,38.97,39.15,38.61,38.88,38.5529805076,234865
2020-02-12,39.05,39.18,38.8,39.11,38.7810459787,202158
2020-02-13,38.87,39.76,38.87,39.75,39.4156629418,308323
2020-02-14,39.72,39.94,39.55,39.72,39.3859152716,212787
2020-02-18,39.65,39.86,39.26,39.74,39.4057470517,205622
2020-02-19,39.78,39.95,39.56,39.67,39.3363358214,196434
2020-02-20,39.45,39.91,39.1,39.49,39.1578498005,315980
2020-02-21,39.46,39.72,39.14,39.62,39.2867563712,154639
2020-02-24,38.59,38.94,38.17,38.58,38.2555038061,251238
2020-02-25,38.68,38.81,36.05,36.06,35.756699514,367954
2020-02-26,36.31,36.77,35.48,35.7,35.3997274722,374377
2020-02-27,34.91,34.91,32.41,33.73,33.4462971327,587021
2020-02-28,32.55,33.63,32.2,32.85,32.5736988085,360565
2020-03-02,33.04,34.04,32.93,33.97,33.6842784939,374018
2020-03-03,34.18,34.44,32.9,33.34,33.0595774209,259967
2020-03-04,33.98,34.2,32.65,33.9,33.6148672636,257849
2020-03-05,33.05,33.45,32.0,32.34,32.067988416,323091
2020-03-06,31.07,32.24,30.67,31.73,31.4631191231,300071
2020-03-09,29.38,29.77,26.83,26.84,26.6638283397,537059
2020-03-10,27.79,28.46,26.67,27.97,27.7864112765,342806
2020-03-11,27.1,27.81,25.15,25.28,25.1140678252,376069
2020-03-12,23.71,24.78,21.99,22.34,22.1933653171,901602
2020-03-13,23.91,24.81,21.98,23.57,23.4152918766,702328
2020-03-16,16.98,22.0,16.98,19.74,19.6104311262,431634
2020-03-17,20.17,20.78,18.92,20.12,19.9879368925,754619
2020-03-18,18.92,19.74,15.61,16.29,16.1830761421,651711
2020-03-19,16.18,21.96,15.81,21.57,21.4284194221,765074
2020-03-20,21.57,22.37,19.68,20.65,20.514458093,698797
2020-03-23,20.94,20.94,18.92,19.94,19.8091183716,396448
2020-03-24,21.12,21.55,19.77,20.26,20.1270179644,444705
2020-03-25,20.55,20.93,19.03,19.81,19.6799716621,537205
2020-03-26,20.29,23.57,20.0,22.07,21.9251375357,644497
2020-03-27,21.29,22.02,20.57,21.42,21.279403988,459168
2020-03-30,21.63,21.96,20.34,21.6,21.4582225089,240109
2020-03-31,21.22,22.06,20.75,21.72,21.5774348562,342521
2020-04-01,20.58,20.61,17.57,17.59,17.4745432376,788520
2020-04-02,17.47,18.32,16.8,17.14,17.0274969353,389302
2020-04-03,16.86,17.0,14.62,15.03,14.9313464958,948076
2020-04-06,15.89,17.23,15.85,16.99,16.8784815012,498754
