Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,149.13,149.5,146.58,148.75,148.75,826956
2019-12-24,148.54,148.72,146.28,148.13,148.13,423021
2019-12-26,149.04,152.95,148.01,151.25,151.25,762904
2019-12-27,151.72,151.72,148.8,150.91,150.91,667064
2019-12-30,150.05,151.205,142.905,146.71,146.71,1491808
2019-12-31,145.4,147.92,144.76,146.25,146.25,878735
2020-01-02,149.55,154.5,148.0,153.57,153.57,1596079
2020-01-03,150.54,163.2699,149.91,159.58,159.58,2922574
2020-01-06,157.53,165.36,156.6945,164.76,164.76,3378219
2020-01-07,164.78,167.98,163.37,165.76,165.76,2531087
2020-01-08,166.09,171.0012,165.02,167.46,167.46,1636987
2020-01-09,168.07,172.35,166.6,171.46,171.46,1345846
2020-01-10,171.49,173.13,168.6,169.6,169.6,808397
2020-01-13,171.6,174.2,170.68,173.64,173.64,1340716
2020-01-14,173.5,174.27,169.46,171.1,171.1,1385584
2020-01-15,172.2,173.97,169.61,169.87,169.87,1055006
2020-01-16,170.05,172.61,167.82,168.98,168.98,1006492
2020-01-17,169.5,170.53,166.77,169.43,169.43,712090
2020-01-21,169.1,173.87,168.72,169.57,169.57,1308066
2020-01-22,171.36,174.0,167.21,167.51,167.51,2584368
2020-01-23,167.38,168.0351,164.43,165.25,165.25,1663426
2020-01-24,167.43,171.457,163.62,163.7,163.7,1162515
2020-01-27,159.4,161.97,158.02,161.31,161.31,1107912
2020-01-28,161.75,166.0,161.6,165.36,165.36,624264
2020-01-29,167.0,168.3,164.86,165.26,165.26,928846
2020-01-30,164.47,166.77,161.1,165.79,165.79,877838
2020-01-31,165.8,166.26,159.32,161.15,161.15,1522521
2020-02-03,162.76,163.25,159.56,161.73,161.73,1126749
2020-02-04,165.72,172.12,164.92,169.07,169.07,1982177
2020-02-05,170.54,170.94,155.58,158.64,158.64,3135858
2020-02-06,158.56,160.89,154.11,158.55,158.55,874205
2020-02-07,158.79,161.93,157.11,157.88,157.88,1675036
2020-02-10,158.16,163.07,157.88,161.24,161.24,768478
2020-02-11,162.58,163.7,158.9,160.03,160.03,648092
2020-02-12,161.77,165.88,158.02,165.36,165.36,835991
2020-02-13,164.06,170.035,163.78,165.16,165.16,1345202
2020-02-14,165.89,170.105,165.89,167.47,167.47,584359
2020-02-18,166.82,171.33,164.51,169.42,169.42,1034826
2020-02-19,171.04,175.0,170.18,173.04,173.04,1684045
2020-02-20,172.52,178.0,166.18,169.15,169.15,1468753
2020-02-21,167.23,167.75,159.78,163.31,163.31,1021403
2020-02-24,154.01,161.18,152.51,160.29,160.29,1587945
2020-02-25,162.25,164.37,156.305,159.9,159.9,1716031
2020-02-26,160.03,167.76,159.0802,160.16,160.16,1179911
2020-02-27,153.32,160.1599,148.63,153.69,153.69,2017006
2020-02-28,147.26,153.98,145.42,149.75,149.75,2702093
2020-03-02,154.79,158.9,149.26,158.53,158.53,1150173
2020-03-03,158.69,162.85,149.336,150.5,150.5,1773399
2020-03-04,154.16,156.5312,149.02,153.38,153.38,1046957
2020-03-05,149.08,152.4027,147.0,151.92,151.92,969020
2020-03-06,148.6,150.24,137.4502,141.33,141.33,1988751
2020-03-09,131.54,135.0,123.735,124.32,124.32,2186675
2020-03-10,129.11,130.25,121.13,128.8,128.8,4373060
2020-03-11,124.54,128.025,117.22,120.87,120.87,2175438
2020-03-12,105.0,120.0,99.01,115.72,115.72,3868620
2020-03-13,124.41,124.8549,116.49,120.84,120.84,2362476
2020-03-16,109.65,123.55,106.26,109.57,109.57,2762673
2020-03-17,111.3,140.0,110.0,137.14,137.14,4434310
2020-03-18,124.01,136.9999,122.0,134.89,134.89,2679090
2020-03-19,136.06,151.69,133.39,142.38,142.38,2902543
2020-03-20,142.22,151.195,140.0,141.42,141.42,2740057
2020-03-23,141.6,142.35,124.61,136.39,136.39,2326127
2020-03-24,142.01,147.8199,133.33,139.76,139.76,1992156
2020-03-25,139.19,142.71,130.03,131.12,131.12,1303059
2020-03-26,132.19,143.19,131.29,142.72,142.72,1065714
2020-03-27,140.0,148.79,136.65,146.47,146.47,1351415
2020-03-30,147.63,152.105,143.48,150.52,150.52,1615428
2020-03-31,146.28,151.69,137.5,139.73,139.73,2349820
2020-04-01,133.34,134.76,125.3902,131.59,131.59,2730607
2020-04-02,127.47,134.19,120.0,132.7,132.7,1805987
2020-04-03,130.64,133.29,123.865,126.22,126.22,1793236
2020-04-06,129.11,141.86,125.3,140.63,140.63,1384186
2020-04-07,143.0,143.76,128.55,130.76,130.76,1963983
2020-04-08,131.26,138.4,127.725,136.38,136.38,2164434
2020-04-09,138.13,142.32,133.74,135.55,135.55,1624466
2020-04-13,135.48,140.1,132.61,137.5,137.5,1514322
2020-04-14,148.0,158.58,146.29,157.0,157.0,3088527
2020-04-15,155.96,162.6523,153.53,158.8,158.8,1519952
2020-04-16,162.18,167.72,160.5,163.7,163.7,1639639
2020-04-17,165.12,166.5499,159.17,166.06,166.06,1240536
2020-04-20,163.46,169.2047,161.19,166.52,166.52,1294658
2020-04-21,163.65,166.6,150.885,157.45,157.45,1510286
2020-04-22,159.9,163.41,158.29,161.94,161.94,1133458
2020-04-23,154.7,162.96,153.005,159.87,159.87,2071335
2020-04-24,161.62,163.84,159.34,163.27,163.27,974375
2020-04-27,166.0,169.73,164.11,168.89,168.89,1330902
2020-04-28,170.65,172.08,159.06,160.99,160.99,1454284
2020-04-29,161.56,169.8,159.0,168.3,168.3,1022107
2020-04-30,168.69,180.54,167.685,176.09,176.09,2085752
2020-05-01,173.23,176.48,170.42,171.24,171.24,1092174
2020-05-04,170.695,178.77,167.62,177.21,177.21,1311422
2020-05-05,180.0,194.4899,179.0058,189.73,189.73,2441206
2020-05-06,189.5,195.34,189.01,190.99,190.99,990584
2020-05-07,194.31,200.0,193.13,193.73,193.73,1378251
2020-05-08,194.81,199.41,189.86,193.885,193.885,903351
2020-05-11,193.53,212.12,192.185,209.31,209.31,2672715
2020-05-12,211.0,218.91,203.15,209.71,209.71,2139694
2020-05-13,211.35,213.37,198.0601,205.38,205.38,2201788
2020-05-14,204.42,210.66,202.0,210.25,210.25,1209149
2020-05-15,208.65,215.63,207.51,212.61,212.61,1072287
2020-05-18,216.14,217.91,208.26,209.9,209.9,1345385
2020-05-19,211.1,217.86,209.57,212.74,212.74,1240454
2020-05-20,217.21,219.44,210.05,213.87,213.87,1038723
2020-05-21,215.02,217.07,208.37,212.55,212.55,744114
2020-05-22,216.44,228.45,213.57,227.48,227.48,1974126
2020-05-26,230.06,230.87,214.3179,217.78,217.78,2524341
2020-05-27,214.13,216.27,199.6632,210.71,210.71,2119836
2020-05-28,205.37,219.72,205.37,217.02,217.02,1315947
2020-05-29,222.2,231.5,220.27,227.51,227.51,5273719
2020-06-01,225.77,238.1898,225.02,233.96,233.96,1960941
2020-06-02,235.17,235.485,221.38,230.08,230.08,1710427
2020-06-03,228.89,230.83,219.68,224.21,224.21,1790819
2020-06-04,224.0,225.35,214.82,218.05,218.05,1504758
2020-06-05,209.97,217.15,204.38,216.94,216.94,1321682
2020-06-08,214.5,221.6,211.54,220.78,220.78,2550396
2020-06-09,213.0,237.74,212.81,224.59,224.59,3869778
2020-06-10,225.0,232.5,222.24,223.74,223.74,4173718
2020-06-11,219.67,225.67,214.14,217.97,217.97,4313241
2020-06-12,222.5,226.97,216.585,224.01,224.01,1844926
2020-06-15,221.67,238.42,220.7,238.39,238.39,2256353
2020-06-16,240.44,249.02,237.42,247.75,247.75,2229024
2020-06-17,249.77,255.59,248.2,252.61,252.61,1957093
2020-06-18,253.63,260.46,250.85,259.81,259.81,1582897
2020-06-19,263.6,263.6,254.84,258.86,258.86,1785835
2020-06-22,259.46,263.83,256.985,262.2,262.2,1672704
2020-06-23,262.86,270.06,261.0,262.47,262.47,1488294
2020-06-24,261.62,266.36,255.8601,257.91,257.91,1561091
2020-06-25,261.91,275.78,260.28,274.23,274.23,2108996
2020-06-26,274.4,279.08,266.46,275.7,275.7,1903166
2020-06-29,273.38,275.69,263.51,272.94,272.94,1289700
2020-06-30,274.99,280.15,271.46,277.04,277.04,1306000
2020-07-01,277.63,289.25,275.21,287.79,287.79,1624700
2020-07-02,290.21,294.54,288.06,290.79,290.79,1152900
2020-07-06,295.97,297.0,285.8,287.04,287.04,1460200
2020-07-07,288.32,293.99,284.17,290.38,290.38,1256500
2020-07-08,295.47,305.0,291.41,304.87,304.87,1708200
2020-07-09,307.74,312.93,298.52,312.22,312.22,2171300
2020-07-10,312.0,314.09,305.0,308.28,308.28,1143500
2020-07-13,311.88,312.0,280.07,283.01,283.01,1841200
2020-07-14,283.0,297.9,276.61,297.79,297.79,2477500
2020-07-15,296.97,298.97,289.96,297.18,297.18,2213300
2020-07-16,294.43,297.63,286.07,296.95,296.95,1965200
2020-07-17,300.12,304.57,295.89,303.64,303.64,1975700
2020-07-20,303.48,317.93,302.85,316.06,316.06,1242011
2020-07-21,316.0,317.71,301.03,309.49,309.49,2172557
2020-07-22,311.1,315.15,306.2327,313.43,313.43,1217476
2020-07-23,313.19,317.525,293.39,296.35,296.35,1417434
2020-07-24,290.43,295.9781,284.21,292.11,292.11,908035
2020-07-27,295.8,295.8,284.23,292.85,292.85,1325208
2020-07-28,292.8,301.34,289.73,294.38,294.38,748776
2020-07-29,296.5,303.7,295.24,300.07,300.07,987375
2020-07-30,296.69,305.77,292.915,302.93,302.93,631643
2020-07-31,305.77,307.2199,296.9693,306.45,306.45,728525
2020-08-03,308.95,315.88,306.75,312.85,312.85,935414
2020-08-04,311.78,315.81,308.9,313.32,313.32,445877
2020-08-05,311.1,317.88,309.51,315.94,315.94,525274
2020-08-06,317.67,319.55,306.22,312.25,312.25,719625
2020-08-07,303.445,305.125,284.26,289.31,289.31,1498752
2020-08-10,290.65,290.87,278.84,285.18,285.18,1287490
2020-08-11,280.93,289.9981,277.0,281.56,281.56,1074975
2020-08-12,280.73,287.4,279.06,281.37,281.37,673916
2020-08-13,285.31,295.41,283.5,289.73,289.73,878269
2020-08-14,292.15,293.25,282.895,285.89,285.89,347566
2020-08-17,289.66,296.59,287.54,294.09,294.09,926373
2020-08-18,297.49,302.08,296.71,300.43,300.43,690439
2020-08-19,300.43,304.785,292.76,298.52,298.52,511957
2020-08-20,298.21,308.45,296.7,305.86,305.86,720777
2020-08-21,306.0,306.6,298.185,301.01,301.01,602011
2020-08-24,305.85,308.21,291.0,297.38,297.38,743270
2020-08-25,294.39,303.52,292.55,301.63,301.63,672770
2020-08-26,306.23,337.495,306.16,331.83,331.83,1720110
2020-08-27,329.3,330.5088,321.4,324.74,324.74,640489
2020-08-28,329.14,335.36,325.0739,325.97,325.97,735380
2020-08-31,330.22,332.0,319.04,327.74,327.74,1021128
2020-09-01,341.25,353.46,339.08,344.42,344.42,1398706
2020-09-02,351.5,353.55,327.83,327.96,327.96,1847922
2020-09-03,317.4,318.01,296.15,308.23,308.23,2066829
2020-09-04,303.0,307.89,270.69,285.81,285.81,2211089
2020-09-08,271.7,282.0,268.06,276.7,276.7,1898723
2020-09-09,270.22,273.905,252.35,260.48,260.48,5148359
2020-09-10,266.0,267.35,251.12,254.05,254.05,1985525
2020-09-11,257.16,258.48,239.7101,243.24,243.24,1925358
2020-09-14,246.29,249.36,243.3,248.43,248.43,1534159
2020-09-15,251.17,254.19,246.9,252.28,252.28,1332801
