Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,90.72,91.1912,89.53,89.87,89.87,1640074
2019-12-24,90.05,91.1,89.75,90.91,90.91,545677
2019-12-26,90.88,91.03,90.41,91.02,91.02,781796
2019-12-27,91.24,91.44,90.4819,90.82,90.82,882965
2019-12-30,91.01,91.285,89.5,90.86,90.86,1204507
2019-12-31,90.74,91.34,90.31,90.94,90.94,1172340
2020-01-02,91.4,93.57,91.36,93.48,93.48,2620146
2020-01-03,92.62,92.78,91.12,92.66,92.66,1256188
2020-01-06,92.26,93.63,92.01,93.49,93.49,1863641
2020-01-07,93.42,93.56,92.545,93.37,93.37,1799262
2020-01-08,93.41,94.48,93.2,94.01,94.01,1167786
2020-01-09,94.58,95.89,94.58,95.29,95.29,1334993
2020-01-10,95.48,95.69,94.51,95.31,95.31,1284804
2020-01-13,96.23,96.3,95.06,96.26,96.26,1270444
2020-01-14,96.36,97.04,96.05,96.34,96.34,1310276
2020-01-15,96.12,97.16,95.96,96.67,96.67,1212717
2020-01-16,97.3,97.36,96.51,97.21,97.21,926106
2020-01-17,97.3,97.3,95.11,97.12,97.12,2624019
2020-01-21,96.89,99.0354,96.81,98.6,98.6,1465730
2020-01-22,99.13,100.35,99.02,99.64,99.64,1454793
2020-01-23,99.21,99.99,99.06,99.9,99.9,844429
2020-01-24,100.35,101.11,99.7,100.29,100.29,798237
2020-01-27,97.14,100.01,97.14,99.5,99.5,1016725
2020-01-28,100.11,101.24,98.57,100.71,100.71,1345615
2020-01-29,100.79,101.41,100.14,100.72,100.72,872961
2020-01-30,100.34,102.43,100.14,102.35,102.35,886939
2020-01-31,102.21,103.9995,101.04,101.46,101.46,1377986
2020-02-03,102.2,103.31,100.61,100.8,100.8,1342457
2020-02-04,101.87,103.17,101.34,102.65,102.65,1068717
2020-02-05,103.92,104.1,101.96,102.16,102.16,1006203
2020-02-06,102.22,103.01,101.56,102.95,102.95,945193
2020-02-07,103.16,103.65,102.185,102.58,102.58,980212
2020-02-10,102.56,103.86,102.34,102.53,102.53,2045334
2020-02-11,103.11,103.25,101.91,102.31,102.31,912371
2020-02-12,102.43,103.14,100.81,102.49,102.49,1716830
2020-02-13,102.38,103.97,102.3,103.35,103.35,1060109
2020-02-14,103.16,103.79,102.68,103.25,103.25,1674949
2020-02-18,103.0,104.36,102.3,102.42,102.42,2062647
2020-02-19,102.86,104.88,102.62,104.5,104.5,1656585
2020-02-20,97.0,100.48,90.69,97.3,97.3,7186244
2020-02-21,97.05,98.4,94.71,95.25,95.25,3140247
2020-02-24,92.8,94.59,91.76,92.77,92.77,3273438
2020-02-25,92.95,93.3949,88.0,88.94,88.94,2653884
2020-02-26,89.83,92.12,87.97,88.36,88.36,2339712
2020-02-27,86.82,88.2,84.53,84.59,84.59,2800055
2020-02-28,81.38,84.62,79.922,84.48,84.48,4053410
