Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,25.95,27.03,25.845,26.81,26.81,4861863
2019-12-24,26.89,27.17,26.59,27.02,27.02,1922554
2019-12-26,27.16,27.585,26.58,27.34,27.34,3878891
2019-12-27,27.35,27.4899,26.535,26.755,26.755,2810863
2019-12-30,26.71,26.852,25.23,25.37,25.37,4309643
2019-12-31,25.16,26.19,24.75,26.13,26.13,3590078
2020-01-02,26.37,29.35,26.04,29.34,29.34,7775679
2020-01-03,28.79,29.73,28.38,29.29,29.29,4812506
2020-01-06,29.05,29.66,27.83,29.66,29.66,4629729
2020-01-07,29.82,30.2,28.66,29.99,29.99,5388138
2020-01-08,29.68,31.5,29.44,31.0,31.0,5446354
2020-01-09,31.62,32.37,30.96,31.59,31.59,6544404
2020-01-10,31.56,32.0,30.37,30.67,30.67,5651054
2020-01-13,30.94,31.89,30.5341,30.79,30.79,10622609
2020-01-14,30.91,30.94,29.54,30.2,30.2,6409332
2020-01-15,29.98,30.3701,29.16,30.16,30.16,4242343
2020-01-16,30.15,30.9065,30.13,30.83,30.83,3211536
2020-01-17,30.97,31.85,30.73,31.5,31.5,3807305
2020-01-21,31.61,31.69,30.63,31.26,31.26,3300327
2020-01-22,31.5,32.3,31.34,31.62,31.62,3614189
2020-01-23,31.59,32.4,30.91,32.07,32.07,2683898
2020-01-24,32.29,33.28,31.95,32.7,32.7,5103223
2020-01-27,31.56,31.64,29.43,29.95,29.95,6828805
2020-01-28,30.61,32.34,30.0601,32.24,32.24,4240554
2020-01-29,32.57,33.08,31.7036,32.56,32.56,4337728
2020-01-30,31.99,33.84,31.6741,33.49,33.49,4293735
2020-01-31,33.35,33.43,31.2501,31.52,31.52,5097919
2020-02-03,31.69,33.23,31.5801,32.92,32.92,5513312
2020-02-04,33.8,36.94,33.23,36.9,36.9,9833925
2020-02-05,37.68,38.01,35.3,36.91,36.91,6721845
2020-02-06,37.1,38.65,36.4,38.39,38.39,5825420
2020-02-07,38.0,38.88,37.69,38.05,38.05,4404985
2020-02-10,37.87,38.64,37.8,38.61,38.61,4552879
2020-02-11,39.26,40.25,38.695,39.66,39.66,5554230
2020-02-12,40.05,41.52,39.77,41.5,41.5,5716225
2020-02-13,40.05,41.59,39.12,41.34,41.34,6964119
2020-02-14,41.15,42.39,40.98,41.09,41.09,4912452
2020-02-18,40.38,41.29,39.75,40.17,40.17,7445215
2020-02-19,47.51,57.57,47.3,57.22,57.22,35435592
2020-02-20,56.47,58.95,54.14,58.74,58.74,21837422
2020-02-21,57.8,59.15,56.74,59.09,59.09,7630966
2020-02-24,54.59,58.749,54.0,55.26,55.26,9342127
2020-02-25,57.0,57.01,50.11,50.9,50.9,11328769
2020-02-26,49.27,53.8,48.79,51.87,51.87,8131330
2020-02-27,48.81,51.25,45.9901,48.76,48.76,9360209
2020-02-28,45.61,50.2199,45.56,48.97,48.97,7396127
2020-03-02,50.46,52.52,48.1538,51.4,51.4,7152566
2020-03-03,52.41,54.6399,51.1,52.37,52.37,6930797
