Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,70.28,71.74,69.72,70.35,70.35,163866
2019-12-24,70.35,71.1,70.0101,70.96,70.96,51114
2019-12-26,71.21,71.49,69.7572,69.95,69.95,60672
2019-12-27,70.01,70.01,68.79,69.07,69.07,109976
2019-12-30,69.01,69.08,67.43,68.78,68.78,131391
2019-12-31,68.67,69.71,68.52,68.87,68.87,111886
2020-01-02,69.67,70.15,67.97,69.06,69.06,193601
2020-01-03,68.5,69.87,68.5,69.54,69.54,275632
2020-01-06,69.29,70.27,68.85,69.82,69.82,259490
2020-01-07,69.82,70.2897,68.89,69.04,69.04,137928
2020-01-08,69.36,71.49,69.06,70.09,70.09,197757
2020-01-09,70.0,70.99,69.28,69.36,69.36,128072
2020-01-10,69.5,70.8,69.18,69.92,69.92,192479
2020-01-13,69.92,71.55,69.92,71.3,71.3,129404
2020-01-14,71.12,73.08,70.73,72.61,72.61,259590
2020-01-15,72.61,75.93,72.5358,75.78,75.78,257187
2020-01-16,76.46,76.46,73.205,74.95,74.95,278231
2020-01-17,75.55,76.49,74.47,74.73,74.73,163299
2020-01-21,74.75,76.565,74.65,76.05,76.05,193779
2020-01-22,76.7,77.25,76.11,76.5,76.5,308709
2020-01-23,76.7,79.43,76.39,79.1,79.1,424033
2020-01-24,79.1,80.25,76.4,77.03,77.03,202256
2020-01-27,76.06,77.67,75.66,76.37,76.37,182033
2020-01-28,77.18,78.85,76.67,77.32,77.32,225973
2020-01-29,77.42,78.1005,75.48,76.64,76.64,134308
2020-01-30,76.46,77.7557,75.77,76.58,76.58,126394
2020-01-31,76.62,76.93,73.76,74.13,74.13,183425
2020-02-03,74.4,76.385,74.4,75.49,75.49,205008
2020-02-04,76.11,76.2141,73.865,75.1,75.1,136367
2020-02-05,75.05,77.42,74.05,76.67,76.67,149330
2020-02-06,77.0,77.0,75.98,76.46,76.46,169651
2020-02-07,76.63,76.63,75.35,75.77,75.77,114505
2020-02-10,75.62,76.55,75.555,75.92,75.92,139659
2020-02-11,76.41,76.53,75.23,75.79,75.79,121699
2020-02-12,75.8,75.9,71.6449,74.52,74.52,317401
2020-02-13,74.46,76.24,74.46,74.72,74.72,141489
2020-02-14,74.97,75.53,74.03,75.39,75.39,238315
2020-02-18,75.23,75.75,74.6958,75.27,75.27,197310
2020-02-19,76.0,78.53,75.71,77.28,77.28,519034
2020-02-20,77.5,78.27,76.28,77.88,77.88,294781
2020-02-21,77.86,79.355,76.8504,79.14,79.14,270492
2020-02-24,76.94,78.3,76.4,77.35,77.35,321612
2020-02-25,77.68,77.715,70.32,70.47,70.47,381890
2020-02-26,70.11,71.825,68.5684,69.67,69.67,222701
2020-02-27,65.75,71.07,64.04,68.81,68.81,544780
2020-02-28,67.04,67.07,62.37,66.05,66.05,570666
2020-03-02,66.4,67.07,63.52,64.83,64.83,522272
2020-03-03,64.82,67.59,63.55,65.71,65.71,486994
2020-03-04,68.27,72.18,67.83,72.15,72.15,234021
2020-03-05,70.29,71.19,68.345,69.41,69.41,439652
2020-03-06,67.72,68.04,62.52,64.82,64.82,348179
2020-03-09,60.7,60.7,53.65,53.74,53.74,292325
2020-03-10,55.77,56.98,52.47,55.6,55.6,439465
2020-03-11,53.84,54.119,49.01,49.61,49.61,254233
2020-03-12,44.39,46.15,41.81,42.14,42.14,374823
2020-03-13,45.15,46.69,39.62,46.69,46.69,457927
2020-03-16,44.25,44.25,34.025,34.43,34.43,740348
2020-03-17,35.03,36.94,31.01,36.61,36.61,734532
2020-03-18,32.81,35.4,30.02,30.32,30.32,534748
2020-03-19,30.17,36.87,29.0201,36.09,36.09,479207
2020-03-20,36.72,38.93,34.57,36.34,36.34,610149
2020-03-23,36.2,36.2,31.85,34.65,34.65,453075
2020-03-24,37.18,40.1443,36.06,39.13,39.13,341928
2020-03-25,38.98,45.26,38.08,44.42,44.42,526515
2020-03-26,44.86,47.53,43.76,47.09,47.09,315077
