Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,42.48,42.8333,40.15,40.57,40.57,1773997
2019-12-24,40.44,40.999,36.26,38.29,38.29,2028136
2019-12-26,38.45,39.32,36.65,38.08,38.08,1624465
2019-12-27,37.9,40.15,37.01,39.02,39.02,1397938
2019-12-30,39.24,39.3799,37.51,38.52,38.52,879646
2019-12-31,38.05,39.45,38.05,39.2,39.2,855658
2020-01-02,40.0,40.49,37.83,38.11,38.11,1064087
2020-01-03,36.78,38.1476,34.6,36.85,36.85,1131593
2020-01-06,35.89,36.5,34.75,35.04,35.04,1529710
2020-01-07,35.22,38.92,35.0,38.01,38.01,1576432
2020-01-08,38.09,38.66,36.8,38.04,38.04,883291
2020-01-09,38.62,41.5,38.5,41.23,41.23,1918507
2020-01-10,41.75,44.45,41.75,42.14,42.14,2717251
2020-01-13,42.83,45.35,42.75,44.74,44.74,1845046
2020-01-14,44.91,45.95,39.8,41.49,41.49,2226090
2020-01-15,41.75,43.66,41.38,42.36,42.36,1030390
2020-01-16,42.65,44.969,42.56,44.72,44.72,1215657
2020-01-17,45.12,47.177,43.56,45.05,45.05,2002186
2020-01-21,45.05,47.3099,45.0,46.99,46.99,1435960
2020-01-22,47.75,47.95,45.16,46.15,46.15,1088374
2020-01-23,48.0,51.1,47.1008,49.75,49.75,3064665
2020-01-24,51.27,53.2,46.6,48.9,48.9,2623329
2020-01-27,46.05,48.2,43.9,43.9,43.9,1841799
2020-01-28,46.23,47.55,45.0457,47.27,47.27,1562702
2020-01-29,48.0,49.5,47.11,48.23,48.23,924607
2020-01-30,46.77,47.4985,45.0,46.55,46.55,920254
2020-01-31,45.66,46.0,42.5,43.33,43.33,1201501
2020-02-03,43.74,44.91,42.6401,44.5,44.5,849858
2020-02-04,45.95,48.87,45.95,48.87,48.87,1388185
2020-02-05,49.5,49.97,43.9138,44.42,44.42,2490342
2020-02-06,44.34,45.5,42.56,42.91,42.91,1531730
2020-02-07,42.6,43.0,41.03,42.81,42.81,1361941
2020-02-10,42.6,45.2,42.31,45.19,45.19,1003748
2020-02-11,45.55,45.9,43.71,45.65,45.65,1075455
2020-02-12,46.0,46.25,43.6,44.17,44.17,1078239
2020-02-13,43.41,44.7999,42.65,44.14,44.14,1029918
2020-02-14,44.3,44.8,43.44,43.96,43.96,970721
2020-02-18,47.1,48.6,40.01,40.69,40.69,7546691
2020-02-19,40.63,41.3,38.26,39.07,39.07,3282528
2020-02-20,38.54,41.6976,38.4,39.96,39.96,2164430
2020-02-21,39.2,40.38,38.33,39.0,39.0,1762582
2020-02-24,35.37,37.19,34.25,35.94,35.94,2122183
2020-02-25,37.0,37.25,32.1,33.64,33.64,2888758
