Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,103.04,103.47,97.42,97.84,97.6307815818,146171
2019-12-24,98.06,99.99,97.58,99.56,99.3471035802,57407
2019-12-26,99.38,99.51,98.505,99.13,98.9180230806,83105
2019-12-27,99.23,100.81,98.35,100.69,100.474687219,177220
2019-12-30,100.95,101.43,100.116,100.28,100.065563952,89411
2019-12-31,100.33,102.235,100.25,101.66,101.442612997,133502
2020-01-02,101.93,103.47,100.87,103.47,103.248742542,171789
2020-01-03,102.52,104.87,101.961,104.7,104.476112343,136941
2020-01-06,104.2,107.14,103.75,106.88,106.65145069,185012
2020-01-07,106.2,107.67,105.41,105.86,105.63363183,218929
2020-01-08,105.46,107.24,105.32,105.56,105.334273342,230456
2020-01-09,106.36,108.35,104.652,106.83,106.601557608,251469
2020-01-10,106.83,107.16,103.16,104.1,103.877395367,198822
2020-01-13,103.99,105.93,103.68,105.83,105.603695981,127374
2020-01-14,105.71,106.53,104.95,105.88,105.653589063,103654
2020-01-15,105.98,108.34,105.38,108.15,107.918734956,95370
2020-01-16,108.03,109.7,107.595,109.11,108.876682118,119703
2020-01-17,110.11,110.22,108.46,109.23,108.996425513,104170
2020-01-21,109.3,110.76,109.08,110.5,110.263709779,122591
2020-01-22,110.57,112.23,110.291,111.66,111.421229266,105566
2020-01-23,111.2,111.2,105.54,109.26,109.026361362,294461
2020-01-24,109.55,112.0,109.27,111.6,111.361357569,174040
2020-01-27,110.28,112.72,109.58,112.65,112.409112277,132274
2020-01-28,113.5,116.34,113.2,116.16,115.911606588,273255
2020-01-29,116.38,117.42,111.595,113.34,113.0976368,236155
2020-01-30,112.8,115.4258,112.14,115.13,114.883809112,280317
2020-01-31,115.2,117.25,113.0,114.22,113.975755031,291415
2020-02-03,114.45,115.92,114.15,114.98,114.734129868,175991
2020-02-04,117.42,117.75,115.74,116.74,116.490366331,245860
2020-02-05,117.37,118.71,115.52,118.42,118.166773865,221047
2020-02-06,118.71,120.61,118.16,120.37,120.112604037,171607
2020-02-07,120.97,121.69,119.54,120.81,120.551663153,183918
2020-02-10,121.28,122.75,120.85,122.52,122.258006535,192023
2020-02-11,122.97,123.25,120.67,123.1,122.836766279,171402
2020-02-12,123.2,124.2,120.39,124.1,123.834627906,142763
2020-02-13,123.4,126.69,122.93,126.47,126.199559962,107780
2020-02-14,126.74,127.125,125.82,126.85,126.57874738,116783
2020-02-18,126.62,127.58,125.985,126.97,126.698490775,97060
2020-02-19,127.18,129.41,126.6,127.74,127.466844228,160213
2020-02-20,127.96,128.06,123.77,125.08,124.8125323,243967
2020-02-21,126.67,128.62,120.09,126.43,126.159645497,239814
2020-02-24,121.02,127.485,121.02,126.38,126.109752415,138136
2020-02-25,127.09,131.26,126.3,130.46,130.181027853,236712
2020-02-26,130.01,132.617,125.845,127.59,127.317164984,155642
2020-02-27,125.99,127.0,123.08,123.22,123.04631722,173377
2020-02-28,119.3,122.16,116.26,121.47,121.298783905,233074
2020-03-02,122.81,129.43,122.65,129.4,129.2176063,193702
2020-03-03,129.97,131.695,127.31,128.83,128.648409735,141005
2020-03-04,130.16,132.675,128.93,131.79,131.604237514,155717
2020-03-05,127.96,131.5,127.96,128.91,128.728296972,173079
2020-03-06,126.67,127.329,120.44,125.55,125.373033006,164019
2020-03-09,119.86,120.809,110.83,114.14,113.979115789,243019
2020-03-10,118.0,119.82,112.036,118.86,118.692462789,180135
2020-03-11,116.43,118.09,112.64,114.89,114.728058639,137814
2020-03-12,107.34,110.73,100.025,100.36,100.218539168,289938
2020-03-13,103.89,104.99,96.18,104.54,104.392647316,272591
2020-03-16,93.0,93.0,83.15,84.33,84.2111339977,461650
2020-03-17,86.69,99.48,80.93,97.88,97.742034812,369517
2020-03-18,89.86,94.975,84.1,93.3,93.1684904778,212117
2020-03-19,91.58,100.94,87.105,98.41,98.271287759,232112
2020-03-20,98.94,101.19,84.78,86.37,86.2482585484,334388
