Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,55.9,56.7497,51.6,52.28,52.28,264783
2019-12-24,52.2,52.6346,51.01,52.37,52.37,62183
2019-12-26,52.06,53.7875,51.43,51.98,51.98,76010
2019-12-27,51.9,51.957,47.56,50.64,50.64,305439
2019-12-30,50.66,50.9,47.79,48.6,48.6,246670
2019-12-31,48.46,50.97,48.46,50.49,50.49,208225
2020-01-02,50.6,50.99,45.51,48.43,48.43,440895
2020-01-03,47.54,49.29,46.314,48.72,48.72,198370
2020-01-06,48.0,51.99,47.9,51.75,51.75,179612
2020-01-07,52.0,52.0,50.0,50.04,50.04,142227
2020-01-08,49.49,51.965,49.22,50.8,50.8,238862
2020-01-09,50.87,51.5,50.0,50.53,50.53,322511
2020-01-10,48.29,49.01,46.52,48.54,48.54,2632209
2020-01-13,48.58,50.01,48.47,49.68,49.68,804630
2020-01-14,49.97,50.45,48.01,48.42,48.42,546493
2020-01-15,48.69,48.95,47.65,48.0,48.0,388178
2020-01-16,48.24,49.2,47.84,48.73,48.73,317645
2020-01-17,49.13,49.133,47.745,48.56,48.56,268507
2020-01-21,48.66,49.5425,48.3,48.72,48.72,352854
2020-01-22,48.98,51.45,48.75,51.01,51.01,400462
2020-01-23,51.1,53.57,50.55,51.76,51.76,514412
2020-01-24,52.02,53.25,51.0,51.91,51.91,687577
2020-01-27,50.88,53.0,50.3,52.31,52.31,165628
2020-01-28,52.8,56.0099,52.73,54.53,54.53,526028
2020-01-29,54.85,56.3079,52.0,52.76,52.76,264389
2020-01-30,52.58,53.7,51.95,53.69,53.69,165611
2020-01-31,53.71,54.7913,53.0,53.45,53.45,149159
2020-02-03,53.59,54.71,53.44,53.86,53.86,202240
2020-02-04,54.42,58.9,53.09,54.7,54.7,421523
2020-02-05,55.19,56.376,53.71,54.25,54.25,179223
2020-02-06,54.44,55.31,53.13,53.61,53.61,193561
2020-02-07,53.48,54.18,52.0,53.95,53.95,286170
2020-02-10,54.25,58.48,54.25,58.28,58.28,285607
2020-02-11,59.42,59.8797,56.8501,58.09,58.09,203690
2020-02-12,58.16,58.744,57.51,58.06,58.06,155832
2020-02-13,57.81,59.1581,56.9,58.87,58.87,112786
2020-02-14,59.26,60.055,57.57,57.83,57.83,249326
2020-02-18,58.41,60.21,55.61,56.62,56.62,445697
2020-02-19,52.59,59.86,52.0,57.62,57.62,593496
2020-02-20,59.37,62.96,59.0752,61.48,61.48,466311
2020-02-21,61.1,61.4153,57.76,60.02,60.02,211853
2020-02-24,58.1,59.62,56.0,57.85,57.85,238387
2020-02-25,57.92,58.79,52.84,54.62,54.62,456896
2020-02-26,54.54,55.4199,52.04,53.04,53.04,252459
2020-02-27,51.25,54.0,50.1,51.78,51.78,302064
2020-02-28,50.1,51.2,49.0292,50.81,50.81,291583
2020-03-02,51.75,53.5385,51.384,52.64,52.64,240506
2020-03-03,53.25,55.97,52.55,54.07,54.07,235497
2020-03-04,55.35,56.47,54.25,55.92,55.92,235046
2020-03-05,54.85,56.52,54.14,55.81,55.81,372682
2020-03-06,53.89,55.11,53.12,54.36,54.36,216495
2020-03-09,50.65,53.0,48.02,50.93,50.93,461285
