Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,4.12,4.25,3.9,3.94,3.94,601447
2019-12-24,3.94,3.94,3.64,3.74,3.74,668902
2019-12-26,3.72,3.88,3.6402,3.8,3.8,644049
2019-12-27,3.82,3.9,3.79,3.87,3.87,346859
2019-12-30,3.85,3.87,3.72,3.74,3.74,346852
2019-12-31,3.75,4.02,3.69,3.98,3.98,552734
2020-01-02,4.03,4.5,4.03,4.48,4.48,603466
2020-01-03,4.42,4.42,4.13,4.23,4.23,412662
2020-01-06,4.19,4.22,4.0646,4.15,4.15,192706
2020-01-07,4.15,4.24,4.09,4.18,4.18,236859
2020-01-08,4.15,4.5,4.12,4.39,4.39,509834
2020-01-09,4.47,4.57,4.32,4.35,4.35,337524
2020-01-10,4.39,4.39,4.18,4.31,4.31,356656
2020-01-13,4.35,4.69,4.3212,4.66,4.66,605952
2020-01-14,4.65,4.74,4.57,4.7,4.7,325835
2020-01-15,4.7,4.93,4.65,4.79,4.79,398990
2020-01-16,4.85,5.25,4.85,5.01,5.01,563115
2020-01-17,5.06,5.06,4.71,4.75,4.75,461691
2020-01-21,4.77,4.95,4.71,4.82,4.82,375336
2020-01-22,4.84,4.95,4.8278,4.9,4.9,255343
2020-01-23,5.04,5.5,4.96,5.17,5.17,1102027
2020-01-24,5.21,5.235,4.85,5.01,5.01,474503
2020-01-27,4.89,5.24,4.76,5.06,5.06,485546
2020-01-28,5.12,5.1659,4.96,5.02,5.02,279557
2020-01-29,4.99,5.14,4.88,5.09,5.09,381976
2020-01-30,5.03,5.095,4.81,5.05,5.05,397808
2020-01-31,5.04,5.09,4.88,5.07,5.07,530439
2020-02-03,5.11,5.29,5.07,5.08,5.08,348183
2020-02-04,5.1,5.64,5.1,5.56,5.56,800586
2020-02-05,5.73,6.07,5.56,5.87,5.87,1306330
2020-02-06,5.98,6.53,5.87,6.17,6.17,1378326
2020-02-07,6.2,6.376,6.1235,6.18,6.18,664469
2020-02-10,6.2,6.67,5.88,6.17,6.17,2576881
2020-02-11,6.58,6.61,6.2,6.4,6.4,871851
2020-02-12,6.5,7.0,6.46,6.87,6.87,1322146
2020-02-13,7.05,7.15,6.675,6.73,6.73,1236818
2020-02-14,6.76,6.88,6.06,6.2,6.2,1301567
2020-02-18,6.33,6.33,5.43,5.55,5.55,2114380
2020-02-19,5.56,5.85,5.55,5.8,5.8,1013611
2020-02-20,5.85,6.09,5.65,5.95,5.95,964081
2020-02-21,5.92,5.92,5.73,5.83,5.83,536968
2020-02-24,5.51,5.65,5.27,5.51,5.51,756460
2020-02-25,5.57,5.68,5.23,5.34,5.34,675402
2020-02-26,5.39,5.53,5.05,5.1,5.1,570831
2020-02-27,4.95,5.24,4.7,4.94,4.94,897182
2020-02-28,4.77,5.38,4.72,5.36,5.36,740035
2020-03-02,5.41,5.49,5.15,5.49,5.49,690980
2020-03-03,5.54,5.63,5.36,5.48,5.48,623402
2020-03-04,5.59,5.78,5.54,5.73,5.73,596469
2020-03-05,5.67,5.75,5.47,5.54,5.54,1096947
2020-03-06,5.8,5.9,5.26,5.86,5.86,1535731
2020-03-09,5.43,5.85,5.22,5.23,5.23,1072936
2020-03-10,5.45,5.72,5.21,5.58,5.58,1375240
