Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,49.22,49.52,47.69,47.84,47.84,343859
2019-12-24,47.93,48.64,47.64,48.55,48.55,140764
2019-12-26,48.64,48.94,48.19,48.48,48.48,103013
2019-12-27,48.68,49.97,48.38,49.59,49.59,287814
2019-12-30,49.84,49.98,48.66,49.34,49.34,356356
2019-12-31,49.09,49.895,49.055,49.24,49.24,310993
2020-01-02,49.82,49.9426,47.14,47.92,47.92,332576
2020-01-03,47.12,47.44,45.53,46.77,46.77,462744
2020-01-06,46.28,46.64,45.25,46.1,46.1,425788
2020-01-07,46.08,46.08,44.68,44.88,44.88,456545
2020-01-08,44.98,46.4073,44.3523,46.23,46.23,528328
2020-01-09,46.28,46.75,45.95,46.13,46.13,243164
2020-01-10,46.2,47.1,45.43,46.66,46.66,249101
2020-01-13,46.72,47.32,46.21,47.18,47.18,218040
2020-01-14,46.95,48.11,46.85,47.39,47.39,386954
2020-01-15,47.31,47.9,47.01,47.42,47.42,227377
2020-01-16,47.69,48.75,46.94,48.5,48.5,345530
2020-01-17,48.8,49.115,48.17,48.56,48.56,312436
2020-01-21,48.49,49.89,48.11,49.85,49.85,413599
2020-01-22,49.85,51.8,49.7,51.14,51.14,483556
2020-01-23,50.83,53.0,50.53,52.83,52.83,563783
2020-01-24,53.03,53.59,50.84,51.61,51.61,341841
2020-01-27,50.51,51.63,49.98,50.52,50.52,336481
2020-01-28,51.02,52.69,50.1895,52.56,52.56,288557
2020-01-29,52.78,53.3,51.81,51.83,51.83,228680
2020-01-30,51.49,53.3893,51.42,53.32,53.32,277367
2020-01-31,53.08,53.29,51.44,51.59,51.59,246956
2020-02-03,51.69,53.81,51.69,52.8,52.8,367667
2020-02-04,53.81,54.91,52.83,54.18,54.18,279263
2020-02-05,54.87,55.18,53.755,55.05,55.05,344853
2020-02-06,55.32,55.32,54.475,54.99,54.99,206187
2020-02-07,54.67,54.67,53.1,53.25,53.25,218321
2020-02-10,53.3,54.04,52.81,53.36,53.36,315526
2020-02-11,53.66,54.41,53.2,54.18,54.18,175132
2020-02-12,54.44,56.3025,53.53,55.83,55.83,292174
2020-02-13,55.45,56.99,55.28,55.89,55.89,225497
2020-02-14,55.94,56.55,55.11,55.75,55.75,372362
2020-02-18,56.02,56.6701,54.9407,56.23,56.23,311195
2020-02-19,56.34,56.73,54.69,56.53,56.53,490194
2020-02-20,57.0,61.0,56.8,59.72,59.72,1341724
2020-02-21,57.75,58.73,55.015,56.26,56.26,902197
2020-02-24,53.26,56.3,51.52,53.22,53.22,990427
2020-02-25,53.67,54.11,52.0,53.06,53.06,690399
2020-02-26,53.21,53.9,51.115,51.35,51.35,325904
2020-02-27,49.94,49.94,46.05,46.1,46.1,605134
2020-02-28,43.96,44.78,42.685,44.05,44.05,754037
