Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,265.93,274.6238,264.3,268.65,268.65,1947060
2019-12-24,269.0,270.9899,263.34,268.0,268.0,619991
2019-12-26,269.0,278.8599,269.0,273.51,273.51,2056344
2019-12-27,275.86,277.8,270.52,272.35,272.35,1114855
2019-12-30,272.07,272.24,251.3,252.72,252.72,2887675
2019-12-31,249.11,260.6192,246.2,259.78,259.78,1965270
2020-01-02,263.52,272.128,261.055,271.45,271.45,2220598
2020-01-03,264.75,273.39,262.24,271.91,271.91,1374846
2020-01-06,267.01,280.07,266.01,277.91,277.91,1829815
2020-01-07,279.04,285.6,274.29,280.28,280.28,2219392
2020-01-08,280.28,289.29,279.14,285.2,285.2,2052514
2020-01-09,291.01,291.41,280.71,286.64,286.64,2068034
2020-01-10,285.85,286.1,276.0,277.76,277.76,1963682
2020-01-13,281.41,293.9,279.0043,288.17,288.17,2301680
2020-01-14,289.79,293.7,279.79,284.16,284.16,1866295
2020-01-15,282.6,290.74,282.5,284.8,284.8,1469252
2020-01-16,286.33,288.45,279.03,281.0,281.0,1508879
2020-01-17,283.59,285.63,277.08,280.95,280.95,1873121
2020-01-21,280.95,288.82,276.64,280.02,280.02,1553688
2020-01-22,283.89,288.15,281.12,281.89,281.89,1267916
2020-01-23,282.24,282.24,271.21,280.39,280.39,1077200
2020-01-24,283.3,286.6,276.91,280.17,280.17,1392511
2020-01-27,269.41,277.0858,264.89,273.23,273.23,2374503
2020-01-28,275.01,284.14,273.8759,281.79,281.79,2185095
2020-01-29,284.04,284.97,279.89,281.03,281.03,1228010
2020-01-30,277.41,281.03,272.25,277.64,277.64,1485137
2020-01-31,278.46,279.0,266.0,269.18,269.18,1575127
2020-02-03,268.07,275.3125,266.0,274.02,274.02,1788487
2020-02-04,279.56,306.09,279.5,303.13,303.13,2593792
2020-02-05,309.59,313.9929,282.69,287.52,287.52,2837693
2020-02-06,288.94,295.46,283.76,288.71,288.71,1421626
2020-02-07,288.22,298.25,286.21,291.33,291.33,1581076
2020-02-10,291.53,299.74,291.03,298.11,298.11,997018
2020-02-11,301.0,303.52,293.23,296.4,296.4,2021826
2020-02-12,300.5,307.67,294.7918,304.79,304.79,1919714
2020-02-13,300.52,307.77,299.09,306.57,306.57,795578
2020-02-14,309.63,313.68,303.0,305.3,305.3,1204426
2020-02-18,306.0,311.49,304.1577,308.44,308.44,1164150
2020-02-19,312.1,318.2495,308.5,315.43,315.43,1911979
2020-02-20,314.86,323.78,302.65,311.45,311.45,2151847
2020-02-21,309.0,312.0,297.0,301.9,301.9,1341669
2020-02-24,278.0,288.98,269.11,283.21,283.21,2099702
2020-02-25,290.46,291.657,270.52,273.51,273.51,1878589
2020-02-26,273.5,282.88,263.01,266.9,266.9,1882775
2020-02-27,253.15,261.79,241.46,250.01,250.01,3345720
2020-02-28,264.7,287.63,257.5,287.25,287.25,5230186
2020-03-02,295.51,297.5,275.0201,288.11,288.11,3032033
2020-03-03,286.35,290.8,273.1,277.67,277.67,2080965
2020-03-04,284.33,286.0,266.5,274.97,274.97,1768510
2020-03-05,268.05,277.5815,266.24,271.17,271.17,1400110
2020-03-06,264.99,265.9259,245.8846,252.94,252.94,2248617
2020-03-09,225.76,237.9699,215.99,216.54,216.54,2941862
2020-03-10,230.23,236.37,211.22,235.7,235.7,2618011
2020-03-11,227.0,236.0,217.5291,223.94,223.94,2160842
2020-03-12,200.5,209.97,191.0,192.65,192.65,3017984
2020-03-13,209.0,209.0,184.0126,200.0,200.0,2360217
2020-03-16,175.99,182.3,160.49,160.49,160.49,2782511
2020-03-17,163.05,183.45,153.05,170.0,170.0,2616267
2020-03-18,157.0,165.0,139.01,144.39,144.39,3146292
2020-03-19,146.2,170.0,136.0,167.44,167.44,3182964
2020-03-20,173.21,189.43,168.76,170.0,170.0,3136030
2020-03-23,170.69,179.7,160.0,176.67,176.67,2016811
2020-03-24,192.17,201.98,188.0,194.0,194.0,2393987
2020-03-25,199.57,207.24,181.11,196.94,196.94,2876837
2020-03-26,198.23,214.9521,198.23,209.05,209.05,1744633
2020-03-27,199.5,206.58,190.5,199.69,199.69,1525359
2020-03-30,196.97,202.0107,190.69,197.51,197.51,1709303
2020-03-31,196.1,201.0,188.5187,193.0,193.0,1929551
2020-04-01,184.8997,186.86,170.2,172.3,172.3,2077235
2020-04-02,170.0,174.39,160.27,164.78,164.78,2099997
2020-04-03,165.78,168.5,153.5,160.39,160.39,2138411
2020-04-06,169.5,190.49,166.29,190.05,190.05,3110586
2020-04-07,205.0,210.98,190.29,191.34,191.34,2377150
2020-04-08,197.04,208.99,195.6087,207.35,207.35,1800390
2020-04-09,217.0,225.6119,207.27,213.76,213.76,2467627
2020-04-13,215.35,219.94,206.55,218.62,218.62,1702346
2020-04-14,231.87,240.0,226.1443,233.41,233.41,2047118
2020-04-15,224.5,231.0,221.0,226.56,226.56,1349154
2020-04-16,230.25,234.16,217.02,220.73,220.73,1997081
2020-04-17,231.22,231.75,221.2367,228.52,228.52,1645131
2020-04-20,224.24,245.6999,223.01,233.0,233.0,2119389
2020-04-21,229.6,233.85,212.5,216.15,216.15,1954917
2020-04-22,226.9,244.89,226.0,244.19,244.19,2212837
2020-04-23,250.02,266.32,248.046,253.97,253.97,3366807
2020-04-24,255.0,259.2444,248.4201,256.63,256.63,1694709
2020-04-27,263.3,268.78,260.55,263.17,263.17,1695377
2020-04-28,269.54,270.69,252.0741,257.94,257.94,1684915
2020-04-29,268.29,295.0,267.3313,294.19,294.19,3187075
2020-04-30,295.73,306.04,288.47,292.58,292.58,2714604
2020-05-01,282.1,287.88,272.09,278.9,278.9,2363123
2020-05-04,274.22,291.73,272.14,290.52,290.52,1805605
2020-05-05,300.0,311.8,296.63,303.64,303.64,2562293
2020-05-06,304.34,317.24,303.53,312.24,312.24,3308270
2020-05-07,321.5,327.3475,313.01,322.5,322.5,3068618
2020-05-08,299.3,317.49,290.28,315.5,315.5,5227651
2020-05-11,306.95,312.16,300.69,305.33,305.33,2948906
2020-05-12,307.55,320.0,303.2928,310.64,310.64,2690680
2020-05-13,312.52,315.98,285.34,292.36,292.36,3531008
2020-05-14,284.51,297.67,279.0,297.3,297.3,1908964
2020-05-15,291.5,304.43,290.5,300.01,300.01,1303640
2020-05-18,310.48,310.97,295.35,296.73,296.73,1894205
2020-05-19,299.02,301.7,293.515,294.1,294.1,1397787
2020-05-20,301.45,301.99,292.0,297.105,297.105,1315575
2020-05-21,296.41,308.5,291.73,304.42,304.42,1819489
2020-05-22,307.26,314.9758,302.48,307.6,307.6,1564779
2020-05-26,314.75,314.75,298.2286,299.29,299.29,1517462
2020-05-27,298.5,298.5,269.0,294.23,294.23,2762890
2020-05-28,291.44,304.31,290.62,298.17,298.17,1405975
2020-05-29,300.6,311.64,299.1101,311.56,311.56,3307672
2020-06-01,310.16,314.16,305.13,310.31,310.31,1090205
2020-06-02,310.01,322.17,305.25,318.26,318.26,2301513
2020-06-03,320.0,356.2363,317.4502,354.98,354.98,3846559
2020-06-04,351.01,355.44,333.43,337.24,337.24,2237214
2020-06-05,337.0,360.42,333.0,354.29,354.29,2281793
2020-06-08,356.3,360.0,348.36,358.31,358.31,1445235
2020-06-09,355.14,370.27,353.46,362.98,362.98,1298837
2020-06-10,365.0,372.88,361.7882,368.52,368.52,1341031
2020-06-11,352.3,364.37,345.011,347.54,347.54,1867931
2020-06-12,361.0,363.5,343.04,354.51,354.51,1301535
2020-06-15,345.55,373.31,345.0,370.6,370.6,2169510
2020-06-16,377.35,379.52,367.48,372.03,372.03,1762850
2020-06-17,376.66,395.0423,373.14,382.44,382.44,1803536
2020-06-18,382.55,396.49,381.0301,394.39,394.39,1792227
