Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,101.95,102.82,101.26,101.74,101.74,299142
2019-12-24,102.21,104.01,101.67,103.95,103.95,76200
2019-12-26,103.93,103.93,101.92,102.29,102.29,122580
2019-12-27,102.42,103.5,101.86,102.84,102.84,164751
2019-12-30,102.44,102.87,100.96,102.75,102.75,176981
2019-12-31,102.41,103.55,102.38,103.08,103.08,230401
2020-01-02,103.85,103.85,102.0,103.11,103.11,197498
2020-01-03,102.3,104.12,102.3,103.38,103.38,243888
2020-01-06,103.4,104.985,103.19,104.51,104.51,202882
2020-01-07,104.46,106.25,104.3,104.72,104.72,198551
2020-01-08,105.35,108.5,105.35,106.2,106.2,313504
2020-01-09,106.41,107.3199,104.53,104.93,104.93,318258
2020-01-10,104.6,105.99,103.67,104.59,104.59,187217
2020-01-13,104.39,105.4,104.2,104.88,104.88,381265
2020-01-14,105.15,106.58,104.3,105.52,105.52,235399
2020-01-15,105.79,109.46,105.61,109.32,109.32,356292
2020-01-16,109.52,111.52,109.455,110.41,110.41,317971
2020-01-17,111.07,112.09,110.1,111.6,111.6,346331
2020-01-21,111.77,113.98,111.42,113.91,113.91,293121
2020-01-22,114.62,115.23,113.93,114.18,114.18,336446
2020-01-23,114.28,117.75,114.0,117.47,117.47,426045
2020-01-24,117.93,119.99,112.896,113.7,113.7,300972
2020-01-27,112.67,114.81,112.08,113.38,113.38,206486
2020-01-28,114.55,117.765,114.53,117.5,117.5,231265
2020-01-29,117.64,119.4,115.73,117.21,117.21,190839
2020-01-30,116.44,118.45,116.165,118.25,118.25,233976
2020-01-31,117.77,118.58,114.26,114.51,114.51,273266
2020-02-03,114.81,115.415,113.4,113.52,113.52,225114
2020-02-04,114.6,114.87,111.09,112.0,112.0,243701
2020-02-05,112.92,115.61,111.81,114.51,114.51,252826
2020-02-06,115.13,116.62,114.57,115.55,115.55,184054
2020-02-07,115.88,116.5,114.75,115.9,115.9,178893
2020-02-10,116.43,120.0583,116.43,119.07,119.07,397080
2020-02-11,119.95,120.62,117.04,117.21,117.21,213074
