Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,134.54,135.56,133.77,134.07,133.615555144,187423
2019-12-24,133.9,134.33,133.01,133.45,132.997656701,70212
2019-12-26,133.72,135.54,133.14,135.24,134.781589301,179043
2019-12-27,135.29,136.29,134.85,136.18,135.718403069,132651
2019-12-30,136.13,137.47,134.91,137.26,136.794742292,175061
2019-12-31,137.21,138.17,136.82,137.2,136.734945668,317191
2020-01-02,137.87,137.87,133.92,135.79,135.329725017,266578
2020-01-03,134.3,135.56,132.55,134.94,134.482606184,261934
2020-01-06,134.0,135.33,133.23,134.41,133.954402677,146881
2020-01-07,133.77,135.11,132.75,134.18,133.725182287,136778
2020-01-08,134.04,137.27,134.04,135.61,135.150335146,263599
2020-01-09,136.23,137.67,135.91,137.19,136.724979564,159370
2020-01-10,137.19,137.89,135.07,135.77,135.309792809,157367
2020-01-13,136.27,139.81,135.6,139.68,139.206539438,307120
2020-01-14,139.16,141.0,138.35,140.09,139.615149699,191142
2020-01-15,139.92,143.22,139.14,140.69,140.213115933,233644
2020-01-16,141.44,144.18,141.03,143.97,143.481998016,178019
2020-01-17,144.84,145.3,143.45,145.13,144.63806607,136218
2020-01-21,144.25,145.73,142.96,143.27,142.784370743,192284
2020-01-22,143.79,145.6,141.61,142.23,141.747895936,147470
2020-01-23,141.31,143.7,140.47,143.04,142.555150353,181987
2020-01-24,143.1,143.7,141.31,142.97,142.485387625,165051
2020-01-27,140.12,143.52,138.3,142.52,142.036912949,132995
2020-01-28,143.24,145.61,142.65,144.67,144.17962529,163566
2020-01-29,144.73,146.14,144.23,145.31,144.817455941,113130
2020-01-30,144.59,146.87,143.66,146.64,146.142947761,118234
2020-01-31,146.47,146.9,142.48,144.38,143.890608277,317563
2020-02-03,144.65,149.27,144.65,148.56,148.056439712,242658
2020-02-04,149.97,152.4,149.55,152.12,151.604372704,246861
2020-02-05,153.54,153.54,149.905,151.69,151.175830236,143455
2020-02-06,152.01,153.84,151.59,153.53,153.009593356,112369
2020-02-07,152.56,154.84,151.35,154.75,154.225458033,191174
2020-02-10,154.69,159.21,153.7,157.97,157.434543493,239390
2020-02-11,159.47,160.8,157.98,159.84,159.298204924,263945
2020-02-12,160.41,161.75,159.17,160.26,159.716781288,184719
2020-02-13,159.68,163.63,159.6,161.7,161.151900252,207926
2020-02-14,161.88,162.31,160.33,162.19,161.640239343,149451
2020-02-18,162.33,164.22,160.56,164.21,163.653392334,294892
2020-02-19,165.06,167.53,164.33,164.37,163.812849996,175015
2020-02-20,164.37,165.76,159.49,163.44,162.886002332,192945
2020-02-21,163.46,163.46,160.77,161.24,160.693459472,117649
2020-02-24,157.16,158.91,155.07,156.86,156.328305959,286200
2020-02-25,158.03,158.5,149.81,150.24,149.730745169,288724
2020-02-26,150.89,153.4,145.01,145.44,144.947015291,411072
2020-02-27,137.67,143.82,131.54,138.86,138.389318918,728465
2020-02-28,123.14,133.78,123.14,125.64,125.214129546,1026708
2020-03-02,126.5,129.11,122.09,128.47,128.034536953,599425
2020-03-03,128.76,133.71,125.26,125.8,125.373587209,438205
2020-03-04,128.85,131.83,123.0,130.21,129.768639034,417325
2020-03-05,126.38,128.06,119.76,122.51,122.094739022,460037
2020-03-06,117.9,122.84,114.34,117.85,117.450534599,492974
2020-03-09,108.98,109.65,103.18,104.92,104.564362241,587055
2020-03-10,108.98,111.24,104.89,110.82,110.444363549,544809
2020-03-11,107.27,107.27,97.03,98.88,98.5448354786,601541
2020-03-12,87.78,92.2,76.6,77.03,76.7688984316,1225628
2020-03-13,81.86,93.24,78.56,92.77,92.4555459886,949215
2020-03-16,77.49,87.56,75.01,75.5,75.2440845331,1003529
2020-03-17,77.0,84.97,70.0,71.74,71.4968294623,825436
2020-03-18,66.28,68.53,52.9,61.05,60.8430643808,1333390
2020-03-19,60.0,71.42,56.9,67.6,67.3708624429,899298
2020-03-20,69.0,82.95,69.0,72.73,72.4834737496,914798
2020-03-23,74.71,78.1,70.52,73.41,73.1611688156,501180
2020-03-24,81.06,89.89,77.24,88.89,88.5886976709,693451
2020-03-25,91.0,104.05,89.14,95.46,95.1364279408,647012
2020-03-26,98.03,102.64,92.42,98.35,98.0166319713,394303
2020-03-27,92.92,97.43,89.35,94.06,93.7411733932,510208
2020-03-30,92.97,100.48,89.44,100.01,99.6710052207,300776
2020-03-31,99.88,105.9,99.29,102.95,102.601039771,759206
2020-04-01,97.62,99.67,85.37,86.59,86.2964937712,836297
2020-04-02,85.36,88.95,77.35,81.0,80.7254416846,543045
2020-04-03,79.18,81.35,76.5,80.45,80.1773059694,367467
2020-04-06,86.51,89.94,82.69,87.5,87.2034092271,548042
2020-04-07,94.55,94.55,87.53,87.7,87.4027313054,639691
2020-04-08,90.77,99.99,88.52,98.32,97.9867336596,388489
2020-04-09,103.52,107.36,101.02,103.94,103.587684058,624292
2020-04-13,102.99,102.99,92.63,93.21,92.8940545607,426955
2020-04-14,97.97,99.73,94.5,98.22,97.8870726205,358185
2020-04-15,92.78,95.6,91.13,91.63,91.3194101427,468199
2020-04-16,91.49,93.71,85.4,87.64,87.3429346819,451961
2020-04-17,94.4,97.98,93.0,97.48,97.149580931,527711
2020-04-20,94.78,95.67,92.02,93.46,93.1432071585,254662
2020-04-21,89.64,91.49,86.68,87.29,86.994121045,284227
2020-04-22,90.09,90.42,86.08,86.33,86.0373750695,291930
2020-04-23,87.85,91.19,86.31,86.62,86.3263920829,327315
2020-04-24,87.78,89.0,85.24,87.27,86.9741888372,194517
2020-04-27,88.97,97.76,88.93,97.03,96.701106255,454111
2020-04-28,101.38,103.08,97.0,102.01,101.664226003,599425
2020-04-29,107.46,110.26,104.69,108.63,108.261786793,641897
2020-04-30,99.99,107.83,98.24,100.22,99.8802934028,704522
2020-05-01,95.96,97.05,92.57,93.8,93.4820546915,382493
2020-05-04,90.64,95.0,89.29,94.18,93.8607666401,273273
2020-05-05,96.5,99.2,95.16,97.84,97.5083606718,433373
2020-05-06,98.88,99.15,95.8,97.05,96.7210384628,335778
2020-05-07,98.46,103.03,97.72,102.91,102.561175355,336755
2020-05-08,106.0,110.22,104.1,110.04,109.667007444,431879
2020-05-11,106.88,107.2,103.49,106.27,105.909786269,691576
2020-05-12,107.42,108.03,103.08,103.45,103.099344966,471532
2020-05-13,101.98,103.5,96.21,98.43,98.0963608026,419978
2020-05-14,95.18,99.74,94.03,99.55,99.2125644407,224346
2020-05-15,98.34,103.26,97.0,101.5,101.155954703,179701
2020-05-18,106.0,113.23,106.0,111.91,111.530668876,454319
2020-05-19,111.14,117.67,110.31,113.15,112.766465761,376776
2020-05-20,117.48,121.12,117.13,120.47,120.061653824,406065
2020-05-21,120.68,121.44,117.55,118.3,117.899009275,345803
2020-05-22,119.0,122.47,117.6,122.26,121.845586424,343410
2020-05-26,128.96,130.0,124.28,127.53,127.097723186,700710
2020-05-27,128.81,141.77,128.16,141.5,141.02037035,1174183
2020-05-28,141.5,141.98,131.84,132.07,131.622334361,512011
2020-05-29,131.95,134.18,130.0,132.67,132.220300596,359264
2020-06-01,133.48,134.63,130.81,131.42,130.974537607,371567
2020-06-02,132.99,133.4,129.68,131.98,131.532639426,422052
2020-06-03,134.81,142.54,133.91,140.15,139.674946322,578009
2020-06-04,138.92,140.32,133.17,135.2,134.741724886,357876
2020-06-05,143.7,146.66,139.43,141.55,141.07020087,503109
2020-06-08,145.41,154.47,143.0,153.0,152.481389849,774486
2020-06-09,150.57,152.35,144.67,150.56,150.049660494,408085
2020-06-10,149.43,150.59,140.64,144.67,144.17962529,285751
2020-06-11,133.69,136.78,126.6,128.77,128.333520071,576228
2020-06-12,137.02,137.39,129.56,134.48,134.024165404,357597
2020-06-15,127.42,137.26,127.42,135.53,135.070606315,329329
2020-06-16,144.5,144.5,135.06,138.69,138.219895151,270965
2020-06-17,138.03,141.41,136.65,136.87,136.406064239,225306
2020-06-18,135.24,139.66,135.24,136.13,135.66857255,271643
2020-06-19,138.68,139.42,132.47,133.51,133.057453325,508808
2020-06-22,132.48,135.86,129.6,135.75,135.289860601,264604
2020-06-23,138.98,144.31,135.6,141.7,141.219692428,308148
2020-06-24,137.95,139.59,132.26,132.69,132.240232804,398540
2020-06-25,130.96,135.33,128.06,133.95,133.495961897,318353
2020-06-26,132.82,135.37,125.46,125.91,125.483214352,907999
2020-06-29,128.0,134.86,126.44,132.73,132.28009722,352986
2020-06-30,131.25,134.19,130.55,133.15,132.698673584,266790
2020-07-01,134.85,137.4,131.72,131.92,131.472842803,233723
2020-07-02,136.38,136.94,131.11,132.14,131.692097089,263951
2020-07-06,135.5,135.5,129.0,130.03,129.589249163,208132
2020-07-07,127.55,129.35,124.81,124.98,124.556366688,224409
2020-07-08,124.68,129.83,123.43,128.64,128.20396072,320553
2020-07-09,128.19,128.81,121.56,124.99,124.566332792,294126
2020-07-10,125.72,128.8,124.14,128.02,127.586062277,228191
2020-07-13,130.85,134.43,125.0,125.61,125.184231235,291923
2020-07-14,126.65,130.43,123.64,130.26,129.818469553,188331
2020-07-15,136.07,139.22,134.28,137.19,136.724979564,313882
2020-07-16,135.14,138.05,134.5,136.48,136.017386187,366410
2020-07-17,135.77,137.66,132.5,135.97,135.509114887,235570
2020-07-20,134.63,135.82,131.41,133.85,133.396300858,158213
2020-07-21,135.99,139.08,134.5,135.49,135.030741899,196916
2020-07-22,134.19,136.67,134.19,135.33,134.871284237,189910
2020-07-23,134.24,134.69,130.0901,131.64,131.193791893,241259
2020-07-24,130.85,133.62,129.85,132.96,132.50931761,189903
2020-07-27,132.35,133.64,127.505,128.5,128.064435265,263263
2020-07-28,127.54,129.72,125.49,125.8,125.373587209,246227
