Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,22.19,22.24,21.7,22.18,20.7976689081,1167162
2019-12-24,22.25,23.12,22.25,23.03,21.5946940916,401557
2019-12-26,23.23,23.44,22.9,23.27,21.8197364964,1015987
2019-12-27,23.45,23.52,22.66,22.88,21.4540425887,881915
2019-12-30,22.94,23.04,22.71,22.79,21.3696516869,727775
2019-12-31,22.74,22.89,22.72,22.84,21.4165355212,464038
2020-01-02,22.93,23.28,22.9,23.27,21.8197364964,1135083
2020-01-03,23.2,23.7,23.01,23.47,22.0072718337,604308
2020-01-06,23.36,23.47,22.95,23.29,21.8384900302,804628
2020-01-07,23.12,23.23,22.71,22.85,21.4259122881,1048468
2020-01-08,22.76,22.77,21.08,22.09,20.7132780063,1829776
2020-01-09,22.14,22.44,21.86,22.37,20.9758274785,1244403
2020-01-10,22.5,22.91,22.43,22.79,21.3696516869,993636
2020-01-13,22.86,23.07,22.54,22.89,21.4634193555,642884
2020-01-14,22.79,22.97,22.56,22.76,21.3415213863,514749
2020-01-15,22.7,22.76,22.33,22.61,21.2008698833,672527
2020-01-16,22.71,22.77,22.25,22.53,21.1258557484,818762
2020-01-17,22.52,22.66,22.26,22.59,21.1821163496,567452
2020-01-21,22.38,22.95,22.36,22.82,21.3977819875,1142654
2020-01-22,22.92,23.28,22.86,23.08,21.641577926,893193
2020-01-23,23.0,23.02,22.43,22.81,21.3884052206,691091
2020-01-24,22.75,22.8,22.47,22.7,21.2852607851,912870
2020-01-27,22.18,22.3,21.15,21.48,20.1412952275,1022398
2020-01-28,21.58,22.3,21.43,22.26,20.872683043,489223
2020-01-29,22.51,23.08,22.47,22.58,21.1727395827,1223496
2020-01-30,22.39,22.71,21.9,22.7,21.2852607851,870588
2020-01-31,22.54,22.59,21.91,22.09,20.7132780063,1029838
2020-02-03,22.19,22.91,22.13,22.55,21.1446092821,687509
2020-02-04,22.87,22.9,22.05,22.18,20.7976689081,768010
2020-02-05,22.56,22.84,22.11,22.25,20.8633062761,765947
2020-02-06,22.41,22.5,22.18,22.46,21.0602183803,482424
2020-02-07,22.55,22.68,21.74,21.89,20.525742669,804114
2020-02-10,21.8,21.85,21.25,21.62,20.2725699636,562315
2020-02-11,21.92,22.58,21.79,22.45,21.0508416134,876872
2020-02-12,22.49,23.01,22.45,22.77,21.3508981531,1084975
2020-02-13,22.64,22.81,22.05,22.41,21.013334546,622738
2020-02-14,22.59,22.71,22.19,22.58,21.1727395827,538010
2020-02-18,22.32,22.38,21.27,21.33,20.0006437245,791983
2020-02-19,21.55,22.2,21.41,22.06,20.6851477057,1142176
2020-02-20,21.95,22.0,20.88,21.08,19.7662245528,1200340
2020-02-21,20.98,21.24,20.33,20.58,19.2973862096,711011
2020-02-24,19.84,20.0,19.35,19.85,18.6128822284,1000072
2020-02-25,20.02,20.13,19.42,19.65,18.425346891,1298763
2020-02-26,19.64,19.73,18.78,19.07,17.8814944128,981736
2020-02-27,18.51,18.57,16.83,17.99,16.8688035913,2302016
2020-02-28,17.41,18.33,17.15,18.26,17.1219762967,1465327
2020-03-02,18.34,19.68,17.82,19.63,18.4065933573,1593292
2020-03-03,19.55,20.02,18.77,19.03,17.8439873454,949882
2020-03-04,19.46,19.49,18.51,18.85,17.6752055418,1216540
2020-03-05,18.26,18.32,17.58,17.67,16.5687470516,1258238
2020-03-06,16.94,16.96,16.36,16.85,15.7998521687,1278428
2020-03-09,15.59,15.59,12.02,14.76,13.8401078937,2652743
2020-03-10,15.19,16.13,14.66,16.12,15.1153481875,2575084
2020-03-11,15.46,15.88,14.29,14.75,13.8307311269,2438213
2020-03-12,12.86,13.18,11.29,11.59,10.8676727973,1373204
2020-03-13,12.56,14.4,11.96,14.4,13.5025442866,2635275
2020-03-16,12.39,12.44,10.93,11.0,10.3144435522,1903963
2020-03-17,11.34,11.8,10.18,11.2,10.5019788896,1709760
2020-03-18,10.02,10.38,8.67,9.62,9.02044972478,1858921
2020-03-19,9.42,11.85,8.56,11.07,10.3800809203,1703248
2020-03-20,11.47,12.47,11.27,12.17,11.4115252755,1680049
2020-03-23,11.92,12.0,10.38,11.43,10.7176445275,1781304
2020-03-24,12.53,12.95,12.19,12.57,11.7865959502,836413
2020-03-25,12.52,14.0,12.02,13.21,12.3867090296,1158667
2020-03-26,13.36,14.28,12.5,14.18,13.2962554155,1120319
2020-03-27,13.29,13.46,12.08,12.28,11.514669711,636096
2020-03-30,12.29,12.33,11.43,12.0,11.2521202388,865665
2020-03-31,12.11,12.45,11.73,12.3,11.5334232448,1423819
2020-04-01,11.71,11.85,11.12,11.36,10.6520071594,1424026
2020-04-02,11.68,12.17,10.92,11.44,10.7270212943,735342
2020-04-03,11.47,11.61,10.61,11.05,10.3613273866,801532
2020-04-06,11.46,12.33,11.33,11.96,11.2146131713,784083
2020-04-07,12.59,13.14,11.01,11.43,10.7176445275,1015839
2020-04-08,11.6,12.05,11.04,12.01,11.2614970057,1018387
2020-04-09,12.4,12.64,11.33,11.47,10.7551515949,1073272
2020-04-13,11.55,12.17,11.18,11.95,11.2052364045,995440
2020-04-14,12.1,12.68,11.96,12.33,11.5615535454,907676
2020-04-15,11.9,12.59,11.57,12.43,11.655321214,1476523
2020-04-16,12.56,12.7,11.58,12.1,11.3458879075,1149594
2020-04-17,12.51,12.59,11.63,11.83,11.0927152021,1003059
2020-04-20,11.51,12.63,11.26,12.42,11.6459444472,3518451
2020-04-21,11.9,12.37,11.76,12.2,11.4396555761,999927
2020-04-22,12.7,13.36,12.39,13.21,12.3867090296,1772737
2020-04-23,13.42,13.59,12.86,13.21,12.3867090296,1079720
2020-04-24,13.09,13.25,11.72,11.81,11.0739616684,809508
2020-04-27,11.99,12.82,11.83,12.64,11.8522333182,1884523
2020-04-28,12.9,13.34,12.59,13.2,12.3773322627,567755
2020-04-29,13.57,14.14,13.4,14.04,13.1649806794,836534
2020-04-30,13.89,13.89,13.18,13.34,12.5086069988,1032658
2020-05-01,12.92,12.99,12.23,12.44,11.6646979809,460296
2020-05-04,12.17,12.81,12.01,12.4,11.6271909134,466136
2020-05-05,12.71,12.94,12.01,12.05,11.2990040731,604039
2020-05-06,12.09,12.25,11.74,11.75,11.0177010672,460792
2020-05-07,11.73,11.92,11.27,11.38,10.6707606931,1070897
2020-05-08,11.58,12.02,11.53,11.86,11.1208455027,739730
2020-05-11,11.72,11.86,11.43,11.47,10.7551515949,359139
2020-05-12,11.48,11.52,10.91,10.93,10.2488061842,997683
2020-05-13,10.97,11.14,10.35,10.61,9.94874964448,1398980
2020-05-14,10.32,11.16,10.04,11.06,10.3707041534,1290476
2020-05-15,11.05,11.22,10.61,10.72,10.05189408,638324
2020-05-18,11.17,11.51,11.0,11.32,10.6145000919,1749955
2020-05-19,11.45,11.87,11.14,11.72,10.9895707666,1267151
2020-05-20,11.31,11.78,11.31,11.5,10.7832818955,1673912
2020-05-21,11.59,12.57,11.53,12.54,11.7584656496,1619838
2020-05-22,12.57,12.63,12.25,12.31,11.5428000116,504274
2020-05-26,12.95,13.25,12.37,12.56,11.7772191833,1013962
2020-05-27,12.48,13.71,12.38,13.65,12.7992867716,1335905
2020-05-28,13.84,13.9,12.52,13.05,12.2366807597,1867162
2020-05-29,12.94,12.97,12.43,12.78,11.9835080543,845417
2020-06-01,12.82,14.06,12.71,13.72,12.8649241397,1259818
2020-06-02,13.92,14.72,13.63,14.63,13.7182099245,1059643
2020-06-03,15.0,15.62,14.7,15.0,14.0651502985,1413786
2020-06-04,14.82,15.19,14.74,14.92,13.9901361636,545650
2020-06-05,15.76,16.33,14.88,15.16,14.2151785684,818130
2020-06-08,15.45,15.85,15.19,15.84,14.8527987152,1244535
2020-06-09,15.39,15.63,15.13,15.58,14.6090027767,330111
2020-06-10,15.64,15.64,14.59,14.81,13.8869917281,596843
2020-06-11,13.78,13.91,13.16,13.45,12.6117514343,489339
2020-06-12,14.04,14.64,13.92,14.54,13.6338190227,779731
2020-06-15,13.78,14.66,13.52,14.6,13.6900796239,2318894
2020-06-16,15.11,15.57,14.7,14.94,14.0088896973,1428752
2020-06-17,14.94,15.94,14.93,15.69,14.7121472122,1200662
2020-06-18,15.31,15.96,15.22,15.42,14.5638995529,893805
2020-06-19,15.7,15.85,15.13,15.3,14.4505618132,1143886
2020-06-22,15.44,15.78,15.3,15.57,14.7055717276,628160
2020-06-23,15.81,15.88,15.18,15.27,14.4222273783,984200
2020-06-24,15.0,15.14,14.3,14.9,14.0727693475,1030883
2020-06-25,15.04,15.4,14.84,15.39,14.535565118,732829
2020-06-26,15.14,15.14,14.46,14.83,14.006655666,729842
2020-06-29,15.01,15.12,14.65,14.99,14.1577726523,756358
2020-06-30,14.8,15.19,14.56,15.06,14.2238863338,544309
2020-07-01,15.39,16.11,15.26,16.0,15.1116986282,963488
2020-07-02,16.2,16.29,15.46,15.58,14.7150165392,1226738
2020-07-06,16.68,18.86,16.5,17.82,16.8306543471,6029978
2020-07-07,17.57,18.06,17.04,17.27,16.3111897068,2171750
2020-07-08,17.47,17.85,16.78,17.56,16.5850892444,2511653
2020-07-09,17.6,17.74,16.65,17.12,16.1695175322,1779261
2020-07-10,17.04,17.14,16.75,16.89,15.9522868644,1539032
2020-07-13,16.89,17.32,16.53,16.61,15.6878321384,1709727
2020-07-14,16.43,17.05,16.21,17.01,16.0656246041,1603509
2020-07-15,17.45,17.73,16.95,17.19,16.2356312137,991031
2020-07-16,17.04,17.12,16.81,16.96,16.0184005459,665381
2020-07-17,17.03,17.94,16.91,17.79,16.8023199122,1069895
2020-07-20,17.82,18.66,17.55,18.48,17.4540119156,1152152
2020-07-21,18.64,18.84,18.28,18.4,17.3784534224,1971277
2020-07-22,18.51,19.41,18.25,18.99,17.9356973093,1321490
2020-07-23,18.8,19.22,18.59,18.79,17.7468010765,1434559
2020-07-24,18.49,18.72,18.05,18.32,17.3028949293,1102974
2020-07-27,18.49,18.81,18.41,18.74,17.6995770183,1268188
2020-07-28,18.44,18.75,18.18,18.66,17.6240185251,796582
2020-07-29,18.76,19.3,18.69,19.15,18.0868142956,894149
2020-07-30,18.82,20.65,18.68,20.43,19.2957501859,1912997
2020-07-31,20.38,20.41,19.44,20.2,19.0785195181,2162767
2020-08-03,20.17,20.17,19.44,19.58,18.4929411962,906499
2020-08-04,19.35,19.66,18.46,18.74,17.6995770183,1231940
2020-08-05,18.99,19.44,18.79,19.18,18.1151487305,547567
2020-08-06,18.5,19.33,18.5,18.8,17.7562458881,1028509
2020-08-07,18.68,18.8,18.35,18.7,17.6617977717,474064
2020-08-10,18.82,19.05,18.285,18.59,17.5579048436,479226
2020-08-11,18.4,18.82,18.02,18.19,17.1801123779,905966
2020-08-12,18.58,18.82,18.3,18.66,17.6240185251,806326
2020-08-13,18.78,19.12,18.31,18.46,17.4351222923,986733
2020-08-14,18.63,18.79,18.32,18.42,17.3973430457,450679
2020-08-17,18.24,18.34,17.34,17.61,16.6323133026,796392
2020-08-18,17.79,18.38,17.79,18.14,17.1328883197,726149
2020-08-19,18.14,18.21,17.75,17.77,16.7834302889,532048
2020-08-20,17.43,18.1,17.01,18.03,17.0289953916,949904
2020-08-21,17.97,18.07,17.64,17.93,16.9345472752,782321
2020-08-24,18.01,18.865,17.81,18.51,17.4823463505,1943651
2020-08-25,18.48,18.7,18.06,18.67,17.6334633368,717722
2020-08-26,18.81,18.81,17.99,18.3,17.284005306,636340
2020-08-27,18.49,18.49,17.72,18.34,17.3217845526,692904
2020-08-28,18.57,19.19,18.27,19.17,18.1057039189,938983
2020-08-31,19.03,19.03,18.13,18.16,17.151777943,745592
2020-09-01,18.4,18.84,18.15,18.42,17.3973430457,1347399
2020-09-02,18.38,18.38,17.31,17.56,16.5850892444,1431741
