Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,42.55,42.7465,41.26,41.99,41.99,45219
2019-12-24,41.99,41.99,41.225,41.97,41.97,14102
2019-12-26,41.66,41.79,40.76,41.22,41.22,29743
2019-12-27,41.2,41.2,40.4001,40.85,40.85,32919
2019-12-30,40.61,41.67,39.96,40.5,40.5,48186
2019-12-31,40.56,41.52,39.92,39.94,39.94,69791
2020-01-02,40.11,41.2243,40.0074,40.69,40.69,51357
2020-01-03,40.45,43.1958,40.3,41.85,41.85,84916
2020-01-06,41.85,42.3,40.44,40.71,40.71,65888
2020-01-07,40.69,41.44,39.88,40.94,40.94,48492
2020-01-08,41.0,41.065,40.01,40.11,40.11,42825
2020-01-09,40.05,41.42,39.9,40.66,40.66,78864
2020-01-10,40.91,41.08,38.75,38.8,38.8,88323
2020-01-13,39.01,39.8525,35.28,35.61,35.61,186388
2020-01-14,36.0,39.43,36.0,38.48,38.48,127601
2020-01-15,38.6,40.36,38.6,39.72,39.72,129989
2020-01-16,39.99,40.82,39.8228,39.97,39.97,73330
2020-01-17,40.18,40.5,39.77,39.91,39.91,70812
2020-01-21,39.91,40.49,39.0,39.45,39.45,67594
2020-01-22,39.5,40.4,39.06,40.2,40.2,83641
2020-01-23,40.33,40.5,39.385,40.17,40.17,79644
2020-01-24,40.38,41.8879,40.01,40.43,40.43,69008
2020-01-27,40.01,40.7474,40.01,40.4,40.4,111393
2020-01-28,40.44,42.0,40.33,41.92,41.92,105901
2020-01-29,42.0,42.25,41.3201,41.67,41.67,63050
2020-01-30,41.46,42.6753,41.27,42.58,42.58,136902
2020-01-31,42.55,43.25,42.01,42.45,42.45,159837
2020-02-03,43.01,43.19,42.02,42.67,42.67,97718
2020-02-04,43.86,44.2459,43.37,43.91,43.91,183619
2020-02-05,44.3,44.74,43.6,44.58,44.58,113931
2020-02-06,44.9,45.0,41.81,42.33,42.33,170364
2020-02-07,42.21,42.9211,41.18,41.22,41.22,60147
2020-02-10,41.26,41.8899,39.58,40.47,40.47,117606
2020-02-11,39.39,40.99,35.0,40.21,40.21,330896
2020-02-12,40.35,41.0,39.0909,40.76,40.76,72507
2020-02-13,40.44,42.8741,40.44,41.51,41.51,62429
2020-02-14,41.33,43.8,41.2391,43.09,43.09,135428
2020-02-18,43.5,43.9967,43.21,43.86,43.86,64908
2020-02-19,43.81,44.15,42.11,42.88,42.88,101978
2020-02-20,42.66,44.2985,42.5,43.28,43.28,54348
2020-02-21,43.27,43.3,40.65,41.86,41.86,86340
2020-02-24,40.68,40.9638,38.27,38.95,38.95,73655
2020-02-25,39.5,39.53,36.03,36.7,36.7,55032
2020-02-26,36.96,39.0479,36.96,37.51,37.51,51519
2020-02-27,36.47,37.6596,35.61,35.98,35.98,97648
2020-02-28,35.0,37.625,34.5,36.67,36.67,82114
2020-03-02,37.01,38.57,36.42,38.57,38.57,69889
2020-03-03,38.94,38.94,35.76,36.65,36.65,73396
2020-03-04,37.13,38.2,36.7,37.59,37.59,35099
2020-03-05,37.21,37.74,36.29,36.71,36.71,29204
2020-03-06,36.03,36.39,33.15,34.6,34.6,85060
2020-03-09,32.18,32.6607,30.0,31.06,31.06,53698
2020-03-10,32.43,32.43,29.46,31.97,31.97,70746
2020-03-11,31.0,31.92,29.27,30.7,30.7,63838
2020-03-12,28.56,29.0429,26.0285,26.26,26.26,71590
2020-03-13,27.57,28.51,25.28,28.25,28.25,101555
2020-03-16,25.53,26.78,24.27,24.98,24.98,82873
2020-03-17,25.35,28.19,23.26,28.14,28.14,129987
2020-03-18,26.3,29.24,26.3,28.48,28.48,150342
2020-03-19,28.06,31.03,26.55,29.82,29.82,73118
2020-03-20,30.0,31.49,27.84,27.97,27.97,91785
2020-03-23,28.14,29.92,26.9271,28.33,28.33,38184
2020-03-24,30.0,30.8,28.76,30.07,30.07,43669
2020-03-25,30.26,32.6,29.261,31.0,31.0,63124
2020-03-26,31.24,33.48,31.24,33.19,33.19,58903
2020-03-27,32.0,34.0,31.21,33.0,33.0,36945
2020-03-30,33.0,34.5,32.5,34.09,34.09,62990
2020-03-31,33.19,34.5,33.1,33.99,33.99,67127
2020-04-01,33.54,34.85,32.77,34.16,34.16,91157
2020-04-02,33.87,35.03,32.76,34.65,34.65,96501
2020-04-03,34.5,34.5,32.62,34.0,34.0,126084
2020-04-06,34.0,35.5,33.0199,35.5,35.5,108777
2020-04-07,35.7,35.7,34.2465,35.46,35.46,66850
2020-04-08,35.4998,36.1,35.0693,35.49,35.49,45202
2020-04-09,35.5,36.2399,35.0,35.93,35.93,58836
2020-04-13,35.62,36.5,35.401,36.36,36.36,62858
2020-04-14,36.41,37.25,35.31,35.89,35.89,54884
2020-04-15,35.65,35.99,34.67,35.13,35.13,35852
2020-04-16,35.0,35.3,34.01,35.1,35.1,32916
2020-04-17,35.25,35.88,33.9892,34.93,34.93,48586
2020-04-20,35.0,35.25,33.02,34.22,34.22,30872
2020-04-21,33.18,33.75,31.76,31.82,31.82,36468
2020-04-22,32.14,34.28,31.2601,33.94,33.94,44858
2020-04-23,34.0289,34.49,32.31,32.67,32.67,26997
2020-04-24,32.75,34.75,32.2913,34.04,34.04,46117
2020-04-27,35.11,35.24,33.97,34.32,34.32,67787
2020-04-28,34.56,35.45,34.5,34.81,34.81,59972
2020-04-29,35.0,35.84,34.82,35.44,35.44,67491
2020-04-30,35.3,35.65,33.54,33.54,33.54,66123
2020-05-01,33.01,33.8046,30.55,31.72,31.72,56034
2020-05-04,31.03,31.4634,30.07,30.46,30.46,55889
2020-05-05,30.14,32.94,30.14,31.37,31.37,126534
2020-05-06,31.66,32.3,30.8,31.66,31.66,45375
2020-05-07,31.8,32.29,30.26,30.93,30.93,56844
2020-05-08,30.93,32.75,30.93,31.9,31.9,53470
2020-05-11,31.9,32.3407,31.04,31.33,31.33,55121
2020-05-12,31.34,32.1,30.5,30.76,30.76,65945
2020-05-13,30.64,31.23,28.69,28.89,28.89,61010
2020-05-14,28.53,30.56,27.4,30.23,30.23,52124
2020-05-15,30.33,31.86,29.9928,31.86,31.86,38101
2020-05-18,32.0,32.77,31.38,32.29,32.29,69535
2020-05-19,32.0,32.7,31.88,32.34,32.34,45143
2020-05-20,32.7,32.78,31.94,32.6,32.6,36984
2020-05-21,32.5,32.55,31.94,32.02,32.02,30183
2020-05-22,32.34,32.45,31.7,32.17,32.17,16497
