Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,212.08,212.31,211.1,211.77,208.185848015,967356
2019-12-24,211.57,212.41,210.67,211.62,208.038386726,399895
2019-12-26,211.7,212.75,211.1,212.75,209.149261771,481035
2019-12-27,214.15,214.26,212.09,212.26,208.667554893,825467
2019-12-30,212.81,212.9,211.27,211.49,207.910586942,807517
2019-12-31,211.74,212.92,211.26,212.9,209.29672306,1040027
2020-01-02,213.58,214.45,210.46,210.74,207.173280497,2604065
2020-01-03,207.4,209.05,205.17,205.26,201.786028067,2899274
2020-01-06,204.6,206.35,204.19,204.39,200.93075259,2395327
2020-01-07,204.81,206.75,204.25,204.83,201.363305704,2591055
2020-01-08,205.27,208.19,205.1,207.39,203.879978372,1327341
2020-01-09,208.08,209.74,207.81,208.85,205.315268253,1086061
2020-01-10,210.74,211.83,208.93,209.08,205.541375563,1217575
2020-01-13,209.79,211.93,209.33,211.8,208.215340273,1225710
2020-01-14,211.27,212.12,209.14,209.96,206.406481793,2107343
2020-01-15,210.99,212.08,210.35,211.44,207.861433179,1078220
2020-01-16,212.88,213.07,211.78,213.06,209.454015102,1302600
2020-01-17,213.19,214.42,212.84,214.1,210.476413374,1903666
2020-01-21,211.7,212.74,211.18,211.73,208.146525005,1384531
2020-01-22,211.2,211.95,210.45,211.08,207.507526085,966943
2020-01-23,208.42,209.65,207.52,209.62,206.072236204,1400735
2020-01-24,210.0,212.3,208.82,209.99,206.435974051,1541574
2020-01-27,205.22,206.3,204.09,204.88,201.412459467,1947799
2020-01-28,205.43,208.93,205.18,207.88,204.36168525,1229441
2020-01-29,208.13,209.44,207.66,208.23,204.705761592,982718
2020-01-30,206.47,208.57,205.46,208.23,204.705761592,1381321
2020-01-31,205.63,206.34,202.97,203.13,199.692077761,1909667
2020-02-03,203.77,210.05,203.58,209.44,205.895282657,2911531
2020-02-04,210.81,214.85,210.62,213.5,209.886568217,2369442
2020-02-05,217.12,217.12,213.26,216.74,213.071732063,2970077
2020-02-06,216.79,217.42,215.07,216.75,213.081562815,2234119
