Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,84.83,84.83,82.82,84.39,84.39,176498
2019-12-24,84.57,84.85,83.81,84.64,84.64,75883
2019-12-26,84.64,84.6579,83.555,83.9,83.9,139103
2019-12-27,84.36,84.36,82.38,83.66,83.66,145883
2019-12-30,83.78,84.53,82.86,83.25,83.25,145266
2019-12-31,83.21,84.51,82.95,84.06,84.06,282347
2020-01-02,84.99,85.1,81.53,82.97,82.97,239900
2020-01-03,81.96,82.9125,81.36,82.53,82.53,265238
2020-01-06,81.58,83.4,81.05,83.24,83.24,188760
2020-01-07,83.24,83.73,82.25,83.13,83.13,163534
2020-01-08,83.4,86.2,83.195,83.63,83.63,172266
2020-01-09,83.82,85.14,83.74,84.25,84.25,115030
2020-01-10,84.48,85.04,83.76,83.88,83.88,138041
2020-01-13,84.24,85.465,83.4,85.42,85.42,170595
2020-01-14,85.07,86.7958,84.825,86.27,86.27,133984
2020-01-15,86.27,89.49,86.27,89.13,89.13,279772
2020-01-16,89.1,91.15,88.98,91.04,91.04,178679
2020-01-17,91.55,92.07,90.05,90.95,90.95,167867
2020-01-21,90.63,91.81,90.18,91.08,91.08,111011
2020-01-22,91.34,92.31,90.725,91.75,91.75,103144
2020-01-23,91.62,91.73,89.97,91.17,91.17,169929
2020-01-24,91.4,91.655,87.29,88.07,88.07,220360
2020-01-27,86.58,88.0,82.89,87.68,87.68,183522
2020-01-28,88.51,89.05,87.845,88.42,88.42,119865
2020-01-29,88.62,89.42,88.25,88.53,88.53,136331
2020-01-30,87.9,88.92,86.96,87.95,87.95,92159
2020-01-31,87.77,87.94,85.33,85.55,85.55,226032
2020-02-03,86.31,88.13,85.57,87.56,87.56,161171
2020-02-04,88.77,92.82,88.03,92.71,92.71,214682
2020-02-05,93.42,96.8,93.2,95.5,95.5,413190
2020-02-06,95.88,96.4,94.54,94.98,94.98,210932
2020-02-07,94.7,94.7,90.4,93.17,93.17,253894
2020-02-10,93.04,94.0407,92.1442,93.94,93.94,128579
2020-02-11,94.78,97.08,94.4,96.9,96.9,136230
2020-02-12,97.25,98.0,96.17,96.92,96.92,139907
2020-02-13,96.27,97.96,95.96,97.78,97.78,113164
2020-02-14,97.82,98.7,95.77,97.86,97.86,188726
2020-02-18,97.62,98.41,95.65,98.17,98.17,191921
2020-02-19,97.8,100.79,97.8,100.3,100.3,224143
2020-02-20,99.83,101.12,98.89,99.92,99.92,161971
2020-02-21,99.62,100.4,98.25,99.58,99.58,140963
2020-02-24,95.93,99.04,95.39,99.02,99.02,387787
2020-02-25,103.97,109.09,100.695,101.95,101.95,698197
2020-02-26,102.91,103.725,98.76,100.48,100.48,450847
2020-02-27,98.32,99.6141,95.0,95.13,95.13,654879
2020-02-28,92.0,95.12,88.1,89.94,89.94,532394
2020-03-02,90.88,95.51,90.53,94.84,94.84,432679
2020-03-03,95.11,97.91,89.62,91.07,91.07,380546
2020-03-04,94.24,100.63,92.76,100.13,100.13,274277
2020-03-05,96.93,100.895,95.47,96.31,96.31,288629
2020-03-06,94.39,98.595,91.8,98.35,98.35,247766
2020-03-09,91.49,97.02,90.22,90.57,90.57,384985
2020-03-10,93.58,95.13,88.3301,92.98,92.98,415760
2020-03-11,90.08,90.36,82.42,83.64,83.64,493849
2020-03-12,78.4,78.4,72.0,72.26,72.26,611185
2020-03-13,76.3,77.59,70.9,77.59,77.59,444182
2020-03-16,72.77,74.77,70.0,70.59,70.59,371179
2020-03-17,69.68,73.69,64.11,72.72,72.72,799142
2020-03-18,66.32,70.01,59.3369,61.71,61.71,673822
2020-03-19,61.93,67.155,59.17,64.95,64.95,1002491
2020-03-20,65.9,74.29,65.76,69.14,69.14,835895
2020-03-23,68.32,68.36,58.72,61.82,61.82,960754
2020-03-24,64.99,69.0,63.173,68.57,68.57,439805
2020-03-25,68.38,74.53,66.66,67.97,67.97,493671
2020-03-26,68.46,74.75,68.46,73.46,73.46,357194
2020-03-27,70.6,72.71,66.21,66.86,66.86,496051
2020-03-30,67.53,75.44,66.0092,75.07,75.07,452699
2020-03-31,75.16,77.26,70.41,73.38,73.38,429523
2020-04-01,70.4,71.0,67.09,68.45,68.45,475193
2020-04-02,68.13,72.45,67.0,71.92,71.92,254753
2020-04-03,70.61,72.745,66.78,68.08,68.08,357399
2020-04-06,71.0,77.41,70.935,76.94,76.94,298087
2020-04-07,78.66,80.97,77.44,78.57,78.57,278614
2020-04-08,80.26,82.68,75.79,82.15,82.15,251729
2020-04-09,84.3,84.3,81.185,83.12,83.12,252725
2020-04-13,82.37,82.56,79.63,81.15,81.15,145100
2020-04-14,83.66,84.0,81.455,83.37,83.37,211783
2020-04-15,81.01,81.5509,77.9,78.57,78.57,349303
2020-04-16,79.63,83.63,77.47,82.31,82.31,259993
2020-04-17,85.0,87.89,83.3971,87.68,87.68,292256
2020-04-20,83.05,87.57,83.05,85.53,85.53,306932
2020-04-21,83.8,83.8,78.04,78.81,78.81,238906
2020-04-22,81.28,83.16,80.06,82.71,82.71,174642
2020-04-23,83.24,85.67,81.3,84.98,84.98,288532
2020-04-24,85.12,85.91,83.16,83.82,83.82,189581
2020-04-27,85.55,88.02,84.02,86.46,86.46,240630
2020-04-28,88.27,89.41,84.95,85.66,85.66,416158
2020-04-29,87.75,87.75,76.11,84.33,84.33,876815
2020-04-30,84.99,85.0,79.7,79.86,79.86,489459
2020-05-01,78.59,78.59,73.6205,76.17,76.17,353966
2020-05-04,76.29,79.11,75.3092,79.03,79.03,292442
2020-05-05,80.04,82.37,78.23,80.32,80.32,243259
2020-05-06,80.68,81.323,78.6,78.6,78.6,222328
2020-05-07,79.78,80.87,79.13,79.32,79.32,211800
2020-05-08,80.22,82.3275,79.65,82.18,82.18,208936
2020-05-11,82.21,86.295,81.33,85.97,85.97,256889
2020-05-12,86.95,86.95,83.13,83.43,83.43,295116
2020-05-13,83.5,84.28,78.49,80.25,80.25,586537
2020-05-14,78.5,82.24,78.455,81.83,81.83,239407
2020-05-15,81.47,84.41,80.02,84.36,84.36,221569
2020-05-18,86.2,88.2041,85.965,87.02,87.02,238553
2020-05-19,86.71,88.0,86.33,86.44,86.44,157130
2020-05-20,87.67,90.2967,85.98,90.08,90.08,320157
2020-05-21,89.05,90.51,88.33,90.0,90.0,275677
2020-05-22,90.52,92.91,90.099,92.18,92.18,161809
2020-05-26,95.0,95.265,91.0,92.65,92.65,294109
2020-05-27,92.9,95.73,90.285,95.68,95.68,314655
2020-05-28,96.73,97.0,93.58,94.25,94.25,233096
2020-05-29,93.93,93.93,91.465,92.82,92.82,477870
2020-06-01,92.72,92.72,89.48,89.62,89.62,309196
2020-06-02,89.91,90.62,88.05,90.41,90.41,266528
2020-06-03,91.17,91.88,90.16,90.27,90.27,246832
2020-06-04,89.53,90.98,87.9502,90.02,90.02,219872
2020-06-05,92.2,92.86,88.32,88.47,88.47,216110
2020-06-08,92.38,94.55,90.07,93.82,93.82,277374
2020-06-09,93.66,93.74,89.11,89.24,89.24,243784
2020-06-10,89.41,90.09,86.96,87.69,87.69,203244
2020-06-11,85.55,85.55,80.8,81.08,81.08,316952
2020-06-12,84.23,85.85,82.36,84.57,84.57,268526
2020-06-15,82.6,86.49,81.745,86.28,86.28,197922
2020-06-16,89.65,89.99,86.81,89.04,89.04,281348
2020-06-17,88.57,90.87,87.06,88.03,88.03,288461
2020-06-18,87.79,91.17,87.79,88.91,88.91,221761
2020-06-19,89.82,90.96,88.62,89.96,89.96,468722
2020-06-22,89.7,90.49,87.2177,88.33,88.33,229726
2020-06-23,88.5,91.28,87.75,90.46,90.46,229707
2020-06-24,89.31,90.22,86.12,87.73,87.73,192871
2020-06-25,85.97,88.86,85.22,88.77,88.77,220534
2020-06-26,88.57,89.18,87.27,87.81,87.81,284827
2020-06-29,88.98,90.26,86.84,90.22,90.22,163100
2020-06-30,90.33,93.36,89.75,93.02,93.02,246700
2020-07-01,93.74,94.7,91.98,92.95,92.95,168800
2020-07-02,92.45,94.9,90.01,93.57,93.57,262800
2020-07-06,94.34,96.3,93.98,96.22,96.22,244900
2020-07-07,95.48,98.85,95.18,97.97,97.97,241800
2020-07-08,98.57,99.83,97.66,98.62,98.62,252100
2020-07-09,98.46,100.55,98.18,99.07,99.07,273100
