Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,283.05,287.44,281.71,283.31,283.31,1941613
2019-12-24,283.9,284.92,282.57,284.2,284.2,305728
2019-12-26,284.76,288.08,284.76,286.2,286.2,945982
2019-12-27,288.07,288.07,284.111,286.88,286.88,997648
2019-12-30,286.28,286.42,277.75,282.81,282.81,1406159
2019-12-31,280.41,283.85,279.79,282.32,282.32,970352
2020-01-02,284.96,291.68,284.22,291.24,291.24,1831130
2020-01-03,286.9,293.06,286.5,291.1,291.1,1135765
2020-01-06,285.19,293.41,284.6,292.87,292.87,1473975
2020-01-07,293.22,294.58,288.03,292.91,292.91,1438553
2020-01-08,294.56,297.69,293.24,295.65,295.65,1740780
2020-01-09,297.3,299.77,294.225,299.31,299.31,1403360
2020-01-10,300.72,303.39,297.45,298.88,298.88,1258528
2020-01-13,302.35,305.86,301.0,303.85,303.85,1643776
2020-01-14,303.85,306.0,301.37,301.5,301.5,1498222
2020-01-15,302.0,307.73,301.9,304.87,304.87,1486320
2020-01-16,306.0,310.5,305.3481,310.02,310.02,2269365
2020-01-17,310.44,312.79,309.56,312.52,312.52,2114117
2020-01-21,312.0,315.6,311.11,312.98,312.98,2558574
2020-01-22,317.03,317.2676,312.75,312.85,312.85,1769680
2020-01-23,313.0,316.18,310.9,311.46,311.46,1590862
2020-01-24,314.58,318.84,307.78,309.39,309.39,1789576
2020-01-27,300.45,308.18,298.05,307.63,307.63,1724654
2020-01-28,309.29,315.21,308.4,314.05,314.05,1543691
2020-01-29,315.52,315.98,311.06,312.93,312.93,2536892
2020-01-30,333.73,343.89,329.65,341.62,341.62,4945641
2020-01-31,339.5,339.91,332.83,338.23,338.23,2432830
2020-02-03,338.41,344.75,337.245,343.2,343.2,2119017
2020-02-04,346.0,354.6438,344.52,352.03,352.03,2037916
2020-02-05,353.17,355.99,334.81,338.5,338.5,2851044
2020-02-06,340.01,342.82,334.08,341.7,341.7,1474367
2020-02-07,341.71,345.77,339.69,341.06,341.06,1677690
2020-02-10,340.72,345.0,338.9,342.77,342.77,1781885
2020-02-11,345.96,346.19,341.04,343.57,343.57,1194805
2020-02-12,345.02,350.43,339.5,349.8,349.8,1306511
2020-02-13,347.5,357.0,347.5,351.81,351.81,2488282
2020-02-14,353.64,356.32,350.88,356.16,356.16,1106141
2020-02-18,356.0,358.756,354.04,357.49,357.49,1288934
2020-02-19,358.75,362.95,357.4,357.72,357.72,1306818
2020-02-20,357.72,361.98,345.41,352.94,352.94,1948079
2020-02-21,350.48,351.75,338.78,344.48,344.48,2348646
2020-02-24,327.34,336.5,324.19,333.56,333.56,2016720
2020-02-25,338.56,342.08,327.57,329.72,329.72,1839212
2020-02-26,331.0,342.51,330.25,334.27,334.27,1616393
2020-02-27,323.69,331.43,317.77,320.1,320.1,2275578
2020-02-28,310.0,327.0,307.1,326.09,326.09,3202453
2020-03-02,333.83,344.48,326.32,344.4,344.4,2698382
2020-03-03,344.39,350.7,325.1303,329.63,329.63,2952176
2020-03-04,336.74,345.215,331.63,345.07,345.07,1575354
2020-03-05,337.49,343.03,326.27,329.33,329.33,1959530
2020-03-06,319.39,323.51,300.8,317.24,317.24,4108534
2020-03-09,294.39,306.8406,288.0,292.09,292.09,3434347
2020-03-10,302.38,313.0,291.62,312.8,312.8,3918986
2020-03-11,304.98,310.265,283.81,290.63,290.63,2908476
2020-03-12,270.04,287.1344,261.61,262.12,262.12,3876897
2020-03-13,277.41,288.5,264.84,287.67,287.67,3037582
2020-03-16,251.01,283.844,250.0,265.43,265.43,3385939
2020-03-17,271.41,302.9786,270.02,287.42,287.42,3908108
2020-03-18,266.0,279.94,238.93,278.16,278.16,4427001
2020-03-19,276.46,290.0,258.01,277.66,277.66,2791982
2020-03-20,276.06,284.68,252.25,254.7,254.7,3500388
2020-03-23,254.9,260.39,240.16,255.32,255.32,2822989
2020-03-24,275.58,283.6,268.54,272.0,272.0,3370871
2020-03-25,272.35,278.947,257.32,264.67,264.67,3088499
2020-03-26,269.69,295.0,267.985,294.73,294.73,3731021
2020-03-27,284.13,284.13,269.46,274.0,274.0,3075145
2020-03-30,277.77,292.695,275.2,286.39,286.39,2368644
2020-03-31,289.59,296.1698,281.31,286.58,286.58,3393325
2020-04-01,274.39,278.8,268.68,273.07,273.07,2421273
2020-04-02,265.0,272.62,249.2453,259.0,259.0,4416724
2020-04-03,258.85,261.16,246.67,249.57,249.57,2848806
2020-04-06,259.49,272.25,255.5112,269.95,269.95,3213878
2020-04-07,277.0,278.1,255.24,262.35,262.35,3045021
2020-04-08,266.44,276.41,263.905,274.05,274.05,1768897
2020-04-09,276.08,285.12,274.615,278.06,278.06,2754183
2020-04-13,276.76,284.5,273.76,283.56,283.56,2319468
2020-04-14,297.0,303.14,289.28,302.09,302.09,2555754
2020-04-15,297.21,299.39,293.56,295.92,295.92,1799467
2020-04-16,300.48,301.85,289.215,291.94,291.94,2072827
2020-04-17,302.09,303.12,296.51,299.59,299.59,2128487
2020-04-20,298.19,308.1351,296.6,302.46,302.46,1876988
2020-04-21,298.96,303.7003,281.57,288.77,288.77,2872878
2020-04-22,295.92,302.68,293.06,299.61,299.61,1420788
2020-04-23,300.0,304.689,296.0,297.31,297.31,1456823
2020-04-24,297.53,303.68,292.6995,302.94,302.94,1475053
2020-04-27,307.53,311.0,306.27,308.6,308.6,1156320
2020-04-28,312.79,315.0,295.78,296.0,296.0,2251547
2020-04-29,301.6,325.44,301.57,321.99,321.99,3476372
2020-04-30,327.84,357.78,327.49,351.54,351.54,5387769
2020-05-01,342.09,351.0,336.0,339.51,339.51,2448327
2020-05-04,336.52,356.5,335.01,354.64,354.64,2537857
2020-05-05,360.0,376.18,356.07,370.64,370.64,2975824
2020-05-06,374.63,379.8,364.5,365.39,365.39,2375275
2020-05-07,368.97,386.5746,368.53,381.83,381.83,2755033
2020-05-08,384.0,387.6,376.13,377.26,377.26,2103846
2020-05-11,375.0,388.5,370.04,383.65,383.65,1575735
2020-05-12,384.13,384.99,364.57,365.6,365.6,3388369
2020-05-13,366.01,370.46,351.29,361.29,361.29,2894634
2020-05-14,358.71,370.06,351.51,367.83,367.83,2306009
2020-05-15,365.45,372.45,363.06,370.46,370.46,2502831
2020-05-18,378.0,381.779,373.18,374.87,374.87,1754483
2020-05-19,375.0,389.67,373.23,382.88,382.88,1721625
2020-05-20,390.0,394.755,384.39,390.16,390.16,1463569
2020-05-21,390.52,393.5858,382.41,383.64,383.64,991653
2020-05-22,389.04,394.14,384.99,387.96,387.96,1006087
2020-05-26,396.13,396.15,379.63,380.67,380.67,1714726
2020-05-27,378.05,378.05,352.07,371.16,371.16,3760558
2020-05-28,370.0,386.67,368.46,377.98,377.98,1546630
2020-05-29,381.41,388.23,378.625,387.93,387.93,1968935
2020-06-01,385.06,387.935,381.85,383.37,383.37,1335764
2020-06-02,384.45,392.9,375.44,392.9,392.9,2022851
2020-06-03,389.99,393.11,381.1001,388.09,388.09,1400826
2020-06-04,385.69,389.6999,372.42,376.95,376.95,2085755
2020-06-05,370.0,390.68,367.03,390.46,390.46,2455309
2020-06-08,386.58,388.77,375.68,386.64,386.64,1512698
2020-06-09,390.98,398.0,385.4913,388.83,388.83,1688089
2020-06-10,392.34,405.53,392.34,401.66,401.66,2003100
2020-06-11,393.83,397.46,372.87,375.05,375.05,2924490
2020-06-12,387.62,392.38,377.76,385.13,385.13,1555615
2020-06-15,378.2,393.98,375.37,392.5,392.5,1436608
2020-06-16,400.0,402.87,389.19,398.46,398.46,1743797
2020-06-17,400.01,407.59,398.05,400.65,400.65,1562104
2020-06-18,402.26,404.49,396.1,401.03,401.03,1320494
2020-06-19,406.25,407.99,398.44,399.87,399.87,2303792
2020-06-22,396.42,403.22,391.8519,402.82,402.82,1568158
2020-06-23,408.0,409.8,397.38,400.94,400.94,1671264
2020-06-24,399.78,405.24,388.865,392.93,392.93,1450201
2020-06-25,391.715,401.69,385.66,401.64,401.64,1295031
2020-06-26,401.83,402.84,391.08,399.97,399.97,2013083
2020-06-29,401.48,402.99,385.5,394.55,394.55,1388100
2020-06-30,394.88,406.17,394.0,405.06,405.06,1760300
2020-07-01,405.38,417.62,403.5,416.79,416.79,1794500
2020-07-02,421.31,424.84,412.69,414.21,414.21,1385300
2020-07-06,419.29,425.0,412.15,416.44,416.44,1774600
2020-07-07,416.44,421.23,410.97,411.74,411.74,1313400
2020-07-08,416.8,426.78,415.5,425.2,425.2,1515900
2020-07-09,428.0,430.83,415.6,426.37,426.37,1406500
2020-07-10,426.5,427.78,419.46,422.91,422.91,1482300
2020-07-13,425.0,427.78,399.47,401.87,401.87,1622400
2020-07-14,400.0,413.81,390.84,413.23,413.23,1781400
2020-07-15,422.89,425.96,415.74,423.56,423.56,2117500
2020-07-16,416.06,418.26,404.49,413.88,413.88,1445800
2020-07-17,415.75,423.4,411.45,421.81,421.81,1099300
2020-07-20,425.0,454.7,424.54,449.27,449.27,3130116
2020-07-21,447.23,447.47,434.18,437.22,437.22,1606323
2020-07-22,440.0,443.9649,434.315,441.6,441.6,872830
2020-07-23,441.1,448.34,428.62,430.85,430.85,1324394
2020-07-24,420.28,430.31,414.599,425.19,425.19,1003821
2020-07-27,430.0,436.16,426.005,433.81,433.81,985255
2020-07-28,435.0,442.58,431.0,435.04,435.04,1038071
2020-07-29,442.57,446.505,437.87,445.71,445.71,2255868
2020-07-30,432.72,438.6,421.33,431.4,431.4,3143077
2020-07-31,436.99,439.2,428.3176,439.2,439.2,1745876
2020-08-03,443.72,444.79,431.16,439.96,439.96,1801941
2020-08-04,437.42,442.49,433.87,438.15,438.15,1141120
2020-08-05,440.0,441.05,435.33,435.74,435.74,1018629
2020-08-06,437.88,439.57,425.335,430.33,430.33,2230896
2020-08-07,432.04,439.2877,423.714,431.21,431.21,2459662
2020-08-10,430.44,439.13,422.17,438.68,438.68,2724446
2020-08-11,434.35,434.99,418.533,421.36,421.36,1639128
2020-08-12,425.14,431.43,423.05,427.13,427.13,1619889
2020-08-13,427.86,439.81,426.71,438.42,438.42,1700125
2020-08-14,438.36,442.8927,434.32,435.73,435.73,1252370
2020-08-17,436.98,445.15,436.98,442.37,442.37,1897063
2020-08-18,441.72,444.36,435.3,437.58,437.58,2272083
2020-08-19,438.0,443.64,432.1,437.13,437.13,1964921
2020-08-20,435.42,454.73,433.355,453.34,453.34,2718235
2020-08-21,452.78,453.99,446.1789,449.42,449.42,2339210
2020-08-24,453.05,458.64,445.0,448.1,448.1,2357007
2020-08-25,450.0,458.88,445.74,457.93,457.93,1164912
2020-08-26,465.0,488.582,464.101,487.7,487.7,2199754
2020-08-27,485.0,485.1,474.5,480.55,480.55,1521161
2020-08-28,485.0,494.0,484.4,487.87,487.87,1061372
2020-08-31,488.25,489.995,480.99,482.02,482.02,1390680
2020-09-01,485.0,497.25,482.58,497.19,497.19,1370853
2020-09-02,500.0,501.82,482.66,499.69,499.69,1355545
2020-09-03,485.0,487.99,462.67,468.84,468.84,2024617
2020-09-04,466.0,470.0,435.1,450.35,450.35,2680167
2020-09-08,439.99,452.73,432.85,443.14,443.14,1765371
2020-09-09,452.09,462.86,441.845,458.2,458.2,1805559
2020-09-10,461.0,468.32,450.27,452.98,452.98,1114841
2020-09-11,457.63,458.49,439.76,445.9,445.9,895909
2020-09-14,451.42,463.2,451.17,458.06,458.06,1434433
2020-09-15,463.23,474.315,462.6096,473.96,473.96,1120502
2020-09-16,476.47,479.44,455.78,456.01,456.01,1507316
2020-09-17,445.7,455.0,442.0,453.8,453.8,1578503
2020-09-18,454.15,457.255,442.71,453.09,453.09,1461231
2020-09-21,446.82,462.4,446.2,461.88,461.88,1106413
2020-09-22,465.75,471.1,454.6049,470.57,470.57,930129
2020-09-23,470.0,473.315,459.04,460.47,460.47,826736
2020-09-24,458.79,465.17,453.7,460.12,460.12,842539
2020-09-25,468.91,481.65,464.565,479.97,479.97,1206757
2020-09-28,486.61,488.4,478.97,484.21,484.21,1257986
2020-09-29,486.35,489.56,483.0952,487.98,487.98,829337
2020-09-30,485.67,493.31,481.15,485.0,485.0,1202344
2020-10-01,491.57,495.13,487.4528,492.52,492.52,922437
2020-10-02,480.49,502.63,478.99,493.15,493.15,1593110
2020-10-05,495.61,502.23,491.2702,501.79,501.79,1287437
2020-10-06,500.0,502.5999,489.82,491.54,491.54,1075785
2020-10-07,497.63,504.21,494.0,500.0,500.0,858048
2020-10-08,505.0,505.0,492.0,496.5,496.5,823356
2020-10-09,503.56,510.88,502.01,508.61,508.61,1193425
2020-10-12,513.55,515.55,502.0,509.09,509.09,896321
2020-10-13,516.51,522.77,511.23,518.3,518.3,1180580
2020-10-14,520.0,521.5,509.98,516.89,516.89,990207
2020-10-15,509.48,522.99,506.0,520.68,520.68,945391
2020-10-16,524.15,530.73,520.99,524.87,524.87,1031892
2020-10-19,526.44,533.37,519.39,521.95,521.95,891807
2020-10-20,523.0,527.58,515.915,518.19,518.19,826498
2020-10-21,518.68,519.53,506.83,510.28,510.28,831294
2020-10-22,511.7,513.55,495.17,505.96,505.96,858230
2020-10-23,509.09,514.23,505.23,514.01,514.01,845229
2020-10-26,518.01,521.86,492.51,501.61,501.61,1621213
2020-10-27,508.79,510.0,498.52,499.81,499.81,1204132
2020-10-28,486.95,489.9199,480.15,484.05,484.05,1776599
2020-10-29,497.0,517.9,493.0001,510.59,510.59,2857371
2020-10-30,504.4,507.9802,485.59,497.57,497.57,1873925
2020-11-02,499.21,507.575,474.285,476.0,476.0,1983704
2020-11-03,477.61,484.71,472.01,480.05,480.05,1783333
2020-11-04,506.35,518.23,501.0,513.58,513.58,2223775
2020-11-05,523.31,533.84,520.495,531.08,531.08,1186473
2020-11-06,529.53,537.53,519.0,535.18,535.18,826425
2020-11-09,509.65,528.21,500.79,501.96,501.96,2398459
2020-11-10,495.53,499.68,472.01,481.28,481.28,2501693
2020-11-11,493.71,508.0575,489.55,503.36,503.36,1578845
2020-11-12,520.45,525.01,506.37,509.78,509.78,1631603
2020-11-13,511.6,511.6,495.52,508.01,508.01,1235170
2020-11-16,497.49,505.7507,495.1891,502.28,502.28,1587082
2020-11-17,505.0,516.0,504.07,513.1,513.1,1151537
2020-11-18,511.25,513.56,502.39,507.12,507.12,1016214
2020-11-19,508.2,519.93,505.0,514.33,514.33,978532
2020-11-20,515.61,526.46,514.0,518.06,518.06,1184583
2020-11-23,520.1,524.87,514.2665,522.11,522.11,1294155
2020-11-24,522.71,526.0,510.155,514.69,514.69,1155750
2020-11-25,519.0,524.0,511.792,519.22,519.22,1083610
2020-11-27,521.0,529.7799,515.845,527.48,527.48,741692
2020-11-30,530.0,535.0,520.98,534.55,534.55,1722519
2020-12-01,536.0,541.74,525.955,539.59,539.59,1123483
2020-12-02,530.77,535.0,521.17,526.52,526.52,1088450
2020-12-03,527.79,539.5,523.3,525.24,525.24,1022407
2020-12-04,525.54,529.75,522.24,525.7,525.7,744666
2020-12-07,528.76,534.74,527.91,533.25,533.25,1379565
2020-12-08,536.79,544.05,528.6,542.25,542.25,1869984
2020-12-09,544.43,545.0,525.65,527.99,527.99,1637492
2020-12-10,526.5,538.56,518.51,538.0,538.0,1032898
2020-12-11,538.19,540.69,530.835,537.36,537.36,855076
2020-12-14,538.5,539.105,530.96,532.48,532.48,1280746
2020-12-15,532.0,535.11,525.08,527.38,527.38,1072741
2020-12-16,532.95,549.88,532.0,545.0,545.0,1515407
2020-12-17,549.47,558.34,549.47,554.07,554.07,1228176
2020-12-18,558.47,566.74,555.55,565.43,565.43,2152770
2020-12-21,558.02,562.45,542.7,550.82,550.82,1642674
2020-12-22,550.71,562.5,548.9701,561.72,561.72,1199630
