Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,88.26,88.43,87.39,87.6,85.4397695442,1637093
2019-12-24,87.7,88.09,87.45,87.86,85.6933579013,980380
2019-12-26,87.96,88.55,87.93,88.41,86.2297948106,826801
2019-12-27,88.75,88.96,88.35,88.67,86.4833831677,1250371
2019-12-30,88.5,88.99,88.25,88.86,86.6686977363,1374004
2019-12-31,88.86,89.28,88.38,89.14,86.9417928901,2254441
2020-01-02,89.67,89.8,87.75,88.4,86.2200414122,2246180
2020-01-03,87.55,89.86,87.55,89.39,87.1856278488,2187955
2020-01-06,89.44,89.6,88.89,89.04,86.8442589066,1792842
2020-01-07,88.62,88.94,87.88,88.47,86.2883152007,2054465
2020-01-08,88.46,89.23,88.15,88.95,86.7564783214,2013672
2020-01-09,89.28,89.81,88.74,88.96,86.7662317198,1688303
2020-01-10,89.07,89.73,89.01,89.44,87.2343948406,2204251
2020-01-13,89.54,91.82,89.5,91.8,89.5361968511,2833763
2020-01-14,91.55,91.84,90.32,90.63,88.3950492442,3124509
2020-01-15,91.09,92.49,91.01,92.21,89.9360861835,3309541
2020-01-16,92.54,93.37,92.31,93.35,91.0479735954,2627486
2020-01-17,93.35,94.78,93.31,94.27,91.9452862435,4292475
2020-01-21,94.15,95.61,94.06,95.57,93.213228029,3335526
2020-01-22,95.17,96.38,93.72,93.94,91.623424098,3434692
2020-01-23,93.54,95.75,93.12,95.7,93.3400222076,3200895
2020-01-24,95.9,96.78,95.57,96.15,93.7789251333,3201765
2020-01-27,95.39,96.06,94.84,94.99,92.6475309247,2770848
2020-01-28,95.3,96.02,95.04,95.56,93.2034746307,2245167
2020-01-29,95.82,96.62,95.25,96.5,94.1202940755,2730136
2020-01-30,96.08,96.96,95.61,96.21,93.8374455234,3455220
2020-01-31,95.87,95.97,92.51,92.88,90.5895638729,5227552
2020-02-03,93.5,93.5,91.54,91.87,89.6044706396,23204876
2020-02-04,91.98,94.13,91.52,93.42,91.1162473838,4978011
2020-02-05,93.86,94.01,92.43,92.74,90.453016296,5736310
2020-02-06,92.74,93.44,92.54,93.11,90.813892035,3935171
2020-02-07,93.29,93.56,92.6,93.14,90.84315223,3643799
2020-02-10,93.73,95.0,93.37,94.66,92.3256687792,5153252
2020-02-11,95.33,96.85,95.04,96.21,93.8374455234,3740406
2020-02-12,96.65,97.35,96.14,96.79,94.4031426277,2523255
2020-02-13,96.63,97.09,96.1,96.47,94.0910338805,3652710
2020-02-14,96.85,97.64,96.62,97.55,95.1444009023,3296042
2020-02-18,97.63,98.39,97.23,98.35,95.9246727703,3742756
2020-02-19,98.61,98.83,97.62,97.77,95.358975666,4724283
2020-02-20,97.68,99.04,96.91,98.95,96.5098766712,3992904
2020-02-21,98.93,99.79,98.92,99.23,96.782971825,6382316
2020-02-24,97.79,98.64,95.82,95.98,93.6131173614,3574467
2020-02-25,96.24,96.61,91.62,91.7,89.4386628676,5305895
2020-02-26,92.0,93.32,90.98,91.26,89.0095133403,4662229
2020-02-27,90.6,90.81,86.67,86.71,84.5717170911,6227361
2020-02-28,84.42,85.2,80.94,84.28,82.2016412921,7285610
