Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,199.15,199.15,193.39,193.58,191.952942389,172896
2019-12-24,193.44,194.0,192.26,193.2,191.576136323,73752
2019-12-26,193.53,194.49,192.59,193.64,192.012438083,98282
2019-12-27,193.83,195.88,193.32,195.65,194.005543849,112568
2019-12-30,195.71,196.86,194.91,196.56,194.907895216,114448
2019-12-31,196.76,197.73,195.77,196.02,194.372433965,233426
2020-01-02,196.96,197.07,193.75,195.19,193.549410191,297166
2020-01-03,193.73,196.16,193.33,195.25,193.608905886,214473
2020-01-06,194.37,194.73,191.44,192.01,190.396138382,289653
2020-01-07,186.8,189.13,186.39,187.91,186.330599257,1206743
2020-01-08,188.37,190.33,188.2,189.83,188.234461482,683234
2020-01-09,190.35,191.69,189.23,191.59,189.979668521,524616
2020-01-10,191.72,192.11,187.91,189.11,187.520513148,283788
2020-01-13,189.25,191.21,188.71,190.24,188.641015394,201923
2020-01-14,189.82,190.45,187.91,188.8,187.213118726,250853
2020-01-15,188.89,191.6,188.31,191.12,189.513618914,273432
2020-01-16,192.0,194.58,190.68,193.03,191.407565189,294581
2020-01-17,193.03,194.07,192.07,193.22,191.595968222,194812
2020-01-21,192.81,193.89,191.23,192.34,190.723364702,286520
2020-01-22,192.72,193.51,191.3,192.27,190.653953059,216146
2020-01-23,191.3,193.08,190.0,192.5,190.882019888,287572
2020-01-24,192.76,193.41,189.28,190.09,188.492276158,236363
2020-01-27,187.95,190.61,187.41,188.2,186.618161781,271953
2020-01-28,188.7,191.31,188.7,189.94,188.343536922,258738
2020-01-29,190.02,190.94,188.61,188.72,187.133791133,158423
2020-01-30,187.92,193.215,187.48,193.03,191.407565189,204688
2020-01-31,192.12,193.49,189.08,189.44,187.847739467,302277
2020-02-03,189.81,193.86,187.87,191.58,189.969752572,377319
2020-02-04,193.36,195.6,192.83,193.81,192.181009218,251825
2020-02-05,189.87,198.96,189.08,194.05,192.418991996,491407
2020-02-06,195.09,198.36,194.81,196.34,194.689744336,386385
2020-02-07,196.02,200.1,196.02,197.72,196.05814531,234742
2020-02-10,197.99,199.93,196.1,199.42,197.743856654,247407
2020-02-11,200.0,202.44,197.9,202.18,200.480658602,275453
2020-02-12,202.68,202.68,198.07,198.68,197.010076422,294655
2020-02-13,198.41,201.31,198.11,200.85,199.161837374,159909
2020-02-14,200.93,200.93,197.93,198.18,196.514278968,243580
2020-02-18,197.86,198.77,196.28,198.5,196.831589339,179443
2020-02-19,199.07,199.62,196.69,198.76,197.089404015,239921
2020-02-20,198.47,198.47,194.89,196.77,195.116130147,208315
2020-02-21,196.34,198.78,196.15,198.29,196.623354408,251231
2020-02-24,194.84,196.95,192.05,192.64,191.020843175,333858
2020-02-25,192.74,192.89,188.0,188.2,186.618161781,239326
2020-02-26,189.51,191.96,187.25,188.4,186.816480763,242783
2020-02-27,186.41,187.75,179.29,179.35,177.842546841,252605
2020-02-28,175.08,175.85,168.73,170.4,168.96777241,609875
2020-03-02,170.84,182.02,170.84,181.67,180.143047028,499873
2020-03-03,181.09,183.73,175.66,176.35,174.867762115,335763
2020-03-04,178.83,184.05,177.05,183.72,182.175816591,263994
2020-03-05,179.18,179.72,174.62,175.76,174.282721119,426181
2020-03-06,169.91,175.51,167.45,175.36,173.886083156,415137
2020-03-09,165.0,166.08,157.83,162.13,160.767282516,432891
2020-03-10,167.02,168.3,157.53,164.35,162.968623213,458772
2020-03-11,159.42,161.6,154.82,155.96,154.649141931,377473
2020-03-12,145.5,153.42,142.23,144.69,143.82092553,705618
2020-03-13,152.15,155.4,143.59,155.08,154.148518427,623237
2020-03-16,142.33,144.58,136.11,136.63,135.809337585,423921
2020-03-17,139.86,144.62,134.62,143.67,142.807052117,477511
2020-03-18,135.34,137.1,113.95,119.71,118.990966861,676566
2020-03-19,118.44,130.06,113.27,125.11,124.358531986,674162
2020-03-20,124.95,135.18,120.74,129.3,128.523364925,613691
2020-03-23,129.45,134.38,120.19,131.97,131.177327681,832323
2020-03-24,137.74,142.49,134.12,136.9,136.077715841,542050
2020-03-25,137.37,141.74,129.3,135.88,135.063842429,597323
2020-03-26,137.5,148.93,135.85,148.93,148.035458146,605770
2020-03-27,143.71,155.75,140.47,149.21,148.313776338,801876
2020-03-30,149.65,152.56,144.49,152.11,151.196357608,464420
2020-03-31,150.51,152.13,146.33,149.32,148.423115627,636707
2020-04-01,144.08,149.18,142.55,146.5,145.62005384,603146
2020-04-02,145.36,151.97,145.36,146.98,146.09717074,507799
2020-04-03,146.15,147.17,139.89,141.59,140.739545551,450271
2020-04-06,148.48,153.07,145.79,150.81,149.904166004,374633
2020-04-07,155.56,162.38,154.04,154.85,153.919899912,508681
2020-04-08,155.88,160.44,151.52,158.99,158.035033174,313971
2020-04-09,161.37,167.2,160.01,164.74,163.750496038,288825
2020-04-13,163.85,164.85,159.79,161.26,160.291398514,258845
2020-04-14,164.51,166.96,160.78,164.03,163.044760624,373274
2020-04-15,160.2,161.77,158.13,159.1,158.144372464,379380
2020-04-16,158.73,159.36,154.45,156.57,155.629568804,326264
2020-04-17,161.29,161.29,155.26,157.29,156.345244154,342767
2020-04-20,155.18,155.96,151.85,153.46,152.538248889,253054
2020-04-21,150.52,152.02,147.61,148.34,147.449001957,390853
2020-04-22,151.54,151.77,146.49,148.49,147.598100988,317664
2020-04-23,150.18,150.18,144.36,144.39,143.522727467,388226
2020-04-24,146.61,146.61,139.75,141.13,140.282308522,498850
2020-04-27,142.2,149.72,142.2,148.65,147.757139954,309893
2020-04-28,152.48,154.27,148.62,149.13,148.234256854,349631
2020-04-29,152.69,153.87,150.41,151.7,150.788820256,173207
2020-04-30,149.97,149.97,146.01,146.01,145.132997005,308006
2020-05-01,142.56,144.5,140.16,140.92,140.073569878,214034
2020-05-04,140.03,142.54,137.9,141.97,141.117263097,266164
2020-05-05,142.2,146.63,142.01,144.49,143.622126821,313082
2020-05-06,145.09,145.99,140.74,141.37,140.520866972,223259
2020-05-07,142.0,154.18,141.95,149.64,148.741193561,671793
2020-05-08,151.1,160.54,151.1,160.37,159.406744262,528871
2020-05-11,159.29,162.95,156.24,161.13,160.162179353,685092
2020-05-12,161.87,162.92,160.09,160.95,159.983260516,642787
2020-05-13,159.1,161.49,155.06,156.3,155.361190547,502427
2020-05-14,154.03,157.99,152.54,154.46,153.532242431,398658
2020-05-15,153.2,160.31,150.64,159.62,158.661249105,470282
2020-05-18,165.0,166.4,162.57,164.9,163.909535005,313386
2020-05-19,164.27,167.36,163.29,163.4,162.418544693,281365
2020-05-20,165.89,173.01,164.3,172.26,171.225327471,450376
2020-05-21,171.94,173.05,170.23,171.15,170.12199464,408615
2020-05-22,170.84,171.63,167.56,170.97,169.943075802,312146
2020-05-26,175.99,176.81,168.06,168.86,167.84574943,408047
2020-05-27,173.01,173.59,168.26,168.89,167.875569236,435621
2020-05-28,171.03,171.38,168.32,169.07,168.054488073,357464
2020-05-29,168.49,170.34,164.9,167.86,166.851755888,636431
2020-06-01,169.42,169.74,164.72,164.91,163.91947494,370723
2020-06-02,164.63,174.77,162.18,173.53,172.487699269,733845
2020-06-03,175.01,188.1,174.75,186.64,185.518954599,3532117
2020-06-04,188.27,195.83,186.24,195.48,194.305857506,2466540
2020-06-05,200.74,201.29,190.03,190.31,189.166910896,1566025
2020-06-08,191.57,191.85,185.22,189.11,187.974118646,742533
2020-06-09,186.96,192.5,186.32,189.14,188.003938453,602169
2020-06-10,188.95,190.65,185.92,189.33,188.192797225,859989
