Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,95.7,95.7,92.9,94.18,94.18,845224
2019-12-24,94.89,95.5,93.31,95.2,95.2,187305
2019-12-26,95.55,96.24,94.51,95.56,95.56,551733
2019-12-27,95.57,95.95,93.91,94.26,94.26,346514
2019-12-30,94.66,94.99,92.02,94.0,94.0,539272
2019-12-31,93.9,96.0,93.78,95.09,95.09,554731
2020-01-02,97.0,101.88,96.75,101.81,101.81,2152674
2020-01-03,100.84,103.6,100.0204,102.38,102.38,1016551
2020-01-06,101.37,101.88,98.6346,99.63,99.63,971121
2020-01-07,100.0,102.03,97.7,101.79,101.79,838196
2020-01-08,101.19,105.68,101.19,104.16,104.16,1041329
2020-01-09,105.4,105.6,101.23,102.74,102.74,1030552
2020-01-10,103.23,106.11,103.1,104.52,104.52,1118974
2020-01-13,105.11,106.14,102.72,103.08,103.08,867845
2020-01-14,103.37,104.62,101.01,104.02,104.02,741434
2020-01-15,104.39,105.5,102.865,103.61,103.61,558446
2020-01-16,104.32,104.99,100.42,102.7,102.7,1122385
2020-01-17,102.9,105.6,102.1,104.75,104.75,652689
2020-01-21,105.07,108.81,103.91,107.53,107.53,1098238
2020-01-22,108.35,108.95,106.55,108.46,108.46,639049
2020-01-23,108.39,110.825,106.78,108.73,108.73,768537
2020-01-24,109.99,112.99,109.41,110.13,110.13,950253
2020-01-27,105.0,105.0,96.0,96.25,96.25,2811727
2020-01-28,99.26,103.87,97.67,103.36,103.36,1484739
2020-01-29,103.75,105.4,102.29,102.71,102.71,1152607
2020-01-30,102.01,103.7,100.35,103.22,103.22,786374
2020-01-31,103.02,103.05,96.5,97.86,97.86,1086245
2020-02-03,98.16,101.86,97.66,100.98,100.98,1018554
2020-02-04,102.8,108.14,102.4437,107.81,107.81,1218119
2020-02-05,109.82,109.9,101.53,104.47,104.47,1133564
2020-02-06,104.5,106.0,102.255,103.94,103.94,737763
2020-02-07,102.95,103.45,99.78,100.62,100.62,576061
2020-02-10,100.62,103.6,100.0,102.6,102.6,847098
2020-02-11,102.9,107.32,102.71,106.03,106.03,1034772
2020-02-12,107.96,112.27,107.415,111.86,111.86,912351
2020-02-13,109.63,113.2,108.69,111.16,111.16,1197798
2020-02-14,112.26,113.02,110.24,111.21,111.21,845732
2020-02-18,111.46,111.5,106.56,108.38,108.38,1160213
2020-02-19,114.96,128.8,114.265,127.82,127.82,4884755
2020-02-20,138.25,143.73,128.12,142.2,142.2,6533752
2020-02-21,140.27,142.495,135.05,142.07,142.07,2459689
2020-02-24,131.43,138.87,129.46,135.63,135.63,2143823
2020-02-25,136.57,137.99,132.09,133.0,133.0,1790963
2020-02-26,129.75,134.4899,128.5,132.41,132.41,2046621
2020-02-27,126.78,128.5,116.5,125.95,125.95,3111059
2020-02-28,118.26,126.2,116.8,124.72,124.72,2428096
2020-03-02,128.06,129.0,121.45,128.7,128.7,1467225
2020-03-03,134.42,134.5179,126.26,128.66,128.66,1630937
2020-03-04,132.91,135.95,130.005,135.71,135.71,880118
2020-03-05,131.19,138.82,129.37,137.54,137.54,1147281
2020-03-06,131.43,135.85,127.71,133.34,133.34,1432439
2020-03-09,116.92,119.5281,109.46,111.66,111.66,1822345
2020-03-10,118.12,118.53,111.0029,116.92,116.92,1112579
2020-03-11,113.39,115.78,100.12,106.11,106.11,2128155
2020-03-12,90.84,97.12,83.33,90.72,90.72,1919934
2020-03-13,99.75,102.0,88.01,91.11,91.11,2088153
2020-03-16,79.48,85.59,73.44,81.19,81.19,1571527
2020-03-17,82.02,88.0,76.08,84.71,84.71,1814488
2020-03-18,79.48,82.46,69.72,76.73,76.73,1512378
2020-03-19,75.58,81.99,68.26,76.81,76.81,1965540
2020-03-20,81.89,83.6,69.53,69.61,69.61,1971350
2020-03-23,71.22,73.54,67.02,69.48,69.48,1492550
2020-03-24,76.675,86.29,76.675,85.31,85.31,1853058
2020-03-25,87.88,94.5,82.0,89.9,89.9,2198094
2020-03-26,91.33,95.0,87.19,90.45,90.45,984487
2020-03-27,86.12,86.74,82.0,82.37,82.37,962186
2020-03-30,82.9,84.98,80.67,81.64,81.64,1195163
2020-03-31,82.2,85.33,80.31,81.88,81.88,1051204
2020-04-01,79.2,81.0,78.0,78.82,78.82,889931
2020-04-02,76.09,79.26,73.63,76.97,76.97,1124399
2020-04-03,76.0,77.0,72.8,74.48,74.48,1161679
2020-04-06,78.36,85.97,78.36,85.15,85.15,1166049
2020-04-07,91.169,94.725,87.79,88.8,88.8,1418673
2020-04-08,90.74,93.76,88.83,93.07,93.07,813189
2020-04-09,95.19,100.96,94.05,96.64,96.64,1014608
2020-04-13,96.5,97.0,89.27,92.21,92.21,860066
2020-04-14,96.0,99.79,94.5,98.68,98.68,757931
2020-04-15,95.3,95.89,90.26,92.01,92.01,956435
2020-04-16,94.3,95.69,92.5,94.99,94.99,838450
2020-04-17,99.59,100.85,95.5,97.1,97.1,1101841
2020-04-20,94.58,99.54,93.4,93.66,93.66,809139
2020-04-21,91.72,94.0,85.69,86.69,86.69,1250708
2020-04-22,90.0,96.3875,89.99,95.51,95.51,698329
2020-04-23,97.33,104.57,96.67,100.7,100.7,1335517
2020-04-24,101.02,102.115,98.0,100.73,100.73,973193
2020-04-27,102.55,105.5,101.01,104.69,104.69,761454
2020-04-28,107.89,111.84,106.59,109.79,109.79,1057650
2020-04-29,112.19,122.78,111.0,122.42,122.42,1604443
2020-04-30,116.86,120.6299,111.0,111.59,111.59,1108564
2020-05-01,107.12,110.0,103.0245,104.96,104.96,999351
2020-05-04,103.38,107.38,101.19,107.14,107.14,899200
2020-05-05,112.28,113.85,107.42,107.86,107.86,1018676
2020-05-06,113.31,126.89,112.0,125.75,125.75,2718053
2020-05-07,109.25,116.88,105.0,109.74,109.74,3797043
2020-05-08,110.81,119.82,109.12,118.32,118.32,1471488
2020-05-11,116.0,123.2,114.56,122.94,122.94,1118041
2020-05-12,124.27,129.18,120.97,121.0,121.0,1354450
2020-05-13,121.77,123.47,113.73,117.73,117.73,1012699
2020-05-14,113.05,119.67,112.0,119.48,119.48,894627
2020-05-15,116.09,121.57,115.5,120.44,120.44,525834
2020-05-18,127.5,128.86,124.35,128.0,128.0,928999
2020-05-19,128.53,137.25,127.985,134.86,134.86,1744696
2020-05-20,139.37,141.45,134.51,137.25,137.25,1443655
2020-05-21,136.15,140.3,132.51,136.51,136.51,1247567
2020-05-22,136.7,137.5,129.87,130.39,130.39,638725
2020-05-26,135.5,138.7578,134.53,136.54,136.54,881785
2020-05-27,137.79,138.07,127.22,137.24,137.24,755543
2020-05-28,136.08,143.29,132.79,135.29,135.29,747064
2020-05-29,134.76,142.38,133.25,141.9,141.9,1010509
2020-06-01,138.71,151.49,138.51,150.7,150.7,1198711
2020-06-02,150.25,152.925,145.0,148.97,148.97,863571
2020-06-03,150.25,151.86,146.5,150.59,150.59,1036223
2020-06-04,149.09,149.57,141.0501,142.4,142.4,1159569
2020-06-05,146.88,151.65,143.32,148.28,148.28,1343251
2020-06-08,150.04,151.68,146.52,150.89,150.89,695815
2020-06-09,149.1,150.91,145.8,148.84,148.84,572404
2020-06-10,150.05,150.48,144.0,147.37,147.37,737665
2020-06-11,139.66,144.4729,136.82,138.69,138.69,1138819
2020-06-12,145.07,147.45,138.7,142.05,142.05,788808
2020-06-15,135.23,148.84,135.22,148.2,148.2,744805
2020-06-16,151.64,156.92,149.73,153.1,153.1,1030201
2020-06-17,154.0,154.75,143.83,145.27,145.27,1587557
2020-06-18,146.03,151.54,145.8245,151.0,151.0,832110
2020-06-19,152.27,156.24,151.31,153.6,153.6,1148477
2020-06-22,153.87,155.24,147.9,152.98,152.98,899237
2020-06-23,155.25,155.89,150.7,151.34,151.34,637511
2020-06-24,150.0,153.33,145.835,148.48,148.48,871802
2020-06-25,144.3,144.74,134.07,137.175,137.175,1748688
2020-06-26,138.45,138.79,127.19,129.53,129.53,4649994
2020-06-29,129.97,137.73,129.93,137.06,137.06,1182700
2020-06-30,136.39,139.28,136.0,138.78,138.78,805200
2020-07-01,139.25,142.49,135.96,141.39,141.39,809300
2020-07-02,143.81,144.75,140.19,143.11,143.11,741400
2020-07-06,146.0,149.07,144.84,148.88,148.88,1096500
2020-07-07,148.56,151.32,146.33,146.57,146.57,854200
2020-07-08,148.53,158.0,147.29,157.92,157.92,1342700
2020-07-09,159.0,159.55,150.7,157.17,157.17,793100
2020-07-10,157.03,159.7,154.06,159.44,159.44,628200
2020-07-13,160.85,167.43,154.29,154.68,154.68,1174400
2020-07-14,153.47,168.62,151.75,168.2,168.2,1094500
2020-07-15,170.64,175.14,168.12,174.85,174.85,1127400
2020-07-16,169.3,171.69,163.19,164.75,164.75,1160900
2020-07-17,166.96,172.65,165.0,171.58,171.58,930800
2020-07-20,171.29,177.22,171.07,176.3,176.3,998047
2020-07-21,177.5,178.3,168.301,170.38,170.38,1156862
2020-07-22,171.62,178.085,170.22,175.65,175.65,1287787
2020-07-23,175.01,181.805,172.01,176.29,176.29,997464
2020-07-24,172.26,173.69,164.1167,171.6,171.6,1001859
2020-07-27,175.66,180.99,174.01,180.74,180.74,1098090
2020-07-28,178.5,178.715,169.7,170.54,170.54,991711
2020-07-29,173.01,179.9,171.875,176.76,176.76,781110
2020-07-30,173.83,176.61,172.5203,175.26,175.26,429243
2020-07-31,177.15,177.85,173.235,175.1,175.1,640477
2020-08-03,172.665,174.475,162.6,173.56,173.56,1282810
2020-08-04,187.8,209.3873,187.34,196.15,196.15,3438792
2020-08-05,199.71,221.25,195.01,216.06,216.06,2018309
2020-08-06,214.2,217.59,201.0,206.32,206.32,1960076
2020-08-07,204.8,215.35,204.8,211.47,211.47,999305
2020-08-10,212.5,218.98,206.54,211.5,211.5,690391
2020-08-11,211.605,212.75,202.86,204.08,204.08,808371
2020-08-12,207.63,217.72,206.27,215.18,215.18,802433
2020-08-13,216.8247,229.45,216.26,225.18,225.18,1224356
2020-08-14,226.06,229.49,217.47,219.21,219.21,729274
2020-08-17,222.29,225.32,216.69,219.33,219.33,983925
2020-08-18,219.56,221.84,215.2559,219.02,219.02,674958
2020-08-19,219.97,223.95,219.01,220.71,220.71,578911
2020-08-20,219.85,220.43,215.94,217.2,217.2,535540
