Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,38.01,38.16,37.51,38.13,38.13,1574496
2019-12-24,38.14,38.85,38.13,38.57,38.57,335235
2019-12-26,38.81,38.94,38.38,38.82,38.82,658941
2019-12-27,38.87,39.29,38.65,39.07,39.07,740570
2019-12-30,39.21,39.2699,37.91,38.36,38.36,916155
2019-12-31,38.11,39.91,38.025,39.89,39.89,916249
2020-01-02,40.74,43.01,40.6,42.79,42.79,4028676
2020-01-03,41.88,42.55,41.2458,42.21,42.21,1454395
2020-01-06,41.72,41.75,40.35,41.02,41.02,1788302
2020-01-07,40.81,41.4575,40.46,40.7,40.7,1084361
2020-01-08,40.79,41.96,40.1,41.87,41.87,1592194
2020-01-09,42.33,43.32,41.55,41.88,41.88,2238420
2020-01-10,42.08,43.0,40.55,42.76,42.76,2103086
2020-01-13,43.2,43.57,41.01,41.68,41.68,1794564
2020-01-14,41.76,42.21,41.21,41.31,41.31,1729929
2020-01-15,41.36,41.55,40.4,41.04,41.04,1570429
2020-01-16,41.44,42.42,41.02,41.08,41.08,1092314
2020-01-17,41.09,42.48,40.8325,42.04,42.04,1080644
2020-01-21,42.0,42.99,41.65,42.25,42.25,1609836
2020-01-22,42.82,45.04,42.61,44.64,44.64,3889779
2020-01-23,44.88,45.27,44.03,45.03,45.03,1547191
2020-01-24,45.0,45.48,42.9194,43.15,43.15,1617006
2020-01-27,41.46,42.03,39.91,41.16,41.16,2010267
2020-01-28,41.37,43.77,41.25,43.51,43.51,1398065
2020-01-29,43.68,44.0,42.8481,43.44,43.44,1307943
2020-01-30,42.95,44.32,42.91,44.3,44.3,2304874
2020-01-31,44.1,44.2,43.01,43.44,43.44,1717923
2020-02-03,43.52,45.72,43.52,45.3,45.3,1904649
2020-02-04,44.55,44.99,42.8406,43.14,43.14,4361678
2020-02-05,44.07,44.39,41.94,42.28,42.28,2112647
2020-02-06,42.61,42.69,41.05,41.59,41.59,2371898
2020-02-07,41.25,41.66,40.365,40.78,40.78,1469990
2020-02-10,41.62,41.62,39.27,40.05,40.05,2288846
2020-02-11,40.35,40.91,39.36,40.19,40.19,1982544
2020-02-12,40.52,40.81,39.54,40.79,40.79,1913755
2020-02-13,40.5,42.37,40.4513,42.01,42.01,2146380
2020-02-14,42.38,42.53,41.06,41.82,41.82,1436616
2020-02-18,41.55,42.17,41.42,41.82,41.82,1593155
2020-02-19,42.06,44.7,42.06,44.31,44.31,3035934
2020-02-20,44.08,44.08,41.66,43.73,43.73,1642081
2020-02-21,43.42,43.9899,42.26,43.48,43.48,1426830
2020-02-24,40.54,42.49,40.3,41.78,41.78,2223419
2020-02-25,42.18,43.13,40.161,41.0,41.0,2812577
2020-02-26,40.57,42.19,40.5,41.57,41.57,2708029
2020-02-27,41.03,43.96,40.21,41.85,41.85,3943826
2020-02-28,40.69,42.33,38.75,39.89,39.89,3992721
2020-03-02,40.46,43.91,39.85,43.86,43.86,4325639
2020-03-03,43.4,46.69,42.15,44.29,44.29,5186667
2020-03-04,43.75,44.88,42.27,44.35,44.35,3990371
2020-03-05,43.82,44.025,41.06,41.71,41.71,2833643
2020-03-06,40.28,40.39,38.52,40.0,40.0,3580167
2020-03-09,35.7,37.09,34.14,36.03,36.03,5223895
2020-03-10,37.71,40.42,36.87,40.31,40.31,3123235
2020-03-11,38.72,39.2385,35.2,36.34,36.34,3089414
2020-03-12,31.96,32.71,30.1501,30.22,30.22,5109687
2020-03-13,32.71,33.98,29.0,32.5,32.5,5085856
2020-03-16,28.0,29.88,26.25,26.32,26.32,3475196
2020-03-17,27.01,27.45,23.5606,25.16,25.16,5085323
2020-03-18,22.9,23.5,18.56,21.74,21.74,4951130
2020-03-19,20.92,25.369,19.08,23.62,23.62,5507987
2020-03-20,24.23,26.39,21.86,22.03,22.03,3484876
2020-03-23,22.1,22.11,19.2,19.89,19.89,5280195
2020-03-24,22.27,23.86,21.78,23.74,23.74,3863519
2020-03-25,24.33,26.99,24.0,25.53,25.53,5415142
2020-03-26,26.45,28.22,25.8,27.97,27.97,4623853
2020-03-27,26.18,26.3,24.03,24.44,24.44,3164619
2020-03-30,24.52,25.4,23.33,23.5,23.5,2516712
2020-03-31,23.23,23.9,21.52,21.77,21.77,3964906
2020-04-01,20.91,21.2,19.135,19.53,19.53,4177404
2020-04-02,19.49,20.59,19.39,19.88,19.88,3197863
2020-04-03,19.88,20.28,17.72,17.82,17.82,4898325
2020-04-06,19.41,22.48,19.29,22.24,22.24,4637355
2020-04-07,23.99,25.48,23.13,23.64,23.64,4412396
2020-04-08,23.87,25.63,23.87,25.48,25.48,2611283
2020-04-09,26.95,27.28,25.0,25.14,25.14,2921163
2020-04-13,25.09,25.09,22.5,23.01,23.01,4340349
2020-04-14,24.52,25.65,23.76,24.63,24.63,3230243
2020-04-15,23.56,24.25,23.56,23.94,23.94,2292728
2020-04-16,24.16,24.2788,22.63,22.94,22.94,3027794
2020-04-17,24.25,25.09,23.7,24.1,24.1,3741693
2020-04-20,23.16,23.6,22.06,22.43,22.43,4868544
2020-04-21,21.81,22.29,20.88,21.21,21.21,4463577
2020-04-22,21.87,23.2,21.27,23.0,23.0,4431302
2020-04-23,23.11,24.45,22.92,23.18,23.18,4527432
2020-04-24,23.1,23.2,21.37,22.08,22.08,4582357
2020-04-27,22.74,23.8143,22.5101,23.75,23.75,2657007
2020-04-28,24.5,25.59,23.77,25.27,25.27,3522822
2020-04-29,26.7,28.53,26.66,28.04,28.04,4664580
2020-04-30,27.55,27.85,25.651,26.38,26.38,3674538
2020-05-01,25.09,25.96,24.9,25.4,25.4,1990561
2020-05-04,24.77,26.55,24.5,26.4,26.4,2178007
2020-05-05,27.29,27.74,26.5,26.74,26.74,1996116
2020-05-06,27.38,28.015,26.73,27.06,27.06,3447001
2020-05-07,27.71,28.44,26.79,26.99,26.99,4275230
2020-05-08,27.71,28.32,27.25,28.1,28.1,2839682
2020-05-11,29.0,29.0,26.86,27.13,27.13,2774820
2020-05-12,26.6,26.79,23.71,23.8,23.8,6872986
2020-05-13,24.0,24.04,21.03,21.15,21.15,7108851
2020-05-14,20.92,22.28,20.3893,22.1,22.1,4868823
2020-05-15,21.81,22.52,21.5002,21.88,21.88,3313173
2020-05-18,23.18,24.685,22.74,24.4,24.4,6224121
2020-05-19,24.64,25.18,24.02,24.26,24.26,3522583
