Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,44.75,45.8,43.8,45.35,30.4335768352,3349000
2002-01-03,47.98,47.98,45.25,47.66,31.9837766696,4807300
2002-01-04,48.5,48.5,46.8,47.95,32.1783905016,5197200
2002-01-07,48.2,48.5,46.29,46.85,31.4402001043,3947700
2002-01-08,46.5,47.84,46.1,46.59,31.2657187377,2895000
2002-01-09,47.1,48.84,47.1,47.35,31.775741194,3984400
2002-01-10,46.75,47.25,46.1,46.6,31.2724295595,2998600
2002-01-11,46.6,47.7,46.05,46.63,31.2925620248,2587600
2002-01-14,46.63,47.1,43.71,44.11,29.6014349328,5840800
2002-01-15,44.31,45.0,43.55,43.85,29.4269535661,3287500
2002-01-16,43.35,44.45,42.15,42.5,28.520992624,5546400
2002-01-17,43.2,43.5,42.2,43.02,28.8699553572,3925300
2002-01-18,42.12,43.89,41.4,43.0,28.8565337137,3979300
2002-01-22,43.2,43.49,40.86,41.05,27.5479234639,2709100
2002-01-23,42.94,42.94,40.86,42.0,28.1854515343,3343000
2002-01-24,42.62,44.48,42.62,43.35,29.0914124764,3212600
2002-01-25,42.75,43.65,42.15,43.27,29.0377259021,2453600
2002-01-28,44.15,44.15,42.55,43.74,29.3531345264,2160700
2002-01-29,44.5,44.8,41.0,41.66,27.9572835933,4425200
2002-01-30,41.9,43.5,41.06,43.5,29.1920748034,3467300
2002-01-31,43.85,44.15,42.43,43.8,29.3933994572,2699800
2002-02-01,44.0,44.0,42.22,43.14,28.9504852188,2084500
2002-02-04,43.39,43.7,42.2,42.28,28.3733545445,3703700
2002-02-05,41.78,43.33,40.89,42.02,28.1988731779,3469000
2002-02-06,42.42,42.42,40.55,41.01,27.5210801767,3785900
2002-02-07,41.26,41.42,38.91,39.34,26.4003729371,3846300
2002-02-08,40.25,40.25,38.0,38.87,26.0849643128,6569900
2002-02-11,38.5,40.9,38.5,40.9,27.4472611369,3975700
2002-02-12,40.5,41.3,39.5,40.25,27.0110577203,2692700
2002-02-13,41.0,41.32,39.8,40.62,27.2593581267,2654200
2002-02-14,41.0,41.6,39.67,39.96,26.8164438883,3226800
2002-02-15,41.85,41.85,40.1,41.32,27.7291156523,4352400
2002-02-19,40.64,40.9,39.41,39.63,26.5949867691,3034400
2002-02-20,40.18,40.18,37.15,39.5,26.5077460858,3721500
2002-02-21,39.51,39.51,36.89,37.0,24.8300406373,3378400
2002-02-22,37.45,38.8,36.62,37.58,25.2192683014,3434200
2002-02-25,38.02,40.33,38.01,40.03,26.8634196409,2435100
2002-02-26,40.0,40.01,37.9,38.72,25.9843019859,3803100
2002-02-27,39.38,40.36,37.7,38.2,25.6353392526,2626600
2002-02-28,38.45,38.95,36.88,37.21,24.970967895,3231000
2002-03-01,37.85,41.75,37.85,41.59,27.9103078407,3863000
2002-03-04,41.65,44.51,41.1,43.95,29.4940617841,4299100
2002-03-05,43.95,45.76,43.62,45.6,30.6013473801,3910300
2002-03-06,45.24,45.3,43.5,44.72,30.0107950622,3232900
2002-03-07,45.49,46.4,44.4,45.02,30.212119716,3053800
2002-03-08,45.98,47.95,45.91,47.55,31.9099576299,4198700
2002-03-11,46.85,47.61,45.9,46.95,31.5073083222,3112300
2002-03-12,46.1,46.1,44.22,45.17,30.3127820429,3323400
2002-03-13,44.4,44.41,42.82,43.52,29.2054964469,3025200
2002-03-14,44.45,44.45,43.31,44.07,29.5745916456,2420100
2002-03-15,44.57,45.3,44.17,45.29,30.3933119045,2924600
2002-03-18,45.54,46.82,45.23,45.8,30.7355638159,2395900
2002-03-19,46.05,46.2,45.24,46.05,30.9033343608,1694900
2002-03-20,45.05,45.25,44.0,44.35,29.7624946558,1670700
2002-03-21,45.42,45.42,43.76,45.25,30.3664686173,1666500
2002-03-22,44.9,45.85,44.25,44.71,30.0040842404,1728200
2002-03-25,44.71,45.25,42.8,42.82,28.7357389214,2254400
2002-03-26,43.07,44.7,42.7,44.05,29.561170002,2257000
2002-03-27,44.42,44.42,43.25,44.01,29.5343267148,1795600
2002-03-28,44.61,45.6,44.45,45.04,30.2255413596,1657700
2002-04-01,46.38,46.38,43.85,45.95,30.8362261429,1882300
2002-04-02,44.9,45.1,43.52,43.52,29.2054964469,2075200
2002-04-03,43.77,44.5,42.15,42.32,28.4001978317,2340200
2002-04-04,42.32,43.75,41.95,42.81,28.7290280996,2758000
2002-04-05,43.5,43.8,42.42,42.73,28.6753415252,2120000
2002-04-08,42.73,42.92,40.77,42.78,28.7088956342,2822500
2002-04-09,42.78,43.77,40.6,41.3,27.7156940087,3281100
2002-04-10,41.3,42.05,39.8,41.91,28.1250541381,4307600
2002-04-11,41.7,41.88,40.18,40.4,27.1117200473,3115900
2002-04-12,40.59,41.8,40.35,41.62,27.9304403061,2710700
2002-04-15,41.86,42.48,40.36,41.99,28.1787407125,2711400
2002-04-16,44.0,44.44,43.45,43.89,29.4537968533,3336200
2002-04-17,44.0,45.5,43.72,44.52,29.8765786263,2678500
2002-04-18,43.9,44.35,42.88,43.5,29.1920748034,2407900
2002-04-19,43.51,43.83,41.4,41.5,27.8499104446,3360900
2002-04-22,41.35,41.36,40.66,41.05,27.5479234639,2086900
2002-04-23,41.45,41.58,39.6,39.69,26.6352516999,2998400
2002-04-24,40.1,40.35,37.97,38.13,25.5883635,3701800
2002-04-25,38.13,38.5,37.1,37.55,25.199135836,4823300
2002-04-26,38.05,38.31,36.0,36.24,24.320018181,3709600
2002-04-29,36.35,37.4,35.25,35.75,23.9911879131,2756900
2002-04-30,36.7,37.95,36.03,36.96,24.8031973502,3120200
2002-05-01,36.81,37.52,35.0,36.8,24.6958242015,4516000
2002-05-02,36.8,37.85,35.85,36.16,24.2663316066,3896300
2002-05-03,36.02,36.2,34.25,34.43,23.1053594363,4109000
2002-05-06,34.5,35.5,33.68,33.81,22.6892884851,2813200
2002-05-07,34.32,35.06,33.0,34.19,22.9442997133,3914400
2002-05-08,36.5,39.0,36.36,38.15,25.6017851436,5098700
2002-05-09,38.06,38.48,36.78,36.85,24.7293783104,3124700
2002-05-10,37.1,37.7,35.25,35.56,23.863682299,2774600
2002-05-13,35.8,38.18,35.8,38.15,25.6017851436,3472400
2002-05-14,39.5,40.2,39.3,39.68,26.6285408781,3721400
2002-05-15,39.52,40.49,38.28,39.16,26.2795781448,3552000
2002-05-16,39.15,39.76,38.15,39.48,26.4943244422,3153200
2002-05-17,40.0,40.5,39.65,40.4,27.1117200473,4651500
2002-05-20,40.5,40.5,39.65,40.1,26.9103953934,2473200
2002-05-21,40.0,40.49,38.93,39.55,26.5413001948,3387400
2002-05-22,39.53,40.12,38.0,39.31,26.3802404717,2251600
2002-05-23,39.31,39.31,37.43,38.79,26.0312777384,3093400
2002-05-24,38.62,38.62,37.6,37.85,25.4004604898,1464600
2002-05-28,38.0,38.4,36.52,37.15,24.9307029642,2210400
2002-05-29,37.05,37.06,36.0,36.68,24.6152943399,1854500
2002-05-30,36.1,36.9,35.4,36.45,24.4609454387,2816800
2002-05-31,37.0,37.59,36.25,36.62,24.5750294092,2736900
2002-06-03,36.65,36.65,34.9,35.03,23.5080087439,2416300
