Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,59.46,59.53,58.12,58.63,30.1645135931,3455700
2002-01-03,59.1,59.1,58.05,58.6,30.149078911,1700900
2002-01-04,58.99,58.99,58.05,58.5,30.0976299709,1528100
2002-01-07,58.15,58.64,57.1,57.25,29.4545182194,2238700
2002-01-08,57.8,58.0,57.05,57.2,29.4287937493,1643300
2002-01-09,57.4,57.74,56.36,56.67,29.1561143667,2685800
2002-01-10,56.67,57.5,56.0,57.17,29.4133590673,2276200
2002-01-11,57.2,57.35,56.56,56.91,29.279591823,2041900
2002-01-14,56.91,57.5,56.53,57.26,29.4596631134,1550900
2002-01-15,57.27,58.5,57.05,58.22,29.9535729386,1998900
2002-01-16,58.0,58.5,57.4,57.64,29.6551690859,2048000
2002-01-17,57.64,58.14,57.13,57.72,29.696328238,1458300
2002-01-18,57.37,57.47,57.07,57.31,29.4853875835,1784200
2002-01-22,57.5,57.85,56.25,56.51,29.0737960625,2505000
2002-01-23,56.36,56.36,55.88,55.95,28.7856819978,2673500
2002-01-24,56.05,56.5,55.6,55.95,28.7856819978,1788600
2002-01-25,56.1,57.1,55.25,56.58,29.1098103206,1806600
2002-01-28,56.69,56.69,56.0,56.44,29.0377818044,1420700
2002-01-29,53.51,54.51,51.0,52.2,26.8563467433,8851100
2002-01-30,52.0,54.0,51.9,53.92,27.7412685134,3423700
2002-01-31,53.92,54.48,53.65,54.0,27.7824276655,3078600
2002-02-01,54.11,54.11,53.26,53.55,27.5509074349,2539100
2002-02-04,53.55,53.55,52.52,52.9,27.2164893241,2152000
2002-02-05,52.5,54.29,52.5,53.52,27.5354727529,1827100
2002-02-06,53.51,54.4,53.5,53.66,27.6075012691,2189200
2002-02-07,53.75,54.56,53.74,54.0,27.7824276655,1671100
2002-02-08,53.8,54.55,53.62,54.44,28.008803002,1356700
2002-02-11,54.48,54.68,54.17,54.54,28.0602519421,1080100
2002-02-12,54.54,54.55,53.85,54.0,27.7824276655,1308000
2002-02-13,54.15,54.85,53.81,53.9,27.7309787253,1662300
2002-02-14,54.13,54.79,53.75,54.19,27.8801806517,1705100
2002-02-15,54.59,54.59,53.5,53.5,27.5251829649,1186200
2002-02-19,53.1,53.16,52.15,52.6,27.0621425038,1436500
2002-02-20,53.6,53.6,52.25,53.1,27.3193872044,1653900
2002-02-21,53.4,54.21,51.99,52.07,26.7894631211,1805400
2002-02-22,52.1,52.85,52.02,52.67,27.0981567619,1631600
2002-02-25,52.66,54.47,52.3,53.96,27.7618480894,2282800
2002-02-26,53.0,53.15,52.0,52.65,27.0878669738,2702300
2002-02-27,52.45,52.58,51.65,52.16,26.8357671672,2641600
2002-02-28,52.45,53.46,52.42,52.71,27.1187363379,4143800
2002-03-01,52.71,54.51,52.44,54.5,28.0396723661,3207500
2002-03-04,54.5,56.35,54.33,56.3,28.9657532883,3154100
2002-03-05,56.05,57.22,55.9,56.7,29.1715490487,2736900
