Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,37.4,37.62,36.2,37.15,9.12105036774,636000
2002-01-03,38.62,38.62,37.0,38.6,9.47705367954,911700
2002-01-04,38.66,39.08,38.16,38.7,9.50160563208,701100
2002-01-07,38.69,39.6,38.68,39.38,9.66855890933,625100
2002-01-08,39.38,39.89,39.22,39.38,9.66855890933,464200
2002-01-09,39.49,40.74,39.49,40.1,9.8453329676,1268800
2002-01-10,39.94,40.24,39.85,40.2,9.86988492014,985200
2002-01-11,39.95,40.15,39.03,39.12,9.60472383273,1089100
2002-01-14,39.05,39.6,38.8,39.5,9.69802125238,688600
2002-01-15,39.5,40.17,39.15,39.95,9.8085050388,635300
2002-01-16,39.78,40.49,39.5,40.01,9.82323621032,1033600
2002-01-17,40.16,40.3,39.5,40.01,9.82323621032,715300
2002-01-18,39.65,40.15,39.0,39.75,9.75940113372,480600
2002-01-22,39.7,40.0,38.84,39.18,9.61945500426,762600
2002-01-23,39.68,39.68,38.8,39.52,9.70293164288,530900
2002-01-24,39.61,40.08,39.5,40.07,9.83796738184,948000
2002-01-25,39.98,40.99,39.53,40.47,9.93617519199,538800
2002-01-28,40.35,41.6,40.32,41.57,10.2062466699,695700
2002-01-29,41.28,42.12,40.94,40.95,10.0540245642,1065200
2002-01-30,41.08,41.08,39.92,41.0,10.0663005404,412300
2002-01-31,41.1,41.2,40.12,41.0,10.0663005404,412300
2002-02-01,41.35,41.35,40.81,41.2,10.1154044455,424200
2002-02-04,41.09,41.09,40.02,40.14,9.85515374862,466300
2002-02-05,39.95,41.11,39.7,40.25,9.88216089641,632900
2002-02-06,40.3,41.7,40.03,41.07,10.0834869072,699200
2002-02-07,41.08,42.04,40.27,40.45,9.93126480148,705100
2002-02-08,40.36,41.98,40.25,41.81,10.265171356,366900
2002-02-11,41.5,42.96,41.45,42.64,10.4689525621,858400
2002-02-12,42.5,42.98,41.54,42.65,10.4714077573,546100
2002-02-13,42.5,43.56,42.4,42.71,10.4861389288,739000
2002-02-14,42.7,43.33,42.3,42.36,10.400207095,443100
2002-02-15,42.89,42.89,41.86,41.86,10.2774473323,491800
2002-02-19,41.67,41.75,40.22,40.5,9.94354077775,557400
2002-02-20,40.51,40.51,39.5,39.89,9.79377386727,700000
