Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,4.24,4.49,4.08,4.1,0.08541658125,60100
2002-01-03,4.4,4.4,4.0,4.2,0.0874999125,5700
2002-01-04,4.215,4.35,4.2,4.3,0.08958324375,4600
2002-01-07,4.2,4.3,4.2,4.3,0.08958324375,4300
2002-01-08,4.21,4.45,4.21,4.38,0.09124990875,12500
2002-01-09,4.41,4.41,4.27,4.27,0.088958244375,400
2002-01-10,4.4,4.4,4.29,4.3,0.08958324375,40900
2002-01-11,4.35,4.35,4.26,4.31,0.089791576875,21100
2002-01-14,4.21,4.25,4.2,4.2,0.0874999125,3600
2002-01-15,4.21,4.25,4.21,4.21,0.087708245625,4200
2002-01-16,4.22,4.25,4.22,4.22,0.08791657875,6100
2002-01-17,4.215,4.215,4.12,4.17,0.086874913125,12600
2002-01-18,4.12,4.32,4.11,4.32,0.08999991,13900
2002-01-22,4.115,4.225,4.115,4.22,0.08791657875,5300
2002-01-23,4.2,4.2,4.11,4.2,0.0874999125,400
2002-01-24,4.28,4.28,4.28,4.28,0.0891665775,100
2002-01-25,4.2,4.2,4.2,4.2,0.0874999125,700
2002-01-28,4.2,4.27,4.11,4.11,0.085624914375,6700
2002-01-29,4.22,4.26,4.12,4.15,0.086458246875,5000
2002-01-30,4.115,4.16,4.115,4.16,0.08666658,1800
2002-01-31,4.16,4.16,4.16,4.16,0.08666658,0
2002-02-01,4.16,4.16,4.1,4.15,0.086458246875,9300
2002-02-04,4.11,4.2,4.11,4.19,0.087291579375,13700
2002-02-05,4.11,4.11,3.93,4.0,0.08333325,15300
2002-02-06,4.05,4.05,4.05,4.05,0.084374915625,1200
2002-02-07,4.18,4.18,4.15,4.18,0.08708324625,1700
2002-02-08,4.15,4.15,4.13,4.14,0.08624991375,7600
2002-02-11,4.14,4.14,4.115,4.14,0.08624991375,4700
2002-02-12,4.14,4.14,4.14,4.14,0.08624991375,0
2002-02-13,4.11,4.16,4.11,4.15,0.086458246875,16100
2002-02-14,4.16,4.16,4.16,4.16,0.08666658,300
2002-02-15,4.14,4.14,4.14,4.14,0.08624991375,3300
