Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,48.5,49.3,47.95,49.15,30.3261869015,4791200
2002-01-03,49.37,49.37,48.4,48.79,30.1040622365,3541300
2002-01-04,48.98,48.98,48.02,48.36,29.8387466644,4047500
2002-01-07,47.97,48.35,47.75,48.08,29.6659830361,3680100
2002-01-08,48.08,48.35,47.64,47.8,29.4932194077,3750600
2002-01-09,47.8,48.06,47.51,47.61,29.3759869457,5414700
2002-01-10,47.85,48.39,47.72,48.15,29.7091739431,3647800
2002-01-11,48.58,48.61,48.22,48.45,29.8942778306,3344900
2002-01-14,48.6,48.99,48.17,48.27,29.7832154981,4935700
2002-01-15,48.6,48.89,48.35,48.62,29.9991700336,3898700
2002-01-16,48.75,49.1,48.58,48.63,30.0053401631,3622900
2002-01-17,48.49,48.98,48.3,48.61,29.992999904,2742700
2002-01-18,48.5,49.45,48.5,49.11,30.3015063831,3969800
2002-01-22,49.5,49.57,49.12,49.42,30.4927804002,3869000
2002-01-23,49.84,49.84,49.12,49.41,30.4866102706,5411600
2002-01-24,49.85,49.86,49.25,49.6,30.6038427327,3838100
2002-01-25,49.6,49.69,48.76,49.12,30.3076765127,3725200
2002-01-28,49.25,49.25,48.27,48.63,30.0053401631,3544000
2002-01-29,48.5,48.86,47.43,47.55,29.3389661682,5311800
2002-01-30,47.93,48.9,47.85,48.67,30.0300206815,6608000
2002-01-31,49.15,50.12,48.97,50.09,30.9061790823,6022600
2002-02-01,50.12,50.12,49.51,50.12,30.924689471,3504300
2002-02-04,49.9,50.49,49.61,50.3,31.0357518035,3884000
2002-02-05,50.32,51.09,49.92,50.81,31.3504284123,5660500
2002-02-06,48.9,49.55,48.19,49.1,30.2953362535,9061000
2002-02-07,49.0,49.34,48.33,48.6,29.9868297744,4580100
2002-02-08,48.65,48.65,47.6,48.57,29.9683193856,4424500
2002-02-11,48.67,49.06,48.51,48.92,30.1842739211,3248200
2002-02-12,48.8,49.15,48.77,49.02,30.2459752169,3233000
2002-02-13,48.95,49.7,48.88,49.62,30.6161829919,2950200
2002-02-14,49.75,49.85,49.0,49.41,30.4866102706,3113000
2002-02-15,50.08,50.08,49.09,49.88,30.776606361,4848200
2002-02-19,49.72,49.73,49.15,49.47,30.5236310481,4083800
2002-02-20,50.0,50.0,48.4,49.92,30.8012868794,4527400
2002-02-21,49.65,49.88,49.23,49.48,30.5298011777,3799900
2002-02-22,49.75,50.6,49.7,50.2,30.9740505077,5442400
2002-02-25,50.38,50.88,49.96,50.63,31.2393660798,5479500
2002-02-26,50.73,51.09,50.2,50.43,31.1159634881,4713600
2002-02-27,50.68,51.2,50.21,50.62,31.2331959502,3797000
2002-02-28,50.88,50.94,50.35,50.5,31.1591543952,3962500
2002-03-01,50.94,51.43,50.5,51.25,31.6219141139,3153200
2002-03-04,51.45,51.47,50.32,50.99,31.4614907448,5027200
2002-03-05,50.52,50.7,49.7,50.39,31.0912829698,4225100
2002-03-06,50.0,50.37,49.53,49.88,30.86607324,4153000
2002-03-07,50.13,50.13,48.87,49.48,30.6185505997,6109500
2002-03-08,49.58,50.35,49.18,49.53,30.6494909298,3865300
2002-03-11,49.28,49.71,49.25,49.5,30.6309267318,2307500
2002-03-12,49.96,49.96,49.25,49.93,30.89701357,3903100
2002-03-13,50.18,50.26,49.48,49.57,30.6742431938,3334500
2002-03-14,50.51,50.51,49.73,50.12,31.0145868241,3317800
2002-03-15,50.57,51.05,50.4,50.87,31.4786917746,5652200
2002-03-18,51.17,51.19,50.3,50.71,31.3796827185,3543400
2002-03-19,50.55,51.48,50.55,51.24,31.7076502169,3966900
2002-03-20,50.55,51.25,50.55,50.55,31.2806736624,3144000
2002-03-21,50.6,50.6,50.11,50.41,31.1940407383,3414500
2002-03-22,50.25,51.11,50.16,50.9,31.4972559726,3946000
2002-03-25,51.57,51.84,51.07,51.28,31.7324024809,5517100
2002-03-26,50.91,51.99,50.9,51.95,32.1470029033,3626500
2002-03-27,51.89,51.89,51.05,51.05,31.5900769627,4391800
2002-03-28,51.14,51.7,50.85,51.5,31.868539933,3961400
2002-04-01,51.7,51.7,50.9,51.43,31.825223471,3988100
2002-04-02,51.43,51.5,50.5,50.62,31.3239901245,6765900
2002-04-03,50.65,50.73,49.88,49.97,30.9217658341,4675000
2002-04-04,50.25,50.63,50.15,50.43,31.2064168703,3316000
2002-04-05,50.59,50.76,50.35,50.61,31.3178020585,3745000
2002-04-08,50.46,51.12,50.32,50.81,31.4415633786,3628700
2002-04-09,50.7,51.49,50.53,51.43,31.825223471,3811300
2002-04-10,51.32,52.42,51.32,52.29,32.3573971475,5785100
2002-04-11,52.06,52.5,51.69,51.86,32.0913103093,4210900
2002-04-12,51.45,52.3,51.25,51.9,32.1160625733,3773300
2002-04-15,51.63,51.9,51.11,51.22,31.6952740849,3685700
2002-04-16,51.9,52.17,51.25,51.96,32.1531909693,4098200
2002-04-17,52.39,52.39,51.71,51.91,32.1222506393,2525000
2002-04-18,51.67,52.2,51.2,51.81,32.0603699792,2985600
2002-04-19,52.23,53.16,52.03,53.12,32.8710066261,4064300
2002-04-22,53.12,53.24,52.61,52.83,32.6915527119,3188900
2002-04-23,53.0,53.04,52.02,52.2,32.3017045535,5178800
2002-04-24,52.45,53.5,52.35,52.93,32.753433372,5459600
2002-04-25,52.43,52.95,52.22,52.45,32.4564062036,4248300
2002-04-26,52.5,52.93,51.84,52.23,32.3202687515,3225800
2002-04-29,51.82,52.7,51.75,52.31,32.3697732796,3462300
2002-04-30,52.31,53.05,51.86,51.9,32.1160625733,4548400
2002-05-01,51.95,53.01,51.7,52.92,32.7472453059,6089000
2002-05-02,53.23,53.23,52.35,53.07,32.840066296,3890300
2002-05-03,52.75,52.8,52.08,52.5,32.4873465337,4212000
2002-05-06,52.55,53.0,51.8,52.0,32.1779432334,2572700
2002-05-07,52.0,52.25,51.59,51.83,32.0727461112,2842100
2002-05-08,51.79,52.11,51.41,51.62,31.9427967251,5063400
2002-05-09,51.8,52.59,51.6,52.06,32.2150716294,2902700
2002-05-10,52.2,52.85,52.0,52.4,32.4254658736,3544200
2002-05-13,52.22,52.6,51.65,52.56,32.5244749297,2881800
2002-05-14,52.8,52.9,52.15,52.75,32.6420481838,3325700
2002-05-15,52.25,52.88,51.92,52.2,32.3017045535,3332300
2002-05-16,52.38,52.61,52.03,52.55,32.5182868637,2625500
2002-05-17,52.55,52.7,51.71,52.14,32.2645761574,4162700
2002-05-20,52.24,52.24,51.35,51.55,31.8994802631,3099600
2002-05-21,51.65,51.8,50.9,51.06,31.5962650288,3576900
2002-05-22,51.23,51.75,51.17,51.63,31.9489847911,2841300
