Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,50.97,52.05,49.77,52.04,17.912212659,9306400
2002-01-03,53.34,53.34,51.65,51.98,17.8915606075,11120000
2002-01-04,52.47,52.58,49.79,50.41,17.3511652602,19463700
2002-01-07,50.4,50.42,47.1,47.2,16.2462805055,20032300
2002-01-08,46.85,48.58,46.05,48.19,16.5870393551,28192700
2002-01-09,49.15,49.26,45.99,46.21,15.9055216559,22968500
2002-01-10,46.66,47.14,45.5,46.69,16.0707380678,24998400
2002-01-11,46.28,47.0,46.05,46.51,16.0087819133,11741500
2002-01-14,46.21,47.76,46.08,47.15,16.2290704626,13410400
2002-01-15,46.95,47.28,46.15,46.55,16.0225499477,18427000
2002-01-16,46.16,46.61,45.44,45.5,15.6611390466,14053500
2002-01-17,46.19,47.41,45.81,47.27,16.2703745655,11925700
2002-01-18,46.2,46.71,44.85,44.95,15.4718285746,12907700
2002-01-22,45.14,45.15,41.26,41.4,14.2499155281,18533900
2002-01-23,44.14,44.14,41.33,43.54,14.9865053646,16678300
2002-01-24,44.61,45.0,43.6,43.71,15.0450195105,18773000
2002-01-25,41.84,46.36,41.83,46.05,15.8504495186,28246100
2002-01-28,46.6,46.85,44.15,45.39,15.6232769522,14940200
2002-01-29,45.78,46.04,42.98,43.18,14.8625930556,14265200
2002-01-30,43.66,44.75,43.0,44.69,15.3823363515,15559700
2002-01-31,44.5,44.7,43.41,44.05,15.1620478023,9881200
2002-02-01,43.99,43.99,42.12,42.46,14.6147684378,9944700
2002-02-04,42.4,43.05,40.6,40.79,14.0399530046,12206800
2002-02-05,39.93,41.24,39.1,39.81,13.7026361636,16735700
2002-02-06,40.19,41.1,38.8,40.6,13.9745548416,13140800
2002-02-07,40.5,40.8,39.05,39.11,13.4616955629,12544900
2002-02-08,39.5,40.15,34.59,37.46,12.8937641469,56683600
2002-02-11,38.81,41.31,38.74,41.28,14.2086114251,26293700
2002-02-12,40.67,41.25,40.3,40.5,13.9401347558,12568900
2002-02-13,40.95,42.1,40.8,41.9,14.4220159572,10940500
2002-02-14,42.0,42.0,40.03,40.05,13.7852443696,9817400
2002-02-15,40.08,40.65,36.66,37.4,12.8731120954,20026800
2002-02-19,36.91,38.1,35.9,37.32,12.8455760268,17521200
2002-02-20,38.08,38.08,34.44,35.91,12.3602528168,23089700
2002-02-21,35.69,35.75,32.48,32.5,11.1865278904,26785800
2002-02-22,32.72,33.56,31.03,32.7,11.2553680621,29613200
2002-02-25,34.93,35.95,34.3,35.91,12.3602528168,26693200
2002-02-26,36.6,36.75,34.1,34.77,11.9678638385,22324000
2002-02-27,35.46,35.68,33.57,33.57,11.5548228087,13553900
2002-02-28,34.04,34.88,33.05,33.25,11.444678534,11960800
2002-03-01,33.8,36.06,33.48,35.97,12.3809048683,14612400
2002-03-04,36.26,38.94,36.25,38.87,13.3790873569,16732700
2002-03-05,37.9,39.55,37.7,38.86,13.3756453484,15427200
2002-03-06,39.1,40.45,38.9,39.95,13.7508242838,15832900
2002-03-07,40.57,41.53,39.79,41.44,14.2636835624,14636600
2002-03-08,42.6,44.1,42.41,43.8,15.0759975877,17516700
2002-03-11,43.51,44.65,42.15,43.65,15.024367459,11988900
2002-03-12,41.64,42.7,41.45,42.58,14.6560725407,11795200
2002-03-13,41.87,42.05,40.6,40.97,14.1019091591,10805000
2002-03-14,41.9,41.9,40.4,40.42,13.9125986871,11152200
2002-03-15,40.62,41.99,40.42,41.99,14.4529940344,12985300
2002-03-18,42.73,44.0,42.61,43.71,15.0450195105,14468200
2002-03-19,43.88,43.9,42.66,43.04,14.8144049355,10187600
2002-03-20,41.49,42.0,40.16,40.21,13.8403165069,11267300
2002-03-21,39.62,41.8,39.02,41.77,14.3772698456,15310500
2002-03-22,41.41,41.68,40.2,40.47,13.92980873,8885000
2002-03-25,40.45,40.96,39.47,39.47,13.5856078718,9038000
2002-03-26,39.04,40.95,38.58,39.87,13.7232882151,11806500
2002-03-27,38.43,38.8,37.55,37.87,13.0348864988,15035600
2002-03-28,38.26,38.38,37.13,37.64,12.9557203014,10125100
2002-04-01,37.1,39.6,36.8,39.34,13.5408617603,12563400
2002-04-02,38.5,39.45,37.25,37.27,12.8283659839,10128800
2002-04-03,38.4,38.58,37.05,37.64,12.9557203014,12266800
2002-04-04,36.75,37.35,35.83,36.6,12.5977514089,15644100
2002-04-05,36.64,37.2,35.59,35.91,12.3602528168,9156600
2002-04-08,34.93,36.31,34.55,36.12,12.432534997,11305500
2002-04-09,36.8,37.2,34.95,35.0,12.0470300358,10077400
2002-04-10,35.45,36.29,34.94,35.3,12.1502902933,9968900
2002-04-11,34.9,35.0,34.22,34.64,11.9231177269,7580200
2002-04-12,34.83,36.14,34.1,35.71,12.2914126451,11446200
2002-04-15,35.99,36.45,34.45,36.2,12.4600710656,12124800
2002-04-16,37.37,39.64,37.32,39.62,13.6372380006,14676800
2002-04-17,40.02,40.35,38.6,39.8,13.699194155,13725200
2002-04-18,38.05,39.5,37.7,38.4,13.2173129536,10734800
2002-04-19,38.87,38.87,37.26,37.26,12.8249239753,7242500
2002-04-22,36.0,36.05,34.52,35.03,12.0573560616,14074500
2002-04-23,34.69,35.31,31.75,32.25,11.1004776759,25518800
2002-04-24,33.63,33.89,31.3,33.29,11.4584465684,30562900
2002-04-25,31.83,33.2,31.8,32.4,11.1521078046,17355200
2002-04-26,32.64,33.45,30.6,30.65,10.5497563028,13573400
2002-04-29,30.67,31.54,28.56,29.22,10.0575490756,17138800
2002-04-30,29.44,30.75,29.25,30.16,10.3810978823,14685900
2002-05-01,29.76,30.4,28.75,29.78,10.2503015562,13252800
2002-05-02,29.69,29.7,28.25,28.43,9.78563039768,12618400
2002-05-03,28.29,28.41,26.21,26.84,9.2383510332,20488800
2002-05-06,26.65,27.45,26.29,26.45,9.10411269851,10842800
2002-05-07,26.77,27.21,24.63,24.8,8.53618128254,20880800
2002-05-08,26.63,29.55,25.88,29.43,10.1298312559,22119100
2002-05-09,28.93,29.27,27.09,28.34,9.75465232045,19223000
2002-05-10,28.58,29.03,26.52,26.8,9.22458299887,18755300
2002-05-13,28.6,29.25,27.24,29.09,10.0128029641,17104800
2002-05-14,30.53,31.24,29.95,30.68,10.5600823286,18328800
2002-05-15,31.81,33.24,29.83,32.07,11.0385215214,21700100
2002-05-16,31.84,32.55,31.25,32.34,11.1314557531,14348900
2002-05-17,33.5,33.96,31.43,32.49,11.1830858818,15845500
2002-05-20,31.84,32.35,31.38,31.89,10.9765653669,9924800
2002-05-21,32.67,33.46,32.29,32.62,11.2278319934,16622800
2002-05-22,32.16,32.61,30.28,31.37,10.7975809207,14727100
2002-05-23,31.09,32.24,30.66,31.67,10.9008411781,12491400
2002-05-24,31.22,31.46,30.85,31.01,10.6736686118,5913900
2002-05-28,31.42,31.82,30.41,31.41,10.811348955,10087000
2002-05-29,30.45,31.4,30.41,31.14,10.7184147233,10085900
2002-05-30,30.51,31.51,30.3,31.18,10.7321827576,9675800
2002-05-31,31.75,32.95,31.48,31.64,10.8905151524,15194000
2002-06-03,32.46,33.11,31.02,31.17,10.7287407491,12731600
2002-06-04,30.64,32.65,30.64,32.44,11.1658758389,14941400
2002-06-05,32.39,32.87,31.64,32.84,11.3035561822,11170300
2002-06-06,32.32,32.45,30.5,30.76,10.5876183972,15710500
2002-06-07,28.85,31.35,28.71,30.87,10.6254804916,18785800
2002-06-10,30.76,32.3,29.8,31.49,10.8388850237,16826200
2002-06-11,31.71,32.58,31.01,31.31,10.7769288692,15240200
2002-06-12,30.6,33.17,30.31,33.0,11.3586283195,23467000
2002-06-13,32.56,34.0,32.36,32.39,11.148665796,21186100
2002-06-14,28.36,30.35,27.7,29.91,10.2950476678,41564100
2002-06-17,30.06,30.19,28.91,29.22,10.0575490756,21389200
2002-06-18,29.02,29.67,28.77,28.88,9.94052078386,13382200
2002-06-19,28.79,29.38,27.97,28.13,9.68237014023,15060200
2002-06-20,27.63,27.9,26.21,26.33,9.06280859553,21642100
2002-06-21,27.2,27.75,25.74,26.12,8.99052641532,29535800
2002-06-24,25.84,27.71,25.35,26.8,9.22458299887,21379700
2002-06-25,27.4,27.55,26.0,26.36,9.07313462128,17505400
2002-06-26,24.88,27.3,24.5,27.08,9.32095923916,21842000
2002-06-27,27.61,27.9,26.05,27.46,9.45175556526,16709200
2002-06-28,27.56,28.05,27.08,27.49,9.46208159101,10965800
2002-07-01,27.25,27.99,26.41,26.43,9.09722868135,11537000
2002-07-02,25.5,25.72,24.24,24.8,8.53618128254,18831900
2002-07-03,24.52,26.64,24.52,26.38,9.08001863844,13096700
2002-07-05,27.2,28.62,27.2,28.54,9.82349249208,7363300
2002-07-08,28.4,28.9,26.86,27.16,9.34849530781,13777600
2002-07-09,27.44,28.28,27.25,27.53,9.47584962533,11764300
2002-07-10,27.84,27.9,26.4,26.41,9.09034466419,11844900
2002-07-11,26.16,28.08,26.09,27.91,9.60664595144,15242700
2002-07-12,28.09,28.77,27.28,28.11,9.67548612307,14783900
2002-07-15,27.68,29.49,26.89,29.31,10.0885271529,15619000
2002-07-16,28.76,30.4,28.74,29.84,10.2709536077,18368200
2002-07-17,31.1,31.39,29.58,29.97,10.3156997193,20549900
2002-07-18,30.16,31.2,30.01,30.37,10.4533800625,16746200
2002-07-19,29.9,30.79,29.56,29.99,10.3225837364,13153500
2002-07-22,29.78,30.77,28.84,29.47,10.1435992902,18885000
2002-07-23,29.34,29.75,27.96,28.02,9.64450804584,16397300
2002-07-24,27.82,29.18,26.92,29.1,10.0162449727,21304400
2002-07-25,26.77,27.36,25.2,25.65,8.82875201198,30184600
2002-07-26,27.6,27.66,25.54,25.99,8.94578030376,23224100
2002-07-29,27.15,28.26,26.7,28.13,9.68237014023,16472200
2002-07-30,27.88,27.93,26.62,27.58,9.49305966824,18218400
2002-07-31,27.38,27.5,26.75,27.48,9.45863958243,9676500
2002-08-01,25.75,26.36,24.82,25.61,8.81498397765,19951300
2002-08-02,25.46,25.78,24.89,25.55,8.79433192616,11725500
2002-08-05,25.26,25.53,23.21,23.75,8.17477038146,14959400
2002-08-06,24.15,26.09,24.1,25.18,8.66697760864,15118300
2002-08-07,25.92,26.0,23.36,25.01,8.60846346275,15363300
2002-08-08,24.64,26.17,24.33,26.04,8.96299034667,12827800
2002-08-09,25.46,26.6,25.1,25.9,8.91480222652,10797800
2002-08-12,25.29,26.02,25.1,25.82,8.88726615787,9250500
