Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,28.04,28.28,27.44,27.92,27.92,450900
2002-01-03,28.23,28.23,27.25,27.25,27.25,169900
2002-01-04,27.79,27.79,26.67,27.37,27.37,419500
2002-01-07,28.49,28.49,26.77,26.77,26.77,366300
2002-01-08,26.77,27.52,26.45,27.36,27.36,203600
2002-01-09,27.35,27.72,26.92,26.92,26.92,351600
2002-01-10,26.75,28.3,26.5,28.29,28.29,551200
2002-01-11,28.36,30.2,28.04,29.31,29.31,428600
2002-01-14,29.64,29.64,28.63,28.63,28.63,475600
2002-01-15,28.62,29.05,28.12,28.89,28.89,309500
2002-01-16,28.92,29.35,28.07,28.66,28.66,525500
2002-01-17,28.61,28.89,26.86,28.45,28.45,386800
2002-01-18,27.97,28.55,26.75,27.43,27.43,857600
2002-01-22,27.69,27.69,26.49,27.6,27.6,323100
2002-01-23,28.89,28.89,27.49,28.71,28.71,257400
2002-01-24,28.98,28.98,27.61,27.8,27.8,249400
2002-01-25,27.82,28.4,27.25,28.05,28.05,1004800
2002-01-28,28.13,28.13,27.25,27.41,27.41,282700
2002-01-29,27.65,27.65,25.96,26.69,26.69,604000
2002-01-30,26.7,26.75,26.0,26.15,26.15,376700
2002-01-31,26.0,26.5,24.45,24.8,24.8,1110600
2002-02-01,26.19,26.19,24.45,25.86,25.86,628500
2002-02-04,25.65,25.8,23.41,23.5,23.5,918700
2002-02-05,23.4,24.2,23.1,23.58,23.58,865000
2002-02-06,23.64,23.7,19.74,20.98,20.98,4809700
2002-02-07,21.85,21.97,20.53,21.81,21.81,1291600
2002-02-08,22.0,23.79,21.83,23.51,23.51,545000
2002-02-11,23.75,25.07,23.6,24.7,24.7,1092100
2002-02-12,24.6,26.25,23.76,25.81,25.81,1184100
2002-02-13,25.9,26.15,24.75,24.76,24.76,1169900
2002-02-14,24.96,25.05,24.15,24.4,24.4,1139700
2002-02-15,24.7,24.7,23.49,24.51,24.51,576400
2002-02-19,24.51,24.52,22.8,23.09,23.09,476400
2002-02-20,24.57,24.57,23.1,24.57,24.57,438700
2002-02-21,24.57,24.7,23.35,23.39,23.39,461200
2002-02-22,23.58,23.6,22.16,23.22,23.22,349000
2002-02-25,23.22,23.5,21.81,22.54,22.54,328000
2002-02-26,22.7,23.35,22.47,23.23,23.23,492700
2002-02-27,23.6,23.98,22.97,23.16,23.16,350100
2002-02-28,23.0,23.32,22.38,22.71,22.71,215200
2002-03-01,22.65,23.4,21.4,23.21,23.21,199700
2002-03-04,23.32,25.3,23.3,25.04,25.04,999000
2002-03-05,24.9,25.9,24.87,25.4,25.4,656000
2002-03-06,25.16,26.72,25.16,26.63,26.63,502300
2002-03-07,26.63,27.0,25.64,25.75,25.75,504200
2002-03-08,26.17,26.58,25.73,26.12,26.12,215100
2002-03-11,25.85,27.0,25.85,26.95,26.95,175100
2002-03-12,26.9,26.9,26.06,26.29,26.29,241600
2002-03-13,26.43,26.7,25.66,25.7,25.7,399200
2002-03-14,26.26,26.26,25.31,25.5,25.5,409100
2002-03-15,25.25,25.5,25.02,25.23,25.23,379900
