Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,25.95,25.99,25.52,25.93,8.67804378651,3478724
2002-01-03,26.72,26.72,26.03,26.69,8.93239447211,4269257
2002-01-04,26.95,26.95,26.41,26.62,8.90896743528,4179581
2002-01-07,26.43,26.56,25.75,25.8,8.63453643239,6044552
2002-01-08,25.58,25.78,25.35,25.45,8.51740124823,5281048
2002-01-09,25.25,25.29,23.6,23.75,7.94845892516,17779981
2002-01-10,23.64,23.97,23.45,23.68,7.92503188833,9641867
2002-01-11,24.28,24.38,23.83,23.9,7.99865971838,7382152
2002-01-14,23.75,23.75,22.88,23.14,7.74430903277,12677657
2002-01-15,23.53,24.0,23.41,23.51,7.86813765603,10899848
2002-01-16,23.27,23.59,23.05,23.05,7.71418855684,4813390
2002-01-17,23.95,24.02,23.6,23.97,8.02208675521,5668667
2002-01-18,23.5,23.97,23.4,23.8,7.9651925229,5281676
2002-01-22,23.48,23.59,22.88,22.98,7.69076152001,4566990
2002-01-23,23.09,23.09,22.5,23.03,7.70749511775,6335162
2002-01-24,23.47,23.55,23.24,23.4,7.831323741,4482343
2002-01-25,22.95,23.0,22.65,22.75,7.61378697042,5464800
2002-01-28,22.86,22.92,22.4,22.65,7.58031977495,3924381
2002-01-29,22.27,22.28,21.4,21.45,7.17871342925,9060229
2002-01-30,21.32,21.64,21.02,21.55,7.21218062473,7651390
2002-01-31,21.68,21.8,21.35,21.7,7.26238141794,5163086
2002-02-01,21.94,21.94,21.61,21.7,7.26238141794,3482914
2002-02-04,21.37,21.38,20.52,20.69,6.92436274365,7294571
2002-02-05,20.4,20.53,19.88,19.95,6.67670549714,14015257
2002-02-06,19.65,19.74,19.0,19.68,6.58634406936,9013924
2002-02-07,19.96,20.4,19.89,20.12,6.73359972944,7732057
2002-02-08,20.24,20.6,20.12,20.5,6.86077507225,6223067
2002-02-11,20.32,20.55,20.21,20.48,6.85408163315,6604819
2002-02-12,19.78,19.89,19.33,19.55,6.54283671524,8275352
2002-02-13,19.24,19.41,19.1,19.2,6.42570153108,13827524
2002-02-14,19.0,19.16,18.82,19.0,6.35876714013,9445752
2002-02-15,19.56,19.56,18.67,18.92,6.33199338375,3967333
2002-02-19,18.18,18.38,17.74,17.88,5.98393455082,8830800
2002-02-20,18.5,18.5,17.65,18.49,6.18808444321,8607448
2002-02-21,18.31,18.75,18.22,18.46,6.17804428457,5589257
2002-02-22,18.17,18.55,18.13,18.49,6.18808444321,5459771
2002-02-25,18.0,18.4,17.78,18.28,6.11780333272,4809829
2002-02-26,18.7,18.78,18.26,18.56,6.21151148004,5368838
2002-02-27,19.32,19.7,19.22,19.46,6.51271623931,8153619
2002-02-28,19.31,19.45,18.77,19.0,6.35876714013,3807886
2002-03-01,18.8,19.08,18.7,19.08,6.38554089651,8325429
2002-03-04,19.17,19.67,19.14,19.64,6.57295719117,5717905
