Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,6.06,6.1,5.75,5.87,5.87,1544500
2002-01-03,6.17,6.17,5.9,6.1,6.1,3563800
2002-01-04,6.23,6.33,5.96,6.21,6.21,2088200
2002-01-07,6.25,6.34,5.74,5.81,5.81,1720000
2002-01-08,5.94,5.95,5.58,5.65,5.65,1633500
2002-01-09,5.65,5.85,5.53,5.66,5.66,1357200
2002-01-10,5.62,5.65,5.21,5.25,5.25,3706700
2002-01-11,5.35,5.56,5.15,5.25,5.25,1863000
2002-01-14,5.29,5.3,4.9,5.12,5.12,1813000
2002-01-15,5.21,5.25,4.9,4.95,4.95,947600
2002-01-16,4.79,4.79,4.4,4.41,4.41,1698100
2002-01-17,4.8,4.83,4.6,4.76,4.76,1119500
2002-01-18,4.65,4.68,4.41,4.52,4.52,907200
2002-01-22,4.46,4.7,4.0,4.12,4.12,2131300
2002-01-23,4.3,4.3,3.93,4.06,4.06,2459900
2002-01-24,4.28,4.58,4.25,4.34,4.34,1707300
2002-01-25,4.28,4.55,4.26,4.5,4.5,1106200
2002-01-28,4.5,4.9,4.43,4.88,4.88,1349700
2002-01-29,4.89,4.93,4.61,4.65,4.65,1070500
2002-01-30,4.66,4.75,4.52,4.65,4.65,987800
2002-01-31,4.76,4.88,4.59,4.61,4.61,1746000
2002-02-01,4.62,4.62,4.07,4.18,4.18,1730600
2002-02-04,4.21,4.22,3.83,3.94,3.94,1133200
2002-02-05,3.5,3.8,3.45,3.59,3.59,2867200
2002-02-06,3.62,3.78,3.45,3.6,3.6,913600
2002-02-07,3.6,3.9,3.52,3.68,3.68,970700
2002-02-08,3.8,3.99,3.7,3.92,3.92,642200
2002-02-11,3.9,4.09,3.85,3.88,3.88,482600
2002-02-12,3.88,4.15,3.74,3.95,3.95,500200
2002-02-13,4.02,4.16,3.76,3.91,3.91,544900
2002-02-14,3.91,3.95,3.68,3.68,3.68,505400
2002-02-15,3.69,3.69,3.42,3.5,3.5,641200
2002-02-19,3.39,3.5,3.15,3.24,3.24,1094700
2002-02-20,3.3,3.3,3.11,3.21,3.21,607600
2002-02-21,3.3,3.65,3.22,3.27,3.27,905200
2002-02-22,3.33,3.33,3.05,3.14,3.14,987700
2002-02-25,3.24,3.3,3.12,3.27,3.27,743300
2002-02-26,3.3,3.34,3.16,3.21,3.21,438000
2002-02-27,3.38,3.55,3.17,3.24,3.24,1254100
2002-02-28,3.3,3.35,3.07,3.11,3.11,942700
2002-03-01,3.15,3.25,3.07,3.19,3.19,909100
