Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,26.22,26.43,24.79,26.42,2.95998337032,1281050
2002-01-03,26.26,26.79,25.56,26.35,2.95214087085,1016825
2002-01-04,27.0,27.7,26.38,26.83,3.00591801006,1238150
2002-01-07,27.05,27.39,25.97,26.04,2.91740980178,946825
2002-01-08,26.03,26.63,25.68,26.0,2.91292837352,1183350
2002-01-09,26.55,26.75,25.42,25.55,2.86251230551,1628825
2002-01-10,25.48,25.82,25.08,25.58,2.86587337671,600000
2002-01-11,25.65,25.91,23.53,24.01,2.68997731724,2290400
2002-01-14,23.97,24.48,23.45,23.5,2.63283910683,1202950
2002-01-15,23.66,24.25,22.77,24.14,2.7045419591,2171600
2002-01-16,25.1,25.71,24.26,24.58,2.75383767004,13474025
2002-01-17,25.2,25.4,24.0,24.74,2.77176338311,2043750
2002-01-18,24.0,25.1,23.8,24.39,2.73255088577,1412650
2002-01-22,24.3,24.81,23.7,24.4,2.73367124284,1177200
2002-01-23,24.56,25.36,24.3,24.8,2.77848552551,965050
2002-01-24,26.7,28.54,26.3,27.52,3.08322264766,8237450
2002-01-25,27.05,27.22,26.32,26.6,2.98014979752,1994425
2002-01-28,26.74,27.0,25.87,26.55,2.97454801219,1897225
2002-01-29,26.53,26.75,25.72,26.0,2.91292837352,1755850
2002-01-30,25.99,26.09,24.99,26.09,2.92301158712,1704825
2002-01-31,26.05,27.0,25.76,26.28,2.94429837139,2743850
2002-02-01,25.85,26.45,25.44,25.82,2.89276194632,1063450
2002-02-04,25.8,25.93,25.25,25.55,2.86251230551,822950
2002-02-05,25.56,26.14,24.89,25.37,2.84234587831,833625
2002-02-06,25.45,25.46,24.06,24.28,2.72022695804,1140800
2002-02-07,24.05,25.23,23.85,24.72,2.76952266898,1268250
2002-02-08,24.78,25.57,24.67,25.57,2.86475301965,1105050
2002-02-11,25.35,25.92,25.2,25.6,2.86811409085,727050
2002-02-12,25.32,26.5,25.0,25.96,2.90844694525,676025
2002-02-13,26.21,27.05,26.21,26.53,2.97230729805,2312000
2002-02-14,26.91,27.43,26.4,27.01,3.02608443726,2668150
2002-02-15,27.0,27.01,26.5,26.7,2.99135336819,648550
2002-02-19,26.34,26.4,25.58,25.72,2.88155837565,617625
2002-02-20,25.75,26.46,25.61,26.29,2.94541872845,946550
2002-02-21,26.04,26.7,25.49,25.63,2.87147516205,783625
2002-02-22,25.56,26.71,25.43,26.71,2.99247372526,948650
2002-02-25,26.64,27.15,26.4,27.13,3.03952872206,1244150
2002-02-26,27.06,27.75,26.61,27.29,3.05745443513,1130425
2002-02-27,27.46,29.83,27.45,29.05,3.25463727887,4951225
2002-02-28,29.25,29.49,28.25,28.56,3.1997397826,1089450
2002-03-01,29.0,29.82,28.1,29.82,3.34090477301,1519200
2002-03-04,29.63,31.18,29.16,30.88,3.45966262209,2249625
2002-03-05,30.46,31.13,30.08,30.46,3.41260762528,1063225
2002-03-06,30.48,30.49,29.4,29.87,3.34650655835,1079350
