Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,46.0,46.0,45.4,45.83,10.9904744275,649000
2002-01-03,46.17,46.17,45.58,45.75,10.9712896587,322300
2002-01-04,45.4,45.4,44.6,45.08,10.81061722,569400
2002-01-07,44.65,44.97,44.56,44.75,10.7314800487,276300
2002-01-08,44.41,44.5,43.97,44.24,10.6091771476,500000
2002-01-09,44.4,45.13,44.39,44.83,10.7506648175,1125300
2002-01-10,44.83,45.46,44.66,45.29,10.8609772381,489500
2002-01-11,45.75,45.95,45.51,45.7,10.9592991782,807000
2002-01-14,45.43,45.64,45.06,45.45,10.8993467757,486800
2002-01-15,45.0,45.3,44.85,45.0,10.7914324512,407000
2002-01-16,44.78,45.28,44.55,44.55,10.6835181267,444200
2002-01-17,44.75,45.24,44.7,45.1,10.8154134122,365200
2002-01-18,44.85,45.3,44.8,45.04,10.8010248356,563000
2002-01-22,45.7,45.98,45.55,45.7,10.9592991782,585200
2002-01-23,46.46,46.46,45.58,46.24,11.0887963676,384700
2002-01-24,46.07,46.35,45.8,46.05,11.0432325417,786300
2002-01-25,44.8,45.1,44.69,44.77,10.7362762409,582600
2002-01-28,44.51,44.51,44.0,44.4,10.6475466852,755200
2002-01-29,44.4,44.57,43.82,43.85,10.5156513997,513400
2002-01-30,43.85,44.78,43.72,44.75,10.7314800487,563300
2002-01-31,45.55,47.05,45.45,46.99,11.2686535751,1080200
2002-02-01,48.0,48.0,47.3,47.74,11.4485107827,1023300
2002-02-04,47.68,48.0,47.15,47.85,11.4748898398,634400
2002-02-05,48.35,48.9,48.2,48.5,11.6307660863,1136000
2002-02-06,48.2,48.29,47.7,47.7,11.4389183983,689600
2002-02-07,47.71,48.31,47.65,48.0,11.5108612813,473400
2002-02-08,48.17,48.32,47.7,48.22,11.5636193955,392600
2002-02-11,48.3,49.3,48.14,48.9,11.7266899303,583700
2002-02-12,49.35,49.55,48.97,49.26,11.8130213899,435400
2002-02-13,49.6,50.0,49.4,49.51,11.8729737924,325400
2002-02-14,49.95,50.28,49.8,50.01,11.9928785974,321200
2002-02-15,51.25,51.25,50.66,51.03,12.2374843996,496100
2002-02-19,49.5,49.7,49.11,49.43,11.8537890236,336300
2002-02-20,49.96,49.96,49.25,49.7,12.031248135,403400
2002-02-21,49.5,49.82,49.3,49.35,11.9465210355,226200
2002-02-22,50.27,50.76,50.21,50.71,12.2757463366,457000
2002-02-25,50.55,50.56,49.82,50.3,12.1764945914,497400
2002-02-26,50.65,50.94,50.58,50.8,12.297533305,784200
2002-02-27,51.16,51.75,51.1,51.28,12.4137304701,464300
2002-02-28,50.82,51.5,50.81,50.98,12.3411072419,485500
2002-03-01,51.23,52.0,51.0,52.0,12.5880262177,410900
2002-03-04,50.74,51.87,50.68,51.63,12.4984575696,572700
