Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,36.03,36.04,35.39,35.91,9.41344670866,323400
2002-01-03,36.19,36.19,35.2,35.61,9.33480471443,157067
2002-01-04,35.62,35.78,34.81,34.9,9.1486853281,295667
2002-01-07,34.9,35.5,34.84,35.37,9.27189111905,139400
2002-01-08,35.56,36.75,35.2,36.75,9.63364429249,247400
2002-01-09,36.79,36.9,36.46,36.56,9.58383769614,122600
2002-01-10,36.64,37.04,36.2,36.99,9.69655788786,112867
2002-01-11,37.0,37.55,37.0,37.13,9.73325748517,99000
2002-01-14,37.24,37.24,36.51,36.67,9.61267309403,248800
2002-01-15,36.69,37.07,36.4,36.65,9.60743029441,80800
2002-01-16,36.48,36.68,36.0,36.38,9.53665249961,241400
2002-01-17,36.44,36.49,36.02,36.22,9.49471010269,93800
2002-01-18,36.26,36.55,35.75,36.45,9.55500229826,184067
2002-01-22,36.55,36.6,35.5,35.61,9.33480471443,280067
2002-01-23,36.0,36.0,35.21,35.6,9.33218331463,187800
2002-01-24,35.7,36.55,35.7,36.0,9.43703930692,116000
2002-01-25,35.96,36.21,35.76,35.85,9.39771830981,92467
2002-01-28,36.01,36.25,35.76,36.25,9.50257430211,177600
2002-01-29,36.34,36.39,35.73,35.87,9.40296110943,175067
2002-01-30,35.79,35.81,33.51,35.71,9.36101871251,298267
2002-01-31,35.79,36.45,35.25,35.8,9.38461131077,182200
2002-02-01,36.35,36.35,35.19,35.25,9.24043432136,212600
2002-02-04,35.19,35.37,33.9,33.98,8.90751654581,170000
2002-02-05,33.93,34.97,33.71,34.85,9.13557832906,180000
2002-02-06,34.78,34.81,32.18,32.34,8.47760697739,323000
2002-02-07,32.4,33.51,32.34,33.34,8.73974695813,161467
2002-02-08,33.4,34.04,33.25,33.83,8.8681955487,112400
2002-02-11,34.0,34.23,33.37,33.53,8.78955355448,146000
2002-02-12,33.32,33.43,33.02,33.07,8.66896916333,102000
2002-02-13,33.24,34.35,33.21,34.1,8.9389733435,108467
2002-02-14,34.19,34.27,32.82,32.89,8.6217839668,158200
2002-02-15,32.9,33.0,30.75,31.77,8.32818718836,227467
2002-02-19,31.71,31.71,29.75,30.1,7.89041342051,284400
2002-02-20,30.84,30.84,29.65,30.54,8.00575501204,132400
2002-02-21,30.54,32.22,30.53,31.11,8.15517480107,112200
2002-02-22,31.54,32.55,31.34,32.55,8.53265637334,540067
2002-02-25,32.73,34.5,32.7,34.47,9.03596513638,195667
2002-02-26,34.37,34.55,32.95,33.26,8.71877575968,795667
2002-02-27,33.37,34.55,32.97,34.0,8.91275934543,800067
2002-02-28,33.99,35.06,33.99,34.74,9.10674293118,176867
2002-03-01,34.94,35.94,34.86,35.4,9.27975531848,259600
2002-03-04,35.69,35.82,34.76,35.11,9.20373472406,111600
2002-03-05,34.91,36.5,34.75,36.1,9.463253305,313667
2002-03-06,35.87,36.32,35.29,36.32,9.52092410076,105067
2002-03-07,36.34,36.55,34.79,35.15,9.21422032329,259400
2002-03-08,35.44,36.05,35.38,35.78,9.37936851116,271667
2002-03-11,35.74,35.78,34.56,34.78,9.11722853041,292800
2002-03-12,34.59,34.88,33.79,34.86,9.13819972887,173667
2002-03-13,34.75,34.85,34.11,34.5,9.0438293358,73067
2002-03-14,34.6,34.6,33.78,34.14,8.94945894273,124467
2002-03-15,34.14,35.4,34.1,34.33,8.99926553908,188667
2002-03-18,34.47,35.2,34.29,34.89,9.14606392829,129200
2002-03-19,34.88,35.07,34.32,34.46,9.03334373657,231667
2002-03-20,34.0,34.3,32.97,33.39,8.75285395717,256067
2002-03-21,33.48,34.17,32.75,34.1,8.9389733435,113600
2002-03-22,34.19,34.19,33.58,33.8,8.86033134928,184600
2002-03-25,33.89,34.28,33.22,33.3,8.72926135891,327600
2002-03-26,33.28,33.5,32.5,32.8,8.59819136853,261267
2002-03-27,32.7,33.6,32.7,33.2,8.70304736083,374800
2002-03-28,33.1,33.83,33.1,33.45,8.76858235602,242400
2002-04-01,33.75,33.75,33.05,33.67,8.82625315178,203800
2002-04-02,33.68,33.74,32.45,32.45,8.50644237527,161800
2002-04-03,32.51,32.68,31.45,32.0,8.38847938393,183400
2002-04-04,32.01,32.28,31.66,31.75,8.32294438875,168467
2002-04-05,31.76,32.27,30.55,32.0,8.38847938393,246800
2002-04-08,31.96,32.1,31.42,32.09,8.4120719822,135400
2002-04-09,32.05,32.72,31.85,32.05,8.40158638297,114200
2002-04-10,32.18,32.18,30.84,30.94,8.11061100434,190000
2002-04-11,30.89,30.9,28.8,28.95,7.58895244265,492400
2002-04-12,29.25,30.44,29.14,29.94,7.84847102359,578067
2002-04-15,30.04,30.34,29.54,29.8,7.81177142629,190600
2002-04-16,29.81,31.39,29.81,31.32,8.21022419702,650800
2002-04-17,31.4,31.56,30.55,30.85,8.08701840607,454267
2002-04-18,30.79,31.52,30.72,31.22,8.18401019895,270000
2002-04-19,31.26,31.32,30.72,30.93,8.10798960453,181667
2002-04-22,30.52,30.7,29.21,30.0,7.86419942244,380067
2002-04-23,30.05,30.7,29.51,29.59,7.75672203033,785200
2002-04-24,29.62,30.3,29.43,29.63,7.76720762956,337667
2002-04-25,29.6,29.71,28.24,28.6,7.49720344939,175400
2002-04-26,28.68,28.75,27.56,28.4,7.44477545324,218067
2002-04-29,28.4,28.69,27.3,27.4,7.18263547249,139200
2002-04-30,27.49,28.5,27.14,28.19,7.38972605728,320267
2002-05-01,28.22,31.32,27.85,31.15,8.1656604003,752000
2002-05-02,31.05,31.32,30.25,30.3,7.94284141666,615267
2002-05-03,30.26,31.1,29.58,30.79,8.07129000723,266000
2002-05-06,30.8,31.43,30.25,30.25,7.92973441762,90600
2002-05-07,30.8,30.9,30.1,30.1,7.89041342051,203067
2002-05-08,30.23,31.42,30.19,31.35,8.21808839645,347667
2002-05-09,31.2,31.36,30.72,30.8,8.07391140704,133000
2002-05-10,30.8,30.87,29.9,30.21,7.91924881839,80667
2002-05-13,30.35,31.06,30.3,31.03,8.13420360261,131467
2002-05-14,31.21,31.52,31.15,31.36,8.22070979625,113467
2002-05-15,31.66,32.45,31.59,32.05,8.40158638297,532800
2002-05-16,31.95,32.05,30.75,30.9,8.10012540511,461267
2002-05-17,30.99,31.51,30.87,31.51,8.26003079337,122267
2002-05-20,31.5,32.5,31.2,32.29,8.46449997835,226067
2002-05-21,32.48,33.04,31.6,32.01,8.39110078374,249667
2002-05-22,31.45,32.04,31.25,31.5,8.25740939356,319867
2002-05-23,31.5,32.04,31.17,32.03,8.39634358336,308800
2002-05-24,31.99,32.0,31.36,31.56,8.2731377924,139000
